,Ref,Score,Team
0,Dennis LaRue,1,Philadelphia Flyers
1,Dennis LaRue,3,Pittsburgh Penguins
2,Kevin Pollock,1,Philadelphia Flyers
3,Kevin Pollock,3,Pittsburgh Penguins
4,Gord Dwyer,4,Ottawa Senators
5,Gord Dwyer,1,Winnipeg Jets
6,Stephen Walkom,4,Ottawa Senators
7,Stephen Walkom,1,Winnipeg Jets
8,Frederick L'Ecuyer,5,Chicago Blackhawks
9,Frederick L'Ecuyer,2,Los Angeles Kings
10,Marc Joannette,5,Chicago Blackhawks
11,Marc Joannette,2,Los Angeles Kings
12,Chris Lee,3,Boston Bruins
13,Chris Lee,1,New York Rangers
14,Tom Kowal,3,Boston Bruins
15,Tom Kowal,1,New York Rangers
16,Brad Meier,1,Montréal Canadiens
17,Brad Meier,2,Toronto Maple Leafs
18,Brad Watson,1,Montréal Canadiens
19,Brad Watson,2,Toronto Maple Leafs
20,Kelly Sutherland,2,New Jersey Devils
21,Kelly Sutherland,1,New York Islanders
22,Mike Hasenfratz,2,New Jersey Devils
23,Mike Hasenfratz,1,New York Islanders
24,Eric Furlatt,6,Tampa Bay Lightning
25,Eric Furlatt,3,Washington Capitals
26,Ghislain Hebert,6,Tampa Bay Lightning
27,Ghislain Hebert,3,Washington Capitals
28,Dave Jackson,1,Carolina Hurricanes
29,Dave Jackson,5,Florida Panthers
30,Dean Morton,1,Carolina Hurricanes
31,Dean Morton,5,Florida Panthers
32,Chris Rooney,0,Detroit Red Wings
33,Chris Rooney,6,St. Louis Blues
34,Greg Kimmerly,0,Detroit Red Wings
35,Greg Kimmerly,6,St. Louis Blues
36,Kyle Rehman,2,Columbus Blue Jackets
37,Kyle Rehman,2,Nashville Predators
38,Paul Devorski,2,Columbus Blue Jackets
39,Paul Devorski,2,Nashville Predators
40,Brian Pochmara,4,Dallas Stars
41,Brian Pochmara,3,Phoenix Coyotes
42,Ian Walsh,4,Dallas Stars
43,Ian Walsh,3,Phoenix Coyotes
44,Rob Martell,2,Colorado Avalanche
45,Rob Martell,4,Minnesota Wild
46,Wes McCauley,2,Colorado Avalanche
47,Wes McCauley,4,Minnesota Wild
48,Mike Leggo,7,Anaheim Ducks
49,Mike Leggo,3,Vancouver Canucks
50,Tim Peel,7,Anaheim Ducks
51,Tim Peel,3,Vancouver Canucks
52,Don VanMassenhoven,5,Buffalo Sabres
53,Don VanMassenhoven,2,Philadelphia Flyers
54,Steve Kozari,5,Buffalo Sabres
55,Steve Kozari,2,Philadelphia Flyers
56,Brad Meier,3,New York Rangers
57,Brad Meier,6,Pittsburgh Penguins
58,Brad Watson,3,New York Rangers
59,Brad Watson,6,Pittsburgh Penguins
60,Justin St. Pierre ,1,Calgary Flames
61,Justin St. Pierre ,4,San Jose Sharks
62,Mike Leggo,1,Calgary Flames
63,Mike Leggo,4,San Jose Sharks
64,Gord Dwyer,0,Dallas Stars
65,Gord Dwyer,1,Minnesota Wild
66,Wes McCauley,0,Dallas Stars
67,Wes McCauley,1,Minnesota Wild
68,Francis Charron,2,Edmonton Oilers
69,Francis Charron,2,Vancouver Canucks
70,Tim Peel,2,Edmonton Oilers
71,Tim Peel,2,Vancouver Canucks
72,Frederick L'Ecuyer,6,Chicago Blackhawks
