,Ref,Score,Team
0,Paul Devorski,4,Montréal Canadiens
1,Paul Devorski,3,Toronto Maple Leafs
2,Tom Kowal,4,Montréal Canadiens
3,Tom Kowal,3,Toronto Maple Leafs
4,Eric Furlatt,2,Boston Bruins
5,Eric Furlatt,1,Philadelphia Flyers
6,Rob Martell,2,Boston Bruins
7,Rob Martell,1,Philadelphia Flyers
8,Ghislain Hebert,2,Calgary Flames
9,Ghislain Hebert,4,Vancouver Canucks
10,Tim Peel,2,Calgary Flames
11,Tim Peel,4,Vancouver Canucks
12,Dan O'Halloran,0,Los Angeles Kings
13,Dan O'Halloran,4,San Jose Sharks
14,Dan O'Rourke,0,Los Angeles Kings
15,Dan O'Rourke,4,San Jose Sharks
16,Francis Charron,1,Buffalo Sabres
17,Francis Charron,3,Columbus Blue Jackets
18,Tom Kowal,1,Buffalo Sabres
19,Tom Kowal,3,Columbus Blue Jackets
20,Jean Hebert,6,New Jersey Devils
21,Jean Hebert,4,Philadelphia Flyers
22,Steve Kozari,6,New Jersey Devils
23,Steve Kozari,4,Philadelphia Flyers
24,Gord Dwyer,4,Anaheim Ducks
25,Gord Dwyer,6,Pittsburgh Penguins
26,Marc Joannette,4,Anaheim Ducks
27,Marc Joannette,6,Pittsburgh Penguins
28,Chris Lee,1,Montréal Canadiens
29,Chris Lee,1,Washington Capitals
30,Rob Martell,1,Montréal Canadiens
31,Rob Martell,1,Washington Capitals
32,Brad Meier,1,Boston Bruins
33,Brad Meier,2,Detroit Red Wings
34,Dennis LaRue,1,Boston Bruins
35,Dennis LaRue,2,Detroit Red Wings
36,Brian Pochmara,2,Florida Panthers
37,Brian Pochmara,3,Tampa Bay Lightning
38,Kevin Pollock,2,Florida Panthers
39,Kevin Pollock,3,Tampa Bay Lightning
40,Chris Rooney,3,New York Rangers
41,Chris Rooney,2,St. Louis Blues
42,Kyle Rehman,3,New York Rangers
43,Kyle Rehman,2,St. Louis Blues
44,Furman Furman,3,Nashville Predators
45,Furman Furman,2,Ottawa Senators
46,Kelly Sutherland,3,Nashville Predators
47,Kelly Sutherland,2,Ottawa Senators
48,Francois St-Laurent,2,Chicago Blackhawks
49,Francois St-Laurent,2,Dallas Stars
50,Graham Skilliter,2,Chicago Blackhawks
51,Graham Skilliter,2,Dallas Stars
52,Frederick L'Ecuyer,0,Colorado Avalanche
53,Frederick L'Ecuyer,5,Minnesota Wild
54,Greg Kimmerly,0,Colorado Avalanche
55,Greg Kimmerly,5,Minnesota Wild
56,Ghislain Hebert,5,Calgary Flames
57,Ghislain Hebert,2,Edmonton Oilers
58,Tim Peel,5,Calgary Flames
59,Tim Peel,2,Edmonton Oilers
60,Dan O'Halloran,2,Arizona Coyotes
61,Dan O'Halloran,6,Winnipeg Jets
62,Dan O'Rourke,2,Arizona Coyotes
63,Dan O'Rourke,6,Winnipeg Jets
64,Ian Walsh,3,Carolina Hurricanes
65,Ian Walsh,5,New York Islanders
66,Justin St. Pierre ,3,Carolina Hurricanes
67,Justin St. Pierre ,5,New York Islanders
68,Dave Jackson,0,Boston Bruins
69,Dave Jackson,4,Washington Capitals
70,Gord Dwyer,0,Boston Bruins
71,Gord Dwyer,4,Washington Capitals
72,Kelly Sutherland,3,Anaheim Ducks
73,Kelly Sutherland,2,Detroit Red Wings
74,Tom Kowal,3,Anaheim Ducks
75,Tom Kowal,2,Detroit Red Wings
76,Chris Rooney,2,Ottawa Senators
77,Chris Rooney,2,Tampa Bay Lightning
78,Kyle Rehman,2,Ottawa Senators
79,Kyle Rehman,2,Tampa Bay Lightning
80,Brian Pochmara,1,Florida Panthers
81,Brian Pochmara,5,New Jersey Devils
82,Kevin Pollock,1,Florida Panthers
83,Kevin Pollock,5,New Jersey Devils
84,Jean Hebert,3,Carolina Hurricanes
85,Jean Hebert,4,New York Islanders
86,Steve Kozari,3,Carolina Hurricanes
87,Steve Kozari,4,New York Islanders
88,Chris Lee,3,Montréal Canadiens
89,Chris Lee,3,Philadelphia Flyers
90,Rob Martell,3,Montréal Canadiens
91,Rob Martell,3,Philadelphia Flyers
92,Frederick L'Ecuyer,5,Columbus Blue Jackets
93,Frederick L'Ecuyer,2,New York Rangers
94,Marc Joannette,5,Columbus Blue Jackets
95,Marc Joannette,2,New York Rangers
96,Brad Watson,1,Calgary Flames
97,Brad Watson,4,St. Louis Blues
98,Greg Kimmerly,1,Calgary Flames
99,Greg Kimmerly,4,St. Louis Blues
100,Brad Meier,1,Dallas Stars
101,Brad Meier,4,Nashville Predators
102,Justin St. Pierre ,1,Dallas Stars
103,Justin St. Pierre ,4,Nashville Predators
104,Ian Walsh,2,Buffalo Sabres
105,Ian Walsh,6,Chicago Blackhawks
106,Trevor Hanson,2,Buffalo Sabres
107,Trevor Hanson,6,Chicago Blackhawks
108,Graham Skilliter,0,Colorado Avalanche
109,Graham Skilliter,3,Minnesota Wild
110,Tim Peel,0,Colorado Avalanche
111,Tim Peel,3,Minnesota Wild
112,Francois St-Laurent,3,Arizona Coyotes
113,Francois St-Laurent,2,Los Angeles Kings
114,Wes McCauley,3,Arizona Coyotes
115,Wes McCauley,2,Los Angeles Kings
116,Ghislain Hebert,4,Edmonton Oilers
117,Ghislain Hebert,4,Vancouver Canucks
118,Mike Leggo,4,Edmonton Oilers
119,Mike Leggo,4,Vancouver Canucks
120,Dan O'Halloran,3,San Jose Sharks
121,Dan O'Halloran,0,Winnipeg Jets
122,Dan O'Rourke,3,San Jose Sharks
