,Ref,Score,Team
0,Robbie Shick,3,New Jersey Devils
1,Robbie Shick,1,Pittsburgh Penguins
2,Stephen Walkom,3,New Jersey Devils
3,Stephen Walkom,1,Pittsburgh Penguins
4,Richard Trottier,1,New Jersey Devils
5,Richard Trottier,4,Pittsburgh Penguins
6,Terry Gregson,1,New Jersey Devils
7,Terry Gregson,4,Pittsburgh Penguins
8,Bill McCreary,2,New Jersey Devils
9,Bill McCreary,4,Pittsburgh Penguins
10,Lance Roberts,2,New Jersey Devils
11,Lance Roberts,4,Pittsburgh Penguins
12,Paul Devorski,4,New Jersey Devils
13,Paul Devorski,2,Pittsburgh Penguins
14,Paul Stewart,4,New Jersey Devils
15,Paul Stewart,2,Pittsburgh Penguins
16,Don Van Massenhoven,4,New Jersey Devils
17,Don Van Massenhoven,3,Pittsburgh Penguins
18,Mark Faucette,4,New Jersey Devils
19,Mark Faucette,3,Pittsburgh Penguins
20,Dan Marouelli,2,New Jersey Devils
21,Dan Marouelli,3,Pittsburgh Penguins
22,Stephen Walkom,2,New Jersey Devils
23,Stephen Walkom,3,Pittsburgh Penguins
24,Don Koharski,2,New Jersey Devils
25,Don Koharski,4,Pittsburgh Penguins
26,Kerry Fraser,2,New Jersey Devils
27,Kerry Fraser,4,Pittsburgh Penguins
28,Dennis Larue,2,Buffalo Sabres
29,Dennis Larue,1,Ottawa Senators
30,Kerry Fraser,2,Buffalo Sabres
31,Kerry Fraser,1,Ottawa Senators
32,Don Van Massenhoven,3,Buffalo Sabres
33,Don Van Massenhoven,2,Ottawa Senators
34,Mark Faucette,3,Buffalo Sabres
35,Mark Faucette,2,Ottawa Senators
36,Robbie Shick,3,Buffalo Sabres
37,Robbie Shick,0,Ottawa Senators
38,Stephen Walkom,3,Buffalo Sabres
39,Stephen Walkom,0,Ottawa Senators
40,Don Koharski,4,Buffalo Sabres
41,Don Koharski,3,Ottawa Senators
42,Michael McGeough,4,Buffalo Sabres
43,Michael McGeough,3,Ottawa Senators
44,Dan Marouelli,2,Boston Bruins
45,Dan Marouelli,0,Carolina Hurricanes
46,Dave Jackson,2,Boston Bruins
47,Dave Jackson,0,Carolina Hurricanes
48,Dennis Larue,2,Boston Bruins
49,Dennis Larue,3,Carolina Hurricanes
50,Kerry Fraser,2,Boston Bruins
51,Kerry Fraser,3,Carolina Hurricanes
52,Don Van Massenhoven,2,Boston Bruins
53,Don Van Massenhoven,3,Carolina Hurricanes
54,Mark Faucette,2,Boston Bruins
