code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2010030111,Washington Capitals,2,New York Rangers,1,Dan O'Halloran,Brian Pochmara,Washington Capitals,New York Rangers
2010030112,Washington Capitals,2,New York Rangers,0,Wes McCauley,Eric Furlatt,Washington Capitals,New York Rangers
2010030113,New York Rangers,3,Washington Capitals,2,Chris Rooney,Tim Peel,New York Rangers,Washington Capitals
2010030114,New York Rangers,3,Washington Capitals,4,Paul Devorski,Steve Kozari,Washington Capitals,New York Rangers
2010030115,Washington Capitals,3,New York Rangers,1,Stephen Walkom,Ian Walsh,Washington Capitals,New York Rangers
2010030121,Philadelphia Flyers,0,Buffalo Sabres,1,Kelly Sutherland,Dennis LaRue,Buffalo Sabres,Philadelphia Flyers
2010030122,Philadelphia Flyers,5,Buffalo Sabres,4,Dan O'Rourke,Brad Meier,Philadelphia Flyers,Buffalo Sabres
2010030123,Buffalo Sabres,2,Philadelphia Flyers,4,Paul Devorski,Steve Kozari,Philadelphia Flyers,Buffalo Sabres
2010030124,Buffalo Sabres,1,Philadelphia Flyers,0,Marc Joannette,Francois StLaurent,Buffalo Sabres,Philadelphia Flyers
2010030125,Philadelphia Flyers,3,Buffalo Sabres,4,Dan O'Halloran,Brian Pochmara,Buffalo Sabres,Philadelphia Flyers
2010030126,Buffalo Sabres,4,Philadelphia Flyers,5,Chris Lee,Kevin Pollock,Philadelphia Flyers,Buffalo Sabres
2010030127,Philadelphia Flyers,5,Buffalo Sabres,2,Dan O'Rourke,Stephen Walkom,Philadelphia Flyers,Buffalo Sabres
2010030131,Boston Bruins,0,Montréal Canadiens,2,Dan O'Rourke,Brad Meier,Montréal Canadiens,Boston Bruins
2010030132,Boston Bruins,1,Montréal Canadiens,3,Paul Devorski,Steve Kozari,Montréal Canadiens,Boston Bruins
2010030133,Montréal Canadiens,2,Boston Bruins,4,Dan O'Halloran,Brian Pochmara,Boston Bruins,Montréal Canadiens
2010030134,Montréal Canadiens,4,Boston Bruins,5,Stephen Walkom,Ian Walsh,Boston Bruins,Montréal Canadiens
2010030135,Boston Bruins,2,Montréal Canadiens,1,Greg Kimmerly,Brad Watson,Boston Bruins,Montréal Canadiens
2010030136,Montréal Canadiens,2,Boston Bruins,1,Chris Lee,Kevin Pollock,Montréal Canadiens,Boston Bruins
2010030137,Boston Bruins,4,Montréal Canadiens,3,Kelly Sutherland,Tim Peel,Boston Bruins,Montréal Canadiens
2010030141,Pittsburgh Penguins,3,Tampa Bay Lightning,0,Wes McCauley,Eric Furlatt,Pittsburgh Penguins,Tampa Bay Lightning
2010030142,Pittsburgh Penguins,1,Tampa Bay Lightning,5,Chris Rooney,Tim Peel,Tampa Bay Lightning,Pittsburgh Penguins
2010030143,Tampa Bay Lightning,2,Pittsburgh Penguins,3,Kelly Sutherland,Dennis LaRue,Pittsburgh Penguins,Tampa Bay Lightning
2010030144,Tampa Bay Lightning,2,Pittsburgh Penguins,3,Chris Lee,Kevin Pollock,Pittsburgh Penguins,Tampa Bay Lightning
2010030145,Pittsburgh Penguins,2,Tampa Bay Lightning,8,Dan O'Rourke,Brad Meier,Tampa Bay Lightning,Pittsburgh Penguins
2010030146,Tampa Bay Lightning,4,Pittsburgh Penguins,2,Marc Joannette,Eric Furlatt,Tampa Bay Lightning,Pittsburgh Penguins
2010030147,Pittsburgh Penguins,0,Tampa Bay Lightning,1,Dan O'Halloran,Brad Watson,Tampa Bay Lightning,Pittsburgh Penguins
2010030151,Vancouver Canucks,2,Chicago Blackhawks,0,Marc Joannette,Francois StLaurent,Vancouver Canucks,Chicago Blackhawks
2010030152,Vancouver Canucks,4,Chicago Blackhawks,3,Stephen Walkom,Ian Walsh,Vancouver Canucks,Chicago Blackhawks
2010030153,Chicago Blackhawks,2,Vancouver Canucks,3,Greg Kimmerly,Brad Watson,Vancouver Canucks,Chicago Blackhawks
2010030154,Chicago Blackhawks,7,Vancouver Canucks,2,Dan O'Rourke,Brad Meier,Chicago Blackhawks,Vancouver Canucks
2010030155,Vancouver Canucks,0,Chicago Blackhawks,5,Tim Peel,Eric Furlatt,Chicago Blackhawks,Vancouver Canucks
