,Ref,Team,Wins,Losses,Win %
2861,Mick McGeough,Washington Capitals,3,3,0.5
2862,Mick McGeough,Florida Panthers,6,5,0.5454545454545454
2863,Mick McGeough,New York Islanders,2,3,0.4
2864,Mick McGeough,Montréal Canadiens,3,3,0.5
2865,Mick McGeough,Philadelphia Flyers,5,1,0.8333333333333334
2866,Mick McGeough,Quebec Nordiques,0,0,
2867,Mick McGeough,Boston Bruins,3,4,0.42857142857142855
2868,Mick McGeough,New Jersey Devils,6,5,0.5454545454545454
2869,Mick McGeough,Ottawa Senators,3,5,0.375
2870,Mick McGeough,Colorado Avalanche,4,3,0.5714285714285714
2871,Mick McGeough,Phoenix Coyotes,1,5,0.16666666666666666
2872,Mick McGeough,Carolina Hurricanes,0,0,
2873,Mick McGeough,Nashville Predators,0,0,
2874,Mick McGeough,Atlanta Thrashers,0,0,
2875,Mick McGeough,Minnesota Wild,0,0,
2876,Mick McGeough,Columbus Blue Jackets,0,0,
2877,Mick McGeough,Winnipeg Jets,0,0,
2878,Mick McGeough,Arizona Coyotes,0,0,
2879,Mick McGeough,Vegas Golden Knights,0,0,
2880,Scapinello,Buffalo Sabres,3,0,1.0
2881,Scapinello,New York Rangers,0,0,
2882,Scapinello,Pittsburgh Penguins,0,1,0.0
2883,Scapinello,Tampa Bay Lightning,0,1,0.0
2884,Scapinello,Chicago Blackhawks,0,0,
2885,Scapinello,Detroit Red Wings,2,2,0.5
2886,Scapinello,Calgary Flames,0,0,
2887,Scapinello,Winnipeg Jets (1979),0,0,
2888,Scapinello,Anaheim Ducks,0,0,
2889,Scapinello,Edmonton Oilers,1,0,1.0
2890,Scapinello,Dallas Stars,0,0,
2891,Scapinello,Vancouver Canucks,0,0,
2892,Scapinello,San Jose Sharks,0,1,0.0
2893,Scapinello,St. Louis Blues,0,0,
2894,Scapinello,Los Angeles Kings,0,1,0.0
2895,Scapinello,Toronto Maple Leafs,0,0,
2896,Scapinello,Hartford Whalers,0,0,
2897,Scapinello,Washington Capitals,0,0,
2898,Scapinello,Florida Panthers,0,0,
2899,Scapinello,New York Islanders,0,0,
2900,Scapinello,Montréal Canadiens,0,2,0.0
2901,Scapinello,Philadelphia Flyers,0,0,
2902,Scapinello,Quebec Nordiques,0,0,
2903,Scapinello,Boston Bruins,0,0,
2904,Scapinello,New Jersey Devils,0,0,
2905,Scapinello,Ottawa Senators,1,0,1.0
2906,Scapinello,Colorado Avalanche,1,0,1.0
2907,Scapinello,Phoenix Coyotes,0,0,
2908,Scapinello,Carolina Hurricanes,0,0,
2909,Scapinello,Nashville Predators,0,0,
2910,Scapinello,Atlanta Thrashers,0,0,
2911,Scapinello,Minnesota Wild,0,0,
2912,Scapinello,Columbus Blue Jackets,0,0,
2913,Scapinello,Winnipeg Jets,0,0,
2914,Scapinello,Arizona Coyotes,0,0,
2915,Scapinello,Vegas Golden Knights,0,0,
2916,Rob Shick,Buffalo Sabres,16,23,0.41025641025641024
2917,Rob Shick,New York Rangers,21,20,0.5121951219512195
2918,Rob Shick,Pittsburgh Penguins,13,25,0.34210526315789475
2919,Rob Shick,Tampa Bay Lightning,10,14,0.4166666666666667
2920,Rob Shick,Chicago Blackhawks,19,22,0.4634146341463415
2921,Rob Shick,Detroit Red Wings,37,19,0.6607142857142857
2922,Rob Shick,Calgary Flames,24,22,0.5217391304347826
2923,Rob Shick,Winnipeg Jets (1979),0,1,0.0
2924,Rob Shick,Anaheim Ducks,26,24,0.52
2925,Rob Shick,Edmonton Oilers,25,27,0.4807692307692308
2926,Rob Shick,Dallas Stars,17,20,0.4594594594594595
2927,Rob Shick,Vancouver Canucks,21,22,0.4883720930232558
2928,Rob Shick,San Jose Sharks,33,14,0.7021276595744681
2929,Rob Shick,St. Louis Blues,23,18,0.5609756097560976
2930,Rob Shick,Los Angeles Kings,30,33,0.47619047619047616
2931,Rob Shick,Toronto Maple Leafs,21,12,0.6363636363636364
2932,Rob Shick,Hartford Whalers,3,1,0.75
2933,Rob Shick,Washington Capitals,12,20,0.375
2934,Rob Shick,Florida Panthers,10,10,0.5
2935,Rob Shick,New York Islanders,13,20,0.3939393939393939
2936,Rob Shick,Montréal Canadiens,5,15,0.25
2937,Rob Shick,Philadelphia Flyers,25,12,0.6756756756756757
2938,Rob Shick,Quebec Nordiques,0,1,0.0
2939,Rob Shick,Boston Bruins,15,14,0.5172413793103449
2940,Rob Shick,New Jersey Devils,21,12,0.6363636363636364
2941,Rob Shick,Ottawa Senators,17,13,0.5666666666666667
2942,Rob Shick,Colorado Avalanche,30,22,0.5769230769230769
2943,Rob Shick,Phoenix Coyotes,27,38,0.4153846153846154
2944,Rob Shick,Carolina Hurricanes,10,11,0.47619047619047616
2945,Rob Shick,Nashville Predators,13,16,0.4482758620689655
2946,Rob Shick,Atlanta Thrashers,6,12,0.3333333333333333
2947,Rob Shick,Minnesota Wild,11,17,0.39285714285714285
2948,Rob Shick,Columbus Blue Jackets,6,10,0.375
2949,Rob Shick,Winnipeg Jets,0,0,
2950,Rob Shick,Arizona Coyotes,0,0,
2951,Rob Shick,Vegas Golden Knights,0,0,
2952,Pierre Racicot,Buffalo Sabres,2,1,0.6666666666666666
2953,Pierre Racicot,New York Rangers,2,1,0.6666666666666666
2954,Pierre Racicot,Pittsburgh Penguins,5,5,0.5
2955,Pierre Racicot,Tampa Bay Lightning,3,14,0.17647058823529413
2956,Pierre Racicot,Chicago Blackhawks,0,0,
2957,Pierre Racicot,Detroit Red Wings,2,1,0.6666666666666666
2958,Pierre Racicot,Calgary Flames,1,2,0.3333333333333333
2959,Pierre Racicot,Winnipeg Jets (1979),1,1,0.5
2960,Pierre Racicot,Anaheim Ducks,1,2,0.3333333333333333
2961,Pierre Racicot,Edmonton Oilers,0,1,0.0
2962,Pierre Racicot,Dallas Stars,1,0,1.0
2963,Pierre Racicot,Vancouver Canucks,1,1,0.5
2964,Pierre Racicot,San Jose Sharks,1,1,0.5
2965,Pierre Racicot,St. Louis Blues,0,0,
2966,Pierre Racicot,Los Angeles Kings,1,2,0.3333333333333333
2967,Pierre Racicot,Toronto Maple Leafs,2,0,1.0
2968,Pierre Racicot,Hartford Whalers,7,1,0.875
2969,Pierre Racicot,Washington Capitals,2,0,1.0
2970,Pierre Racicot,Florida Panthers,15,10,0.6
2971,Pierre Racicot,New York Islanders,3,3,0.5
2972,Pierre Racicot,Montréal Canadiens,1,6,0.14285714285714285
2973,Pierre Racicot,Philadelphia Flyers,1,0,1.0
2974,Pierre Racicot,Quebec Nordiques,3,0,1.0
2975,Pierre Racicot,Boston Bruins,4,1,0.8
2976,Pierre Racicot,New Jersey Devils,4,1,0.8
2977,Pierre Racicot,Ottawa Senators,1,9,0.1
2978,Pierre Racicot,Colorado Avalanche,0,1,0.0
2979,Pierre Racicot,Phoenix Coyotes,0,1,0.0
2980,Pierre Racicot,Carolina Hurricanes,3,1,0.75
2981,Pierre Racicot,Nashville Predators,1,3,0.25
2982,Pierre Racicot,Atlanta Thrashers,1,0,1.0
2983,Pierre Racicot,Minnesota Wild,0,0,
2984,Pierre Racicot,Columbus Blue Jackets,0,0,
2985,Pierre Racicot,Winnipeg Jets,0,0,
2986,Pierre Racicot,Arizona Coyotes,0,0,
2987,Pierre Racicot,Vegas Golden Knights,0,0,
2988,Gerry Gauthier,Buffalo Sabres,0,1,0.0
2989,Gerry Gauthier,New York Rangers,0,4,0.0
2990,Gerry Gauthier,Pittsburgh Penguins,1,0,1.0
2991,Gerry Gauthier,Tampa Bay Lightning,1,9,0.1
2992,Gerry Gauthier,Chicago Blackhawks,3,2,0.6
2993,Gerry Gauthier,Detroit Red Wings,4,0,1.0
2994,Gerry Gauthier,Calgary Flames,0,0,
2995,Gerry Gauthier,Winnipeg Jets (1979),0,0,
2996,Gerry Gauthier,Anaheim Ducks,1,0,1.0
2997,Gerry Gauthier,Edmonton Oilers,0,0,
2998,Gerry Gauthier,Dallas Stars,2,1,0.6666666666666666
2999,Gerry Gauthier,Vancouver Canucks,0,0,
3000,Gerry Gauthier,San Jose Sharks,0,0,
3001,Gerry Gauthier,St. Louis Blues,2,2,0.5
3002,Gerry Gauthier,Los Angeles Kings,0,1,0.0
3003,Gerry Gauthier,Toronto Maple Leafs,2,6,0.25
3004,Gerry Gauthier,Hartford Whalers,0,0,
3005,Gerry Gauthier,Washington Capitals,6,1,0.8571428571428571
3006,Gerry Gauthier,Florida Panthers,4,5,0.4444444444444444
3007,Gerry Gauthier,New York Islanders,4,2,0.6666666666666666
3008,Gerry Gauthier,Montréal Canadiens,5,9,0.35714285714285715
3009,Gerry Gauthier,Philadelphia Flyers,5,3,0.625
3010,Gerry Gauthier,Quebec Nordiques,1,0,1.0
3011,Gerry Gauthier,Boston Bruins,3,5,0.375
3012,Gerry Gauthier,New Jersey Devils,3,1,0.75
3013,Gerry Gauthier,Ottawa Senators,8,2,0.8
3014,Gerry Gauthier,Colorado Avalanche,0,1,0.0
3015,Gerry Gauthier,Phoenix Coyotes,0,0,
3016,Gerry Gauthier,Carolina Hurricanes,1,2,0.3333333333333333
3017,Gerry Gauthier,Nashville Predators,2,1,0.6666666666666666
3018,Gerry Gauthier,Atlanta Thrashers,0,0,
3019,Gerry Gauthier,Minnesota Wild,0,0,
3020,Gerry Gauthier,Columbus Blue Jackets,0,0,
3021,Gerry Gauthier,Winnipeg Jets,0,0,
3022,Gerry Gauthier,Arizona Coyotes,0,0,
3023,Gerry Gauthier,Vegas Golden Knights,0,0,
3024,Shane Hayer,Buffalo Sabres,0,0,
3025,Shane Hayer,New York Rangers,0,0,
3026,Shane Hayer,Pittsburgh Penguins,0,0,
3027,Shane Hayer,Tampa Bay Lightning,0,0,
3028,Shane Hayer,Chicago Blackhawks,0,0,
3029,Shane Hayer,Detroit Red Wings,0,0,
3030,Shane Hayer,Calgary Flames,0,0,
3031,Shane Hayer,Winnipeg Jets (1979),0,1,0.0
3032,Shane Hayer,Anaheim Ducks,0,0,
3033,Shane Hayer,Edmonton Oilers,0,0,
3034,Shane Hayer,Dallas Stars,0,0,
3035,Shane Hayer,Vancouver Canucks,1,0,1.0
3036,Shane Hayer,San Jose Sharks,0,0,
3037,Shane Hayer,St. Louis Blues,0,0,
3038,Shane Hayer,Los Angeles Kings,0,0,
3039,Shane Hayer,Toronto Maple Leafs,0,0,
3040,Shane Hayer,Hartford Whalers,0,0,
3041,Shane Hayer,Washington Capitals,0,0,
3042,Shane Hayer,Florida Panthers,0,0,
3043,Shane Hayer,New York Islanders,0,0,
3044,Shane Hayer,Montréal Canadiens,0,0,
3045,Shane Hayer,Philadelphia Flyers,0,0,
3046,Shane Hayer,Quebec Nordiques,0,0,
3047,Shane Hayer,Boston Bruins,0,0,
3048,Shane Hayer,New Jersey Devils,0,0,
3049,Shane Hayer,Ottawa Senators,0,0,
3050,Shane Hayer,Colorado Avalanche,0,0,
3051,Shane Hayer,Phoenix Coyotes,0,0,
3052,Shane Hayer,Carolina Hurricanes,0,0,
3053,Shane Hayer,Nashville Predators,0,0,
3054,Shane Hayer,Atlanta Thrashers,0,0,
3055,Shane Hayer,Minnesota Wild,0,0,
3056,Shane Hayer,Columbus Blue Jackets,0,0,
3057,Shane Hayer,Winnipeg Jets,0,0,
3058,Shane Hayer,Arizona Coyotes,0,0,
3059,Shane Hayer,Vegas Golden Knights,0,0,
3060,Baron Parker,Buffalo Sabres,1,1,0.5
3061,Baron Parker,New York Rangers,2,0,1.0
3062,Baron Parker,Pittsburgh Penguins,2,1,0.6666666666666666
3063,Baron Parker,Tampa Bay Lightning,3,0,1.0
3064,Baron Parker,Chicago Blackhawks,4,4,0.5
3065,Baron Parker,Detroit Red Wings,4,2,0.6666666666666666
3066,Baron Parker,Calgary Flames,5,2,0.7142857142857143
3067,Baron Parker,Winnipeg Jets (1979),0,1,0.0
3068,Baron Parker,Anaheim Ducks,10,10,0.5
3069,Baron Parker,Edmonton Oilers,8,12,0.4
3070,Baron Parker,Dallas Stars,6,3,0.6666666666666666
3071,Baron Parker,Vancouver Canucks,14,29,0.32558139534883723
3072,Baron Parker,San Jose Sharks,6,12,0.3333333333333333
3073,Baron Parker,St. Louis Blues,1,2,0.3333333333333333
3074,Baron Parker,Los Angeles Kings,10,10,0.5
3075,Baron Parker,Toronto Maple Leafs,4,1,0.8
3076,Baron Parker,Hartford Whalers,2,0,1.0
3077,Baron Parker,Washington Capitals,3,1,0.75
3078,Baron Parker,Florida Panthers,1,0,1.0
3079,Baron Parker,New York Islanders,0,0,
3080,Baron Parker,Montréal Canadiens,3,1,0.75
3081,Baron Parker,Philadelphia Flyers,5,0,1.0
3082,Baron Parker,Quebec Nordiques,0,0,
3083,Baron Parker,Boston Bruins,0,0,
3084,Baron Parker,New Jersey Devils,2,1,0.6666666666666666
3085,Baron Parker,Ottawa Senators,3,4,0.42857142857142855
3086,Baron Parker,Colorado Avalanche,9,6,0.6
3087,Baron Parker,Phoenix Coyotes,8,10,0.4444444444444444
3088,Baron Parker,Carolina Hurricanes,0,2,0.0
3089,Baron Parker,Nashville Predators,0,1,0.0
3090,Baron Parker,Atlanta Thrashers,0,0,
3091,Baron Parker,Minnesota Wild,0,0,
3092,Baron Parker,Columbus Blue Jackets,0,0,
3093,Baron Parker,Winnipeg Jets,0,0,
3094,Baron Parker,Arizona Coyotes,0,0,
3095,Baron Parker,Vegas Golden Knights,0,0,
3096,Kerry Fraser #2,Buffalo Sabres,0,0,
3097,Kerry Fraser #2,New York Rangers,0,0,
3098,Kerry Fraser #2,Pittsburgh Penguins,0,0,
3099,Kerry Fraser #2,Tampa Bay Lightning,0,0,
3100,Kerry Fraser #2,Chicago Blackhawks,0,0,
3101,Kerry Fraser #2,Detroit Red Wings,0,0,
3102,Kerry Fraser #2,Calgary Flames,0,0,
3103,Kerry Fraser #2,Winnipeg Jets (1979),0,0,
3104,Kerry Fraser #2,Anaheim Ducks,0,0,
3105,Kerry Fraser #2,Edmonton Oilers,0,0,
3106,Kerry Fraser #2,Dallas Stars,0,0,
3107,Kerry Fraser #2,Vancouver Canucks,0,0,
3108,Kerry Fraser #2,San Jose Sharks,0,0,
3109,Kerry Fraser #2,St. Louis Blues,0,0,
3110,Kerry Fraser #2,Los Angeles Kings,0,0,
3111,Kerry Fraser #2,Toronto Maple Leafs,0,0,
3112,Kerry Fraser #2,Hartford Whalers,0,0,
3113,Kerry Fraser #2,Washington Capitals,0,0,
3114,Kerry Fraser #2,Florida Panthers,1,2,0.3333333333333333
3115,Kerry Fraser #2,New York Islanders,0,0,
3116,Kerry Fraser #2,Montréal Canadiens,0,0,
3117,Kerry Fraser #2,Philadelphia Flyers,1,0,1.0
3118,Kerry Fraser #2,Quebec Nordiques,0,0,
3119,Kerry Fraser #2,Boston Bruins,0,0,
3120,Kerry Fraser #2,New Jersey Devils,1,0,1.0
3121,Kerry Fraser #2,Ottawa Senators,0,1,0.0
3122,Kerry Fraser #2,Colorado Avalanche,0,0,
3123,Kerry Fraser #2,Phoenix Coyotes,0,0,
3124,Kerry Fraser #2,Carolina Hurricanes,0,0,
3125,Kerry Fraser #2,Nashville Predators,0,0,
3126,Kerry Fraser #2,Atlanta Thrashers,0,0,
3127,Kerry Fraser #2,Minnesota Wild,0,0,
3128,Kerry Fraser #2,Columbus Blue Jackets,0,0,
3129,Kerry Fraser #2,Winnipeg Jets,0,0,
3130,Kerry Fraser #2,Arizona Coyotes,0,0,
3131,Kerry Fraser #2,Vegas Golden Knights,0,0,
3132,Randy Mitton,Buffalo Sabres,1,0,1.0
3133,Randy Mitton,New York Rangers,1,1,0.5
3134,Randy Mitton,Pittsburgh Penguins,1,0,1.0
3135,Randy Mitton,Tampa Bay Lightning,0,0,
3136,Randy Mitton,Chicago Blackhawks,1,6,0.14285714285714285
3137,Randy Mitton,Detroit Red Wings,2,0,1.0
3138,Randy Mitton,Calgary Flames,8,4,0.6666666666666666
3139,Randy Mitton,Winnipeg Jets (1979),2,4,0.3333333333333333
3140,Randy Mitton,Anaheim Ducks,5,6,0.45454545454545453
3141,Randy Mitton,Edmonton Oilers,8,10,0.4444444444444444
3142,Randy Mitton,Dallas Stars,4,0,1.0
3143,Randy Mitton,Vancouver Canucks,6,8,0.42857142857142855
3144,Randy Mitton,San Jose Sharks,2,2,0.5
3145,Randy Mitton,St. Louis Blues,6,1,0.8571428571428571
3146,Randy Mitton,Los Angeles Kings,7,9,0.4375
3147,Randy Mitton,Toronto Maple Leafs,2,4,0.3333333333333333
3148,Randy Mitton,Hartford Whalers,0,0,
3149,Randy Mitton,Washington Capitals,3,1,0.75
3150,Randy Mitton,Florida Panthers,0,1,0.0
3151,Randy Mitton,New York Islanders,0,1,0.0
3152,Randy Mitton,Montréal Canadiens,1,2,0.3333333333333333
3153,Randy Mitton,Philadelphia Flyers,0,2,0.0
3154,Randy Mitton,Quebec Nordiques,0,0,
3155,Randy Mitton,Boston Bruins,1,2,0.3333333333333333
3156,Randy Mitton,New Jersey Devils,2,1,0.6666666666666666
3157,Randy Mitton,Ottawa Senators,0,2,0.0
3158,Randy Mitton,Colorado Avalanche,6,3,0.6666666666666666
3159,Randy Mitton,Phoenix Coyotes,6,3,0.6666666666666666
3160,Randy Mitton,Carolina Hurricanes,0,1,0.0
3161,Randy Mitton,Nashville Predators,2,1,0.6666666666666666
3162,Randy Mitton,Atlanta Thrashers,0,2,0.0
3163,Randy Mitton,Minnesota Wild,0,0,
3164,Randy Mitton,Columbus Blue Jackets,0,0,
3165,Randy Mitton,Winnipeg Jets,0,0,
3166,Randy Mitton,Arizona Coyotes,0,0,
3167,Randy Mitton,Vegas Golden Knights,0,0,
3168,Tim Nowal,Buffalo Sabres,0,0,
3169,Tim Nowal,New York Rangers,0,0,
3170,Tim Nowal,Pittsburgh Penguins,0,0,
3171,Tim Nowal,Tampa Bay Lightning,0,0,
3172,Tim Nowal,Chicago Blackhawks,0,0,
3173,Tim Nowal,Detroit Red Wings,0,0,
3174,Tim Nowal,Calgary Flames,0,0,
3175,Tim Nowal,Winnipeg Jets (1979),0,0,
3176,Tim Nowal,Anaheim Ducks,0,0,
3177,Tim Nowal,Edmonton Oilers,0,0,
3178,Tim Nowal,Dallas Stars,0,0,
3179,Tim Nowal,Vancouver Canucks,0,0,
3180,Tim Nowal,San Jose Sharks,0,0,
3181,Tim Nowal,St. Louis Blues,0,0,
3182,Tim Nowal,Los Angeles Kings,0,0,
3183,Tim Nowal,Toronto Maple Leafs,0,0,
3184,Tim Nowal,Hartford Whalers,1,0,1.0
3185,Tim Nowal,Washington Capitals,0,0,
3186,Tim Nowal,Florida Panthers,0,0,
3187,Tim Nowal,New York Islanders,0,0,
3188,Tim Nowal,Montréal Canadiens,0,1,0.0
3189,Tim Nowal,Philadelphia Flyers,0,0,
3190,Tim Nowal,Quebec Nordiques,0,0,
3191,Tim Nowal,Boston Bruins,0,0,
3192,Tim Nowal,New Jersey Devils,0,0,
3193,Tim Nowal,Ottawa Senators,0,0,
3194,Tim Nowal,Colorado Avalanche,0,0,
3195,Tim Nowal,Phoenix Coyotes,0,0,
3196,Tim Nowal,Carolina Hurricanes,0,0,
3197,Tim Nowal,Nashville Predators,0,0,
3198,Tim Nowal,Atlanta Thrashers,0,0,
3199,Tim Nowal,Minnesota Wild,0,0,
3200,Tim Nowal,Columbus Blue Jackets,0,0,
3201,Tim Nowal,Winnipeg Jets,0,0,
3202,Tim Nowal,Arizona Coyotes,0,0,
3203,Tim Nowal,Vegas Golden Knights,0,0,
3204,Stewart,Buffalo Sabres,0,1,0.0
3205,Stewart,New York Rangers,1,1,0.5
3206,Stewart,Pittsburgh Penguins,0,1,0.0
3207,Stewart,Tampa Bay Lightning,0,1,0.0
3208,Stewart,Chicago Blackhawks,1,0,1.0
3209,Stewart,Detroit Red Wings,3,2,0.6
3210,Stewart,Calgary Flames,0,0,
3211,Stewart,Winnipeg Jets (1979),1,0,1.0
3212,Stewart,Anaheim Ducks,0,1,0.0
3213,Stewart,Edmonton Oilers,0,2,0.0
3214,Stewart,Dallas Stars,3,2,0.6
3215,Stewart,Vancouver Canucks,0,0,
3216,Stewart,San Jose Sharks,0,4,0.0
3217,Stewart,St. Louis Blues,2,0,1.0
3218,Stewart,Los Angeles Kings,0,2,0.0
3219,Stewart,Toronto Maple Leafs,3,2,0.6
3220,Stewart,Hartford Whalers,0,0,
3221,Stewart,Washington Capitals,1,0,1.0
3222,Stewart,Florida Panthers,2,0,1.0
3223,Stewart,New York Islanders,0,0,
3224,Stewart,Montréal Canadiens,3,2,0.6
3225,Stewart,Philadelphia Flyers,1,0,1.0
3226,Stewart,Quebec Nordiques,0,0,
3227,Stewart,Boston Bruins,0,0,
3228,Stewart,New Jersey Devils,0,0,
3229,Stewart,Ottawa Senators,0,1,0.0
3230,Stewart,Colorado Avalanche,1,0,1.0
3231,Stewart,Phoenix Coyotes,0,0,
3232,Stewart,Carolina Hurricanes,0,0,
3233,Stewart,Nashville Predators,0,0,
3234,Stewart,Atlanta Thrashers,0,0,
3235,Stewart,Minnesota Wild,0,0,
3236,Stewart,Columbus Blue Jackets,0,0,
3237,Stewart,Winnipeg Jets,0,0,
3238,Stewart,Arizona Coyotes,0,0,
3239,Stewart,Vegas Golden Knights,0,0,
3240,Bob Hodges,Buffalo Sabres,2,3,0.4
3241,Bob Hodges,New York Rangers,5,0,1.0
3242,Bob Hodges,Pittsburgh Penguins,6,4,0.6
3243,Bob Hodges,Tampa Bay Lightning,2,3,0.4
3244,Bob Hodges,Chicago Blackhawks,2,3,0.4
3245,Bob Hodges,Detroit Red Wings,7,0,1.0
3246,Bob Hodges,Calgary Flames,0,1,0.0
3247,Bob Hodges,Winnipeg Jets (1979),1,1,0.5
3248,Bob Hodges,Anaheim Ducks,0,2,0.0
3249,Bob Hodges,Edmonton Oilers,0,0,
3250,Bob Hodges,Dallas Stars,1,1,0.5
3251,Bob Hodges,Vancouver Canucks,1,2,0.3333333333333333
3252,Bob Hodges,San Jose Sharks,1,1,0.5
3253,Bob Hodges,St. Louis Blues,2,0,1.0
3254,Bob Hodges,Los Angeles Kings,1,1,0.5
3255,Bob Hodges,Toronto Maple Leafs,2,1,0.6666666666666666
3256,Bob Hodges,Hartford Whalers,0,2,0.0
3257,Bob Hodges,Washington Capitals,0,5,0.0
3258,Bob Hodges,Florida Panthers,1,2,0.3333333333333333
3259,Bob Hodges,New York Islanders,0,0,
3260,Bob Hodges,Montréal Canadiens,1,2,0.3333333333333333
3261,Bob Hodges,Philadelphia Flyers,1,0,1.0
3262,Bob Hodges,Quebec Nordiques,0,0,
3263,Bob Hodges,Boston Bruins,0,1,0.0
3264,Bob Hodges,New Jersey Devils,1,1,0.5
3265,Bob Hodges,Ottawa Senators,1,2,0.3333333333333333
3266,Bob Hodges,Colorado Avalanche,1,0,1.0
3267,Bob Hodges,Phoenix Coyotes,0,1,0.0
3268,Bob Hodges,Carolina Hurricanes,0,0,
3269,Bob Hodges,Nashville Predators,0,0,
3270,Bob Hodges,Atlanta Thrashers,0,0,
3271,Bob Hodges,Minnesota Wild,0,0,
3272,Bob Hodges,Columbus Blue Jackets,0,0,
3273,Bob Hodges,Winnipeg Jets,0,0,
3274,Bob Hodges,Arizona Coyotes,0,0,
3275,Bob Hodges,Vegas Golden Knights,0,0,
3276,Thor Nelson,Buffalo Sabres,2,1,0.6666666666666666
3277,Thor Nelson,New York Rangers,2,3,0.4
3278,Thor Nelson,Pittsburgh Penguins,1,1,0.5
3279,Thor Nelson,Tampa Bay Lightning,3,3,0.5
3280,Thor Nelson,Chicago Blackhawks,6,11,0.35294117647058826
3281,Thor Nelson,Detroit Red Wings,3,2,0.6
3282,Thor Nelson,Calgary Flames,1,1,0.5
3283,Thor Nelson,Winnipeg Jets (1979),0,0,
3284,Thor Nelson,Anaheim Ducks,3,5,0.375
3285,Thor Nelson,Edmonton Oilers,0,3,0.0
3286,Thor Nelson,Dallas Stars,4,3,0.5714285714285714
3287,Thor Nelson,Vancouver Canucks,0,1,0.0
3288,Thor Nelson,San Jose Sharks,3,3,0.5
3289,Thor Nelson,St. Louis Blues,13,6,0.6842105263157895
3290,Thor Nelson,Los Angeles Kings,5,3,0.625
3291,Thor Nelson,Toronto Maple Leafs,2,2,0.5
3292,Thor Nelson,Hartford Whalers,0,0,
3293,Thor Nelson,Washington Capitals,4,2,0.6666666666666666
3294,Thor Nelson,Florida Panthers,1,2,0.3333333333333333
3295,Thor Nelson,New York Islanders,1,4,0.2
3296,Thor Nelson,Montréal Canadiens,1,2,0.3333333333333333
3297,Thor Nelson,Philadelphia Flyers,1,0,1.0
3298,Thor Nelson,Quebec Nordiques,0,0,
3299,Thor Nelson,Boston Bruins,2,2,0.5
3300,Thor Nelson,New Jersey Devils,1,2,0.3333333333333333
3301,Thor Nelson,Ottawa Senators,1,1,0.5
3302,Thor Nelson,Colorado Avalanche,9,6,0.6
3303,Thor Nelson,Phoenix Coyotes,5,1,0.8333333333333334
3304,Thor Nelson,Carolina Hurricanes,2,5,0.2857142857142857
3305,Thor Nelson,Nashville Predators,0,1,0.0
3306,Thor Nelson,Atlanta Thrashers,0,0,
3307,Thor Nelson,Minnesota Wild,0,0,
3308,Thor Nelson,Columbus Blue Jackets,0,0,
3309,Thor Nelson,Winnipeg Jets,0,0,
3310,Thor Nelson,Arizona Coyotes,0,0,
3311,Thor Nelson,Vegas Golden Knights,0,0,
3312,Steve Waklkom,Buffalo Sabres,0,0,
3313,Steve Waklkom,New York Rangers,0,0,
3314,Steve Waklkom,Pittsburgh Penguins,0,0,
3315,Steve Waklkom,Tampa Bay Lightning,0,1,0.0
3316,Steve Waklkom,Chicago Blackhawks,0,0,
3317,Steve Waklkom,Detroit Red Wings,0,0,
3318,Steve Waklkom,Calgary Flames,0,0,
3319,Steve Waklkom,Winnipeg Jets (1979),0,0,
3320,Steve Waklkom,Anaheim Ducks,0,0,
3321,Steve Waklkom,Edmonton Oilers,0,0,
3322,Steve Waklkom,Dallas Stars,0,0,
3323,Steve Waklkom,Vancouver Canucks,0,0,
3324,Steve Waklkom,San Jose Sharks,0,0,
3325,Steve Waklkom,St. Louis Blues,0,0,
3326,Steve Waklkom,Los Angeles Kings,0,0,
3327,Steve Waklkom,Toronto Maple Leafs,0,0,
3328,Steve Waklkom,Hartford Whalers,0,0,
3329,Steve Waklkom,Washington Capitals,0,0,
3330,Steve Waklkom,Florida Panthers,0,0,
3331,Steve Waklkom,New York Islanders,0,0,
3332,Steve Waklkom,Montréal Canadiens,0,0,
3333,Steve Waklkom,Philadelphia Flyers,0,0,
3334,Steve Waklkom,Quebec Nordiques,0,0,
3335,Steve Waklkom,Boston Bruins,0,0,
3336,Steve Waklkom,New Jersey Devils,0,0,
3337,Steve Waklkom,Ottawa Senators,1,0,1.0
3338,Steve Waklkom,Colorado Avalanche,0,0,
3339,Steve Waklkom,Phoenix Coyotes,0,0,
3340,Steve Waklkom,Carolina Hurricanes,0,0,
3341,Steve Waklkom,Nashville Predators,0,0,
3342,Steve Waklkom,Atlanta Thrashers,0,0,
3343,Steve Waklkom,Minnesota Wild,0,0,
3344,Steve Waklkom,Columbus Blue Jackets,0,0,
3345,Steve Waklkom,Winnipeg Jets,0,0,
3346,Steve Waklkom,Arizona Coyotes,0,0,
3347,Steve Waklkom,Vegas Golden Knights,0,0,
3348,Don Koharski #12,Buffalo Sabres,0,0,
3349,Don Koharski #12,New York Rangers,0,0,
3350,Don Koharski #12,Pittsburgh Penguins,0,0,
3351,Don Koharski #12,Tampa Bay Lightning,0,0,
3352,Don Koharski #12,Chicago Blackhawks,0,0,
3353,Don Koharski #12,Detroit Red Wings,0,0,
3354,Don Koharski #12,Calgary Flames,0,0,
3355,Don Koharski #12,Winnipeg Jets (1979),0,0,
3356,Don Koharski #12,Anaheim Ducks,0,0,
