,Ref,Team,Wins,Losses,Win %
102,Dave Jackson,Atlanta Thrashers,11,26,0.2972972972972973
103,Dave Jackson,Minnesota Wild,27,24,0.5294117647058824
104,Dave Jackson,Columbus Blue Jackets,24,35,0.4067796610169492
105,Dave Jackson,Winnipeg Jets,11,13,0.4583333333333333
106,Dave Jackson,Arizona Coyotes,5,13,0.2777777777777778
107,Dave Jackson,Vegas Golden Knights,5,0,1.0
108,Gordon Broseker,Buffalo Sabres,12,4,0.75
109,Gordon Broseker,New York Rangers,16,13,0.5517241379310345
110,Gordon Broseker,Pittsburgh Penguins,18,8,0.6923076923076923
111,Gordon Broseker,Tampa Bay Lightning,10,17,0.37037037037037035
112,Gordon Broseker,Chicago Blackhawks,2,2,0.5
113,Gordon Broseker,Detroit Red Wings,2,3,0.4
114,Gordon Broseker,Calgary Flames,3,6,0.3333333333333333
115,Gordon Broseker,Winnipeg Jets (1979),0,2,0.0
116,Gordon Broseker,Anaheim Ducks,3,2,0.6
117,Gordon Broseker,Edmonton Oilers,2,5,0.2857142857142857
118,Gordon Broseker,Dallas Stars,5,6,0.45454545454545453
119,Gordon Broseker,Vancouver Canucks,3,3,0.5
120,Gordon Broseker,San Jose Sharks,1,3,0.25
121,Gordon Broseker,St. Louis Blues,4,4,0.5
122,Gordon Broseker,Los Angeles Kings,3,2,0.6
123,Gordon Broseker,Toronto Maple Leafs,4,4,0.5
124,Gordon Broseker,Hartford Whalers,1,4,0.2
125,Gordon Broseker,Washington Capitals,36,26,0.5806451612903226
126,Gordon Broseker,Florida Panthers,14,12,0.5384615384615384
127,Gordon Broseker,New York Islanders,10,26,0.2777777777777778
128,Gordon Broseker,Montréal Canadiens,3,9,0.25
129,Gordon Broseker,Philadelphia Flyers,24,12,0.6666666666666666
130,Gordon Broseker,Quebec Nordiques,0,1,0.0
131,Gordon Broseker,Boston Bruins,8,8,0.5
132,Gordon Broseker,New Jersey Devils,17,10,0.6296296296296297
133,Gordon Broseker,Ottawa Senators,6,8,0.42857142857142855
134,Gordon Broseker,Colorado Avalanche,8,4,0.6666666666666666
135,Gordon Broseker,Phoenix Coyotes,0,4,0.0
136,Gordon Broseker,Carolina Hurricanes,9,12,0.42857142857142855
137,Gordon Broseker,Nashville Predators,2,4,0.3333333333333333
138,Gordon Broseker,Atlanta Thrashers,2,4,0.3333333333333333
139,Gordon Broseker,Minnesota Wild,0,0,
140,Gordon Broseker,Columbus Blue Jackets,0,0,
141,Gordon Broseker,Winnipeg Jets,0,0,
142,Gordon Broseker,Arizona Coyotes,0,0,
143,Gordon Broseker,Vegas Golden Knights,0,0,
144,Faucette,Buffalo Sabres,0,0,
145,Faucette,New York Rangers,1,1,0.5
146,Faucette,Pittsburgh Penguins,0,0,
147,Faucette,Tampa Bay Lightning,1,0,1.0
148,Faucette,Chicago Blackhawks,1,3,0.25
149,Faucette,Detroit Red Wings,4,1,0.8
150,Faucette,Calgary Flames,0,1,0.0
151,Faucette,Winnipeg Jets (1979),0,0,
152,Faucette,Anaheim Ducks,0,3,0.0
153,Faucette,Edmonton Oilers,0,2,0.0
154,Faucette,Dallas Stars,6,3,0.6666666666666666
155,Faucette,Vancouver Canucks,2,2,0.5
156,Faucette,San Jose Sharks,1,3,0.25
157,Faucette,St. Louis Blues,1,0,1.0
158,Faucette,Los Angeles Kings,0,1,0.0
159,Faucette,Toronto Maple Leafs,4,0,1.0
160,Faucette,Hartford Whalers,0,1,0.0
161,Faucette,Washington Capitals,0,0,
162,Faucette,Florida Panthers,0,0,
163,Faucette,New York Islanders,0,1,0.0
164,Faucette,Montréal Canadiens,2,3,0.4
165,Faucette,Philadelphia Flyers,1,0,1.0
166,Faucette,Quebec Nordiques,0,0,
167,Faucette,Boston Bruins,0,1,0.0
168,Faucette,New Jersey Devils,0,0,
169,Faucette,Ottawa Senators,1,1,0.5
170,Faucette,Colorado Avalanche,2,1,0.6666666666666666
171,Faucette,Phoenix Coyotes,1,0,1.0
172,Faucette,Carolina Hurricanes,0,0,
173,Faucette,Nashville Predators,0,0,
174,Faucette,Atlanta Thrashers,0,0,
175,Faucette,Minnesota Wild,0,0,
176,Faucette,Columbus Blue Jackets,0,0,
177,Faucette,Winnipeg Jets,0,0,
178,Faucette,Arizona Coyotes,0,0,
179,Faucette,Vegas Golden Knights,0,0,
180,G. Devorski,Buffalo Sabres,0,0,
181,G. Devorski,New York Rangers,0,0,
182,G. Devorski,Pittsburgh Penguins,0,0,
183,G. Devorski,Tampa Bay Lightning,0,0,
184,G. Devorski,Chicago Blackhawks,0,1,0.0
185,G. Devorski,Detroit Red Wings,3,0,1.0
186,G. Devorski,Calgary Flames,0,0,
187,G. Devorski,Winnipeg Jets (1979),0,0,
188,G. Devorski,Anaheim Ducks,0,0,
189,G. Devorski,Edmonton Oilers,0,1,0.0
190,G. Devorski,Dallas Stars,0,1,0.0
191,G. Devorski,Vancouver Canucks,0,0,
192,G. Devorski,San Jose Sharks,0,0,
193,G. Devorski,St. Louis Blues,0,0,
194,G. Devorski,Los Angeles Kings,0,0,
195,G. Devorski,Toronto Maple Leafs,0,0,
196,G. Devorski,Hartford Whalers,0,0,
197,G. Devorski,Washington Capitals,0,0,
198,G. Devorski,Florida Panthers,0,0,
199,G. Devorski,New York Islanders,0,0,
200,G. Devorski,Montréal Canadiens,0,0,
201,G. Devorski,Philadelphia Flyers,0,1,0.0
202,G. Devorski,Quebec Nordiques,1,0,1.0
203,G. Devorski,Boston Bruins,0,0,
204,G. Devorski,New Jersey Devils,0,0,
205,G. Devorski,Ottawa Senators,0,0,
206,G. Devorski,Colorado Avalanche,0,0,
207,G. Devorski,Phoenix Coyotes,0,0,
208,G. Devorski,Carolina Hurricanes,0,0,
209,G. Devorski,Nashville Predators,0,0,
210,G. Devorski,Atlanta Thrashers,0,0,
211,G. Devorski,Minnesota Wild,0,0,
212,G. Devorski,Columbus Blue Jackets,0,0,
213,G. Devorski,Winnipeg Jets,0,0,
214,G. Devorski,Arizona Coyotes,0,0,
215,G. Devorski,Vegas Golden Knights,0,0,
216,Kerry Fraser,Buffalo Sabres,31,20,0.6078431372549019
217,Kerry Fraser,New York Rangers,40,50,0.4444444444444444
218,Kerry Fraser,Pittsburgh Penguins,33,30,0.5238095238095238
219,Kerry Fraser,Tampa Bay Lightning,12,48,0.2
220,Kerry Fraser,Chicago Blackhawks,31,27,0.5344827586206896
221,Kerry Fraser,Detroit Red Wings,47,13,0.7833333333333333
222,Kerry Fraser,Calgary Flames,20,29,0.40816326530612246
223,Kerry Fraser,Winnipeg Jets (1979),0,2,0.0
224,Kerry Fraser,Anaheim Ducks,18,29,0.3829787234042553
225,Kerry Fraser,Edmonton Oilers,14,34,0.2916666666666667
226,Kerry Fraser,Dallas Stars,29,15,0.6590909090909091
227,Kerry Fraser,Vancouver Canucks,32,23,0.5818181818181818
228,Kerry Fraser,San Jose Sharks,19,24,0.4418604651162791
229,Kerry Fraser,St. Louis Blues,31,29,0.5166666666666667
230,Kerry Fraser,Los Angeles Kings,26,30,0.4642857142857143
231,Kerry Fraser,Toronto Maple Leafs,28,34,0.45161290322580644
232,Kerry Fraser,Hartford Whalers,2,4,0.3333333333333333
233,Kerry Fraser,Washington Capitals,31,26,0.543859649122807
234,Kerry Fraser,Florida Panthers,26,42,0.38235294117647056
235,Kerry Fraser,New York Islanders,33,36,0.4782608695652174
236,Kerry Fraser,Montréal Canadiens,26,26,0.5
237,Kerry Fraser,Philadelphia Flyers,54,35,0.6067415730337079
238,Kerry Fraser,Quebec Nordiques,3,1,0.75
239,Kerry Fraser,Boston Bruins,41,42,0.4939759036144578
240,Kerry Fraser,New Jersey Devils,53,27,0.6625
241,Kerry Fraser,Ottawa Senators,31,24,0.5636363636363636
242,Kerry Fraser,Colorado Avalanche,28,21,0.5714285714285714
243,Kerry Fraser,Phoenix Coyotes,17,26,0.3953488372093023
244,Kerry Fraser,Carolina Hurricanes,26,28,0.48148148148148145
245,Kerry Fraser,Nashville Predators,17,16,0.5151515151515151
246,Kerry Fraser,Atlanta Thrashers,11,21,0.34375
247,Kerry Fraser,Minnesota Wild,12,12,0.5
248,Kerry Fraser,Columbus Blue Jackets,11,9,0.55
249,Kerry Fraser,Winnipeg Jets,0,0,
250,Kerry Fraser,Arizona Coyotes,0,0,
251,Kerry Fraser,Vegas Golden Knights,0,0,
252,Mike Cvik,Buffalo Sabres,3,5,0.375
253,Mike Cvik,New York Rangers,5,2,0.7142857142857143
254,Mike Cvik,Pittsburgh Penguins,2,2,0.5
255,Mike Cvik,Tampa Bay Lightning,1,2,0.3333333333333333
256,Mike Cvik,Chicago Blackhawks,8,3,0.7272727272727273
257,Mike Cvik,Detroit Red Wings,7,3,0.7
258,Mike Cvik,Calgary Flames,19,25,0.4318181818181818
259,Mike Cvik,Winnipeg Jets (1979),5,4,0.5555555555555556
260,Mike Cvik,Anaheim Ducks,13,16,0.4482758620689655
261,Mike Cvik,Edmonton Oilers,19,9,0.6785714285714286
262,Mike Cvik,Dallas Stars,6,8,0.42857142857142855
263,Mike Cvik,Vancouver Canucks,10,8,0.5555555555555556
264,Mike Cvik,San Jose Sharks,9,18,0.3333333333333333
265,Mike Cvik,St. Louis Blues,5,5,0.5
266,Mike Cvik,Los Angeles Kings,5,15,0.25
267,Mike Cvik,Toronto Maple Leafs,6,3,0.6666666666666666
268,Mike Cvik,Hartford Whalers,1,2,0.3333333333333333
269,Mike Cvik,Washington Capitals,2,1,0.6666666666666666
270,Mike Cvik,Florida Panthers,1,1,0.5
271,Mike Cvik,New York Islanders,1,3,0.25
272,Mike Cvik,Montréal Canadiens,4,2,0.6666666666666666
273,Mike Cvik,Philadelphia Flyers,3,1,0.75
274,Mike Cvik,Quebec Nordiques,1,1,0.5
275,Mike Cvik,Boston Bruins,5,5,0.5
276,Mike Cvik,New Jersey Devils,5,1,0.8333333333333334
277,Mike Cvik,Ottawa Senators,0,3,0.0
278,Mike Cvik,Colorado Avalanche,18,8,0.6923076923076923
279,Mike Cvik,Phoenix Coyotes,4,7,0.36363636363636365
280,Mike Cvik,Carolina Hurricanes,0,0,
281,Mike Cvik,Nashville Predators,0,5,0.0
282,Mike Cvik,Atlanta Thrashers,0,0,
283,Mike Cvik,Minnesota Wild,0,0,
284,Mike Cvik,Columbus Blue Jackets,0,0,
285,Mike Cvik,Winnipeg Jets,0,0,
286,Mike Cvik,Arizona Coyotes,0,0,
287,Mike Cvik,Vegas Golden Knights,0,0,
288,Andy McElman,Buffalo Sabres,5,4,0.5555555555555556
289,Andy McElman,New York Rangers,2,2,0.5
290,Andy McElman,Pittsburgh Penguins,2,4,0.3333333333333333
291,Andy McElman,Tampa Bay Lightning,1,6,0.14285714285714285
292,Andy McElman,Chicago Blackhawks,16,10,0.6153846153846154
293,Andy McElman,Detroit Red Wings,1,1,0.5
294,Andy McElman,Calgary Flames,1,4,0.2
295,Andy McElman,Winnipeg Jets (1979),5,2,0.7142857142857143
296,Andy McElman,Anaheim Ducks,4,3,0.5714285714285714
297,Andy McElman,Edmonton Oilers,5,5,0.5
298,Andy McElman,Dallas Stars,4,2,0.6666666666666666
299,Andy McElman,Vancouver Canucks,1,2,0.3333333333333333
300,Andy McElman,San Jose Sharks,1,2,0.3333333333333333
301,Andy McElman,St. Louis Blues,9,12,0.42857142857142855
302,Andy McElman,Los Angeles Kings,0,3,0.0
303,Andy McElman,Toronto Maple Leafs,2,3,0.4
304,Andy McElman,Hartford Whalers,0,1,0.0
305,Andy McElman,Washington Capitals,2,0,1.0
306,Andy McElman,Florida Panthers,3,1,0.75
307,Andy McElman,New York Islanders,0,2,0.0
308,Andy McElman,Montréal Canadiens,2,2,0.5
309,Andy McElman,Philadelphia Flyers,2,0,1.0
310,Andy McElman,Quebec Nordiques,0,0,
311,Andy McElman,Boston Bruins,1,3,0.25
312,Andy McElman,New Jersey Devils,5,3,0.625
313,Andy McElman,Ottawa Senators,1,1,0.5
