code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1995020001,Colorado Avalanche,3,Detroit Red Wings,2,Paul Stewart,Shane Heyer,Colorado Avalanche,Detroit Red Wings
1995020002,Boston Bruins,4,New York Islanders,4,Dave Jackson,Kevin Collins,Boston Bruins,New York Islanders
1995020003,Hartford Whalers,2,New York Rangers,0,Don Van Massenhoven,Greg Devorski,Hartford Whalers,New York Rangers
1995020004,Pittsburgh Penguins,8,Toronto Maple Leafs,3,Kerry Frazer,Ron Asselstine,Pittsburgh Penguins,Toronto Maple Leafs
1995020005,Ottawa Senators,1,Buffalo Sabres,3,Andy van Hellemond,Pierre Champoux,Buffalo Sabres,Ottawa Senators
1995020006,Montréal Canadiens,1,Philadelphia Flyers,7,Gregson,Gauthier,Philadelphia Flyers,Montréal Canadiens
1995020007,New Jersey Devils,4,Florida Panthers,0,Devorski,Dapuzzo,New Jersey Devils,Florida Panthers
1995020008,Washington Capitals,4,St. Louis Blues,1,Mark Faucette,Gordon Broseker,Washington Capitals,St. Louis Blues
1995020009,Tampa Bay Lightning,3,Calgary Flames,3,McCreay,Finn,Tampa Bay Lightning,Calgary Flames
1995020010,Winnipeg Jets (1979),7,Dallas Stars,5,Don Koharski,Mike Cvik,Winnipeg Jets (1979),Dallas Stars
1995020011,San Jose Sharks,3,Chicago Blackhawks,4,Stewart,Wayne Bonney,Chicago Blackhawks,San Jose Sharks
1995020012,Los Angeles Kings,4,Colorado Avalanche,2,Rob Shick,Shane Heyer,Los Angeles Kings,Colorado Avalanche
1995020013,Florida Panthers,4,Calgary Flames,3,Bill McCreary #7,Ron Finn #77,Florida Panthers,Calgary Flames
1995020014,Edmonton Oilers,1,Detroit Red Wings,3,Don Koharski,Swede Knox,Detroit Red Wings,Edmonton Oilers
1995020015,Boston Bruins,5,Buffalo Sabres,3,Mark Faucette,Gordon Broseker,Boston Bruins,Buffalo Sabres
1995020016,Winnipeg Jets (1979),4,Anaheim Ducks,3,Stephen Walkom,Mike Cvik,Winnipeg Jets (1979),Anaheim Ducks
1995020017,Colorado Avalanche,6,Pittsburgh Penguins,6,Mike McGeough,Steve Knox,Colorado Avalanche,Pittsburgh Penguins
1995020018,Vancouver Canucks,3,Detroit Red Wings,5,Paul Stewart,Baron Parker,Detroit Red Wings,Vancouver Canucks
1995020019,Toronto Maple Leafs,7,New York Islanders,3,Dan Marouelli,Ray Scapinello,Toronto Maple Leafs,New York Islanders
1995020020,St. Louis Blues,5,Edmonton Oilers,3,Lance Roberts,Brad Lazarowich,St. Louis Blues,Edmonton Oilers
1995020021,Dallas Stars,7,Calgary Flames,3,McGeough,McCourt,Dallas Stars,Calgary Flames
1995020022,Los Angeles Kings,6,Chicago Blackhawks,5,Don Koharski,Shane Heyer,Los Angeles Kings,Chicago Blackhawks
1995020023,Hartford Whalers,3,Anaheim Ducks,2,Richard Trottier,Kevin Collins,Hartford Whalers,Anaheim Ducks
1995020024,New York Rangers,6,Winnipeg Jets (1979),4,Mark Faucette,Ray Scapinello,New York Rangers,Winnipeg Jets (1979)
1995020025,Philadelphia Flyers,2,Washington Capitals,1,Marouelli,Racicot,Philadelphia Flyers,Washington Capitals
1995020026,Florida Panthers,6,Montréal Canadiens,1,Paul Devorski #10,Jean Morin #41,Florida Panthers,Montréal Canadiens
1995020027,Colorado Avalanche,3,Boston Bruins,1,Stephan Walkom,Swede Knox,Colorado Avalanche,Boston Bruins
1995020028,New Jersey Devils,4,Winnipeg Jets (1979),1,Richard Trottier,Ron Asselstine,New Jersey Devils,Winnipeg Jets (1979)
1995020029,Tampa Bay Lightning,3,Montréal Canadiens,1,Devorski,Morin,Tampa Bay Lightning,Montréal Canadiens
1995020030,Chicago Blackhawks,5,Pittsburgh Penguins,1,Lance Roberts,Ron Finn,Chicago Blackhawks,Pittsburgh Penguins
1995020031,Dallas Stars,1,St. Louis Blues,3,Shick,Lazarowich,St. Louis Blues,Dallas Stars
1995020032,San Jose Sharks,6,Boston Bruins,6,Koharski,Heyer,San Jose Sharks,Boston Bruins
1995020033,Los Angeles Kings,7,Vancouver Canucks,7,Mike McGeough,Mike Cvik,Los Angeles Kings,Vancouver Canucks
1995020034,Buffalo Sabres,1,Anaheim Ducks,4,Blaine Angus,Pierre Champoux,Anaheim Ducks,Buffalo Sabres
1995020035,Washington Capitals,3,Colorado Avalanche,1,Dave Jackson,Scott Driscoll,Washington Capitals,Colorado Avalanche
1995020036,Florida Panthers,6,Ottawa Senators,2,Mark Faucette #11,Jean Morin #41,Florida Panthers,Ottawa Senators
1995020037,Detroit Red Wings,9,Edmonton Oilers,0,Van Hellemond,G. Devorski,Detroit Red Wings,Edmonton Oilers
1995020038,Hartford Whalers,3,Chicago Blackhawks,2,Rob Shick,Kevin Collins,Hartford Whalers,Chicago Blackhawks
1995020039,Pittsburgh Penguins,5,Anaheim Ducks,2,Dan O'Halloran,Bob Hodges,Pittsburgh Penguins,Anaheim Ducks
1995020040,Montréal Canadiens,1,New Jersey Devils,4,Marouelli,Racicot,New Jersey Devils,Montréal Canadiens
1995020041,New York Islanders,0,Philadelphia Flyers,3,Kerry Fraser,Gordon Broseker,Philadelphia Flyers,New York Islanders
