,Ref,Score,Team
0,Brad Watson,4,Ottawa Senators
1,Brad Watson,1,Tampa Bay Lightning
2,Dave Jackson,4,Ottawa Senators
3,Dave Jackson,1,Tampa Bay Lightning
4,Don VanMassenhoven,3,Ottawa Senators
5,Don VanMassenhoven,4,Tampa Bay Lightning
6,Tim Peel,3,Ottawa Senators
7,Tim Peel,4,Tampa Bay Lightning
8,Eric Furlatt,8,Ottawa Senators
9,Eric Furlatt,4,Tampa Bay Lightning
10,Kerry Fraser,8,Ottawa Senators
11,Kerry Fraser,4,Tampa Bay Lightning
12,Bill McCreary,5,Ottawa Senators
13,Bill McCreary,2,Tampa Bay Lightning
14,Kelly Sutherland,5,Ottawa Senators
15,Kelly Sutherland,2,Tampa Bay Lightning
16,Dan Marouelli,3,Ottawa Senators
17,Dan Marouelli,2,Tampa Bay Lightning
18,Dennis LaRue,3,Ottawa Senators
19,Dennis LaRue,2,Tampa Bay Lightning
20,Don Koharski,1,Carolina Hurricanes
21,Don Koharski,6,Montréal Canadiens
22,Greg Kimmerly,1,Carolina Hurricanes
23,Greg Kimmerly,6,Montréal Canadiens
24,Brad Meier,5,Carolina Hurricanes
25,Brad Meier,6,Montréal Canadiens
26,Paul Devorski,5,Carolina Hurricanes
27,Paul Devorski,6,Montréal Canadiens
28,Dan Marouelli,2,Carolina Hurricanes
29,Dan Marouelli,1,Montréal Canadiens
30,Dennis LaRue,2,Carolina Hurricanes
31,Dennis LaRue,1,Montréal Canadiens
32,Don VanMassenhoven,3,Carolina Hurricanes
33,Don VanMassenhoven,2,Montréal Canadiens
34,Tim Peel,3,Carolina Hurricanes
35,Tim Peel,2,Montréal Canadiens
36,Eric Furlatt,2,Carolina Hurricanes
37,Eric Furlatt,1,Montréal Canadiens
38,Kerry Fraser,2,Carolina Hurricanes
39,Kerry Fraser,1,Montréal Canadiens
40,Bill McCreary,2,Carolina Hurricanes
41,Bill McCreary,1,Montréal Canadiens
42,Kevin Pollock,2,Carolina Hurricanes
43,Kevin Pollock,1,Montréal Canadiens
44,Brad Meier,6,New Jersey Devils
45,Brad Meier,1,New York Rangers
46,Paul Devorski,6,New Jersey Devils
47,Paul Devorski,1,New York Rangers
48,Dan Marouelli,4,New Jersey Devils
49,Dan Marouelli,1,New York Rangers
50,Dennis LaRue,4,New Jersey Devils
51,Dennis LaRue,1,New York Rangers
52,Don VanMassenhoven,3,New Jersey Devils
53,Don VanMassenhoven,0,New York Rangers
54,Tim Peel,3,New Jersey Devils
55,Tim Peel,0,New York Rangers
56,Kevin Pollock,4,New Jersey Devils
57,Kevin Pollock,2,New York Rangers
58,Rob Shick,4,New Jersey Devils
59,Rob Shick,2,New York Rangers
60,Dan Marouelli,3,Buffalo Sabres
61,Dan Marouelli,2,Philadelphia Flyers
62,Dennis LaRue,3,Buffalo Sabres
63,Dennis LaRue,2,Philadelphia Flyers
64,Brad Watson,8,Buffalo Sabres
65,Brad Watson,2,Philadelphia Flyers
66,Dave Jackson,8,Buffalo Sabres
67,Dave Jackson,2,Philadelphia Flyers
68,Brad Meier,2,Buffalo Sabres
69,Brad Meier,4,Philadelphia Flyers
70,Paul Devorski,2,Buffalo Sabres
71,Paul Devorski,4,Philadelphia Flyers
72,Michael McGeough,4,Buffalo Sabres
73,Michael McGeough,5,Philadelphia Flyers
74,Mike Leggo,4,Buffalo Sabres
75,Mike Leggo,5,Philadelphia Flyers
76,Don VanMassenhoven,3,Buffalo Sabres
77,Don VanMassenhoven,0,Philadelphia Flyers
78,Tim Peel,3,Buffalo Sabres
79,Tim Peel,0,Philadelphia Flyers
80,Dan O'Halloran,7,Buffalo Sabres
81,Dan O'Halloran,1,Philadelphia Flyers
82,Paul Devorski,7,Buffalo Sabres
83,Paul Devorski,1,Philadelphia Flyers
84,Bill McCreary,3,Detroit Red Wings
85,Bill McCreary,2,Edmonton Oilers
86,Kelly Sutherland,3,Detroit Red Wings
87,Kelly Sutherland,2,Edmonton Oilers
88,Eric Furlatt,2,Detroit Red Wings
89,Eric Furlatt,4,Edmonton Oilers
90,Kerry Fraser,2,Detroit Red Wings
91,Kerry Fraser,4,Edmonton Oilers
92,Kevin Pollock,3,Detroit Red Wings
93,Kevin Pollock,4,Edmonton Oilers
94,Rob Shick,3,Detroit Red Wings
95,Rob Shick,4,Edmonton Oilers
96,Dean Warren,4,Detroit Red Wings
97,Dean Warren,2,Edmonton Oilers
98,Marc Joannette,4,Detroit Red Wings
99,Marc Joannette,2,Edmonton Oilers
100,Don Koharski,2,Detroit Red Wings
101,Don Koharski,3,Edmonton Oilers
102,Greg Kimmerly,2,Detroit Red Wings
103,Greg Kimmerly,3,Edmonton Oilers
104,Michael McGeough,3,Detroit Red Wings
105,Michael McGeough,4,Edmonton Oilers
106,Mike Leggo,3,Detroit Red Wings
107,Mike Leggo,4,Edmonton Oilers
108,Michael McGeough,5,Colorado Avalanche
109,Michael McGeough,2,Dallas Stars
110,Mike Leggo,5,Colorado Avalanche
111,Mike Leggo,2,Dallas Stars
112,Dean Warren,5,Colorado Avalanche
113,Dean Warren,4,Dallas Stars
114,Marc Joannette,5,Colorado Avalanche
115,Marc Joannette,4,Dallas Stars
116,Dan O'Halloran,4,Colorado Avalanche
117,Dan O'Halloran,3,Dallas Stars
118,Mike Hasenfratz,4,Colorado Avalanche
119,Mike Hasenfratz,3,Dallas Stars
120,Brad Meier,1,Colorado Avalanche
121,Brad Meier,4,Dallas Stars
122,Paul Devorski,1,Colorado Avalanche
123,Paul Devorski,4,Dallas Stars
124,Dan O'Halloran,1,Anaheim Ducks
125,Dan O'Halloran,2,Calgary Flames
126,Mike Hasenfratz,1,Anaheim Ducks
127,Mike Hasenfratz,2,Calgary Flames
128,Kevin Pollock,4,Anaheim Ducks
129,Kevin Pollock,3,Calgary Flames
130,Rob Shick,4,Anaheim Ducks
131,Rob Shick,3,Calgary Flames
132,Michael McGeough,2,Anaheim Ducks
133,Michael McGeough,5,Calgary Flames
134,Mike Leggo,2,Anaheim Ducks
135,Mike Leggo,5,Calgary Flames
136,Brad Watson,3,Anaheim Ducks
137,Brad Watson,2,Calgary Flames
138,Dave Jackson,3,Anaheim Ducks
139,Dave Jackson,2,Calgary Flames
140,Dean Warren,2,Anaheim Ducks
141,Dean Warren,3,Calgary Flames
142,Marc Joannette,2,Anaheim Ducks
143,Marc Joannette,3,Calgary Flames
144,Don Koharski,2,Anaheim Ducks
145,Don Koharski,1,Calgary Flames
146,Rob Shick,2,Anaheim Ducks
147,Rob Shick,1,Calgary Flames
148,Brad Watson,3,Anaheim Ducks
149,Brad Watson,0,Calgary Flames
150,Don VanMassenhoven,3,Anaheim Ducks
151,Don VanMassenhoven,0,Calgary Flames
152,Dean Warren,4,Nashville Predators
153,Dean Warren,3,San Jose Sharks
154,Marc Joannette,4,Nashville Predators
155,Marc Joannette,3,San Jose Sharks
156,Bill McCreary,0,Nashville Predators
157,Bill McCreary,3,San Jose Sharks
158,Kelly Sutherland,0,Nashville Predators
159,Kelly Sutherland,3,San Jose Sharks
160,Don Koharski,1,Nashville Predators
161,Don Koharski,4,San Jose Sharks
162,Greg Kimmerly,1,Nashville Predators
163,Greg Kimmerly,4,San Jose Sharks
164,Kevin Pollock,4,Nashville Predators
165,Kevin Pollock,5,San Jose Sharks
166,Rob Shick,4,Nashville Predators
167,Rob Shick,5,San Jose Sharks
168,Dan O'Halloran,1,Nashville Predators
169,Dan O'Halloran,2,San Jose Sharks
170,Mike Hasenfratz,1,Nashville Predators
171,Mike Hasenfratz,2,San Jose Sharks
172,Don VanMassenhoven,7,Buffalo Sabres
173,Don VanMassenhoven,6,Ottawa Senators
174,Paul Devorski,7,Buffalo Sabres
175,Paul Devorski,6,Ottawa Senators
176,Bill McCreary,2,Buffalo Sabres
177,Bill McCreary,1,Ottawa Senators
178,Marc Joannette,2,Buffalo Sabres
179,Marc Joannette,1,Ottawa Senators
180,Kevin Pollock,3,Buffalo Sabres
181,Kevin Pollock,2,Ottawa Senators
182,Rob Shick,3,Buffalo Sabres
183,Rob Shick,2,Ottawa Senators
184,Eric Furlatt,1,Buffalo Sabres
185,Eric Furlatt,2,Ottawa Senators
186,Kerry Fraser,1,Buffalo Sabres
187,Kerry Fraser,2,Ottawa Senators
188,Dan O'Halloran,3,Buffalo Sabres
189,Dan O'Halloran,2,Ottawa Senators
190,Don Koharski,3,Buffalo Sabres
191,Don Koharski,2,Ottawa Senators
192,Dan O'Halloran,6,Carolina Hurricanes
193,Dan O'Halloran,0,New Jersey Devils
194,Don Koharski,6,Carolina Hurricanes
195,Don Koharski,0,New Jersey Devils
196,Kevin Pollock,3,Carolina Hurricanes
197,Kevin Pollock,2,New Jersey Devils
198,Rob Shick,3,Carolina Hurricanes
199,Rob Shick,2,New Jersey Devils
200,Don VanMassenhoven,3,Carolina Hurricanes
201,Don VanMassenhoven,2,New Jersey Devils
202,Paul Devorski,3,Carolina Hurricanes
203,Paul Devorski,2,New Jersey Devils
204,Brad Watson,1,Carolina Hurricanes
205,Brad Watson,5,New Jersey Devils
206,Dave Jackson,1,Carolina Hurricanes
207,Dave Jackson,5,New Jersey Devils
208,Michael McGeough,4,Carolina Hurricanes
209,Michael McGeough,1,New Jersey Devils
210,Mike Leggo,4,Carolina Hurricanes
211,Mike Leggo,1,New Jersey Devils
212,Brad Watson,1,Edmonton Oilers
213,Brad Watson,2,San Jose Sharks
214,Dave Jackson,1,Edmonton Oilers
215,Dave Jackson,2,San Jose Sharks
216,Michael McGeough,1,Edmonton Oilers
217,Michael McGeough,2,San Jose Sharks
218,Mike Leggo,1,Edmonton Oilers
219,Mike Leggo,2,San Jose Sharks
220,Dan O'Halloran,3,Edmonton Oilers
221,Dan O'Halloran,2,San Jose Sharks
222,Don Koharski,3,Edmonton Oilers
223,Don Koharski,2,San Jose Sharks
224,Don VanMassenhoven,6,Edmonton Oilers
225,Don VanMassenhoven,3,San Jose Sharks
226,Paul Devorski,6,Edmonton Oilers
227,Paul Devorski,3,San Jose Sharks
228,Bill McCreary,6,Edmonton Oilers
229,Bill McCreary,3,San Jose Sharks
230,Marc Joannette,6,Edmonton Oilers
231,Marc Joannette,3,San Jose Sharks
232,Brad Watson,2,Edmonton Oilers
233,Brad Watson,0,San Jose Sharks
234,Rob Shick,2,Edmonton Oilers
235,Rob Shick,0,San Jose Sharks
236,Michael McGeough,5,Anaheim Ducks
237,Michael McGeough,0,Colorado Avalanche
238,Mike Leggo,5,Anaheim Ducks
239,Mike Leggo,0,Colorado Avalanche
240,Eric Furlatt,3,Anaheim Ducks
241,Eric Furlatt,0,Colorado Avalanche
242,Kerry Fraser,3,Anaheim Ducks
243,Kerry Fraser,0,Colorado Avalanche
244,Brad Watson,4,Anaheim Ducks
245,Brad Watson,3,Colorado Avalanche
246,Dave Jackson,4,Anaheim Ducks
247,Dave Jackson,3,Colorado Avalanche
248,Bill McCreary,4,Anaheim Ducks
249,Bill McCreary,1,Colorado Avalanche
250,Marc Joannette,4,Anaheim Ducks
251,Marc Joannette,1,Colorado Avalanche
252,Eric Furlatt,3,Buffalo Sabres
253,Eric Furlatt,2,Carolina Hurricanes
254,Michael McGeough,3,Buffalo Sabres
255,Michael McGeough,2,Carolina Hurricanes
256,Dan O'Halloran,3,Buffalo Sabres
257,Dan O'Halloran,4,Carolina Hurricanes
258,Don VanMassenhoven,3,Buffalo Sabres
259,Don VanMassenhoven,4,Carolina Hurricanes
260,Marc Joannette,4,Buffalo Sabres
261,Marc Joannette,3,Carolina Hurricanes
262,Rob Shick,4,Buffalo Sabres
263,Rob Shick,3,Carolina Hurricanes
264,Brad Watson,0,Buffalo Sabres
265,Brad Watson,4,Carolina Hurricanes
266,Michael McGeough,0,Buffalo Sabres
267,Michael McGeough,4,Carolina Hurricanes
268,Don VanMassenhoven,3,Buffalo Sabres
269,Don VanMassenhoven,4,Carolina Hurricanes
270,Paul Devorski,3,Buffalo Sabres
271,Paul Devorski,4,Carolina Hurricanes
272,Bill McCreary,2,Buffalo Sabres
273,Bill McCreary,1,Carolina Hurricanes
274,Dan O'Halloran,2,Buffalo Sabres
275,Dan O'Halloran,1,Carolina Hurricanes
276,Brad Watson,2,Buffalo Sabres
277,Brad Watson,4,Carolina Hurricanes
278,Paul Devorski,2,Buffalo Sabres
279,Paul Devorski,4,Carolina Hurricanes
280,Don VanMassenhoven,1,Anaheim Ducks
281,Don VanMassenhoven,3,Edmonton Oilers
282,Paul Devorski,1,Anaheim Ducks
283,Paul Devorski,3,Edmonton Oilers
284,Bill McCreary,1,Anaheim Ducks
285,Bill McCreary,3,Edmonton Oilers
286,Marc Joannette,1,Anaheim Ducks
287,Marc Joannette,3,Edmonton Oilers
288,Brad Watson,4,Anaheim Ducks
289,Brad Watson,5,Edmonton Oilers
290,Eric Furlatt,4,Anaheim Ducks
291,Eric Furlatt,5,Edmonton Oilers
292,Dan O'Halloran,6,Anaheim Ducks
293,Dan O'Halloran,3,Edmonton Oilers
294,Paul Devorski,6,Anaheim Ducks
295,Paul Devorski,3,Edmonton Oilers
296,Bill McCreary,1,Anaheim Ducks
297,Bill McCreary,2,Edmonton Oilers
298,Rob Shick,1,Anaheim Ducks
299,Rob Shick,2,Edmonton Oilers
300,Michael McGeough,5,Carolina Hurricanes
301,Michael McGeough,4,Edmonton Oilers
302,Paul Devorski,5,Carolina Hurricanes
303,Paul Devorski,4,Edmonton Oilers
304,Bill McCreary,5,Carolina Hurricanes
305,Bill McCreary,0,Edmonton Oilers
306,Brad Watson,5,Carolina Hurricanes
307,Brad Watson,0,Edmonton Oilers
308,Michael McGeough,1,Carolina Hurricanes
309,Michael McGeough,2,Edmonton Oilers
310,Paul Devorski,1,Carolina Hurricanes
311,Paul Devorski,2,Edmonton Oilers
312,Bill McCreary,2,Carolina Hurricanes
313,Bill McCreary,1,Edmonton Oilers
314,Brad Watson,2,Carolina Hurricanes
315,Brad Watson,1,Edmonton Oilers
316,Michael McGeough,3,Carolina Hurricanes
317,Michael McGeough,4,Edmonton Oilers
318,Paul Devorski,3,Carolina Hurricanes
319,Paul Devorski,4,Edmonton Oilers
320,Bill McCreary,0,Carolina Hurricanes
321,Bill McCreary,4,Edmonton Oilers
322,Brad Watson,0,Carolina Hurricanes
323,Brad Watson,4,Edmonton Oilers
324,Bill McCreary,3,Carolina Hurricanes
325,Bill McCreary,1,Edmonton Oilers
326,Brad Watson,3,Carolina Hurricanes
327,Brad Watson,1,Edmonton Oilers
