,Ref,Score,Team
0,Francis Charron,5,Ottawa Senators
1,Francis Charron,4,Toronto Maple Leafs
2,Wes McCauley,5,Ottawa Senators
3,Wes McCauley,4,Toronto Maple Leafs
4,Ian Walsh,2,Chicago Blackhawks
5,Ian Walsh,5,St. Louis Blues
6,Jon McIsaac,2,Chicago Blackhawks
7,Jon McIsaac,5,St. Louis Blues
8,Brian Pochmara,4,Calgary Flames
9,Brian Pochmara,7,Edmonton Oilers
10,Kyle Rehman,4,Calgary Flames
11,Kyle Rehman,7,Edmonton Oilers
12,Graham Skilliter,1,Los Angeles Kings
13,Graham Skilliter,2,San Jose Sharks
14,Justin St. Pierre ,1,Los Angeles Kings
15,Justin St. Pierre ,2,San Jose Sharks
16,Dan O'Rourke,1,Buffalo Sabres
17,Dan O'Rourke,4,Montréal Canadiens
18,Jean Hebert,1,Buffalo Sabres
19,Jean Hebert,4,Montréal Canadiens
20,Kendrick Nicholson,3,New York Islanders
21,Kendrick Nicholson,5,New York Rangers
22,Marc Joannette,3,New York Islanders
23,Marc Joannette,5,New York Rangers
24,Dean Morton,2,Pittsburgh Penguins
25,Dean Morton,2,Washington Capitals
26,Francois St-Laurent,2,Pittsburgh Penguins
27,Francois St-Laurent,2,Washington Capitals
28,Garrett Rank,6,Boston Bruins
29,Garrett Rank,3,Columbus Blue Jackets
30,Gord Dwyer,6,Boston Bruins
31,Gord Dwyer,3,Columbus Blue Jackets
32,Dave Jackson,4,Detroit Red Wings
33,Dave Jackson,6,Tampa Bay Lightning
34,Kelly Sutherland,4,Detroit Red Wings
35,Kelly Sutherland,6,Tampa Bay Lightning
36,Ghislain Hebert,2,Florida Panthers
37,Ghislain Hebert,1,New Jersey Devils
38,Kevin Pollock,2,Florida Panthers
39,Kevin Pollock,1,New Jersey Devils
40,Eric Furlatt,2,Minnesota Wild
41,Eric Furlatt,3,St. Louis Blues
42,Tom Kowal,2,Minnesota Wild
43,Tom Kowal,3,St. Louis Blues
44,Ian Walsh,4,Carolina Hurricanes
45,Ian Walsh,5,Winnipeg Jets
46,Jon McIsaac,4,Carolina Hurricanes
47,Jon McIsaac,5,Winnipeg Jets
