,Ref,Score,Team
0,Don Koharski,2,Montréal Canadiens
1,Don Koharski,5,New Jersey Devils
2,Shane Heyer,2,Montréal Canadiens
3,Shane Heyer,5,New Jersey Devils
4,Shane Heyer,1,Montréal Canadiens
5,Shane Heyer,4,New Jersey Devils
6,Stephen Walkom,1,Montréal Canadiens
7,Stephen Walkom,4,New Jersey Devils
8,Devorski,4,Montréal Canadiens
9,Devorski,6,New Jersey Devils
10,Fraser,4,Montréal Canadiens
11,Fraser,6,New Jersey Devils
12,Devorski,4,Montréal Canadiens
13,Devorski,3,New Jersey Devils
14,McGeough,4,Montréal Canadiens
15,McGeough,3,New Jersey Devils
16,Bill McCreary,0,Montréal Canadiens
17,Bill McCreary,4,New Jersey Devils
18,Bob Hodges,0,Montréal Canadiens
19,Bob Hodges,4,New Jersey Devils
20,Rob Shick,3,Buffalo Sabres
21,Rob Shick,1,Ottawa Senators
22,Wayne Bonney,3,Buffalo Sabres
23,Wayne Bonney,1,Ottawa Senators
24,Richard Trottier,1,Buffalo Sabres
25,Richard Trottier,3,Ottawa Senators
26,Wayne Bonney,1,Buffalo Sabres
27,Wayne Bonney,3,Ottawa Senators
28,Dan Schachte,3,Buffalo Sabres
29,Dan Schachte,2,Ottawa Senators
30,Kerry Fraser,3,Buffalo Sabres
31,Kerry Fraser,2,Ottawa Senators
32,Dan Schachte,0,Buffalo Sabres
33,Dan Schachte,1,Ottawa Senators
34,Mick McGeough,0,Buffalo Sabres
35,Mick McGeough,1,Ottawa Senators
36,Dan Marouelli,1,Buffalo Sabres
37,Dan Marouelli,4,Ottawa Senators
38,Shane Heyer,1,Buffalo Sabres
39,Shane Heyer,4,Ottawa Senators
40,Shane Heyer,3,Buffalo Sabres
41,Shane Heyer,0,Ottawa Senators
42,Terry Gregson,3,Buffalo Sabres
43,Terry Gregson,0,Ottawa Senators
44,Bill McCreary,3,Buffalo Sabres
45,Bill McCreary,2,Ottawa Senators
46,Kevin Colilns,3,Buffalo Sabres
47,Kevin Colilns,2,Ottawa Senators
48,Dan Marouelli,5,Philadelphia Flyers
49,Dan Marouelli,1,Pittsburgh Penguins
50,Dan Schachte,5,Philadelphia Flyers
51,Dan Schachte,1,Pittsburgh Penguins
52,Dan Schachte,3,Philadelphia Flyers
53,Dan Schachte,2,Pittsburgh Penguins
54,Mick McGeough,3,Philadelphia Flyers
55,Mick McGeough,2,Pittsburgh Penguins
56,Rob Schick,5,Philadelphia Flyers
57,Rob Schick,3,Pittsburgh Penguins
58,Wayne Bonney,5,Philadelphia Flyers
59,Wayne Bonney,3,Pittsburgh Penguins
60,Don Koharski,1,Philadelphia Flyers
61,Don Koharski,4,Pittsburgh Penguins
62,Mike Cvik,1,Philadelphia Flyers
63,Mike Cvik,4,Pittsburgh Penguins
64,Mark Faucette,6,Philadelphia Flyers
65,Mark Faucette,3,Pittsburgh Penguins
66,Ray Scapinello,6,Philadelphia Flyers
67,Ray Scapinello,3,Pittsburgh Penguins
68,Bob Hodges,3,Florida Panthers
69,Bob Hodges,0,New York Rangers
70,Kerry Fraser,3,Florida Panthers
71,Kerry Fraser,0,New York Rangers
72,Don Koharski,0,Florida Panthers
73,Don Koharski,3,New York Rangers
74,Greg Devorski,0,Florida Panthers
75,Greg Devorski,3,New York Rangers
76,Dan Marouelli,3,Florida Panthers
77,Dan Marouelli,4,New York Rangers
78,Shane Heyer,3,Florida Panthers
79,Shane Heyer,4,New York Rangers
80,Richard Trottier,2,Florida Panthers
81,Richard Trottier,3,New York Rangers
82,Shane Heyer,2,Florida Panthers
83,Shane Heyer,3,New York Rangers
84,Gerard Gauthier,2,Florida Panthers
85,Gerard Gauthier,3,New York Rangers
86,Paul Devorski,2,Florida Panthers
87,Paul Devorski,3,New York Rangers
88,Gordon Broseker,0,Chicago Blackhawks
89,Gordon Broseker,6,Colorado Avalanche
90,Mark Faucette,0,Chicago Blackhawks
91,Mark Faucette,6,Colorado Avalanche
92,Gordon Broseker,1,Chicago Blackhawks
93,Gordon Broseker,3,Colorado Avalanche
94,Paul Devorski,1,Chicago Blackhawks
95,Paul Devorski,3,Colorado Avalanche
96,Bil McCreary,4,Chicago Blackhawks
97,Bil McCreary,3,Colorado Avalanche
98,Swede Knox,4,Chicago Blackhawks
99,Swede Knox,3,Colorado Avalanche
100,Rob Shick,6,Chicago Blackhawks
101,Rob Shick,3,Colorado Avalanche
102,Swede Knox,6,Chicago Blackhawks
103,Swede Knox,3,Colorado Avalanche
104,Kerry Fraser,0,Chicago Blackhawks
105,Kerry Fraser,7,Colorado Avalanche
106,Kevin Collins,0,Chicago Blackhawks
107,Kevin Collins,7,Colorado Avalanche
108,Dan Marouelli,3,Chicago Blackhawks
109,Dan Marouelli,6,Colorado Avalanche
110,Kevin Collins,3,Chicago Blackhawks
111,Kevin Collins,6,Colorado Avalanche
112,Gauthier,5,Dallas Stars
113,Gauthier,3,Edmonton Oilers
114,Gregson,5,Dallas Stars
115,Gregson,3,Edmonton Oilers
116,Gauthier,0,Dallas Stars
117,Gauthier,4,Edmonton Oilers
118,McCreary,0,Dallas Stars
119,McCreary,4,Edmonton Oilers
120,Mark Faucette,3,Dallas Stars
121,Mark Faucette,4,Edmonton Oilers
122,Ray Scapinello,3,Dallas Stars
123,Ray Scapinello,4,Edmonton Oilers
124,Paul Devorski,4,Dallas Stars
125,Paul Devorski,3,Edmonton Oilers
126,Ray Scapinello,4,Dallas Stars
127,Ray Scapinello,3,Edmonton Oilers
128,McCourt,0,Dallas Stars
129,McCourt,1,Edmonton Oilers
130,Walkom,0,Dallas Stars
131,Walkom,1,Edmonton Oilers
132,Dan Schachte,3,Dallas Stars
133,Dan Schachte,2,Edmonton Oilers
134,Rob Shick,3,Dallas Stars
135,Rob Shick,2,Edmonton Oilers
136,Fraser,3,Dallas Stars
137,Fraser,4,Edmonton Oilers
138,Scapinello,3,Dallas Stars
139,Scapinello,4,Edmonton Oilers
140,Collins,0,Detroit Red Wings
141,Collins,2,St. Louis Blues
142,McCreary,0,Detroit Red Wings
143,McCreary,2,St. Louis Blues
144,Collins,2,Detroit Red Wings
145,Collins,1,St. Louis Blues
146,Shick,2,Detroit Red Wings
147,Shick,1,St. Louis Blues
148,Dan Marouelli,3,Detroit Red Wings
149,Dan Marouelli,2,St. Louis Blues
150,Gerard Gauthier,3,Detroit Red Wings
151,Gerard Gauthier,2,St. Louis Blues
152,Gerard Gauthier,0,Detroit Red Wings
153,Gerard Gauthier,4,St. Louis Blues
154,Mark Faucette,0,Detroit Red Wings
155,Mark Faucette,4,St. Louis Blues
156,Gregson,5,Detroit Red Wings
157,Gregson,2,St. Louis Blues
158,Mike Cvik,5,Detroit Red Wings
159,Mike Cvik,2,St. Louis Blues
160,Kerry Fraser,3,Detroit Red Wings
161,Kerry Fraser,1,St. Louis Blues
162,Mike Cvik,3,Detroit Red Wings
163,Mike Cvik,1,St. Louis Blues
164,Paul Devorski,4,Anaheim Ducks
165,Paul Devorski,2,Phoenix Coyotes
166,Scott Driscoll,4,Anaheim Ducks
167,Scott Driscoll,2,Phoenix Coyotes
168,Mark Faucette,4,Anaheim Ducks
169,Mark Faucette,2,Phoenix Coyotes
170,Scott Driscoll,4,Anaheim Ducks
171,Scott Driscoll,2,Phoenix Coyotes
172,Gordon Broseker,1,Anaheim Ducks
173,Gordon Broseker,4,Phoenix Coyotes
174,Terry Gregson,1,Anaheim Ducks
175,Terry Gregson,4,Phoenix Coyotes
176,Gordon Broseker,0,Anaheim Ducks
177,Gordon Broseker,2,Phoenix Coyotes
178,Stephen Walkom,0,Anaheim Ducks
179,Stephen Walkom,2,Phoenix Coyotes
180,Bill McCreary,2,Anaheim Ducks
181,Bill McCreary,5,Phoenix Coyotes
182,Brad Lazarowich,2,Anaheim Ducks
183,Brad Lazarowich,5,Phoenix Coyotes
184,Don Koharski,3,Anaheim Ducks
185,Don Koharski,2,Phoenix Coyotes
186,Swede Knox,3,Anaheim Ducks
187,Swede Knox,2,Phoenix Coyotes
188,Dan Marouelli,3,Anaheim Ducks
189,Dan Marouelli,0,Phoenix Coyotes
190,Gerard Gauthier,3,Anaheim Ducks
191,Gerard Gauthier,0,Phoenix Coyotes
192,Gordon Broseker,2,New Jersey Devils
193,Gordon Broseker,0,New York Rangers
194,Terry Gregson,2,New Jersey Devils
