code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2009020417,Buffalo Sabres,1,New York Rangers,2,Wes McCauley,Don VanMassenhoven,New York Rangers,Buffalo Sabres
2009020418,New Jersey Devils,3,Detroit Red Wings,3,Mike Leggo,Dan O'Rourke,New Jersey Devils,Detroit Red Wings
2009020419,Philadelphia Flyers,2,Washington Capitals,8,Dennis LaRue,Stephane Auger,Washington Capitals,Philadelphia Flyers
2009020420,Florida Panthers,1,Atlanta Thrashers,1,Tom Kowal,Francois StLaurent,Florida Panthers,Atlanta Thrashers
2009020421,Columbus Blue Jackets,2,Colorado Avalanche,3,Justin StPierre,Stephen Walkom,Colorado Avalanche,Columbus Blue Jackets
2009020422,Pittsburgh Penguins,1,Chicago Blackhawks,2,Brad Watson,Brad Meier,Chicago Blackhawks,Pittsburgh Penguins
2009020423,Tampa Bay Lightning,4,New York Islanders,0,Kelly Sutherland,Rob Martell,Tampa Bay Lightning,New York Islanders
2009020424,Nashville Predators,3,Minnesota Wild,5,Kerry Fraser,Brian Pochmara,Minnesota Wild,Nashville Predators
2009020425,Phoenix Coyotes,3,Ottawa Senators,2,Chris Rooney,Dan O'Halloran,Phoenix Coyotes,Ottawa Senators
2009020426,San Jose Sharks,1,Calgary Flames,2,Dan Marouelli,Steve Kozari,Calgary Flames,San Jose Sharks
2009020427,New York Rangers,1,Detroit Red Wings,3,Dan O'Rourke,Marc Joannette,Detroit Red Wings,New York Rangers
2009020428,Anaheim Ducks,3,Ottawa Senators,3,Chris Rooney,Tim Peel,Anaheim Ducks,Ottawa Senators
2009020429,Buffalo Sabres,0,New Jersey Devils,3,Brad Watson,Brad Meier,New Jersey Devils,Buffalo Sabres
2009020430,Toronto Maple Leafs,5,Atlanta Thrashers,2,Wes McCauley,Chris Lee,Toronto Maple Leafs,Atlanta Thrashers
2009020431,Montréal Canadiens,3,Philadelphia Flyers,1,Mike Leggo,Dan O'Rourke,Montréal Canadiens,Philadelphia Flyers
2009020432,Pittsburgh Penguins,2,Carolina Hurricanes,3,Dan Marouelli,Dean Morton,Carolina Hurricanes,Pittsburgh Penguins
2009020433,Tampa Bay Lightning,0,Washington Capitals,3,Kelly Sutherland,Francois StLaurent,Washington Capitals,Tampa Bay Lightning
2009020434,Florida Panthers,2,Edmonton Oilers,2,Rob Martell,Tom Kowal,Florida Panthers,Edmonton Oilers
2009020435,St. Louis Blues,0,Colorado Avalanche,4,Dennis LaRue,Stephane Auger,Colorado Avalanche,St. Louis Blues
2009020436,Phoenix Coyotes,2,Minnesota Wild,0,Dan O'Halloran,Steve Kozari,Phoenix Coyotes,Minnesota Wild
2009020437,Los Angeles Kings,2,Calgary Flames,1,Greg Kimmerly,Eric Furlatt,Los Angeles Kings,Calgary Flames
2009020438,Philadelphia Flyers,6,New York Islanders,2,Justin StPierre,Marc Joannette,Philadelphia Flyers,New York Islanders
2009020439,Ottawa Senators,1,Montréal Canadiens,4,Paul Devorski,Dean Morton,Montréal Canadiens,Ottawa Senators
2009020440,Nashville Predators,4,Vancouver Canucks,2,Stephane Auger,Stephen Walkom,Nashville Predators,Vancouver Canucks
2009020441,Anaheim Ducks,4,Dallas Stars,3,Tim Peel,Eric Furlatt,Anaheim Ducks,Dallas Stars
2009020442,Buffalo Sabres,3,Washington Capitals,0,Marc Joannette,Chris Lee,Buffalo Sabres,Washington Capitals
2009020443,Toronto Maple Leafs,3,New York Islanders,2,Paul Devorski,Brad Meier,Toronto Maple Leafs,New York Islanders
2009020444,New Jersey Devils,4,Carolina Hurricanes,2,Dan Marouelli,David Banfield,New Jersey Devils,Carolina Hurricanes
2009020445,Columbus Blue Jackets,3,Florida Panthers,0,Wes McCauley,Kevin Pollock,Columbus Blue Jackets,Florida Panthers
2009020446,Tampa Bay Lightning,2,Edmonton Oilers,3,Tom Kowal,Francois StLaurent,Edmonton Oilers,Tampa Bay Lightning
2009020447,Detroit Red Wings,0,St. Louis Blues,1,Brian Pochmara,Don VanMassenhoven,St. Louis Blues,Detroit Red Wings
2009020448,Chicago Blackhawks,2,New York Rangers,1,Bill McCreary,Gord Dwyer,Chicago Blackhawks,New York Rangers
2009020449,Colorado Avalanche,0,Minnesota Wild,1,Kelly Sutherland,Greg Kimmerly,Minnesota Wild,Colorado Avalanche
2009020450,Calgary Flames,3,Atlanta Thrashers,1,Kerry Fraser,Ian Walsh,Calgary Flames,Atlanta Thrashers
2009020451,San Jose Sharks,4,Los Angeles Kings,5,Eric Furlatt,Steve Kozari,Los Angeles Kings,San Jose Sharks
2009020452,Boston Bruins,5,Toronto Maple Leafs,2,Stephen Walkom,Brad Meier,Boston Bruins,Toronto Maple Leafs
2009020453,Philadelphia Flyers,0,Ottawa Senators,2,Stephane Auger,Marc Joannette,Ottawa Senators,Philadelphia Flyers
2009020454,Montréal Canadiens,2,Pittsburgh Penguins,3,Paul Devorski,Chris Lee,Pittsburgh Penguins,Montréal Canadiens
2009020455,Nashville Predators,3,Columbus Blue Jackets,3,Wes McCauley,Gord Dwyer,Nashville Predators,Columbus Blue Jackets
2009020456,Vancouver Canucks,4,Atlanta Thrashers,2,Kerry Fraser,Ian Walsh,Vancouver Canucks,Atlanta Thrashers
2009020457,Los Angeles Kings,2,Phoenix Coyotes,2,Justin StPierre,Steve Kozari,Los Angeles Kings,Phoenix Coyotes
2009020458,New Jersey Devils,2,Florida Panthers,4,Stephane Auger,Kevin Pollock,Florida Panthers,New Jersey Devils
2009020459,Washington Capitals,4,Carolina Hurricanes,3,Don VanMassenhoven,Stephen Walkom,Washington Capitals,Carolina Hurricanes
2009020460,Buffalo Sabres,2,Chicago Blackhawks,1,Chris Rooney,Dan O'Rourke,Buffalo Sabres,Chicago Blackhawks
2009020461,Detroit Red Wings,3,Anaheim Ducks,2,Ghislain Hebert,Eric Furlatt,Detroit Red Wings,Anaheim Ducks
2009020462,St. Louis Blues,3,Edmonton Oilers,5,Bill McCreary,Gord Dwyer,Edmonton Oilers,St. Louis Blues
2009020463,Colorado Avalanche,1,Tampa Bay Lightning,1,Mike Leggo,Tom Kowal,Colorado Avalanche,Tampa Bay Lightning
2009020464,Calgary Flames,1,Minnesota Wild,2,Brad Watson,Ian Walsh,Minnesota Wild,Calgary Flames
2009020465,San Jose Sharks,2,Dallas Stars,2,Kelly Sutherland,Justin StPierre,San Jose Sharks,Dallas Stars
2009020466,Toronto Maple Leafs,6,Washington Capitals,3,Chris Rooney,Dan O'Halloran,Toronto Maple Leafs,Washington Capitals
2009020467,Ottawa Senators,4,Carolina Hurricanes,2,Paul Devorski,Francois StLaurent,Ottawa Senators,Carolina Hurricanes
2009020468,New Jersey Devils,4,Philadelphia Flyers,1,Brian Pochmara,Stephen Walkom,New Jersey Devils,Philadelphia Flyers
2009020469,New York Islanders,3,Boston Bruins,2,Dan O'Rourke,Kevin Pollock,New York Islanders,Boston Bruins
2009020470,New York Rangers,2,Buffalo Sabres,3,Rob Martell,Brad Meier,Buffalo Sabres,New York Rangers
2009020471,Atlanta Thrashers,4,Montréal Canadiens,3,Bill McCreary,David Banfield,Atlanta Thrashers,Montréal Canadiens
2009020472,Columbus Blue Jackets,1,Anaheim Ducks,3,Don VanMassenhoven,Kyle Rehman,Anaheim Ducks,Columbus Blue Jackets
2009020473,Pittsburgh Penguins,3,Florida Panthers,2,Stephane Auger,Marc Joannette,Pittsburgh Penguins,Florida Panthers
2009020474,Nashville Predators,2,Detroit Red Wings,3,Tim Peel,Dean Morton,Detroit Red Wings,Nashville Predators
2009020475,Phoenix Coyotes,2,San Jose Sharks,1,Justin StPierre,Dennis LaRue,Phoenix Coyotes,San Jose Sharks
2009020476,Vancouver Canucks,4,Minnesota Wild,3,Kerry Fraser,Brad Watson,Vancouver Canucks,Minnesota Wild
2009020477,Los Angeles Kings,2,Dallas Stars,2,Mike Leggo,Kelly Sutherland,Los Angeles Kings,Dallas Stars
2009020478,Chicago Blackhawks,4,Tampa Bay Lightning,0,Bill McCreary,Steve Kozari,Chicago Blackhawks,Tampa Bay Lightning
2009020479,Colorado Avalanche,3,Calgary Flames,2,Dennis LaRue,Tom Kowal,Colorado Avalanche,Calgary Flames
2009020480,Boston Bruins,1,Philadelphia Flyers,3,Chris Rooney,Rob Martell,Philadelphia Flyers,Boston Bruins
2009020481,Toronto Maple Leafs,3,Ottawa Senators,2,Dan O'Rourke,Tim Peel,Toronto Maple Leafs,Ottawa Senators
2009020482,New York Islanders,1,Florida Panthers,7,Dan O'Halloran,Francois StLaurent,Florida Panthers,New York Islanders
2009020483,New York Rangers,2,Atlanta Thrashers,2,Paul Devorski,Dean Morton,New York Rangers,Atlanta Thrashers
2009020484,Columbus Blue Jackets,3,Nashville Predators,5,Justin StPierre,Brad Meier,Nashville Predators,Columbus Blue Jackets
2009020485,Montréal Canadiens,3,Buffalo Sabres,4,Brian Pochmara,Eric Furlatt,Buffalo Sabres,Montréal Canadiens
2009020486,Detroit Red Wings,3,Phoenix Coyotes,2,Kelly Sutherland,Ian Walsh,Detroit Red Wings,Phoenix Coyotes
2009020487,Vancouver Canucks,3,Los Angeles Kings,1,Don VanMassenhoven,Chris Lee,Vancouver Canucks,Los Angeles Kings
2009020488,Pittsburgh Penguins,6,Philadelphia Flyers,1,Tim Peel,Francois StLaurent,Pittsburgh Penguins,Philadelphia Flyers
2009020489,St. Louis Blues,4,Calgary Flames,3,Justin StPierre,Stephen Walkom,St. Louis Blues,Calgary Flames
2009020490,Nashville Predators,7,Tampa Bay Lightning,4,Kerry Fraser,David Banfield,Nashville Predators,Tampa Bay Lightning
2009020491,Minnesota Wild,2,Columbus Blue Jackets,1,Bill McCreary,Dennis LaRue,Minnesota Wild,Columbus Blue Jackets
2009020492,Colorado Avalanche,1,Washington Capitals,6,Gord Dwyer,Brad Watson,Washington Capitals,Colorado Avalanche
2009020493,Edmonton Oilers,2,Los Angeles Kings,3,Wes McCauley,Chris Lee,Los Angeles Kings,Edmonton Oilers
2009020494,New Jersey Devils,2,Montréal Canadiens,1,Tim Peel,Rob Martell,New Jersey Devils,Montréal Canadiens
2009020495,New York Rangers,1,New York Islanders,2,Greg Kimmerly,Eric Furlatt,New York Islanders,New York Rangers
2009020496,Carolina Hurricanes,5,Dallas Stars,3,Dan O'Rourke,Stephen Walkom,Carolina Hurricanes,Dallas Stars
2009020497,Toronto Maple Leafs,3,Phoenix Coyotes,6,Brian Pochmara,Kevin Pollock,Phoenix Coyotes,Toronto Maple Leafs
2009020498,Ottawa Senators,2,Buffalo Sabres,0,Dan O'Halloran,Stephane Auger,Ottawa Senators,Buffalo Sabres
2009020499,Florida Panthers,4,Atlanta Thrashers,3,Paul Devorski,Dean Morton,Florida Panthers,Atlanta Thrashers
2009020500,Chicago Blackhawks,3,St. Louis Blues,0,Kerry Fraser,Ian Walsh,Chicago Blackhawks,St. Louis Blues
2009020501,Vancouver Canucks,2,Anaheim Ducks,3,Chris Rooney,Don VanMassenhoven,Anaheim Ducks,Vancouver Canucks
2009020502,Montréal Canadiens,1,Minnesota Wild,3,Marc Joannette,Rob Martell,Minnesota Wild,Montréal Canadiens
2009020503,New York Islanders,2,New York Rangers,5,Kelly Sutherland,Chris Ciamaga,New York Rangers,New York Islanders
2009020504,Philadelphia Flyers,2,Pittsburgh Penguins,2,Dan O'Rourke,Eric Furlatt,Philadelphia Flyers,Pittsburgh Penguins
2009020505,Atlanta Thrashers,6,Dallas Stars,5,Justin StPierre,Ian Walsh,Atlanta Thrashers,Dallas Stars
2009020506,Columbus Blue Jackets,1,Phoenix Coyotes,1,Kevin Pollock,David Banfield,Columbus Blue Jackets,Phoenix Coyotes
2009020507,Detroit Red Wings,3,Tampa Bay Lightning,0,Stephen Walkom,Francois StLaurent,Detroit Red Wings,Tampa Bay Lightning
2009020508,Calgary Flames,2,Los Angeles Kings,1,Chris Rooney,Don VanMassenhoven,Calgary Flames,Los Angeles Kings
2009020509,Edmonton Oilers,3,Nashville Predators,6,Wes McCauley,Steve Kozari,Nashville Predators,Edmonton Oilers
2009020510,San Jose Sharks,4,Anaheim Ducks,1,Bill McCreary,Gord Dwyer,San Jose Sharks,Anaheim Ducks
2009020511,New Jersey Devils,4,Ottawa Senators,2,Kelly Sutherland,Brian Pochmara,New Jersey Devils,Ottawa Senators
2009020512,Buffalo Sabres,5,Toronto Maple Leafs,2,Dan O'Halloran,Chris Ciamaga,Buffalo Sabres,Toronto Maple Leafs
2009020513,Florida Panthers,6,Carolina Hurricanes,3,Paul Devorski,Dean Morton,Florida Panthers,Carolina Hurricanes
2009020514,St. Louis Blues,3,Tampa Bay Lightning,6,Greg Kimmerly,Brad Watson,Tampa Bay Lightning,St. Louis Blues
2009020515,Chicago Blackhawks,4,Boston Bruins,4,Tim Peel,Francois StLaurent,Chicago Blackhawks,Boston Bruins
2009020516,Vancouver Canucks,3,Washington Capitals,2,Mike Leggo,Brad Meier,Vancouver Canucks,Washington Capitals
2009020517,Philadelphia Flyers,1,New York Rangers,2,Kerry Fraser,Ian Walsh,New York Rangers,Philadelphia Flyers
2009020518,Dallas Stars,4,Detroit Red Wings,3,Chris Lee,Tom Kowal,Dallas Stars,Detroit Red Wings
2009020519,Anaheim Ducks,4,Phoenix Coyotes,2,Dan O'Rourke,Gord Dwyer,Anaheim Ducks,Phoenix Coyotes
2009020520,Buffalo Sabres,1,Pittsburgh Penguins,1,Bill McCreary,Francois StLaurent,Buffalo Sabres,Pittsburgh Penguins
2009020521,Toronto Maple Leafs,2,Boston Bruins,0,Kelly Sutherland,Marc Joannette,Toronto Maple Leafs,Boston Bruins
2009020522,Ottawa Senators,4,Minnesota Wild,1,Ghislain Hebert,Eric Furlatt,Ottawa Senators,Minnesota Wild
2009020523,New York Islanders,0,Montréal Canadiens,3,Dan O'Halloran,Brian Pochmara,Montréal Canadiens,New York Islanders
2009020524,Carolina Hurricanes,3,Florida Panthers,2,Justin StPierre,Kevin Pollock,Carolina Hurricanes,Florida Panthers
2009020525,Atlanta Thrashers,4,New Jersey Devils,5,Greg Kimmerly,Brad Watson,New Jersey Devils,Atlanta Thrashers
2009020526,Calgary Flames,3,Nashville Predators,5,Wes McCauley,Steve Kozari,Nashville Predators,Calgary Flames
2009020527,Colorado Avalanche,5,Columbus Blue Jackets,2,Stephane Auger,Don VanMassenhoven,Colorado Avalanche,Columbus Blue Jackets
2009020528,Edmonton Oilers,2,Washington Capitals,4,Chris Rooney,Dennis LaRue,Washington Capitals,Edmonton Oilers
2009020529,Chicago Blackhawks,3,Detroit Red Wings,0,Paul Devorski,Kyle Rehman,Chicago Blackhawks,Detroit Red Wings
2009020530,Vancouver Canucks,1,St. Louis Blues,3,Mike Leggo,Steve Kozari,St. Louis Blues,Vancouver Canucks
2009020531,Toronto Maple Leafs,2,Buffalo Sabres,3,Dan Marouelli,Ian Walsh,Buffalo Sabres,Toronto Maple Leafs
2009020532,New York Islanders,2,Tampa Bay Lightning,4,Dan O'Halloran,Ghislain Hebert,Tampa Bay Lightning,New York Islanders
2009020533,Philadelphia Flyers,1,Florida Panthers,4,Kerry Fraser,Brian Pochmara,Florida Panthers,Philadelphia Flyers
2009020534,Carolina Hurricanes,1,New York Rangers,3,Frederick L'Ecuyer,Tim Peel,New York Rangers,Carolina Hurricanes
2009020535,Atlanta Thrashers,3,Montréal Canadiens,4,Dan O'Rourke,Kevin Pollock,Montréal Canadiens,Atlanta Thrashers
2009020536,Ottawa Senators,0,Boston Bruins,2,Justin StPierre,Marc Joannette,Boston Bruins,Ottawa Senators
2009020537,Pittsburgh Penguins,0,New Jersey Devils,4,Bill McCreary,Greg Kimmerly,New Jersey Devils,Pittsburgh Penguins
2009020538,Minnesota Wild,3,Colorado Avalanche,4,Wes McCauley,Stephen Walkom,Colorado Avalanche,Minnesota Wild
2009020539,Dallas Stars,2,San Jose Sharks,4,Stephane Auger,Brad Watson,San Jose Sharks,Dallas Stars
