code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1998020001,New York Rangers,0,Philadelphia Flyers,1,Bill McCreary,Jean Morin,Philadelphia Flyers,New York Rangers
1998020002,Florida Panthers,4,Tampa Bay Lightning,1,Kerry Fraser,Pierre Racicot,Florida Panthers,Tampa Bay Lightning
1998020003,Calgary Flames,3,San Jose Sharks,3,GREGSON,Murphy,Calgary Flames,San Jose Sharks
1998020004,Boston Bruins,3,St. Louis Blues,3,Blaine Angus,Kevin Collins,Boston Bruins,St. Louis Blues
1998020005,Toronto Maple Leafs,2,Detroit Red Wings,1,Dave Jackson,Ray Scapinello,Toronto Maple Leafs,Detroit Red Wings
1998020006,Montréal Canadiens,7,New York Rangers,1,Lance Roberts,Pierre Champoux,Montréal Canadiens,New York Rangers
1998020007,New York Islanders,3,Pittsburgh Penguins,4,Kevin Maguire,Jean Morin,Pittsburgh Penguins,New York Islanders
1998020008,Washington Capitals,1,Anaheim Ducks,0,Mark Faucette,Mike Cvik,Washington Capitals,Anaheim Ducks
1998020009,Carolina Hurricanes,4,Tampa Bay Lightning,4,Paul Devorski,Pat Dapuzzo,Carolina Hurricanes,Tampa Bay Lightning
1998020010,Chicago Blackhawks,2,New Jersey Devils,1,Richard Trottier,Dan Schachte,Chicago Blackhawks,New Jersey Devils
1998020011,Nashville Predators,0,Florida Panthers,1,Dan Marouelli,Danny McCourt,Florida Panthers,Nashville Predators
1998020012,Colorado Avalanche,3,Ottawa Senators,4,Dan O'Halloran,Baron Parker,Ottawa Senators,Colorado Avalanche
1998020013,Edmonton Oilers,1,Los Angeles Kings,2,Stephen Walkom,Swede Knox,Los Angeles Kings,Edmonton Oilers
1998020014,Dallas Stars,4,Buffalo Sabres,1,Don Van Massenhoven,Thor Nelson,Dallas Stars,Buffalo Sabres
1998020015,San Jose Sharks,3,Calgary Flames,5,KOHARSKI,Murphy,Calgary Flames,San Jose Sharks
1998020016,Philadelphia Flyers,4,Anaheim Ducks,1,Paul Devorski,Pat Dapuzzo,Philadelphia Flyers,Anaheim Ducks
1998020017,Phoenix Coyotes,1,Ottawa Senators,4,Dan O'Halloran,Baron Parker,Ottawa Senators,Phoenix Coyotes
1998020018,Boston Bruins,3,New York Islanders,0,Mark Faucette,Mike Cvik,Boston Bruins,New York Islanders
1998020019,New York Rangers,2,St. Louis Blues,4,Kerry Fraser,Kevin Collins,St. Louis Blues,New York Rangers
1998020020,Colorado Avalanche,0,Buffalo Sabres,3,Robbie Shick,Thor Nelson,Buffalo Sabres,Colorado Avalanche
1998020021,Vancouver Canucks,4,Los Angeles Kings,2,Stephen Walkom,Brad Lazarowich,Vancouver Canucks,Los Angeles Kings
1998020022,Montréal Canadiens,1,Anaheim Ducks,0,Mark Faucette,Mike Cvik,Montréal Canadiens,Anaheim Ducks
1998020023,Washington Capitals,2,Detroit Red Wings,3,Paul Devorski,Ray Scapinello,Detroit Red Wings,Washington Capitals
1998020024,Nashville Predators,3,Carolina Hurricanes,2,Dennis Larue,Pat Dapuzzo,Nashville Predators,Carolina Hurricanes
1998020025,Edmonton Oilers,2,Toronto Maple Leafs,3,Stephen Walkom,Don Henderson,Toronto Maple Leafs,Edmonton Oilers
1998020026,Dallas Stars,3,Chicago Blackhawks,1,Bill McCreary,Baron Parker,Dallas Stars,Chicago Blackhawks
1998020027,New Jersey Devils,1,Pittsburgh Penguins,3,Lance Roberts,Ray Scapinello,Pittsburgh Penguins,New Jersey Devils
1998020028,Tampa Bay Lightning,0,New York Islanders,2,Richard Trottier,Pierre Champoux,New York Islanders,Tampa Bay Lightning
1998020029,Colorado Avalanche,0,Boston Bruins,3,Bill McCreary,Thor Nelson,Boston Bruins,Colorado Avalanche
1998020030,Vancouver Canucks,1,Edmonton Oilers,4,Don Van Massenhoven,Brad Lazarowich,Edmonton Oilers,Vancouver Canucks
1998020031,Carolina Hurricanes,2,Dallas Stars,2,Brad Watson,Pierre Racicot,Carolina Hurricanes,Dallas Stars
1998020032,Chicago Blackhawks,3,Anaheim Ducks,5,Kerry Fraser,Danny McCourt,Anaheim Ducks,Chicago Blackhawks
1998020033,Phoenix Coyotes,5,Colorado Avalanche,2,Kevin Maguire,Jay Sharrers,Phoenix Coyotes,Colorado Avalanche
1998020034,Buffalo Sabres,2,Florida Panthers,2,Dave Jackson,Mike Cvik,Buffalo Sabres,Florida Panthers
1998020035,New York Rangers,1,New Jersey Devils,2,Denis LaRue,Mark Faucette,New Jersey Devils,New York Rangers
1998020036,Washington Capitals,2,Montréal Canadiens,2,Lance Roberts,Pierre Racicot,Washington Capitals,Montréal Canadiens
1998020037,Tampa Bay Lightning,2,Philadelphia Flyers,5,Robbie Shick,Pierre Champoux,Philadelphia Flyers,Tampa Bay Lightning
1998020038,Detroit Red Wings,4,St. Louis Blues,1,Terry Gregson,Dan Schachte,Detroit Red Wings,St. Louis Blues
1998020039,Calgary Flames,3,Toronto Maple Leafs,7,Don Van Massenhoven,Don Henderson,Toronto Maple Leafs,Calgary Flames
1998020040,Los Angeles Kings,2,Boston Bruins,1,Bill McCreary,Kevin Maguire,Los Angeles Kings,Boston Bruins
1998020041,Montréal Canadiens,3,Buffalo Sabres,4,Dan O'Halloram,Dan Marouelli,Buffalo Sabres,Montréal Canadiens
1998020042,Ottawa Senators,3,Nashville Predators,1,Dave Jackson,Kevin Collins,Ottawa Senators,Nashville Predators
1998020043,New Jersey Devils,2,Edmonton Oilers,4,Greg Kimmerly,Jean Morin,Edmonton Oilers,New Jersey Devils
1998020044,Pittsburgh Penguins,3,New York Rangers,3,Stephen Walkom,Scott Driscoll,Pittsburgh Penguins,New York Rangers
1998020045,Carolina Hurricanes,1,Philadelphia Flyers,1,Lance Roberts,Dennis Larue,Carolina Hurricanes,Philadelphia Flyers
1998020046,Chicago Blackhawks,4,Dallas Stars,3,Don Koharski,Danny McCourt,Chicago Blackhawks,Dallas Stars
1998020047,St. Louis Blues,0,New York Islanders,1,Richard Trottier,Kerry Fraser,New York Islanders,St. Louis Blues
1998020048,Vancouver Canucks,4,Toronto Maple Leafs,1,Don Van Massenhoven,Bill McCreary,Vancouver Canucks,Toronto Maple Leafs
1998020049,Tampa Bay Lightning,1,Washington Capitals,4,Brad Watson,Terry Gregson,Washington Capitals,Tampa Bay Lightning
1998020050,Detroit Red Wings,2,Calgary Flames,0,Rob Shick,Paul Devorski,Detroit Red Wings,Calgary Flames
1998020051,Los Angeles Kings,5,Colorado Avalanche,5,Don Van Massenhoven,Wayne Bonney,Los Angeles Kings,Colorado Avalanche
1998020052,San Jose Sharks,0,Boston Bruins,3,Kevin Maguire,Shane Heyer,Boston Bruins,San Jose Sharks
1998020053,Toronto Maple Leafs,2,Nashville Predators,2,Rob Shick,Paul Devorski,Toronto Maple Leafs,Nashville Predators
1998020054,Montréal Canadiens,1,Chicago Blackhawks,2,Stephen Walkom,Scott Zelkin,Chicago Blackhawks,Montréal Canadiens
1998020055,Phoenix Coyotes,3,Boston Bruins,1,Richard Trottier,Kerry Fraser,Phoenix Coyotes,Boston Bruins
1998020056,New York Rangers,3,Edmonton Oilers,2,Denis LaRue,Don Koharski,New York Rangers,Edmonton Oilers
1998020057,Philadelphia Flyers,3,San Jose Sharks,1,Rob Martell,Dan Marouelli,Philadelphia Flyers,San Jose Sharks
1998020058,Carolina Hurricanes,3,Vancouver Canucks,1,Terry Gregson,Danny McCourt,Carolina Hurricanes,Vancouver Canucks
1998020059,Dallas Stars,3,Calgary Flames,1,Kerry Fraser,Swede Knox,Dallas Stars,Calgary Flames
1998020060,Montréal Canadiens,3,Ottawa Senators,2,Stephen Walkom,Jean Morin,Montréal Canadiens,Ottawa Senators
1998020061,New York Islanders,2,Edmonton Oilers,4,Greg Kimmerly,Dan Marouelli,Edmonton Oilers,New York Islanders
1998020062,Washington Capitals,1,Vancouver Canucks,2,Don Koharski,Pat Dapuzzo,Vancouver Canucks,Washington Capitals
1998020063,Tampa Bay Lightning,5,Pittsburgh Penguins,0,Brad Watson,Terry Gregson,Tampa Bay Lightning,Pittsburgh Penguins
1998020064,Florida Panthers,1,Los Angeles Kings,1,Mark Faucette,Bernard Degrace,Florida Panthers,Los Angeles Kings
1998020065,Detroit Red Wings,5,Nashville Predators,2,Scott Zelkin,Bill McCreary,Detroit Red Wings,Nashville Predators
1998020066,Anaheim Ducks,3,Boston Bruins,0,Richard Trottier,Lonnie Cameron,Anaheim Ducks,Boston Bruins
1998020067,Ottawa Senators,3,St. Louis Blues,5,Rob Shick,Dennis Larue,St. Louis Blues,Ottawa Senators
1998020068,New York Rangers,3,New York Islanders,2,Dan Marouelli,Brian Murphy,New York Rangers,New York Islanders
1998020069,Philadelphia Flyers,2,New Jersey Devils,3,Don Koharski,Gordon Broseker,New Jersey Devils,Philadelphia Flyers
1998020070,Chicago Blackhawks,2,San Jose Sharks,2,Dave Jackson,Don Henderson,Chicago Blackhawks,San Jose Sharks
1998020071,Dallas Stars,2,Phoenix Coyotes,1,Mike McGeough,Mike Leggo,Dallas Stars,Phoenix Coyotes
1998020072,Buffalo Sabres,0,Washington Capitals,1,Paul Devorski,Baron Parker,Washington Capitals,Buffalo Sabres
1998020073,Tampa Bay Lightning,3,Los Angeles Kings,2,Mark Faucette,Danny McCourt,Tampa Bay Lightning,Los Angeles Kings
1998020074,Florida Panthers,0,Vancouver Canucks,5,Terry Gregson,Pierre Racicot,Vancouver Canucks,Florida Panthers
1998020075,Detroit Red Wings,3,Toronto Maple Leafs,5,Stephen Walkom,Don Henderson,Toronto Maple Leafs,Detroit Red Wings
1998020076,Nashville Predators,3,Calgary Flames,4,Bernard Degrace,Dan Schachte,Calgary Flames,Nashville Predators
1998020077,Montréal Canadiens,0,Detroit Red Wings,3,Don Koharski,Jean Morin,Detroit Red Wings,Montréal Canadiens
1998020078,Ottawa Senators,1,Carolina Hurricanes,3,Paul Devorski,Mark Wheler,Carolina Hurricanes,Ottawa Senators
