,Ref,Score,Team
0,Dan O'Halloran,0,Montréal Canadiens
1,Dan O'Halloran,2,New York Rangers
2,Graham Skilliter,0,Montréal Canadiens
3,Graham Skilliter,2,New York Rangers
4,Brad Watson,4,Montréal Canadiens
5,Brad Watson,3,New York Rangers
6,Ghislain Hebert,4,Montréal Canadiens
7,Ghislain Hebert,3,New York Rangers
8,Dan O'Rourke,3,Montréal Canadiens
9,Dan O'Rourke,1,New York Rangers
10,Jean Hebert,3,Montréal Canadiens
11,Jean Hebert,1,New York Rangers
12,Eric Furlatt,1,Montréal Canadiens
13,Eric Furlatt,2,New York Rangers
14,Francis Charron,1,Montréal Canadiens
15,Francis Charron,2,New York Rangers
16,Gord Dwyer,2,Montréal Canadiens
17,Gord Dwyer,3,New York Rangers
18,Jon McIsaac,2,Montréal Canadiens
19,Jon McIsaac,3,New York Rangers
20,Chris Rooney,1,Montréal Canadiens
21,Chris Rooney,3,New York Rangers
22,Eric Furlatt,1,Montréal Canadiens
23,Eric Furlatt,3,New York Rangers
24,Brad Watson,2,Boston Bruins
25,Brad Watson,1,Ottawa Senators
26,Ghislain Hebert,2,Boston Bruins
27,Ghislain Hebert,1,Ottawa Senators
28,Brad Watson,3,Boston Bruins
29,Brad Watson,4,Ottawa Senators
30,Gord Dwyer,3,Boston Bruins
31,Gord Dwyer,4,Ottawa Senators
32,Ghislain Hebert,3,Boston Bruins
33,Ghislain Hebert,4,Ottawa Senators
34,Tim Peel,3,Boston Bruins
35,Tim Peel,4,Ottawa Senators
36,Graham Skilliter,0,Boston Bruins
37,Graham Skilliter,1,Ottawa Senators
38,Kevin Pollock,0,Boston Bruins
39,Kevin Pollock,1,Ottawa Senators
40,Jon McIsaac,3,Boston Bruins
41,Jon McIsaac,2,Ottawa Senators
42,Kelly Sutherland,3,Boston Bruins
43,Kelly Sutherland,2,Ottawa Senators
44,Dan O'Halloran,2,Boston Bruins
45,Dan O'Halloran,3,Ottawa Senators
46,Jean Hebert,2,Boston Bruins
47,Jean Hebert,3,Ottawa Senators
48,Gord Dwyer,2,Toronto Maple Leafs
49,Gord Dwyer,3,Washington Capitals
50,Marc Joannette,2,Toronto Maple Leafs
51,Marc Joannette,3,Washington Capitals
52,Eric Furlatt,4,Toronto Maple Leafs
53,Eric Furlatt,3,Washington Capitals
54,Tim Peel,4,Toronto Maple Leafs
55,Tim Peel,3,Washington Capitals
56,Dan O'Halloran,4,Toronto Maple Leafs
57,Dan O'Halloran,3,Washington Capitals
58,Garrett Rank,4,Toronto Maple Leafs
59,Garrett Rank,3,Washington Capitals
60,Chris Lee,4,Toronto Maple Leafs
61,Chris Lee,5,Washington Capitals
62,Kelly Sutherland,4,Toronto Maple Leafs
