code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2002030111,Ottawa Senators,0,New York Islanders,3,Marc Joannette,Bill McCreary,New York Islanders,Ottawa Senators
2002030112,Ottawa Senators,3,New York Islanders,0,Paul Devorski,Michael McGeough,Ottawa Senators,New York Islanders
2002030113,New York Islanders,2,Ottawa Senators,3,Kerry Fraser,Chris Rooney,Ottawa Senators,New York Islanders
2002030114,New York Islanders,1,Ottawa Senators,3,Dennis LaRue,Bill McCreary,Ottawa Senators,New York Islanders
2002030115,Ottawa Senators,4,New York Islanders,1,Dan Marouelli,Kelly Sutherland,Ottawa Senators,New York Islanders
2002030121,New Jersey Devils,2,Boston Bruins,1,Kerry Fraser,Kelly Sutherland,New Jersey Devils,Boston Bruins
2002030122,New Jersey Devils,4,Boston Bruins,2,Kevin Pollock,Brad Watson,New Jersey Devils,Boston Bruins
2002030123,Boston Bruins,0,New Jersey Devils,3,Marc Joannette,Bill McCreary,New Jersey Devils,Boston Bruins
2002030124,Boston Bruins,5,New Jersey Devils,1,Kerry Fraser,Dan O'Halloran,Boston Bruins,New Jersey Devils
2002030125,New Jersey Devils,3,Boston Bruins,0,Paul Devorski,Don Koharski,New Jersey Devils,Boston Bruins
2002030131,Tampa Bay Lightning,0,Washington Capitals,3,Dan O'Halloran,Don Van Massenhoven,Washington Capitals,Tampa Bay Lightning
2002030132,Tampa Bay Lightning,3,Washington Capitals,6,Kerry Fraser,Kelly Sutherland,Washington Capitals,Tampa Bay Lightning
2002030133,Washington Capitals,3,Tampa Bay Lightning,4,Dennis LaRue,Bill McCreary,Tampa Bay Lightning,Washington Capitals
2002030134,Washington Capitals,1,Tampa Bay Lightning,3,Paul Devorski,Tim Peel,Tampa Bay Lightning,Washington Capitals
2002030135,Tampa Bay Lightning,2,Washington Capitals,1,Dave Jackson,Brad Watson,Tampa Bay Lightning,Washington Capitals
2002030136,Washington Capitals,1,Tampa Bay Lightning,2,Paul Devorski,Rob Shick,Tampa Bay Lightning,Washington Capitals
2002030141,Philadelphia Flyers,3,Toronto Maple Leafs,5,Stephane Auger,Stephen Walkom,Toronto Maple Leafs,Philadelphia Flyers
2002030142,Philadelphia Flyers,4,Toronto Maple Leafs,1,Marc Joannette,Bill McCreary,Philadelphia Flyers,Toronto Maple Leafs
2002030143,Toronto Maple Leafs,4,Philadelphia Flyers,3,Paul Devorski,Kevin Pollock,Toronto Maple Leafs,Philadelphia Flyers
2002030144,Toronto Maple Leafs,2,Philadelphia Flyers,3,Don Koharski,Stephen Walkom,Philadelphia Flyers,Toronto Maple Leafs
2002030145,Philadelphia Flyers,4,Toronto Maple Leafs,1,Don Koharski,Stephen Walkom,Philadelphia Flyers,Toronto Maple Leafs
2002030146,Toronto Maple Leafs,2,Philadelphia Flyers,1,Paul Devorski,Dan Marouelli,Toronto Maple Leafs,Philadelphia Flyers
2002030147,Philadelphia Flyers,6,Toronto Maple Leafs,1,Don Koharski,Dan Marouelli,Philadelphia Flyers,Toronto Maple Leafs
2002030151,Dallas Stars,1,Edmonton Oilers,2,Don Koharski,Tim Peel,Edmonton Oilers,Dallas Stars
2002030152,Dallas Stars,6,Edmonton Oilers,1,Dennis LaRue,Don Van Massenhoven,Dallas Stars,Edmonton Oilers
2002030153,Edmonton Oilers,3,Dallas Stars,2,Dan Marouelli,Dean Warren,Edmonton Oilers,Dallas Stars
2002030154,Edmonton Oilers,1,Dallas Stars,3,Dan Marouelli,Brad Meier,Dallas Stars,Edmonton Oilers
2002030155,Dallas Stars,5,Edmonton Oilers,2,Michael McGeough,Brad Watson,Dallas Stars,Edmonton Oilers
2002030156,Edmonton Oilers,2,Dallas Stars,3,Kerry Fraser,Kevin Pollock,Dallas Stars,Edmonton Oilers
2002030161,Detroit Red Wings,1,Anaheim Ducks,2,Kevin Pollock,Brad Watson,Anaheim Ducks,Detroit Red Wings
2002030162,Detroit Red Wings,2,Anaheim Ducks,3,Eric Furlatt,Stephen Walkom,Anaheim Ducks,Detroit Red Wings
2002030163,Anaheim Ducks,2,Detroit Red Wings,1,Don Van Massenhoven,Brad Watson,Anaheim Ducks,Detroit Red Wings
2002030164,Anaheim Ducks,3,Detroit Red Wings,2,Dave Jackson,Rob Shick,Anaheim Ducks,Detroit Red Wings
