,Ref,Score,Team
0,Bill McCreary,0,New York Rangers
1,Bill McCreary,1,Philadelphia Flyers
2,Jean Morin,0,New York Rangers
3,Jean Morin,1,Philadelphia Flyers
4,Kerry Fraser,4,Florida Panthers
5,Kerry Fraser,1,Tampa Bay Lightning
6,Pierre Racicot,4,Florida Panthers
7,Pierre Racicot,1,Tampa Bay Lightning
8,GREGSON,3,Calgary Flames
9,GREGSON,3,San Jose Sharks
10,Murphy,3,Calgary Flames
11,Murphy,3,San Jose Sharks
12,Blaine Angus,3,Boston Bruins
13,Blaine Angus,3,St. Louis Blues
14,Kevin Collins,3,Boston Bruins
15,Kevin Collins,3,St. Louis Blues
16,Dave Jackson,1,Detroit Red Wings
17,Dave Jackson,2,Toronto Maple Leafs
18,Ray Scapinello,1,Detroit Red Wings
19,Ray Scapinello,2,Toronto Maple Leafs
20,Lance Roberts,7,Montréal Canadiens
21,Lance Roberts,1,New York Rangers
22,Pierre Champoux,7,Montréal Canadiens
23,Pierre Champoux,1,New York Rangers
24,Jean Morin,3,New York Islanders
25,Jean Morin,4,Pittsburgh Penguins
26,Kevin Maguire,3,New York Islanders
27,Kevin Maguire,4,Pittsburgh Penguins
28,Mark Faucette,0,Anaheim Ducks
29,Mark Faucette,1,Washington Capitals
30,Mike Cvik,0,Anaheim Ducks
31,Mike Cvik,1,Washington Capitals
32,Pat Dapuzzo,4,Carolina Hurricanes
33,Pat Dapuzzo,4,Tampa Bay Lightning
34,Paul Devorski,4,Carolina Hurricanes
35,Paul Devorski,4,Tampa Bay Lightning
36,Dan Schachte,2,Chicago Blackhawks
37,Dan Schachte,1,New Jersey Devils
38,Richard Trottier,2,Chicago Blackhawks
39,Richard Trottier,1,New Jersey Devils
40,Dan Marouelli,1,Florida Panthers
41,Dan Marouelli,0,Nashville Predators
42,Danny McCourt,1,Florida Panthers
43,Danny McCourt,0,Nashville Predators
44,Baron Parker,3,Colorado Avalanche
45,Baron Parker,4,Ottawa Senators
46,Dan O'Halloran,3,Colorado Avalanche
47,Dan O'Halloran,4,Ottawa Senators
48,Stephen Walkom,1,Edmonton Oilers
49,Stephen Walkom,2,Los Angeles Kings
50,Swede Knox,1,Edmonton Oilers
51,Swede Knox,2,Los Angeles Kings
52,Don Van Massenhoven,1,Buffalo Sabres
53,Don Van Massenhoven,4,Dallas Stars
54,Thor Nelson,1,Buffalo Sabres
55,Thor Nelson,4,Dallas Stars
56,KOHARSKI,5,Calgary Flames
57,KOHARSKI,3,San Jose Sharks
58,Murphy,5,Calgary Flames
59,Murphy,3,San Jose Sharks
60,Pat Dapuzzo,1,Anaheim Ducks
61,Pat Dapuzzo,4,Philadelphia Flyers
62,Paul Devorski,1,Anaheim Ducks
63,Paul Devorski,4,Philadelphia Flyers
64,Baron Parker,4,Ottawa Senators
65,Baron Parker,1,Phoenix Coyotes
66,Dan O'Halloran,4,Ottawa Senators
67,Dan O'Halloran,1,Phoenix Coyotes
68,Mark Faucette,3,Boston Bruins
69,Mark Faucette,0,New York Islanders
70,Mike Cvik,3,Boston Bruins
71,Mike Cvik,0,New York Islanders
72,Kerry Fraser,2,New York Rangers
73,Kerry Fraser,4,St. Louis Blues
74,Kevin Collins,2,New York Rangers
75,Kevin Collins,4,St. Louis Blues
76,Robbie Shick,3,Buffalo Sabres
77,Robbie Shick,0,Colorado Avalanche
78,Thor Nelson,3,Buffalo Sabres
79,Thor Nelson,0,Colorado Avalanche
80,Brad Lazarowich,2,Los Angeles Kings
81,Brad Lazarowich,4,Vancouver Canucks
82,Stephen Walkom,2,Los Angeles Kings
83,Stephen Walkom,4,Vancouver Canucks
84,Mark Faucette,0,Anaheim Ducks
85,Mark Faucette,1,Montréal Canadiens
86,Mike Cvik,0,Anaheim Ducks
87,Mike Cvik,1,Montréal Canadiens
88,Paul Devorski,3,Detroit Red Wings
89,Paul Devorski,2,Washington Capitals
90,Ray Scapinello,3,Detroit Red Wings
91,Ray Scapinello,2,Washington Capitals
92,Dennis Larue,2,Carolina Hurricanes
93,Dennis Larue,3,Nashville Predators
94,Pat Dapuzzo,2,Carolina Hurricanes
95,Pat Dapuzzo,3,Nashville Predators
96,Don Henderson,2,Edmonton Oilers
97,Don Henderson,3,Toronto Maple Leafs
98,Stephen Walkom,2,Edmonton Oilers
99,Stephen Walkom,3,Toronto Maple Leafs
100,Baron Parker,1,Chicago Blackhawks
101,Baron Parker,3,Dallas Stars
102,Bill McCreary,1,Chicago Blackhawks
103,Bill McCreary,3,Dallas Stars
104,Lance Roberts,1,New Jersey Devils
105,Lance Roberts,3,Pittsburgh Penguins
106,Ray Scapinello,1,New Jersey Devils
107,Ray Scapinello,3,Pittsburgh Penguins
108,Pierre Champoux,2,New York Islanders
109,Pierre Champoux,0,Tampa Bay Lightning
110,Richard Trottier,2,New York Islanders
111,Richard Trottier,0,Tampa Bay Lightning
112,Bill McCreary,3,Boston Bruins
113,Bill McCreary,0,Colorado Avalanche
114,Thor Nelson,3,Boston Bruins
115,Thor Nelson,0,Colorado Avalanche
116,Brad Lazarowich,4,Edmonton Oilers
117,Brad Lazarowich,1,Vancouver Canucks
118,Don Van Massenhoven,4,Edmonton Oilers
119,Don Van Massenhoven,1,Vancouver Canucks
120,Brad Watson,2,Carolina Hurricanes
121,Brad Watson,2,Dallas Stars
122,Pierre Racicot,2,Carolina Hurricanes
123,Pierre Racicot,2,Dallas Stars
124,Danny McCourt,5,Anaheim Ducks
125,Danny McCourt,3,Chicago Blackhawks
126,Kerry Fraser,5,Anaheim Ducks
127,Kerry Fraser,3,Chicago Blackhawks
128,Jay Sharrers,2,Colorado Avalanche
129,Jay Sharrers,5,Phoenix Coyotes
130,Kevin Maguire,2,Colorado Avalanche
131,Kevin Maguire,5,Phoenix Coyotes
132,Dave Jackson,2,Buffalo Sabres
133,Dave Jackson,2,Florida Panthers
134,Mike Cvik,2,Buffalo Sabres
135,Mike Cvik,2,Florida Panthers
136,Denis LaRue,2,New Jersey Devils
137,Denis LaRue,1,New York Rangers
138,Mark Faucette,2,New Jersey Devils
139,Mark Faucette,1,New York Rangers
140,Lance Roberts,2,Montréal Canadiens
141,Lance Roberts,2,Washington Capitals
142,Pierre Racicot,2,Montréal Canadiens
143,Pierre Racicot,2,Washington Capitals
144,Pierre Champoux,5,Philadelphia Flyers
145,Pierre Champoux,2,Tampa Bay Lightning
146,Robbie Shick,5,Philadelphia Flyers
147,Robbie Shick,2,Tampa Bay Lightning
148,Dan Schachte,4,Detroit Red Wings
149,Dan Schachte,1,St. Louis Blues
150,Terry Gregson,4,Detroit Red Wings
151,Terry Gregson,1,St. Louis Blues
152,Don Henderson,3,Calgary Flames
153,Don Henderson,7,Toronto Maple Leafs
154,Don Van Massenhoven,3,Calgary Flames
155,Don Van Massenhoven,7,Toronto Maple Leafs
156,Bill McCreary,1,Boston Bruins
157,Bill McCreary,2,Los Angeles Kings
158,Kevin Maguire,1,Boston Bruins
159,Kevin Maguire,2,Los Angeles Kings
160,Dan Marouelli,4,Buffalo Sabres
161,Dan Marouelli,3,Montréal Canadiens
162,Dan O'Halloram,4,Buffalo Sabres
163,Dan O'Halloram,3,Montréal Canadiens
164,Dave Jackson,1,Nashville Predators
165,Dave Jackson,3,Ottawa Senators
166,Kevin Collins,1,Nashville Predators
167,Kevin Collins,3,Ottawa Senators
168,Greg Kimmerly,4,Edmonton Oilers
169,Greg Kimmerly,2,New Jersey Devils
170,Jean Morin,4,Edmonton Oilers
171,Jean Morin,2,New Jersey Devils
172,Scott Driscoll,3,New York Rangers
173,Scott Driscoll,3,Pittsburgh Penguins
174,Stephen Walkom,3,New York Rangers
175,Stephen Walkom,3,Pittsburgh Penguins
176,Dennis Larue,1,Carolina Hurricanes
177,Dennis Larue,1,Philadelphia Flyers
178,Lance Roberts,1,Carolina Hurricanes
179,Lance Roberts,1,Philadelphia Flyers
180,Danny McCourt,4,Chicago Blackhawks
181,Danny McCourt,3,Dallas Stars
182,Don Koharski,4,Chicago Blackhawks
183,Don Koharski,3,Dallas Stars
184,Kerry Fraser,1,New York Islanders
185,Kerry Fraser,0,St. Louis Blues
186,Richard Trottier,1,New York Islanders
187,Richard Trottier,0,St. Louis Blues
188,Bill McCreary,1,Toronto Maple Leafs
189,Bill McCreary,4,Vancouver Canucks
190,Don Van Massenhoven,1,Toronto Maple Leafs
191,Don Van Massenhoven,4,Vancouver Canucks
192,Brad Watson,1,Tampa Bay Lightning
193,Brad Watson,4,Washington Capitals
194,Terry Gregson,1,Tampa Bay Lightning
195,Terry Gregson,4,Washington Capitals
196,Paul Devorski,0,Calgary Flames
197,Paul Devorski,2,Detroit Red Wings
198,Rob Shick,0,Calgary Flames
199,Rob Shick,2,Detroit Red Wings
200,Don Van Massenhoven,5,Colorado Avalanche
201,Don Van Massenhoven,5,Los Angeles Kings
202,Wayne Bonney,5,Colorado Avalanche
203,Wayne Bonney,5,Los Angeles Kings
204,Kevin Maguire,3,Boston Bruins
205,Kevin Maguire,0,San Jose Sharks
206,Shane Heyer,3,Boston Bruins
207,Shane Heyer,0,San Jose Sharks
208,Paul Devorski,2,Nashville Predators
209,Paul Devorski,2,Toronto Maple Leafs
210,Rob Shick,2,Nashville Predators
211,Rob Shick,2,Toronto Maple Leafs
212,Scott Zelkin,2,Chicago Blackhawks
213,Scott Zelkin,1,Montréal Canadiens
214,Stephen Walkom,2,Chicago Blackhawks
215,Stephen Walkom,1,Montréal Canadiens
216,Kerry Fraser,1,Boston Bruins
217,Kerry Fraser,3,Phoenix Coyotes
218,Richard Trottier,1,Boston Bruins
219,Richard Trottier,3,Phoenix Coyotes
220,Denis LaRue,2,Edmonton Oilers
221,Denis LaRue,3,New York Rangers
222,Don Koharski,2,Edmonton Oilers
223,Don Koharski,3,New York Rangers
224,Dan Marouelli,3,Philadelphia Flyers
225,Dan Marouelli,1,San Jose Sharks
226,Rob Martell,3,Philadelphia Flyers
227,Rob Martell,1,San Jose Sharks
228,Danny McCourt,3,Carolina Hurricanes
229,Danny McCourt,1,Vancouver Canucks
230,Terry Gregson,3,Carolina Hurricanes
231,Terry Gregson,1,Vancouver Canucks
232,Kerry Fraser,1,Calgary Flames
233,Kerry Fraser,3,Dallas Stars
234,Swede Knox,1,Calgary Flames
235,Swede Knox,3,Dallas Stars
236,Jean Morin,3,Montréal Canadiens
237,Jean Morin,2,Ottawa Senators
238,Stephen Walkom,3,Montréal Canadiens
239,Stephen Walkom,2,Ottawa Senators
240,Dan Marouelli,4,Edmonton Oilers
241,Dan Marouelli,2,New York Islanders
242,Greg Kimmerly,4,Edmonton Oilers
243,Greg Kimmerly,2,New York Islanders
244,Don Koharski,2,Vancouver Canucks
245,Don Koharski,1,Washington Capitals
246,Pat Dapuzzo,2,Vancouver Canucks
247,Pat Dapuzzo,1,Washington Capitals
248,Brad Watson,0,Pittsburgh Penguins
249,Brad Watson,5,Tampa Bay Lightning
250,Terry Gregson,0,Pittsburgh Penguins
251,Terry Gregson,5,Tampa Bay Lightning
252,Bernard Degrace,1,Florida Panthers
253,Bernard Degrace,1,Los Angeles Kings
254,Mark Faucette,1,Florida Panthers
255,Mark Faucette,1,Los Angeles Kings
256,Bill McCreary,5,Detroit Red Wings
257,Bill McCreary,2,Nashville Predators
258,Scott Zelkin,5,Detroit Red Wings
259,Scott Zelkin,2,Nashville Predators
260,Lonnie Cameron,3,Anaheim Ducks
261,Lonnie Cameron,0,Boston Bruins
262,Richard Trottier,3,Anaheim Ducks
263,Richard Trottier,0,Boston Bruins
264,Dennis Larue,3,Ottawa Senators
265,Dennis Larue,5,St. Louis Blues
266,Rob Shick,3,Ottawa Senators
267,Rob Shick,5,St. Louis Blues
