,Ref,Score,Team
0,Dan O'Halloran,4,New York Rangers
1,Dan O'Halloran,2,Ottawa Senators
2,Tom Kowal,4,New York Rangers
3,Tom Kowal,2,Ottawa Senators
4,Ian Walsh,2,New York Rangers
5,Ian Walsh,3,Ottawa Senators
6,Stephen Walkom,2,New York Rangers
7,Stephen Walkom,3,Ottawa Senators
8,Brad Watson,1,New York Rangers
9,Brad Watson,0,Ottawa Senators
10,Mike Leggo,1,New York Rangers
11,Mike Leggo,0,Ottawa Senators
12,Eric Furlatt,2,New York Rangers
13,Eric Furlatt,3,Ottawa Senators
14,Francois StLaurent,2,New York Rangers
15,Francois StLaurent,3,Ottawa Senators
16,Brian Pochmara,0,New York Rangers
17,Brian Pochmara,2,Ottawa Senators
18,Marc Joannette,0,New York Rangers
19,Marc Joannette,2,Ottawa Senators
20,Steve Kozari,3,New York Rangers
21,Steve Kozari,2,Ottawa Senators
22,Tim Peel,3,New York Rangers
23,Tim Peel,2,Ottawa Senators
24,Brad Watson,2,New York Rangers
25,Brad Watson,1,Ottawa Senators
26,Dan O'Halloran,2,New York Rangers
27,Dan O'Halloran,1,Ottawa Senators
28,Ian Walsh,1,Boston Bruins
29,Ian Walsh,0,Washington Capitals
30,Stephen Walkom,1,Boston Bruins
31,Stephen Walkom,0,Washington Capitals
32,Dan O'Halloran,1,Boston Bruins
33,Dan O'Halloran,2,Washington Capitals
34,Tom Kowal,1,Boston Bruins
35,Tom Kowal,2,Washington Capitals
36,Chris Lee,4,Boston Bruins
37,Chris Lee,3,Washington Capitals
38,Wes McCauley,4,Boston Bruins
39,Wes McCauley,3,Washington Capitals
40,Brian Pochmara,1,Boston Bruins
41,Brian Pochmara,2,Washington Capitals
42,Marc Joannette,1,Boston Bruins
43,Marc Joannette,2,Washington Capitals
44,Steve Kozari,3,Boston Bruins
45,Steve Kozari,4,Washington Capitals
46,Tim Peel,3,Boston Bruins
47,Tim Peel,4,Washington Capitals
48,Dan O'Rourke,4,Boston Bruins
49,Dan O'Rourke,3,Washington Capitals
50,Paul Devorski,4,Boston Bruins
51,Paul Devorski,3,Washington Capitals
52,Eric Furlatt,1,Boston Bruins
53,Eric Furlatt,2,Washington Capitals
54,Stephen Walkom,1,Boston Bruins
55,Stephen Walkom,2,Washington Capitals
56,Eric Furlatt,2,Florida Panthers
57,Eric Furlatt,3,New Jersey Devils
58,Francois StLaurent,2,Florida Panthers
59,Francois StLaurent,3,New Jersey Devils
60,Brad Meier,4,Florida Panthers
61,Brad Meier,2,New Jersey Devils
62,Chris Rooney,4,Florida Panthers
63,Chris Rooney,2,New Jersey Devils
64,Steve Kozari,4,Florida Panthers
65,Steve Kozari,3,New Jersey Devils
66,Tim Peel,4,Florida Panthers
67,Tim Peel,3,New Jersey Devils
68,Ian Walsh,0,Florida Panthers
69,Ian Walsh,4,New Jersey Devils
70,Stephen Walkom,0,Florida Panthers
71,Stephen Walkom,4,New Jersey Devils
72,Chris Lee,3,Florida Panthers
73,Chris Lee,0,New Jersey Devils
74,Wes McCauley,3,Florida Panthers
75,Wes McCauley,0,New Jersey Devils
76,Brian Pochmara,2,Florida Panthers
77,Brian Pochmara,3,New Jersey Devils
78,Marc Joannette,2,Florida Panthers
79,Marc Joannette,3,New Jersey Devils
80,Chris Rooney,2,Florida Panthers
81,Chris Rooney,3,New Jersey Devils
82,Dan O'Rourke,2,Florida Panthers
83,Dan O'Rourke,3,New Jersey Devils
84,Brad Watson,4,Philadelphia Flyers
85,Brad Watson,3,Pittsburgh Penguins
86,Mike Leggo,4,Philadelphia Flyers
87,Mike Leggo,3,Pittsburgh Penguins
88,Steve Kozari,8,Philadelphia Flyers
89,Steve Kozari,5,Pittsburgh Penguins
90,Tim Peel,8,Philadelphia Flyers
91,Tim Peel,5,Pittsburgh Penguins
92,Eric Furlatt,8,Philadelphia Flyers
93,Eric Furlatt,4,Pittsburgh Penguins
94,Francois StLaurent,8,Philadelphia Flyers
95,Francois StLaurent,4,Pittsburgh Penguins
96,Chris Lee,3,Philadelphia Flyers
97,Chris Lee,10,Pittsburgh Penguins
98,Wes McCauley,3,Philadelphia Flyers
99,Wes McCauley,10,Pittsburgh Penguins
100,Dan O'Rourke,2,Philadelphia Flyers
101,Dan O'Rourke,3,Pittsburgh Penguins
102,Paul Devorski,2,Philadelphia Flyers
103,Paul Devorski,3,Pittsburgh Penguins
104,Kelly Sutherland,5,Philadelphia Flyers
105,Kelly Sutherland,1,Pittsburgh Penguins
106,Kevin Pollock,5,Philadelphia Flyers
107,Kevin Pollock,1,Pittsburgh Penguins
108,Dan O'Rourke,4,Los Angeles Kings
109,Dan O'Rourke,2,Vancouver Canucks
