,Ref,Score,Team
0,Dave Jackson,4,Montréal Canadiens
1,Dave Jackson,3,Ottawa Senators
2,Steve Kozari,4,Montréal Canadiens
3,Steve Kozari,3,Ottawa Senators
4,Eric Furlatt,3,Montréal Canadiens
5,Eric Furlatt,2,Ottawa Senators
6,Gord Dwyer,3,Montréal Canadiens
7,Gord Dwyer,2,Ottawa Senators
8,Dan O'Halloran,2,Montréal Canadiens
9,Dan O'Halloran,1,Ottawa Senators
10,Dan O'Rourke,2,Montréal Canadiens
11,Dan O'Rourke,1,Ottawa Senators
12,Francis Charron,0,Montréal Canadiens
13,Francis Charron,1,Ottawa Senators
14,Kelly Sutherland,0,Montréal Canadiens
15,Kelly Sutherland,1,Ottawa Senators
16,Brad Meier,1,Montréal Canadiens
17,Brad Meier,5,Ottawa Senators
18,Kevin Pollock,1,Montréal Canadiens
19,Kevin Pollock,5,Ottawa Senators
20,Brad Watson,2,Montréal Canadiens
21,Brad Watson,0,Ottawa Senators
22,Brian Pochmara,2,Montréal Canadiens
23,Brian Pochmara,0,Ottawa Senators
24,Chris Rooney,3,Detroit Red Wings
25,Chris Rooney,2,Tampa Bay Lightning
26,Kelly Sutherland,3,Detroit Red Wings
27,Kelly Sutherland,2,Tampa Bay Lightning
28,Justin St. Pierre ,1,Detroit Red Wings
29,Justin St. Pierre ,5,Tampa Bay Lightning
30,Wes McCauley,1,Detroit Red Wings
31,Wes McCauley,5,Tampa Bay Lightning
32,Brad Watson,3,Detroit Red Wings
33,Brad Watson,0,Tampa Bay Lightning
34,Chris Lee,3,Detroit Red Wings
35,Chris Lee,0,Tampa Bay Lightning
36,Dan O'Halloran,2,Detroit Red Wings
37,Dan O'Halloran,3,Tampa Bay Lightning
38,Mike Leggo,2,Detroit Red Wings
39,Mike Leggo,3,Tampa Bay Lightning
40,Francis Charron,4,Detroit Red Wings
41,Francis Charron,0,Tampa Bay Lightning
42,Mike Leggo,4,Detroit Red Wings
43,Mike Leggo,0,Tampa Bay Lightning
44,Dave Jackson,2,Detroit Red Wings
45,Dave Jackson,5,Tampa Bay Lightning
46,Gord Dwyer,2,Detroit Red Wings
