,Ref,Score,Team
0,Kerry Fraser,2,New York Rangers
1,Kerry Fraser,1,Tampa Bay Lightning
2,Rob Shick,2,New York Rangers
3,Rob Shick,1,Tampa Bay Lightning
4,Dan O'Halloran,3,Ottawa Senators
5,Dan O'Halloran,4,Pittsburgh Penguins
6,Don Koharski,3,Ottawa Senators
7,Don Koharski,4,Pittsburgh Penguins
8,Kerry Fraser,2,New York Rangers
9,Kerry Fraser,1,Tampa Bay Lightning
10,Rob Shick,2,New York Rangers
11,Rob Shick,1,Tampa Bay Lightning
12,Dan O'Halloran,3,Ottawa Senators
13,Dan O'Halloran,1,Pittsburgh Penguins
14,Don Koharski,3,Ottawa Senators
15,Don Koharski,1,Pittsburgh Penguins
16,Brian Pochmara,2,Detroit Red Wings
17,Brian Pochmara,3,Toronto Maple Leafs
18,Dennis LaRue,2,Detroit Red Wings
19,Dennis LaRue,3,Toronto Maple Leafs
20,Greg Kimmerly,5,Boston Bruins
21,Greg Kimmerly,4,Colorado Avalanche
22,Mike Hasenfratz,5,Boston Bruins
23,Mike Hasenfratz,4,Colorado Avalanche
24,Mike Leggo,0,Calgary Flames
25,Mike Leggo,6,Vancouver Canucks
26,Stephane Auger,0,Calgary Flames
27,Stephane Auger,6,Vancouver Canucks
28,Brad Meier,1,Anaheim Ducks
29,Brad Meier,4,San Jose Sharks
30,Tom Kowal,1,Anaheim Ducks
31,Tom Kowal,4,San Jose Sharks
32,Dan Marouelli,2,New Jersey Devils
33,Dan Marouelli,1,New York Islanders
34,Steve Kozari,2,New Jersey Devils
35,Steve Kozari,1,New York Islanders
36,Dave Jackson,2,Chicago Blackhawks
37,Dave Jackson,4,New York Rangers
38,Wes McCauley,2,Chicago Blackhawks
39,Wes McCauley,4,New York Rangers
40,Chris Lee,6,Carolina Hurricanes
41,Chris Lee,4,Florida Panthers
42,Kevin Pollock,6,Carolina Hurricanes
43,Kevin Pollock,4,Florida Panthers
44,Ian Walsh,1,Buffalo Sabres
45,Ian Walsh,1,Montréal Canadiens
46,Paul Devorski,1,Buffalo Sabres
47,Paul Devorski,1,Montréal Canadiens
48,Justin StPierre,7,Atlanta Thrashers
49,Justin StPierre,4,Washington Capitals
50,Tim Peel,7,Atlanta Thrashers
51,Tim Peel,4,Washington Capitals
52,Don VanMassenhoven,2,Nashville Predators
53,Don VanMassenhoven,5,St. Louis Blues
54,Marc Joannette,2,Nashville Predators
55,Marc Joannette,5,St. Louis Blues
56,Greg Kimmerly,5,Columbus Blue Jackets
57,Greg Kimmerly,4,Dallas Stars
58,Mike Hasenfratz,5,Columbus Blue Jackets
59,Mike Hasenfratz,4,Dallas Stars
60,Ian Walsh,6,Montréal Canadiens
61,Ian Walsh,1,Toronto Maple Leafs
62,Paul Devorski,6,Montréal Canadiens
63,Paul Devorski,1,Toronto Maple Leafs
64,Chris Rooney,3,Detroit Red Wings
65,Chris Rooney,2,Ottawa Senators
66,Kelly Sutherland,3,Detroit Red Wings
67,Kelly Sutherland,2,Ottawa Senators
68,Dave Jackson,5,New York Islanders
69,Dave Jackson,2,St. Louis Blues
70,Wes McCauley,5,New York Islanders
71,Wes McCauley,2,St. Louis Blues
72,Dan Marouelli,4,New York Rangers
73,Dan Marouelli,3,Philadelphia Flyers
74,Steve Kozari,4,New York Rangers
75,Steve Kozari,3,Philadelphia Flyers
76,Bill McCreary,2,Chicago Blackhawks
77,Bill McCreary,4,Washington Capitals
78,Dean Morton,2,Chicago Blackhawks
79,Dean Morton,4,Washington Capitals
80,Kevin Pollock,2,Atlanta Thrashers
81,Kevin Pollock,3,Florida Panthers
82,Rob Martell,2,Atlanta Thrashers
83,Rob Martell,3,Florida Panthers
84,Chris Lee,2,New Jersey Devils
85,Chris Lee,1,Pittsburgh Penguins
86,Eric Furlatt,2,New Jersey Devils
87,Eric Furlatt,1,Pittsburgh Penguins
88,Dan O'Rourke,4,Carolina Hurricanes
89,Dan O'Rourke,3,Tampa Bay Lightning
90,Don Koharski,4,Carolina Hurricanes
91,Don Koharski,3,Tampa Bay Lightning
92,Justin StPierre,1,Dallas Stars
93,Justin StPierre,3,Nashville Predators
94,Tim Peel,1,Dallas Stars
95,Tim Peel,3,Nashville Predators
96,Dennis LaRue,3,Boston Bruins
97,Dennis LaRue,4,Minnesota Wild
98,Marc Joannette,3,Boston Bruins
99,Marc Joannette,4,Minnesota Wild
100,Mike Leggo,4,Calgary Flames
101,Mike Leggo,5,Vancouver Canucks
102,Stephane Auger,4,Calgary Flames
103,Stephane Auger,5,Vancouver Canucks
104,Gord Dwyer,1,Columbus Blue Jackets
105,Gord Dwyer,3,Phoenix Coyotes
106,Tom Kowal,1,Columbus Blue Jackets
107,Tom Kowal,3,Phoenix Coyotes
108,Brad Meier,1,Los Angeles Kings
109,Brad Meier,3,San Jose Sharks
110,Brad Watson,1,Los Angeles Kings
111,Brad Watson,3,San Jose Sharks
112,Mike Leggo,2,Colorado Avalanche
113,Mike Leggo,3,Edmonton Oilers
114,Stephane Auger,2,Colorado Avalanche
115,Stephane Auger,3,Edmonton Oilers
116,Gord Dwyer,2,Anaheim Ducks
117,Gord Dwyer,4,Phoenix Coyotes
118,Tom Kowal,2,Anaheim Ducks
119,Tom Kowal,4,Phoenix Coyotes
120,Greg Kimmerly,0,Los Angeles Kings
121,Greg Kimmerly,1,San Jose Sharks
122,Mike Hasenfratz,0,Los Angeles Kings
123,Mike Hasenfratz,1,San Jose Sharks
124,Chris Rooney,4,St. Louis Blues
125,Chris Rooney,4,Toronto Maple Leafs
126,Kelly Sutherland,4,St. Louis Blues
127,Kelly Sutherland,4,Toronto Maple Leafs
