code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2001030223,Ottawa Senators,3,Toronto Maple Leafs,2,Don Koharski,Brad Watson,Ottawa Senators,Toronto Maple Leafs
2001030224,Ottawa Senators,1,Toronto Maple Leafs,2,Kerry Fraser,Kevin Pollock,Toronto Maple Leafs,Ottawa Senators
2001030225,Toronto Maple Leafs,2,Ottawa Senators,4,Rob Shick,Stephen Walkom,Ottawa Senators,Toronto Maple Leafs
2001030226,Ottawa Senators,3,Toronto Maple Leafs,4,Dave Jackson,Bill McCreary,Toronto Maple Leafs,Ottawa Senators
2001030227,Toronto Maple Leafs,3,Ottawa Senators,0,Don Koharski,Bill McCreary,Toronto Maple Leafs,Ottawa Senators
2001030231,Detroit Red Wings,2,St. Louis Blues,0,Paul Devorski,Dave Jackson,Detroit Red Wings,St. Louis Blues
2001030232,Detroit Red Wings,3,St. Louis Blues,2,Paul Devorski,Kerry Fraser,Detroit Red Wings,St. Louis Blues
2001030233,St. Louis Blues,6,Detroit Red Wings,1,Michael McGeough,Rob Shick,St. Louis Blues,Detroit Red Wings
2001030234,St. Louis Blues,3,Detroit Red Wings,4,Bill McCreary,Michael McGeough,Detroit Red Wings,St. Louis Blues
2001030235,Detroit Red Wings,4,St. Louis Blues,0,Dan Marouelli,Kevin Pollock,Detroit Red Wings,St. Louis Blues
2001030241,Colorado Avalanche,3,San Jose Sharks,6,Bill McCreary,Rob Shick,San Jose Sharks,Colorado Avalanche
2001030242,Colorado Avalanche,8,San Jose Sharks,2,Dennis LaRue,Dan Marouelli,Colorado Avalanche,San Jose Sharks
2001030243,San Jose Sharks,6,Colorado Avalanche,4,Dan Marouelli,Dan O'Halloran,San Jose Sharks,Colorado Avalanche
2001030244,San Jose Sharks,1,Colorado Avalanche,4,Paul Devorski,Dennis LaRue,Colorado Avalanche,San Jose Sharks
2001030245,Colorado Avalanche,3,San Jose Sharks,5,Don Koharski,Don Van Massenhoven,San Jose Sharks,Colorado Avalanche
2001030246,San Jose Sharks,1,Colorado Avalanche,2,Kerry Fraser,Don Van Massenhoven,Colorado Avalanche,San Jose Sharks
2001030247,Colorado Avalanche,1,San Jose Sharks,0,Kerry Fraser,Stephen Walkom,Colorado Avalanche,San Jose Sharks
2001030311,Carolina Hurricanes,1,Toronto Maple Leafs,2,Dan Marouelli,Rob Shick,Toronto Maple Leafs,Carolina Hurricanes
2001030312,Carolina Hurricanes,2,Toronto Maple Leafs,1,Paul Devorski,Kevin Pollock,Carolina Hurricanes,Toronto Maple Leafs
2001030313,Toronto Maple Leafs,1,Carolina Hurricanes,2,Don Koharski,Michael McGeough,Carolina Hurricanes,Toronto Maple Leafs
2001030314,Toronto Maple Leafs,0,Carolina Hurricanes,3,Bill McCreary,Stephen Walkom,Carolina Hurricanes,Toronto Maple Leafs
2001030315,Carolina Hurricanes,0,Toronto Maple Leafs,1,Kerry Fraser,Rob Shick,Toronto Maple Leafs,Carolina Hurricanes
2001030316,Toronto Maple Leafs,1,Carolina Hurricanes,2,Paul Devorski,Dan Marouelli,Carolina Hurricanes,Toronto Maple Leafs
2001030321,Detroit Red Wings,5,Colorado Avalanche,3,Don Koharski,Michael McGeough,Detroit Red Wings,Colorado Avalanche
2001030322,Detroit Red Wings,3,Colorado Avalanche,4,Bill McCreary,Stephen Walkom,Colorado Avalanche,Detroit Red Wings
2001030323,Colorado Avalanche,1,Detroit Red Wings,2,Kerry Fraser,Rob Shick,Detroit Red Wings,Colorado Avalanche
2001030324,Colorado Avalanche,3,Detroit Red Wings,2,Paul Devorski,Dan Marouelli,Colorado Avalanche,Detroit Red Wings
2001030325,Detroit Red Wings,1,Colorado Avalanche,2,Don Koharski,Kevin Pollock,Colorado Avalanche,Detroit Red Wings
2001030326,Colorado Avalanche,0,Detroit Red Wings,2,Kerry Fraser,Stephen Walkom,Detroit Red Wings,Colorado Avalanche
2001030327,Detroit Red Wings,7,Colorado Avalanche,0,Don Koharski,Bill McCreary,Detroit Red Wings,Colorado Avalanche
2001030411,Detroit Red Wings,2,Carolina Hurricanes,3,Bill McCreary,Stephen Walkom,Carolina Hurricanes,Detroit Red Wings
2001030412,Detroit Red Wings,3,Carolina Hurricanes,1,Paul Devorski,Don Koharski,Detroit Red Wings,Carolina Hurricanes
2001030413,Carolina Hurricanes,2,Detroit Red Wings,3,Bill McCreary,Stephen Walkom,Detroit Red Wings,Carolina Hurricanes
2001030414,Carolina Hurricanes,0,Detroit Red Wings,3,Paul Devorski,Don Koharski,Detroit Red Wings,Carolina Hurricanes
2001030415,Detroit Red Wings,3,Carolina Hurricanes,1,Bill McCreary,Stephen Walkom,Detroit Red Wings,Carolina Hurricanes
