,Ref,Score,Team
0,Don Van Massenhoven,5,Ottawa Senators
1,Don Van Massenhoven,4,Toronto Maple Leafs
2,Mike Leggo,5,Ottawa Senators
3,Mike Leggo,4,Toronto Maple Leafs
4,Dave Jackson,3,Colorado Avalanche
5,Dave Jackson,1,Pittsburgh Penguins
6,Stephen Walkom,3,Colorado Avalanche
7,Stephen Walkom,1,Pittsburgh Penguins
8,Marc Joannette,1,Calgary Flames
9,Marc Joannette,0,Edmonton Oilers
10,Rob Shick,1,Calgary Flames
11,Rob Shick,0,Edmonton Oilers
12,Brad Watson,2,Anaheim Ducks
13,Brad Watson,4,Boston Bruins
14,Tom Kowal,2,Anaheim Ducks
15,Tom Kowal,4,Boston Bruins
16,Don Van Massenhoven,2,Atlanta Thrashers
17,Don Van Massenhoven,1,Buffalo Sabres
18,Scott Zelkin,2,Atlanta Thrashers
19,Scott Zelkin,1,Buffalo Sabres
20,Dean Warren,6,Montréal Canadiens
21,Dean Warren,4,Ottawa Senators
22,Terry Gregson,6,Montréal Canadiens
23,Terry Gregson,4,Ottawa Senators
24,Don Koharski,2,Florida Panthers
25,Don Koharski,5,Philadelphia Flyers
26,Paul Devorski,2,Florida Panthers
27,Paul Devorski,5,Philadelphia Flyers
28,Blaine Angus,3,Columbus Blue Jackets
29,Blaine Angus,3,St. Louis Blues
30,Dave Jackson,3,Columbus Blue Jackets
31,Dave Jackson,3,St. Louis Blues
32,Marc Joannette,5,Chicago Blackhawks
33,Marc Joannette,4,Vancouver Canucks
34,Rob Shick,5,Chicago Blackhawks
35,Rob Shick,4,Vancouver Canucks
36,Dennis LaRue,2,Los Angeles Kings
37,Dennis LaRue,2,Phoenix Coyotes
38,Shane Heyer,2,Los Angeles Kings
39,Shane Heyer,2,Phoenix Coyotes
40,Bill McCreary,4,Detroit Red Wings
41,Bill McCreary,3,San Jose Sharks
42,Kelly Sutherland,4,Detroit Red Wings
43,Kelly Sutherland,3,San Jose Sharks
44,Kevin Pollock,3,Carolina Hurricanes
45,Kevin Pollock,1,New York Rangers
46,Paul Devorski,3,Carolina Hurricanes
47,Paul Devorski,1,New York Rangers
48,Kevin Maguire,3,New York Islanders
49,Kevin Maguire,2,Tampa Bay Lightning
50,Mike Hasenfratz,3,New York Islanders
51,Mike Hasenfratz,2,Tampa Bay Lightning
52,Mark Faucette,4,Dallas Stars
53,Mark Faucette,1,Nashville Predators
54,Stephane Auger,4,Dallas Stars
55,Stephane Auger,1,Nashville Predators
56,Don Koharski,3,Atlanta Thrashers
57,Don Koharski,4,Boston Bruins
58,Scott Zelkin,3,Atlanta Thrashers
59,Scott Zelkin,4,Boston Bruins
60,Chris Rooney,3,Buffalo Sabres
61,Chris Rooney,2,Ottawa Senators
62,Dave Jackson,3,Buffalo Sabres
63,Dave Jackson,2,Ottawa Senators
64,Brad Watson,2,Montréal Canadiens
65,Brad Watson,2,Toronto Maple Leafs
66,Stephen Walkom,2,Montréal Canadiens
67,Stephen Walkom,2,Toronto Maple Leafs
68,Mike Leggo,3,Columbus Blue Jackets
69,Mike Leggo,3,Philadelphia Flyers
70,Tom Kowal,3,Columbus Blue Jackets
71,Tom Kowal,3,Philadelphia Flyers
72,Blaine Angus,4,Anaheim Ducks
73,Blaine Angus,2,Pittsburgh Penguins
74,Rob Martell,4,Anaheim Ducks
75,Rob Martell,2,Pittsburgh Penguins
76,Dan O'Halloran,1,New Jersey Devils
77,Dan O'Halloran,6,Washington Capitals
78,Kevin Pollock,1,New Jersey Devils
79,Kevin Pollock,6,Washington Capitals
80,Kerry Fraser,0,Florida Panthers
81,Kerry Fraser,3,New York Islanders
