Year,Ref,Score,Team
1994,Mike McGeough,4,Tampa Bay Lightning
1994,Mark Faucette,1,Boston Bruins
1994,Mark Faucette,2,Philadelphia Flyers
1994,Pat Dapuzzo,1,Boston Bruins
1994,Pat Dapuzzo,2,Philadelphia Flyers
1994,Koharski,1,Calgary Flames
1994,Koharski,2,Toronto Maple Leafs
1994,Ron Asselstine,1,Calgary Flames
1994,Ron Asselstine,2,Toronto Maple Leafs
1994,McCourt,5,Detroit Red Wings
1994,McCourt,2,Edmonton Oilers
1994,Vanhellemond,5,Detroit Red Wings
1994,Vanhellemond,2,Edmonton Oilers
1994,Dan Schachte,1,St. Louis Blues
1994,Dan Schachte,3,Vancouver Canucks
1994,Dan Van Massenhoven,1,St. Louis Blues
1994,Dan Van Massenhoven,3,Vancouver Canucks
1994,Paul Stewart,2,Dallas Stars
1994,Paul Stewart,3,San Jose Sharks
1994,Swede Knox,2,Dallas Stars
1994,Swede Knox,3,San Jose Sharks
1994,Shane Heyer,4,Los Angeles Kings
1994,Shane Heyer,2,Winnipeg Jets (1979)
1994,Terry Gregson,4,Los Angeles Kings
1994,Terry Gregson,2,Winnipeg Jets (1979)
1994,Gauthier,2,Montréal Canadiens
1994,Gauthier,2,Philadelphia Flyers
1994,Marouelli,2,Montréal Canadiens
1994,Marouelli,2,Philadelphia Flyers
1994,Gordon Broseker,4,Pittsburgh Penguins
1994,Gordon Broseker,1,Washington Capitals
1994,Mark Faucette,4,Pittsburgh Penguins
1994,Mark Faucette,1,Washington Capitals
1994,Paul Stewart,6,Chicago Blackhawks
1994,Paul Stewart,3,Los Angeles Kings
1994,Shane Heyer,6,Chicago Blackhawks
1994,Shane Heyer,3,Los Angeles Kings
1994,Don Koharski,1,Boston Bruins
1994,Don Koharski,2,Florida Panthers
1994,Stephane Provost,1,Boston Bruins
1994,Stephane Provost,2,Florida Panthers
1994,Mike McGeough,6,New York Rangers
1994,Mike McGeough,2,Ottawa Senators
1994,Ron Asselstine,6,New York Rangers
1994,Ron Asselstine,2,Ottawa Senators
1994,Lazarowich,1,Dallas Stars
1994,Lazarowich,2,Toronto Maple Leafs
1994,Van Hellemond,1,Dallas Stars
1994,Van Hellemond,2,Toronto Maple Leafs
1994,Dave Jackson,4,Detroit Red Wings
1994,Dave Jackson,2,Edmonton Oilers
1994,Swede Knox,4,Detroit Red Wings
1994,Swede Knox,2,Edmonton Oilers
1994,Heyer,1,Chicago Blackhawks
1994,Heyer,2,San Jose Sharks
1994,Walkom,1,Chicago Blackhawks
1994,Walkom,2,San Jose Sharks
1994,Dan Marouelli,2,Philadelphia Flyers
1994,Dan Marouelli,5,Quebec Nordiques
1994,Jean Morin,2,Philadelphia Flyers
1994,Jean Morin,5,Quebec Nordiques
1994,Don Koharski,1,Buffalo Sabres
1994,Don Koharski,2,New Jersey Devils
1994,Mike Cvik,1,Buffalo Sabres
1994,Mike Cvik,2,New Jersey Devils
1994,Don Van Massenhoven,1,Montréal Canadiens
1994,Don Van Massenhoven,4,Tampa Bay Lightning
1994,Ron Asselstine,1,Montréal Canadiens
1994,Ron Asselstine,4,Tampa Bay Lightning
1994,Kevin Collins #50,1,Florida Panthers
1994,Kevin Collins #50,5,New York Islanders
1994,Mick McGeough #19,1,Florida Panthers
1994,Mick McGeough #19,5,New York Islanders
1994,Dan McCourt,2,Anaheim Ducks
1994,Dan McCourt,7,St. Louis Blues
1994,Mark Faucette,2,Anaheim Ducks
1994,Mark Faucette,7,St. Louis Blues
1994,Kerry Fraser,3,New York Rangers
1994,Kerry Fraser,4,Pittsburgh Penguins
1994,Mark Vines,3,New York Rangers
1994,Mark Vines,4,Pittsburgh Penguins
1994,Dan Marouelli,2,Hartford Whalers
1994,Dan Marouelli,1,Ottawa Senators
1994,Jean Morin,2,Hartford Whalers
1994,Jean Morin,1,Ottawa Senators
1994,Faucette,2,Anaheim Ducks
1994,Faucette,9,Dallas Stars
1994,Lazarowich,2,Anaheim Ducks
1994,Lazarowich,9,Dallas Stars
1994,Dave Jackson,2,Calgary Flames
1994,Dave Jackson,1,Detroit Red Wings
1994,Swede Knox,2,Calgary Flames
1994,Swede Knox,1,Detroit Red Wings
1994,Andy McElman,7,Chicago Blackhawks
1994,Andy McElman,0,Edmonton Oilers
1994,Andy van Hellemond,7,Chicago Blackhawks
1994,Andy van Hellemond,0,Edmonton Oilers
1994,McCreary,4,Toronto Maple Leafs
1994,McCreary,4,Vancouver Canucks
1994,Wayne Bonney,4,Toronto Maple Leafs
1994,Wayne Bonney,4,Vancouver Canucks
1994,Gordon Broseker,6,Boston Bruins
1994,Gordon Broseker,4,Ottawa Senators
1994,Kerry Fraser,6,Boston Bruins
1994,Kerry Fraser,4,Ottawa Senators
1994,Roberts,3,New York Rangers
1994,Roberts,3,Tampa Bay Lightning
1994,Ron Asselstine,3,New York Rangers
1994,Ron Asselstine,3,Tampa Bay Lightning
1994,Mike Cvik,5,New Jersey Devils
1994,Mike Cvik,4,Quebec Nordiques
1994,Terry Gregson,5,New Jersey Devils
1994,Terry Gregson,4,Quebec Nordiques
1994,Don Koharski,5,New York Islanders
1994,Don Koharski,4,Philadelphia Flyers
1994,G. Gauthier,5,New York Islanders
1994,G. Gauthier,4,Philadelphia Flyers
1994,Richard Trottier,1,Buffalo Sabres
1994,Richard Trottier,0,Washington Capitals
1994,Tim Nowak,1,Buffalo Sabres
1994,Tim Nowak,0,Washington Capitals
1994,Don Van Massenhoven,1,Florida Panthers
1994,Don Van Massenhoven,1,Montréal Canadiens
1994,Kevin Collins #50,1,Florida Panthers
1994,Kevin Collins #50,1,Montréal Canadiens
1994,Lazarowich,1,Dallas Stars
1994,Lazarowich,2,San Jose Sharks
1994,Mcgeogh,1,Dallas Stars
1994,Mcgeogh,2,San Jose Sharks
1994,Andy McElman,5,St. Louis Blues
1994,Andy McElman,4,Winnipeg Jets (1979)
1994,Stephen Walkom,5,St. Louis Blues
1994,Stephen Walkom,4,Winnipeg Jets (1979)
1994,Steve Walkom,3,Calgary Flames
1994,Steve Walkom,4,Chicago Blackhawks
1994,Wayne Bonney,3,Calgary Flames
1994,Wayne Bonney,4,Chicago Blackhawks
1994,Dave Jackson,5,Edmonton Oilers
1994,Dave Jackson,3,Toronto Maple Leafs
1994,Shane Heyer,5,Edmonton Oilers
1994,Shane Heyer,3,Toronto Maple Leafs
1994,Bill McCreary,2,Anaheim Ducks
1994,Bill McCreary,5,Detroit Red Wings
1994,Ron Finn,2,Anaheim Ducks
1994,Ron Finn,5,Detroit Red Wings
1994,Gordon Broseker,5,Boston Bruins
1994,Gordon Broseker,4,Hartford Whalers
1994,Paul Stewart,5,Boston Bruins
1994,Paul Stewart,4,Hartford Whalers
1994,Mike Cvik,6,Pittsburgh Penguins
1994,Mike Cvik,3,Tampa Bay Lightning
1994,Richard Trottier,6,Pittsburgh Penguins
1994,Richard Trottier,3,Tampa Bay Lightning
1994,Blaine Angus,2,New York Rangers
1994,Blaine Angus,1,Ottawa Senators
1994,Scott Driscoll,2,New York Rangers
1994,Scott Driscoll,1,Ottawa Senators
1994,Devorski,4,Montréal Canadiens
1994,Devorski,2,New York Islanders
1994,Morin,4,Montréal Canadiens
1994,Morin,2,New York Islanders
1994,Kerry Fraser,0,New Jersey Devils
1994,Kerry Fraser,2,Quebec Nordiques
1994,Pierre Champoux,0,New Jersey Devils
1994,Pierre Champoux,2,Quebec Nordiques
1994,G. Gauthier,2,Buffalo Sabres
1994,G. Gauthier,4,Philadelphia Flyers
1994,Terry Gregson,2,Buffalo Sabres
1994,Terry Gregson,4,Philadelphia Flyers
1994,Lance Roberts,2,Florida Panthers
1994,Lance Roberts,3,Washington Capitals
1994,Tim Nowak,2,Florida Panthers
1994,Tim Nowak,3,Washington Capitals
1994,Dan Schachte,4,Dallas Stars
1994,Dan Schachte,7,St. Louis Blues
1994,Don Koharski,4,Dallas Stars
1994,Don Koharski,7,St. Louis Blues
1994,Andy McElman,3,San Jose Sharks
1994,Andy McElman,3,Winnipeg Jets (1979)
1994,Mick McGeough,3,San Jose Sharks
1994,Mick McGeough,3,Winnipeg Jets (1979)
1994,Andy van Hellemond,4,Calgary Flames
1994,Andy van Hellemond,1,Toronto Maple Leafs
1994,Wayne Bonney,4,Calgary Flames
1994,Wayne Bonney,1,Toronto Maple Leafs
1994,Bill McCreary,3,Detroit Red Wings
1994,Bill McCreary,4,Los Angeles Kings
1994,Ron Finn,3,Detroit Red Wings
1994,Ron Finn,4,Los Angeles Kings
1994,Gregson,2,Buffalo Sabres
1994,Gregson,1,Tampa Bay Lightning
1994,Scapinello,2,Buffalo Sabres
1994,Scapinello,1,Tampa Bay Lightning
1994,Kerry Fraser,1,Hartford Whalers
1994,Kerry Fraser,3,Quebec Nordiques
1994,Pierre Champoux,1,Hartford Whalers
1994,Pierre Champoux,3,Quebec Nordiques
1994,Kevin Collins,3,New Jersey Devils
1994,Kevin Collins,3,Pittsburgh Penguins
1994,Lance Roberts,3,New Jersey Devils
1994,Lance Roberts,3,Pittsburgh Penguins
1994,Dave Jackson,9,Chicago Blackhawks
1994,Dave Jackson,4,Vancouver Canucks
1994,Wayne Bonney,9,Chicago Blackhawks
1994,Wayne Bonney,4,Vancouver Canucks
1994,Bill McCreary,3,Anaheim Ducks
1994,Bill McCreary,2,Los Angeles Kings
1994,Ron Finn,3,Anaheim Ducks
1994,Ron Finn,2,Los Angeles Kings
1994,Paul Devorski,3,Ottawa Senators
1994,Paul Devorski,0,Philadelphia Flyers
1994,Scott Driscoll,3,Ottawa Senators
1994,Scott Driscoll,0,Philadelphia Flyers
1994,Paul Stewart,3,San Jose Sharks
1994,Paul Stewart,7,Toronto Maple Leafs
1994,Ron Asselstine,3,San Jose Sharks
1994,Ron Asselstine,7,Toronto Maple Leafs
1994,Andy van Hellemond,4,Calgary Flames
1994,Andy van Hellemond,5,Winnipeg Jets (1979)
1994,Swede Knox,4,Calgary Flames
1994,Swede Knox,5,Winnipeg Jets (1979)
1994,Dan Marouelli,7,Boston Bruins
1994,Dan Marouelli,4,Montréal Canadiens
1994,Kevin Collins,7,Boston Bruins
1994,Kevin Collins,4,Montréal Canadiens
1994,Paul Stewart,3,Florida Panthers
1994,Paul Stewart,7,Pittsburgh Penguins
1994,Ron Asselstine,3,Florida Panthers
1994,Ron Asselstine,7,Pittsburgh Penguins
1994,Driscoll,2,Buffalo Sabres
1994,Driscoll,1,Washington Capitals
1994,Walkom,2,Buffalo Sabres
1994,Walkom,1,Washington Capitals
1994,Mark Faucette,2,New York Islanders
1994,Mark Faucette,5,Tampa Bay Lightning
1994,Pat Dapuzzo,2,New York Islanders
1994,Pat Dapuzzo,5,Tampa Bay Lightning
1994,Roberts,6,Detroit Red Wings
1994,Roberts,0,San Jose Sharks
1994,Scapinello,6,Detroit Red Wings
1994,Scapinello,0,San Jose Sharks
1994,Dan Schachte,5,Los Angeles Kings
1994,Dan Schachte,5,St. Louis Blues
1994,Richard Trottier,5,Los Angeles Kings
1994,Richard Trottier,5,St. Louis Blues
1994,McCreary,4,Edmonton Oilers
1994,McCreary,4,Vancouver Canucks
1994,Wayne Bonney,4,Edmonton Oilers
1994,Wayne Bonney,4,Vancouver Canucks
1994,Rob Shick,0,Anaheim Ducks
1994,Rob Shick,3,Chicago Blackhawks
1994,Ron Finn,0,Anaheim Ducks
1994,Ron Finn,3,Chicago Blackhawks
1994,Dave Jackson,2,Hartford Whalers
1994,Dave Jackson,3,Quebec Nordiques
1994,Kevin Collins,2,Hartford Whalers
1994,Kevin Collins,3,Quebec Nordiques
1994,Don Koharski,4,Montréal Canadiens
1994,Don Koharski,2,Ottawa Senators
1994,Pierre Champoux,4,Montréal Canadiens
1994,Pierre Champoux,2,Ottawa Senators
1994,Dan Marouelli,5,New York Rangers
1994,Dan Marouelli,4,Washington Capitals
1994,Dan McCourt,5,New York Rangers
1994,Dan McCourt,4,Washington Capitals
1994,Paul Devorski,3,Dallas Stars
1994,Paul Devorski,3,Toronto Maple Leafs
1994,Pierre Racicot,3,Dallas Stars
1994,Pierre Racicot,3,Toronto Maple Leafs
1994,Don Van Massenhoven,3,Edmonton Oilers
1994,Don Van Massenhoven,3,Winnipeg Jets (1979)
1994,Swede Knox,3,Edmonton Oilers
1994,Swede Knox,3,Winnipeg Jets (1979)
1994,Don Koharski,3,Boston Bruins
1994,Don Koharski,4,Quebec Nordiques
1994,Gerry Gauthier,3,Boston Bruins
1994,Gerry Gauthier,4,Quebec Nordiques
1994,Dan McCourt,2,New York Islanders
1994,Dan McCourt,5,Pittsburgh Penguins
1994,Richard Trottier,2,New York Islanders
1994,Richard Trottier,5,Pittsburgh Penguins
1994,Dave Jackson,4,New Jersey Devils
1994,Dave Jackson,1,New York Rangers
1994,Pat Dapuzzo,4,New Jersey Devils
1994,Pat Dapuzzo,1,New York Rangers
1994,Kerry Fraser,3,Florida Panthers
1994,Kerry Fraser,0,Philadelphia Flyers
1994,Leon Stickle,3,Florida Panthers
1994,Leon Stickle,0,Philadelphia Flyers
1994,Jean Morin,5,Chicago Blackhawks
1994,Jean Morin,0,St. Louis Blues
1994,Terry Gregson,5,Chicago Blackhawks
1994,Terry Gregson,0,St. Louis Blues
1994,Mick McGeough,1,Anaheim Ducks
1994,Mick McGeough,5,Calgary Flames
1994,Mike Cvik,1,Anaheim Ducks
1994,Mike Cvik,5,Calgary Flames
1994,Don Van Massenhoven,5,Vancouver Canucks
1994,Don Van Massenhoven,1,Winnipeg Jets (1979)
1994,Shane Hayer,5,Vancouver Canucks
1994,Shane Hayer,1,Winnipeg Jets (1979)
1994,Paul Stewart,3,Hartford Whalers
1994,Paul Stewart,4,Tampa Bay Lightning
1994,Ron Asselstine,3,Hartford Whalers
1994,Ron Asselstine,4,Tampa Bay Lightning
1994,Gregson,1,Detroit Red Wings
1994,Gregson,2,Toronto Maple Leafs
1994,Pare,1,Detroit Red Wings
1994,Pare,2,Toronto Maple Leafs
1994,Baron Parker,5,Edmonton Oilers
1994,Baron Parker,1,San Jose Sharks
1994,Mick McGeough,5,Edmonton Oilers
1994,Mick McGeough,1,San Jose Sharks
1994,Dave Jackson,1,Boston Bruins
1994,Dave Jackson,1,Washington Capitals
1994,Gerry Gauthier,1,Boston Bruins
1994,Gerry Gauthier,1,Washington Capitals
1994,Leon Stickle,1,Montréal Canadiens
1994,Leon Stickle,3,Pittsburgh Penguins
1994,Paul Devorski,1,Montréal Canadiens
1994,Paul Devorski,3,Pittsburgh Penguins
1994,Pierre Racicot,2,Ottawa Senators
1994,Pierre Racicot,5,Quebec Nordiques
1994,Richard Trottier,2,Ottawa Senators
1994,Richard Trottier,5,Quebec Nordiques
1994,Dan McCourt,1,Buffalo Sabres
1994,Dan McCourt,2,New York Islanders
1994,Don Koharski,1,Buffalo Sabres
1994,Don Koharski,2,New York Islanders
1994,Andy van Hellemond,1,New Jersey Devils
1994,Andy van Hellemond,3,Philadelphia Flyers
1994,Gordon Broseker,1,New Jersey Devils
1994,Gordon Broseker,3,Philadelphia Flyers
1994,Kerry Fraser,3,New York Rangers
1994,Kerry Fraser,2,Tampa Bay Lightning
1994,Ron Asselstine,3,New York Rangers
1994,Ron Asselstine,2,Tampa Bay Lightning
1994,Mark Faucette #11,4,Florida Panthers
1994,Mark Faucette #11,3,Hartford Whalers
1994,Pierre Champoux,4,Florida Panthers
1994,Pierre Champoux,3,Hartford Whalers
1994,Dan Marouelli,5,Los Angeles Kings
1994,Dan Marouelli,2,Toronto Maple Leafs
1994,Greg Devorski,5,Los Angeles Kings
1994,Greg Devorski,2,Toronto Maple Leafs
1994,Jean Morin,2,St. Louis Blues
1994,Jean Morin,3,Winnipeg Jets (1979)
1994,Lance Roberts,2,St. Louis Blues
1994,Lance Roberts,3,Winnipeg Jets (1979)
1994,Pare,6,Calgary Flames
1994,Pare,0,Dallas Stars
1994,Walkom,6,Calgary Flames
1994,Walkom,0,Dallas Stars
1994,Don Van Massenhoven,1,San Jose Sharks
1994,Don Van Massenhoven,1,Vancouver Canucks
1994,Shane Heyer,1,San Jose Sharks
1994,Shane Heyer,1,Vancouver Canucks
1994,Devorski,2,Boston Bruins
1994,Devorski,1,Buffalo Sabres
1994,Gregson,2,Boston Bruins
1994,Gregson,1,Buffalo Sabres
1994,Kerry Fraser #2,2,Florida Panthers
1994,Kerry Fraser #2,4,New Jersey Devils
1994,Pierre Champoux,2,Florida Panthers
1994,Pierre Champoux,4,New Jersey Devils
1994,Koharski,4,Detroit Red Wings
1994,Koharski,4,Los Angeles Kings
1994,Morin,4,Detroit Red Wings
1994,Morin,4,Los Angeles Kings
1994,Mick McGeough,0,Anaheim Ducks
1994,Mick McGeough,2,Edmonton Oilers
1994,Randy Mitton,0,Anaheim Ducks
1994,Randy Mitton,2,Edmonton Oilers
1994,Gauthier,2,Hartford Whalers
1994,Gauthier,2,Montréal Canadiens
1994,Van Hellemond,2,Hartford Whalers
1994,Van Hellemond,2,Montréal Canadiens
1994,Bill McCreary,5,Philadelphia Flyers
1994,Bill McCreary,3,Washington Capitals
1994,Gordon Broseker,5,Philadelphia Flyers
1994,Gordon Broseker,3,Washington Capitals
1994,Jean Morin,2,Chicago Blackhawks
1994,Jean Morin,4,Toronto Maple Leafs
1994,Mark Faucette,2,Chicago Blackhawks
1994,Mark Faucette,4,Toronto Maple Leafs
1994,Mark Vines,2,Calgary Flames
1994,Mark Vines,4,St. Louis Blues
1994,Stephen Walkom,2,Calgary Flames
1994,Stephen Walkom,4,St. Louis Blues
1994,Pare,4,Dallas Stars
1994,Pare,7,Winnipeg Jets (1979)
1994,Roberts,4,Dallas Stars
1994,Roberts,7,Winnipeg Jets (1979)
1994,Bill McCreary,3,Boston Bruins
1994,Bill McCreary,5,Pittsburgh Penguins
1994,Dan McCourt,3,Boston Bruins
1994,Dan McCourt,5,Pittsburgh Penguins
1994,Kevin Collins,2,New York Islanders
1994,Kevin Collins,3,Quebec Nordiques
1994,Paul Devorski,2,New York Islanders
1994,Paul Devorski,3,Quebec Nordiques
1994,Kerry Fraser,5,Philadelphia Flyers
1994,Kerry Fraser,2,Tampa Bay Lightning
1994,Pierre Champoux,5,Philadelphia Flyers
