code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020499,Dallas Stars,1,San Jose Sharks,3,Don Koharski,Paul Stewart,San Jose Sharks,Dallas Stars
1999020500,Colorado Avalanche,5,St. Louis Blues,1,Don Van Massenhoven,Dennis LaRue,Colorado Avalanche,St. Louis Blues
1999020501,Calgary Flames,1,Philadelphia Flyers,5,Terry Gregson,Swede Knox,Philadelphia Flyers,Calgary Flames
1999020502,Edmonton Oilers,4,Anaheim Ducks,1,Michael McGeough,Don Henderson,Edmonton Oilers,Anaheim Ducks
1999020503,Buffalo Sabres,2,Detroit Red Wings,7,Stephen Walkom,Scott Driscoll,Detroit Red Wings,Buffalo Sabres
1999020504,Nashville Predators,3,Carolina Hurricanes,2,Dan O'Halloran,Mark Pare,Nashville Predators,Carolina Hurricanes
1999020505,Phoenix Coyotes,2,New York Rangers,2,Don Van Massenhoven,Dennis LaRue,Phoenix Coyotes,New York Rangers
1999020506,Montréal Canadiens,2,Ottawa Senators,3,Dan Marouelli,Ray Scapinello,Ottawa Senators,Montréal Canadiens
1999020507,New Jersey Devils,5,Boston Bruins,4,Paul Devorski,Pierre Champoux,New Jersey Devils,Boston Bruins
1999020508,New York Islanders,1,Toronto Maple Leafs,2,Dave Jackson,Kevin Collins,Toronto Maple Leafs,New York Islanders
1999020509,Washington Capitals,3,Pittsburgh Penguins,2,Mark Faucette,Greg Kimmerly,Washington Capitals,Pittsburgh Penguins
1999020510,Dallas Stars,4,New York Rangers,3,Paul Stewart,Brad Lazarowich,Dallas Stars,New York Rangers
1999020511,Colorado Avalanche,4,Los Angeles Kings,2,Michael McGeough,Don Van Massenhoven,Colorado Avalanche,Los Angeles Kings
1999020512,Calgary Flames,3,Anaheim Ducks,1,Terry Gregson,Blaine Angus,Calgary Flames,Anaheim Ducks
1999020513,Vancouver Canucks,2,Philadelphia Flyers,3,Bill McCreary,Baron Parker,Philadelphia Flyers,Vancouver Canucks
1999020514,Ottawa Senators,5,Boston Bruins,4,Kerry Fraser,Tim Peel,Ottawa Senators,Boston Bruins
1999020515,Pittsburgh Penguins,9,New York Islanders,3,Dan O'Halloran,Kevin Maguire,Pittsburgh Penguins,New York Islanders
