,Ref,Score,Team
0,Chris Rooney,3,Boston Bruins
1,Chris Rooney,3,New Jersey Devils
2,Stephen Walkom,3,Boston Bruins
3,Stephen Walkom,3,New Jersey Devils
4,Kevin Pollock,1,Anaheim Ducks
5,Kevin Pollock,4,Dallas Stars
6,Michael McGeough,1,Anaheim Ducks
7,Michael McGeough,4,Dallas Stars
8,Terry Gregson,1,Chicago Blackhawks
9,Terry Gregson,0,Minnesota Wild
10,Tim Peel,1,Chicago Blackhawks
11,Tim Peel,0,Minnesota Wild
12,Dan Marouelli,2,Montréal Canadiens
13,Dan Marouelli,5,Ottawa Senators
14,Greg Kimmerly,2,Montréal Canadiens
15,Greg Kimmerly,5,Ottawa Senators
16,Dan O'Halloran,0,Buffalo Sabres
17,Dan O'Halloran,2,Philadelphia Flyers
18,Marc Joannette,0,Buffalo Sabres
19,Marc Joannette,2,Philadelphia Flyers
20,Chris Lee,1,New York Islanders
21,Chris Lee,6,Washington Capitals
22,Kerry Fraser,1,New York Islanders
23,Kerry Fraser,6,Washington Capitals
24,Bill McCreary,2,Atlanta Thrashers
25,Bill McCreary,1,Columbus Blue Jackets
26,Mike Hasenfratz,2,Atlanta Thrashers
27,Mike Hasenfratz,1,Columbus Blue Jackets
28,Ian Walsh,1,Carolina Hurricanes
29,Ian Walsh,3,Florida Panthers
30,Paul Devorski,1,Carolina Hurricanes
31,Paul Devorski,3,Florida Panthers
32,Eric Furlatt,3,Detroit Red Wings
33,Eric Furlatt,2,Los Angeles Kings
34,Mike Leggo,3,Detroit Red Wings
35,Mike Leggo,2,Los Angeles Kings
36,Don Koharski,1,Anaheim Ducks
37,Don Koharski,3,Nashville Predators
38,Rob Martell,1,Anaheim Ducks
39,Rob Martell,3,Nashville Predators
40,Brad Meier,5,Edmonton Oilers
41,Brad Meier,2,San Jose Sharks
42,Dennis LaRue,5,Edmonton Oilers
43,Dennis LaRue,2,San Jose Sharks
44,Jay Sharrers,1,Calgary Flames
45,Jay Sharrers,4,Vancouver Canucks
46,Rob Shick,1,Calgary Flames
47,Rob Shick,4,Vancouver Canucks
48,Craig Spada,3,Los Angeles Kings
49,Craig Spada,0,Pittsburgh Penguins
50,Dave Jackson,3,Los Angeles Kings
51,Dave Jackson,0,Pittsburgh Penguins
52,Don Koharski,1,Boston Bruins
53,Don Koharski,5,Tampa Bay Lightning
54,Ian Walsh,1,Boston Bruins
55,Ian Walsh,5,Tampa Bay Lightning
56,Dan Marouelli,5,Minnesota Wild
57,Dan Marouelli,3,New York Rangers
58,Dean Warren,5,Minnesota Wild
59,Dean Warren,3,New York Rangers
60,Kevin Pollock,0,Chicago Blackhawks
61,Kevin Pollock,5,Colorado Avalanche
62,Michael McGeough,0,Chicago Blackhawks
63,Michael McGeough,5,Colorado Avalanche
64,Brad Watson,2,Phoenix Coyotes
65,Brad Watson,1,St. Louis Blues
66,Shane Heyer,2,Phoenix Coyotes
67,Shane Heyer,1,St. Louis Blues
68,Chris Rooney,0,Buffalo Sabres
69,Chris Rooney,6,New York Islanders
70,Mike Leggo,0,Buffalo Sabres
71,Mike Leggo,6,New York Islanders
72,Dave Jackson,4,Montréal Canadiens
73,Dave Jackson,0,Toronto Maple Leafs
74,Greg Kimmerly,4,Montréal Canadiens
75,Greg Kimmerly,0,Toronto Maple Leafs
76,Stephane Auger,3,Detroit Red Wings
77,Stephane Auger,2,Ottawa Senators
78,Stephen Walkom,3,Detroit Red Wings
79,Stephen Walkom,2,Ottawa Senators
80,Chris Lee,3,Philadelphia Flyers
81,Chris Lee,3,Pittsburgh Penguins
82,Kerry Fraser,3,Philadelphia Flyers
83,Kerry Fraser,3,Pittsburgh Penguins
84,Blaine Angus,4,Atlanta Thrashers
85,Blaine Angus,3,Washington Capitals
86,Marc Joannette,4,Atlanta Thrashers
87,Marc Joannette,3,Washington Capitals
88,Dan O'Halloran,1,Carolina Hurricanes
89,Dan O'Halloran,2,New Jersey Devils
90,Mike Hasenfratz,1,Carolina Hurricanes
91,Mike Hasenfratz,2,New Jersey Devils
92,Rob Martell,5,Columbus Blue Jackets
93,Rob Martell,0,New York Rangers
94,Terry Gregson,5,Columbus Blue Jackets
95,Terry Gregson,0,New York Rangers
96,Ian Walsh,1,Boston Bruins
97,Ian Walsh,1,Florida Panthers
98,Paul Devorski,1,Boston Bruins
99,Paul Devorski,1,Florida Panthers
100,Bill McCreary,3,Dallas Stars
101,Bill McCreary,1,Nashville Predators
102,Craig Spada,3,Dallas Stars
103,Craig Spada,1,Nashville Predators
104,Jay Sharrers,3,Calgary Flames
105,Jay Sharrers,2,San Jose Sharks
106,Kelly Sutherland,3,Calgary Flames
