code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
2001020530,New Jersey Devils,0,Ottawa Senators,1,Paul Devorski,Dean Warren,0,1
2001020531,New York Islanders,2,Boston Bruins,4,Marc Joannette,Bill McCreary,0,1
2001020532,Philadelphia Flyers,4,Carolina Hurricanes,3,Kerry Fraser,Dan O'Halloran,1,0
2001020533,Washington Capitals,4,Pittsburgh Penguins,4,Chris Rooney,Stephen Walkom,0,0
2001020534,Florida Panthers,0,St. Louis Blues,2,Mark Faucette,Rob Martell,0,1
2001020535,Columbus Blue Jackets,2,Dallas Stars,4,Shane Heyer,Dean Morton,0,1
2001020536,Nashville Predators,1,San Jose Sharks,1,Mike Hasenfratz,Tim Peel,0,0
2001020537,Vancouver Canucks,1,Minnesota Wild,2,Mike Leggo,Kelly Sutherland,0,1
2001020538,New York Rangers,3,Ottawa Senators,2,Marc Joannette,Bill McCreary,1,0
2001020539,Atlanta Thrashers,1,Dallas Stars,4,Eric Furlatt,Scott Zelkin,0,1
2001020540,Chicago Blackhawks,0,Detroit Red Wings,5,Michael McGeough,Brad Meier,0,1
2001020541,Colorado Avalanche,6,Minnesota Wild,3,Dennis LaRue,Rob Shick,1,0
2001020542,Phoenix Coyotes,0,Anaheim Ducks,4,Jay Sharrers,Brad Watson,0,1
2001020543,Boston Bruins,3,Ottawa Senators,2,Paul Stewart,Scott Zelkin,1,0
2001020544,Buffalo Sabres,3,Montréal Canadiens,1,Stephen Walkom,Dean Warren,1,0
2001020545,New Jersey Devils,4,Pittsburgh Penguins,0,Stephane Auger,Greg Kimmerly,1,0
2001020546,Washington Capitals,1,Philadelphia Flyers,4,Kerry Fraser,Bob Langdon,0,1
2001020547,Carolina Hurricanes,4,Toronto Maple Leafs,3,Tom Kowal,Kevin Pollock,1,0
2001020548,Atlanta Thrashers,3,Florida Panthers,3,Dean Morton,Dan O'Halloran,0,0
2001020549,St. Louis Blues,1,Chicago Blackhawks,3,Don Koharski,Tim Peel,0,1
2001020550,Dallas Stars,0,Colorado Avalanche,2,Paul Devorski,Kelly Sutherland,0,1
2001020551,Nashville Predators,0,Tampa Bay Lightning,1,Blaine Angus,Mike Hasenfratz,0,1
2001020552,Minnesota Wild,3,Detroit Red Wings,3,Dave Jackson,Rob Martell,0,0
2001020553,Edmonton Oilers,3,Calgary Flames,2,Kevin Maguire,Brad Meier,1,0
2001020554,Phoenix Coyotes,1,Los Angeles Kings,1,Ian Walsh,Brad Watson,0,0
2001020555,San Jose Sharks,1,Anaheim Ducks,2,Dennis LaRue,Mike Leggo,0,1
2001020556,Ottawa Senators,5,New York Islanders,2,Marc Joannette,Bill McCreary,1,0
2001020557,Tampa Bay Lightning,2,Carolina Hurricanes,3,Dan O'Halloran,Tim Peel,0,1
2001020558,Detroit Red Wings,5,Columbus Blue Jackets,1,Terry Gregson,Tom Kowal,1,0
2001020559,Chicago Blackhawks,3,Colorado Avalanche,1,Shane Heyer,Don Koharski,1,0
2001020560,Vancouver Canucks,4,Calgary Flames,2,Jay Sharrers,Don Van Massenhoven,1,0
2001020561,Los Angeles Kings,2,Anaheim Ducks,2,Mike Leggo,Ian Walsh,0,0
2001020562,Atlanta Thrashers,5,Toronto Maple Leafs,4,Blaine Angus,Scott Zelkin,1,0
2001020563,Florida Panthers,1,Boston Bruins,7,Harry Dumas,Kerry Fraser,0,1
2001020564,St. Louis Blues,3,Montréal Canadiens,0,Dave Jackson,Dean Morton,1,0
2001020565,Dallas Stars,2,Washington Capitals,3,Paul Devorski,Kelly Sutherland,0,1
2001020566,Edmonton Oilers,3,Minnesota Wild,2,Michael McGeough,Dean Warren,1,0
2001020567,Phoenix Coyotes,4,Philadelphia Flyers,2,Rob Martell,Rob Shick,1,0
2001020568,San Jose Sharks,3,New York Rangers,5,Stephane Auger,Kevin Maguire,0,1
2001020569,New York Islanders,6,Montréal Canadiens,5,Terry Gregson,Greg Kimmerly,1,0
2001020570,Pittsburgh Penguins,2,Ottawa Senators,5,Kevin Pollock,Paul Stewart,0,1
2001020571,Tampa Bay Lightning,4,Boston Bruins,5,Harry Dumas,Kerry Fraser,0,1
2001020572,Florida Panthers,4,Toronto Maple Leafs,2,Dan O'Halloran,Tim Peel,1,0
2001020573,Columbus Blue Jackets,2,Buffalo Sabres,2,Tom Kowal,Bill McCreary,0,0
2001020574,Nashville Predators,3,Detroit Red Wings,2,Dan Marouelli,Scott Zelkin,1,0
2001020575,Colorado Avalanche,2,Philadelphia Flyers,5,Brad Meier,Brad Watson,0,1
2001020576,Calgary Flames,4,Minnesota Wild,3,Dennis LaRue,Dean Warren,1,0
2001020577,Vancouver Canucks,4,New Jersey Devils,2,Mike Leggo,Don Van Massenhoven,1,0
2001020578,Los Angeles Kings,4,New York Rangers,5,Kevin Maguire,Ian Walsh,0,1
2001020579,Washington Capitals,5,Carolina Hurricanes,5,Blaine Angus,Marc Joannette,0,0
2001020580,Chicago Blackhawks,2,Anaheim Ducks,1,Shane Heyer,Stephen Walkom,1,0
2001020581,St. Louis Blues,7,Nashville Predators,2,Bill McCreary,Kelly Sutherland,1,0
2001020582,Edmonton Oilers,1,New Jersey Devils,2,Michael McGeough,Don Van Massenhoven,0,1
2001020583,San Jose Sharks,2,Phoenix Coyotes,4,Stephane Auger,Paul Devorski,0,1
2001020584,Buffalo Sabres,4,Carolina Hurricanes,5,Eric Furlatt,Dan Marouelli,0,1
2001020585,Ottawa Senators,4,Chicago Blackhawks,5,Greg Kimmerly,Kevin Pollock,0,1
2001020586,Tampa Bay Lightning,1,Toronto Maple Leafs,4,Mark Faucette,Dan O'Halloran,0,1
2001020587,Florida Panthers,4,Atlanta Thrashers,3,Harry Dumas,Kerry Fraser,1,0
2001020588,Detroit Red Wings,4,Minnesota Wild,2,Don Koharski,Tom Kowal,1,0
2001020589,Columbus Blue Jackets,3,Anaheim Ducks,1,Shane Heyer,Dean Morton,1,0
2001020590,Dallas Stars,2,Boston Bruins,1,Kevin Maguire,Rob Martell,1,0
2001020591,Calgary Flames,2,Edmonton Oilers,2,Michael McGeough,Dean Warren,0,0
2001020592,Vancouver Canucks,1,Philadelphia Flyers,2,Jay Sharrers,Brad Watson,0,1
2001020593,Phoenix Coyotes,5,New York Rangers,0,Stephane Auger,Paul Devorski,1,0
2001020594,New Jersey Devils,2,St. Louis Blues,1,Paul Stewart,Ian Walsh,1,0
2001020595,Washington Capitals,3,New York Islanders,2,Blaine Angus,Marc Joannette,1,0
2001020596,Nashville Predators,4,Colorado Avalanche,4,Mike Hasenfratz,Kelly Sutherland,0,0
2001020597,Carolina Hurricanes,3,Boston Bruins,6,Tom Kowal,Bill McCreary,0,1
2001020598,Detroit Red Wings,5,Anaheim Ducks,3,Dave Jackson,Rob Martell,1,0
2001020599,Dallas Stars,2,Atlanta Thrashers,1,Chris Rooney,Stephen Walkom,1,0
2001020600,Minnesota Wild,2,Tampa Bay Lightning,0,Tim Peel,Rob Shick,1,0
2001020601,Edmonton Oilers,4,New York Rangers,1,Kevin Maguire,Brad Meier,1,0
2001020602,Los Angeles Kings,3,Florida Panthers,1,Stephane Auger,Mike Leggo,1,0
2001020603,San Jose Sharks,5,Philadelphia Flyers,2,Paul Devorski,Dennis LaRue,1,0
2001020604,Boston Bruins,1,Toronto Maple Leafs,2,Marc Joannette,Paul Stewart,0,1
2001020605,Ottawa Senators,4,Washington Capitals,1,Greg Kimmerly,Dan O'Halloran,1,0
2001020606,New Jersey Devils,3,Nashville Predators,4,Kerry Fraser,Scott Zelkin,0,1
2001020607,New York Islanders,4,Pittsburgh Penguins,2,Mark Faucette,Mike Hasenfratz,1,0
2001020608,St. Louis Blues,4,Columbus Blue Jackets,2,Dave Jackson,Kelly Sutherland,1,0
2001020609,Colorado Avalanche,3,New York Rangers,2,Paul Devorski,Don Koharski,1,0
2001020610,Calgary Flames,3,Buffalo Sabres,1,Brad Meier,Rob Shick,1,0
2001020611,Vancouver Canucks,5,Montréal Canadiens,2,Michael McGeough,Jay Sharrers,1,0
2001020612,Phoenix Coyotes,2,Atlanta Thrashers,1,Stephane Auger,Dennis LaRue,1,0
2001020613,Chicago Blackhawks,2,Tampa Bay Lightning,0,Rob Martell,Stephane Provost,1,0
2001020614,Minnesota Wild,2,Nashville Predators,1,Kevin Pollock,Brad Watson,1,0
2001020615,Anaheim Ducks,1,Florida Panthers,2,Shane Heyer,Mike Leggo,0,1
2001020616,San Jose Sharks,5,Phoenix Coyotes,3,Stephane Auger,Terry Gregson,1,0
2001020617,Boston Bruins,7,Washington Capitals,4,Mike Hasenfratz,Greg Kimmerly,1,0
2001020618,Toronto Maple Leafs,3,Ottawa Senators,1,Blaine Angus,Tim Peel,1,0
2001020619,New York Islanders,0,Los Angeles Kings,3,Paul Stewart,Scott Zelkin,0,1
2001020620,Pittsburgh Penguins,4,New York Rangers,1,Marc Joannette,Don Van Massenhoven,1,0
2001020621,Carolina Hurricanes,1,New Jersey Devils,2,Mark Faucette,Kerry Fraser,0,1
2001020622,Detroit Red Wings,3,Colorado Avalanche,1,Paul Devorski,Stephen Walkom,1,0
2001020623,St. Louis Blues,5,Dallas Stars,2,Don Koharski,Dennis LaRue,1,0
2001020624,Calgary Flames,2,Montréal Canadiens,4,Dave Jackson,Jay Sharrers,0,1
2001020625,Edmonton Oilers,3,Vancouver Canucks,4,Kevin Maguire,Bill McCreary,0,1
2001020626,San Jose Sharks,6,Florida Panthers,0,Terry Gregson,Mike Leggo,1,0
2001020627,Carolina Hurricanes,3,Philadelphia Flyers,4,Mark Faucette,Stephen Walkom,0,1
2001020628,Atlanta Thrashers,2,New York Islanders,3,Paul Devorski,Brad Meier,0,1
2001020629,Columbus Blue Jackets,4,Nashville Predators,3,Dan O'Halloran,Dean Warren,1,0
2001020630,Chicago Blackhawks,2,Pittsburgh Penguins,0,Tim Peel,Kelly Sutherland,1,0
2001020631,Minnesota Wild,1,Buffalo Sabres,4,Kevin Pollock,Brad Watson,0,1
2001020632,Edmonton Oilers,7,Montréal Canadiens,6,Rob Martell,Bill McCreary,1,0
2001020633,Phoenix Coyotes,0,Tampa Bay Lightning,3,Terry Gregson,Michael McGeough,0,1
2001020634,Ottawa Senators,4,Toronto Maple Leafs,3,Don Koharski,Tom Kowal,1,0
2001020635,New Jersey Devils,2,Los Angeles Kings,3,Stephane Auger,Mike Hasenfratz,0,1
2001020636,Washington Capitals,1,Florida Panthers,2,Dan O'Halloran,Scott Zelkin,0,1
2001020637,Buffalo Sabres,3,Vancouver Canucks,2,Don Koharski,Tim Peel,1,0
2001020638,Toronto Maple Leafs,4,Nashville Predators,3,Dean Warren,Brad Watson,1,0
2001020639,New York Islanders,2,Calgary Flames,5,Michael McGeough,Brad Meier,0,1
2001020640,Philadelphia Flyers,7,Atlanta Thrashers,4,Mark Faucette,Ian Walsh,1,0
2001020641,Pittsburgh Penguins,2,Boston Bruins,3,Paul Devorski,Chris Lee,0,1
2001020642,Tampa Bay Lightning,1,Dallas Stars,2,Paul Stewart,Scott Zelkin,0,1
2001020643,Minnesota Wild,4,Montréal Canadiens,2,Dave Jackson,Jay Sharrers,1,0
2001020644,San Jose Sharks,2,St. Louis Blues,6,Bill McCreary,Kevin Pollock,0,1
2001020645,New Jersey Devils,5,Calgary Flames,1,Tim Peel,Rob Shick,1,0
2001020646,New York Rangers,0,Los Angeles Kings,4,Stephen Walkom,Ian Walsh,0,1
2001020647,Washington Capitals,6,Columbus Blue Jackets,3,Blaine Angus,Mike Hasenfratz,1,0
2001020648,Atlanta Thrashers,4,Ottawa Senators,3,Mark Faucette,Dennis LaRue,1,0
2001020649,Florida Panthers,2,Dallas Stars,3,Paul Stewart,Scott Zelkin,0,1
2001020650,Detroit Red Wings,5,Vancouver Canucks,4,Kerry Fraser,Michael McGeough,1,0
2001020651,Colorado Avalanche,7,Chicago Blackhawks,3,Bill McCreary,Kevin Pollock,1,0
2001020652,Phoenix Coyotes,5,San Jose Sharks,6,Terry Gregson,Rob Martell,0,1
2001020653,Anaheim Ducks,2,St. Louis Blues,3,Marc Joannette,Mike Leggo,0,1
2001020654,Boston Bruins,5,Los Angeles Kings,0,Eric Furlatt,Don Van Massenhoven,1,0
2001020655,Buffalo Sabres,0,Pittsburgh Penguins,2,Kerry Fraser,Brad Watson,0,1
2001020656,Montréal Canadiens,4,New York Islanders,0,Stephane Auger,Don Koharski,1,0
2001020657,Philadelphia Flyers,3,New Jersey Devils,2,Brad Meier,Rob Shick,1,0
2001020658,Chicago Blackhawks,2,Columbus Blue Jackets,1,Dave Jackson,Dean Warren,1,0
2001020659,Nashville Predators,2,Minnesota Wild,2,Blaine Angus,Greg Kimmerly,0,0
2001020660,Edmonton Oilers,1,Carolina Hurricanes,4,Bill McCreary,Kelly Sutherland,0,1
2001020661,Washington Capitals,3,Toronto Maple Leafs,3,Paul Devorski,Brad Meier,0,0
2001020662,Atlanta Thrashers,1,Calgary Flames,0,Mike Hasenfratz,Dennis LaRue,1,0
2001020663,Florida Panthers,2,Ottawa Senators,4,Rob Martell,Paul Stewart,0,1
2001020664,Minnesota Wild,2,Anaheim Ducks,2,Terry Gregson,Dean Warren,0,0
2001020665,Boston Bruins,4,New York Islanders,5,Paul Devorski,Dave Jackson,0,1
2001020666,Buffalo Sabres,2,New Jersey Devils,1,Stephane Auger,Kerry Fraser,1,0
2001020667,Toronto Maple Leafs,1,Montréal Canadiens,1,Don Koharski,Michael McGeough,0,0
2001020668,Philadelphia Flyers,4,New York Rangers,2,Tim Peel,Don Van Massenhoven,1,0
2001020669,Pittsburgh Penguins,1,St. Louis Blues,4,Greg Kimmerly,Rob Shick,0,1
2001020670,Tampa Bay Lightning,1,Ottawa Senators,2,Paul Stewart,Scott Zelkin,0,1
2001020671,Florida Panthers,0,Washington Capitals,1,Rob Martell,Stephen Walkom,0,1
2001020672,Detroit Red Wings,5,Dallas Stars,2,Dan O'Halloran,Kevin Pollock,1,0
2001020673,Columbus Blue Jackets,5,Chicago Blackhawks,4,Tom Kowal,Dennis LaRue,1,0
2001020674,Nashville Predators,2,Anaheim Ducks,1,Blaine Angus,Mike Hasenfratz,1,0
2001020675,Edmonton Oilers,2,Colorado Avalanche,2,Bill McCreary,Kelly Sutherland,0,0
2001020676,Vancouver Canucks,7,Carolina Hurricanes,1,Shane Heyer,Brad Watson,1,0
2001020678,Atlanta Thrashers,2,Tampa Bay Lightning,2,Blaine Angus,Brad Meier,0,0
2001020679,Minnesota Wild,1,Dallas Stars,3,Terry Gregson,Tom Kowal,0,1
2001020680,Montréal Canadiens,3,Philadelphia Flyers,5,Dave Jackson,Michael McGeough,0,1
2001020681,New York Rangers,2,Columbus Blue Jackets,2,Tim Peel,Paul Stewart,0,0
2001020682,Washington Capitals,1,Boston Bruins,0,Greg Kimmerly,Rob Shick,1,0
2001020683,Chicago Blackhawks,2,Edmonton Oilers,1,Kerry Fraser,Dean Warren,1,0
2001020684,Anaheim Ducks,5,Nashville Predators,3,Shane Heyer,Marc Joannette,1,0
2001020685,Toronto Maple Leafs,2,Atlanta Thrashers,3,Dennis LaRue,Kevin Pollock,0,1
2001020686,Ottawa Senators,1,Philadelphia Flyers,4,Eric Furlatt,Michael McGeough,0,1
2001020687,New Jersey Devils,4,Tampa Bay Lightning,5,Tim Peel,Paul Stewart,0,1
2001020688,Carolina Hurricanes,2,Minnesota Wild,0,Greg Kimmerly,Rob Shick,1,0
2001020689,St. Louis Blues,3,Edmonton Oilers,2,Don Koharski,Tom Kowal,1,0
2001020690,Colorado Avalanche,0,San Jose Sharks,1,Mike Hasenfratz,Brad Watson,0,1
2001020691,Calgary Flames,1,New York Islanders,3,Brad Meier,Don Van Massenhoven,0,1
2001020692,Vancouver Canucks,5,Pittsburgh Penguins,2,Paul Devorski,Kelly Sutherland,1,0
2001020693,Phoenix Coyotes,2,Detroit Red Wings,2,Marc Joannette,Stephen Walkom,0,0
2001020694,Los Angeles Kings,2,Nashville Predators,0,Shane Heyer,Dan O'Halloran,1,0
2001020695,Montréal Canadiens,2,Washington Capitals,0,Eric Furlatt,Dave Jackson,1,0
2001020696,Florida Panthers,0,Chicago Blackhawks,3,Mark Faucette,Chris Rooney,0,1
2001020697,Columbus Blue Jackets,2,New York Rangers,0,Dennis LaRue,Rob Martell,1,0
2001020698,Dallas Stars,3,Detroit Red Wings,2,Don Koharski,Stephen Walkom,1,0
2001020699,Anaheim Ducks,1,Buffalo Sabres,3,Dan O'Halloran,Kelly Sutherland,0,1
2001020700,Boston Bruins,5,Ottawa Senators,2,Bill McCreary,Kevin Pollock,1,0
2001020701,New Jersey Devils,6,New York Rangers,4,Michael McGeough,Rob Shick,1,0
2001020702,Philadelphia Flyers,6,Atlanta Thrashers,3,Kevin Maguire,Tim Peel,1,0
2001020703,Carolina Hurricanes,1,Montréal Canadiens,1,Kerry Fraser,Dean Warren,0,0
2001020704,St. Louis Blues,5,Vancouver Canucks,4,Don Koharski,Dennis LaRue,1,0
2001020705,Nashville Predators,3,Toronto Maple Leafs,2,Greg Kimmerly,Mike Leggo,1,0
2001020706,Colorado Avalanche,3,Phoenix Coyotes,2,Mike Hasenfratz,Dan O'Halloran,1,0
2001020707,Calgary Flames,4,Pittsburgh Penguins,6,Blaine Angus,Paul Devorski,0,1
2001020708,Los Angeles Kings,4,Buffalo Sabres,2,Marc Joannette,Brad Watson,1,0
2001020709,San Jose Sharks,3,New York Islanders,2,Kelly Sutherland,Don Van Massenhoven,1,0
2001020710,Tampa Bay Lightning,2,Chicago Blackhawks,2,Mark Faucette,Chris Rooney,0,0
2001020711,Detroit Red Wings,3,Washington Capitals,1,Rob Martell,Bill McCreary,1,0
2001020712,Columbus Blue Jackets,1,Minnesota Wild,3,Tom Kowal,Scott Zelkin,0,1
2001020713,Dallas Stars,2,Florida Panthers,3,Stephen Walkom,Ian Walsh,0,1
2001020714,Edmonton Oilers,3,Anaheim Ducks,1,Blaine Angus,Paul Devorski,1,0
2001020715,Toronto Maple Leafs,0,Philadelphia Flyers,3,Terry Gregson,Dean Warren,0,1
2001020716,Ottawa Senators,4,Minnesota Wild,1,Dave Jackson,Kevin Maguire,1,0
2001020717,New Jersey Devils,3,Carolina Hurricanes,3,Stephane Auger,Rob Shick,0,0
2001020718,Washington Capitals,1,Vancouver Canucks,5,Kerry Fraser,Kevin Pollock,0,1
2001020719,Tampa Bay Lightning,1,Montréal Canadiens,5,Chris Rooney,Stephen Walkom,0,1
2001020720,Florida Panthers,1,Atlanta Thrashers,6,Mike Hasenfratz,Greg Kimmerly,0,1
2001020721,St. Louis Blues,2,Boston Bruins,1,Bill McCreary,Tim Peel,1,0
2001020722,Nashville Predators,2,Columbus Blue Jackets,1,Shane Heyer,Mike Leggo,1,0
2001020723,Calgary Flames,2,Anaheim Ducks,1,Blaine Angus,Paul Devorski,1,0
2001020724,Edmonton Oilers,0,Pittsburgh Penguins,1,Brad Meier,Kelly Sutherland,0,1
2001020725,Phoenix Coyotes,1,Buffalo Sabres,3,Dennis LaRue,Michael McGeough,0,1
2001020726,Los Angeles Kings,2,New York Islanders,3,Don Koharski,Brad Watson,0,1
2001020727,San Jose Sharks,1,Colorado Avalanche,3,Dan O'Halloran,Don Van Massenhoven,0,1
2001020728,Detroit Red Wings,3,Ottawa Senators,2,Stephane Auger,Terry Gregson,1,0
2001020729,Chicago Blackhawks,3,Dallas Stars,2,Paul Stewart,Scott Zelkin,1,0
2001020730,Boston Bruins,3,St. Louis Blues,4,Tom Kowal,Bill McCreary,0,1
2001020731,Pittsburgh Penguins,5,Philadelphia Flyers,2,Stephane Auger,Mark Faucette,1,0
2001020732,Carolina Hurricanes,5,Vancouver Canucks,7,Kerry Fraser,Kevin Pollock,0,1
2001020733,Tampa Bay Lightning,3,New Jersey Devils,2,Stephen Walkom,Dean Warren,1,0
2001020734,Florida Panthers,7,Montréal Canadiens,5,Mike Leggo,Chris Rooney,1,0
2001020735,Columbus Blue Jackets,3,Dallas Stars,5,Rob Martell,Paul Stewart,0,1
2001020736,Nashville Predators,0,Phoenix Coyotes,1,Shane Heyer,Scott Zelkin,0,1
2001020737,Colorado Avalanche,3,Buffalo Sabres,2,Don Koharski,Brad Watson,1,0
2001020738,Anaheim Ducks,2,Los Angeles Kings,4,Blaine Angus,Kelly Sutherland,0,1
2001020739,San Jose Sharks,4,Edmonton Oilers,3,Dennis LaRue,Dan O'Halloran,1,0
2001020740,New York Islanders,4,New York Rangers,5,Mark Faucette,Bill McCreary,0,1
2001020741,Philadelphia Flyers,1,Ottawa Senators,1,Terry Gregson,Marc Joannette,0,0
2001020742,Atlanta Thrashers,0,Washington Capitals,3,Shane Heyer,Ian Walsh,0,1
2001020743,Calgary Flames,1,Toronto Maple Leafs,6,Kevin Maguire,Don Van Massenhoven,0,1
2001020744,Buffalo Sabres,2,St. Louis Blues,5,Terry Gregson,Scott Zelkin,0,1
2001020745,New York Rangers,8,Boston Bruins,4,Bill McCreary,Dean Warren,1,0
2001020746,Pittsburgh Penguins,5,Tampa Bay Lightning,1,Rob Shick,Ian Walsh,1,0
2001020747,Washington Capitals,3,Montréal Canadiens,5,Shane Heyer,Kevin Pollock,0,1
2001020748,Carolina Hurricanes,2,Nashville Predators,2,Rob Martell,Paul Stewart,0,0
2001020749,Florida Panthers,1,New Jersey Devils,3,Tom Kowal,Mike Leggo,0,1
2001020750,Detroit Red Wings,2,San Jose Sharks,2,Kerry Fraser,Tim Peel,0,0
2001020751,Chicago Blackhawks,1,Phoenix Coyotes,4,Michael McGeough,Jay Sharrers,0,1
2001020752,Dallas Stars,2,Vancouver Canucks,4,Mike Hasenfratz,Stephen Walkom,0,1
2001020753,Edmonton Oilers,2,Colorado Avalanche,4,Kevin Maguire,Don Van Massenhoven,0,1
2001020754,Anaheim Ducks,3,Minnesota Wild,2,Dennis LaRue,Dan O'Halloran,1,0
2001020755,Ottawa Senators,4,Boston Bruins,3,Kerry Fraser,Brad Meier,1,0
2001020756,New York Islanders,4,Pittsburgh Penguins,5,Greg Kimmerly,Kevin Pollock,0,1
2001020757,Philadelphia Flyers,2,Nashville Predators,3,Mark Faucette,Marc Joannette,0,1
2001020758,Atlanta Thrashers,4,New Jersey Devils,2,Rob Martell,Tim Peel,1,0
2001020759,Columbus Blue Jackets,6,San Jose Sharks,2,Stephane Auger,Brad Watson,1,0
2001020760,Calgary Flames,0,Colorado Avalanche,2,Blaine Angus,Dave Jackson,0,1
2001020761,Los Angeles Kings,4,Minnesota Wild,1,Mike Hasenfratz,Dennis LaRue,1,0
2001020762,Buffalo Sabres,4,Tampa Bay Lightning,1,Eric Furlatt,Bill McCreary,1,0
2001020763,Carolina Hurricanes,1,Florida Panthers,1,Shane Heyer,Paul Stewart,0,0
2001020764,Detroit Red Wings,4,Phoenix Coyotes,1,Paul Devorski,Scott Zelkin,1,0
2001020765,Chicago Blackhawks,2,St. Louis Blues,1,Michael McGeough,Rob Shick,1,0
2001020766,Dallas Stars,1,Anaheim Ducks,6,Tom Kowal,Tim Peel,0,1
2001020767,Vancouver Canucks,6,Toronto Maple Leafs,1,Dave Jackson,Kevin Maguire,1,0
2001020768,Boston Bruins,4,Florida Panthers,2,Dan O'Halloran,Kevin Pollock,1,0
2001020769,Montréal Canadiens,1,Ottawa Senators,1,Don Van Massenhoven,Dean Warren,0,0
2001020770,New York Islanders,6,Tampa Bay Lightning,2,Greg Kimmerly,Brad Meier,1,0
2001020771,New York Rangers,6,Washington Capitals,3,Mark Faucette,Marc Joannette,1,0
2001020772,Philadelphia Flyers,4,Carolina Hurricanes,2,Stephen Walkom,Scott Zelkin,1,0
2001020773,Pittsburgh Penguins,3,Atlanta Thrashers,2,Kerry Fraser,Rob Martell,1,0
2001020774,Columbus Blue Jackets,2,Phoenix Coyotes,3,Paul Stewart,Brad Watson,0,1
2001020775,St. Louis Blues,2,Detroit Red Wings,5,Don Koharski,Tom Kowal,0,1
2001020776,Nashville Predators,1,Anaheim Ducks,3,Shane Heyer,Mike Leggo,0,1
2001020777,Minnesota Wild,2,New Jersey Devils,2,Michael McGeough,Rob Shick,0,0
2001020778,Calgary Flames,0,Vancouver Canucks,2,Dave Jackson,Kevin Maguire,0,1
2001020779,Edmonton Oilers,4,Toronto Maple Leafs,1,Blaine Angus,Terry Gregson,1,0
2001020780,Los Angeles Kings,2,Colorado Avalanche,4,Mike Hasenfratz,Dennis LaRue,0,1
2001020781,Montréal Canadiens,3,San Jose Sharks,1,Bill McCreary,Dean Warren,1,0
2001020782,Washington Capitals,2,Buffalo Sabres,3,Stephen Walkom,Ian Walsh,0,1
2001020783,Boston Bruins,2,Chicago Blackhawks,1,Bill McCreary,Brad Meier,1,0
2001020784,New York Rangers,0,Tampa Bay Lightning,1,Paul Devorski,Greg Kimmerly,0,1
2001020785,Atlanta Thrashers,2,Phoenix Coyotes,4,Eric Furlatt,Paul Stewart,0,1
2001020786,St. Louis Blues,0,Anaheim Ducks,1,Michael McGeough,Tim Peel,0,1
2001020787,Dallas Stars,4,Columbus Blue Jackets,2,Mike Hasenfratz,Dennis LaRue,1,0
2001020788,Minnesota Wild,2,Calgary Flames,3,Rob Shick,Ian Walsh,0,1
2001020789,Colorado Avalanche,4,Los Angeles Kings,6,Don Koharski,Tom Kowal,0,1
2001020790,Edmonton Oilers,1,Detroit Red Wings,1,Dave Jackson,Kelly Sutherland,0,0
2001020791,Vancouver Canucks,5,Nashville Predators,1,Terry Gregson,Kevin Maguire,1,0
2001020792,Toronto Maple Leafs,4,San Jose Sharks,3,Stephane Auger,Kevin Pollock,1,0
2001020793,New York Islanders,1,New Jersey Devils,3,Paul Devorski,Scott Zelkin,0,1
2001020794,Philadelphia Flyers,3,Pittsburgh Penguins,2,Kerry Fraser,Eric Furlatt,1,0
2001020795,Carolina Hurricanes,2,Buffalo Sabres,2,Marc Joannette,Brad Watson,0,0
2001020796,Montréal Canadiens,3,Boston Bruins,4,Stephane Auger,Paul Devorski,0,1
2001020797,Ottawa Senators,3,Philadelphia Flyers,1,Bill McCreary,Brad Meier,1,0
2001020798,New Jersey Devils,3,Chicago Blackhawks,1,Stephen Walkom,Scott Zelkin,1,0
2001020799,New York Rangers,3,New York Islanders,6,Kerry Fraser,Kevin Pollock,0,1
2001020800,Pittsburgh Penguins,3,San Jose Sharks,6,Blaine Angus,Rob Shick,0,1
2001020801,Washington Capitals,1,St. Louis Blues,4,Paul Stewart,Dean Warren,0,1
2001020802,Atlanta Thrashers,0,Toronto Maple Leafs,6,Mike Hasenfratz,Dan O'Halloran,0,1
2001020803,Tampa Bay Lightning,1,Carolina Hurricanes,3,Marc Joannette,Tim Peel,0,1
2001020804,Florida Panthers,1,Phoenix Coyotes,3,Mark Faucette,Greg Kimmerly,0,1
2001020805,Minnesota Wild,0,Los Angeles Kings,2,Mike Leggo,Ian Walsh,0,1
2001020806,Colorado Avalanche,2,Nashville Predators,5,Shane Heyer,Dennis LaRue,0,1
2001020807,Calgary Flames,4,Detroit Red Wings,3,Terry Gregson,Michael McGeough,1,0
2001020808,Vancouver Canucks,2,Edmonton Oilers,2,Don Koharski,Kelly Sutherland,0,0
2001020809,Anaheim Ducks,3,Columbus Blue Jackets,1,Dave Jackson,Jay Sharrers,1,0
2001020810,Tampa Bay Lightning,4,Ottawa Senators,4,Tim Peel,Paul Stewart,0,0
2001020811,Florida Panthers,6,New York Islanders,6,Mark Faucette,Kevin Maguire,0,0
2001020812,Columbus Blue Jackets,0,Boston Bruins,8,Rob Martell,Kevin Pollock,0,1
2001020813,Colorado Avalanche,1,Detroit Red Wings,3,Don Koharski,Mike Leggo,0,1
2001020814,Vancouver Canucks,4,Phoenix Coyotes,2,Dave Jackson,Dan O'Halloran,1,0
2001020815,Los Angeles Kings,1,Philadelphia Flyers,3,Rob Shick,Don Van Massenhoven,0,1
