code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020067,Edmonton Oilers,2,Detroit Red Wings,4,Dave Jackson,Swede Knox,0,1
1994020068,San Jose Sharks,2,Chicago Blackhawks,1,Walkom,Heyer,1,0
1994020069,Quebec Nordiques,5,Philadelphia Flyers,2,Dan Marouelli,Jean Morin,1,0
1994020070,New Jersey Devils,2,Buffalo Sabres,1,Don Koharski,Mike Cvik,1,0
1994020071,Tampa Bay Lightning,4,Montréal Canadiens,1,Don Van Massenhoven,Ron Asselstine,1,0
1994020072,Florida Panthers,1,New York Islanders,5,Mick McGeough #19,Kevin Collins #50,0,1
1994020073,St. Louis Blues,7,Anaheim Ducks,2,Mark Faucette,Dan McCourt,1,0
1994020074,Pittsburgh Penguins,4,New York Rangers,3,Kerry Fraser,Mark Vines,1,0
1994020075,Ottawa Senators,1,Hartford Whalers,2,Dan Marouelli,Jean Morin,0,1
1994020076,Dallas Stars,9,Anaheim Ducks,2,Faucette,Lazarowich,1,0
1994020077,Calgary Flames,2,Detroit Red Wings,1,Dave Jackson,Swede Knox,1,0
1994020078,Edmonton Oilers,0,Chicago Blackhawks,7,Andy van Hellemond,Andy McElman,0,1
1994020079,Vancouver Canucks,4,Toronto Maple Leafs,4,McCreary,Wayne Bonney,0,0
1994020080,Boston Bruins,6,Ottawa Senators,4,Kerry Fraser,Gordon Broseker,1,0
1994020081,New York Rangers,3,Tampa Bay Lightning,3,Roberts,Ron Asselstine,0,0
1994020082,New Jersey Devils,5,Quebec Nordiques,4,Terry Gregson,Mike Cvik,1,0
1994020083,Philadelphia Flyers,4,New York Islanders,5,Don Koharski,G. Gauthier,0,1
1994020084,Washington Capitals,0,Buffalo Sabres,1,Richard Trottier,Tim Nowak,0,1
1994020085,Florida Panthers,1,Montréal Canadiens,1,Don Van Massenhoven,Kevin Collins #50,0,0
1994020086,Dallas Stars,1,San Jose Sharks,2,Mcgeogh,Lazarowich,0,1
1994020087,Winnipeg Jets (1979),4,St. Louis Blues,5,Stephen Walkom,Andy McElman,0,1
1994020088,Calgary Flames,3,Chicago Blackhawks,4,Steve Walkom,Wayne Bonney,0,1
1994020089,Edmonton Oilers,5,Toronto Maple Leafs,3,Dave Jackson,Shane Heyer,1,0
1994020090,Anaheim Ducks,2,Detroit Red Wings,5,Bill McCreary,Ron Finn,0,1
1994020091,Boston Bruins,5,Hartford Whalers,4,Paul Stewart,Gordon Broseker,1,0
1994020092,Pittsburgh Penguins,6,Tampa Bay Lightning,3,Richard Trottier,Mike Cvik,1,0
1994020093,Ottawa Senators,1,New York Rangers,2,Blaine Angus,Scott Driscoll,0,1
1994020094,Montréal Canadiens,4,New York Islanders,2,Devorski,Morin,1,0
1994020095,Quebec Nordiques,2,New Jersey Devils,0,Kerry Fraser,Pierre Champoux,1,0
1994020096,Philadelphia Flyers,4,Buffalo Sabres,2,Terry Gregson,G. Gauthier,1,0
1994020097,Washington Capitals,3,Florida Panthers,2,Lance Roberts,Tim Nowak,1,0
1994020098,St. Louis Blues,7,Dallas Stars,4,Don Koharski,Dan Schachte,1,0
1994020099,Winnipeg Jets (1979),3,San Jose Sharks,3,Mick McGeough,Andy McElman,0,0
1994020100,Calgary Flames,4,Toronto Maple Leafs,1,Andy van Hellemond,Wayne Bonney,1,0
1994020101,Los Angeles Kings,4,Detroit Red Wings,3,Bill McCreary,Ron Finn,1,0
1994020102,Buffalo Sabres,2,Tampa Bay Lightning,1,Gregson,Scapinello,1,0
1994020103,Quebec Nordiques,3,Hartford Whalers,1,Kerry Fraser,Pierre Champoux,1,0
