,Ref,Score,Team
0,Paul Stewart,3,Colorado Avalanche
1,Paul Stewart,2,Detroit Red Wings
2,Shane Heyer,3,Colorado Avalanche
3,Shane Heyer,2,Detroit Red Wings
4,Dave Jackson,4,Boston Bruins
5,Dave Jackson,4,New York Islanders
6,Kevin Collins,4,Boston Bruins
7,Kevin Collins,4,New York Islanders
8,Don Van Massenhoven,2,Hartford Whalers
9,Don Van Massenhoven,0,New York Rangers
10,Greg Devorski,2,Hartford Whalers
11,Greg Devorski,0,New York Rangers
12,Kerry Frazer,8,Pittsburgh Penguins
13,Kerry Frazer,3,Toronto Maple Leafs
14,Ron Asselstine,8,Pittsburgh Penguins
15,Ron Asselstine,3,Toronto Maple Leafs
16,Andy van Hellemond,3,Buffalo Sabres
17,Andy van Hellemond,1,Ottawa Senators
18,Pierre Champoux,3,Buffalo Sabres
19,Pierre Champoux,1,Ottawa Senators
20,Gauthier,1,Montréal Canadiens
21,Gauthier,7,Philadelphia Flyers
22,Gregson,1,Montréal Canadiens
23,Gregson,7,Philadelphia Flyers
24,Dapuzzo,0,Florida Panthers
25,Dapuzzo,4,New Jersey Devils
26,Devorski,0,Florida Panthers
27,Devorski,4,New Jersey Devils
28,Gordon Broseker,1,St. Louis Blues
29,Gordon Broseker,4,Washington Capitals
30,Mark Faucette,1,St. Louis Blues
31,Mark Faucette,4,Washington Capitals
32,Finn,3,Calgary Flames
33,Finn,3,Tampa Bay Lightning
34,McCreay,3,Calgary Flames
35,McCreay,3,Tampa Bay Lightning
36,Don Koharski,5,Dallas Stars
37,Don Koharski,7,Winnipeg Jets (1979)
38,Mike Cvik,5,Dallas Stars
39,Mike Cvik,7,Winnipeg Jets (1979)
40,Stewart,4,Chicago Blackhawks
41,Stewart,3,San Jose Sharks
42,Wayne Bonney,4,Chicago Blackhawks
43,Wayne Bonney,3,San Jose Sharks
44,Rob Shick,2,Colorado Avalanche
45,Rob Shick,4,Los Angeles Kings
46,Shane Heyer,2,Colorado Avalanche
47,Shane Heyer,4,Los Angeles Kings
48,Bill McCreary #7,3,Calgary Flames
49,Bill McCreary #7,4,Florida Panthers
50,Ron Finn #77,3,Calgary Flames
51,Ron Finn #77,4,Florida Panthers
52,Don Koharski,3,Detroit Red Wings
53,Don Koharski,1,Edmonton Oilers
54,Swede Knox,3,Detroit Red Wings
55,Swede Knox,1,Edmonton Oilers
56,Gordon Broseker,5,Boston Bruins
57,Gordon Broseker,3,Buffalo Sabres
58,Mark Faucette,5,Boston Bruins
59,Mark Faucette,3,Buffalo Sabres
60,Mike Cvik,3,Anaheim Ducks
61,Mike Cvik,4,Winnipeg Jets (1979)
62,Stephen Walkom,3,Anaheim Ducks
63,Stephen Walkom,4,Winnipeg Jets (1979)
64,Mike McGeough,6,Colorado Avalanche
65,Mike McGeough,6,Pittsburgh Penguins
66,Steve Knox,6,Colorado Avalanche
67,Steve Knox,6,Pittsburgh Penguins
68,Baron Parker,5,Detroit Red Wings
69,Baron Parker,3,Vancouver Canucks
70,Paul Stewart,5,Detroit Red Wings
71,Paul Stewart,3,Vancouver Canucks
72,Dan Marouelli,3,New York Islanders
73,Dan Marouelli,7,Toronto Maple Leafs
74,Ray Scapinello,3,New York Islanders
75,Ray Scapinello,7,Toronto Maple Leafs
76,Brad Lazarowich,3,Edmonton Oilers
77,Brad Lazarowich,5,St. Louis Blues
78,Lance Roberts,3,Edmonton Oilers
79,Lance Roberts,5,St. Louis Blues
80,McCourt,3,Calgary Flames
81,McCourt,7,Dallas Stars
82,McGeough,3,Calgary Flames
83,McGeough,7,Dallas Stars
84,Don Koharski,5,Chicago Blackhawks
