code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2002020001,Carolina Hurricanes,1,New York Rangers,4,Mike Hasenfratz,Stephen Walkom,New York Rangers,Carolina Hurricanes
2002020002,Colorado Avalanche,1,Dallas Stars,1,Michael McGeough,Brad Meier,Colorado Avalanche,Dallas Stars
2002020003,Los Angeles Kings,4,Phoenix Coyotes,1,Kerry Fraser,Kelly Sutherland,Los Angeles Kings,Phoenix Coyotes
2002020004,Buffalo Sabres,5,New York Islanders,1,Blaine Angus,Rob Martell,Buffalo Sabres,New York Islanders
2002020005,Ottawa Senators,1,New Jersey Devils,2,Dave Jackson,Kevin Pollock,New Jersey Devils,Ottawa Senators
2002020006,Columbus Blue Jackets,2,Chicago Blackhawks,1,Terry Gregson,Jay Sharrers,Columbus Blue Jackets,Chicago Blackhawks
2002020007,Pittsburgh Penguins,0,Toronto Maple Leafs,6,Don Koharski,Paul Stewart,Toronto Maple Leafs,Pittsburgh Penguins
2002020008,Florida Panthers,3,Tampa Bay Lightning,4,Marc Joannette,Don Van Massenhoven,Tampa Bay Lightning,Florida Panthers
2002020009,St. Louis Blues,3,Anaheim Ducks,4,Chris Lee,Dan Marouelli,Anaheim Ducks,St. Louis Blues
2002020010,Calgary Flames,0,Vancouver Canucks,3,Bill McCreary,Chris Rooney,Vancouver Canucks,Calgary Flames
2002020011,Edmonton Oilers,2,Philadelphia Flyers,2,Rob Shick,Dean Warren,Edmonton Oilers,Philadelphia Flyers
2002020012,San Jose Sharks,3,Detroit Red Wings,6,Kerry Fraser,Kelly Sutherland,Detroit Red Wings,San Jose Sharks
2002020013,New York Rangers,1,Montréal Canadiens,4,Greg Kimmerly,Mike Leggo,Montréal Canadiens,New York Rangers
2002020014,Carolina Hurricanes,5,Atlanta Thrashers,3,Stephane Auger,Stephen Walkom,Carolina Hurricanes,Atlanta Thrashers
2002020015,Washington Capitals,5,Nashville Predators,4,Don Koharski,Scott Zelkin,Washington Capitals,Nashville Predators
