,Ref,Score,Team
331,Dave Jackson,6,Los Angeles Kings
332,Brad Watson,3,Chicago Blackhawks
333,Brad Watson,4,Los Angeles Kings
334,Steve Kozari,3,Chicago Blackhawks
335,Steve Kozari,4,Los Angeles Kings
336,Dan O'Halloran,2,Chicago Blackhawks
337,Dan O'Halloran,5,Los Angeles Kings
338,Wes McCauley,2,Chicago Blackhawks
339,Wes McCauley,5,Los Angeles Kings
340,Kevin Pollock,5,Chicago Blackhawks
341,Kevin Pollock,4,Los Angeles Kings
342,Marc Joannette,5,Chicago Blackhawks
343,Marc Joannette,4,Los Angeles Kings
344,Dan O'Rourke,4,Chicago Blackhawks
345,Dan O'Rourke,3,Los Angeles Kings
346,Dave Jackson,4,Chicago Blackhawks
347,Dave Jackson,3,Los Angeles Kings
348,Dan O'Halloran,4,Chicago Blackhawks
349,Dan O'Halloran,5,Los Angeles Kings
350,Wes McCauley,4,Chicago Blackhawks
351,Wes McCauley,5,Los Angeles Kings
352,Brad Watson,3,Los Angeles Kings
353,Brad Watson,2,New York Rangers
354,Steve Kozari,3,Los Angeles Kings
355,Steve Kozari,2,New York Rangers
356,Dan O'Halloran,5,Los Angeles Kings
357,Dan O'Halloran,4,New York Rangers
358,Wes McCauley,5,Los Angeles Kings
359,Wes McCauley,4,New York Rangers
360,Brad Watson,3,Los Angeles Kings
361,Brad Watson,0,New York Rangers
362,Steve Kozari,3,Los Angeles Kings
363,Steve Kozari,0,New York Rangers
364,Dan O'Halloran,1,Los Angeles Kings
365,Dan O'Halloran,2,New York Rangers
366,Wes McCauley,1,Los Angeles Kings
367,Wes McCauley,2,New York Rangers
368,Brad Watson,3,Los Angeles Kings
369,Brad Watson,2,New York Rangers
370,Steve Kozari,3,Los Angeles Kings
371,Steve Kozari,2,New York Rangers
