code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2001020001,Toronto Maple Leafs,4,Ottawa Senators,5,Mike Leggo,Don Van Massenhoven,Ottawa Senators,Toronto Maple Leafs
2001020002,Pittsburgh Penguins,1,Colorado Avalanche,3,Dave Jackson,Stephen Walkom,Colorado Avalanche,Pittsburgh Penguins
2001020003,Calgary Flames,1,Edmonton Oilers,0,Marc Joannette,Rob Shick,Calgary Flames,Edmonton Oilers
2001020004,Boston Bruins,4,Anaheim Ducks,2,Tom Kowal,Brad Watson,Boston Bruins,Anaheim Ducks
2001020005,Buffalo Sabres,1,Atlanta Thrashers,2,Don Van Massenhoven,Scott Zelkin,Atlanta Thrashers,Buffalo Sabres
2001020006,Ottawa Senators,4,Montréal Canadiens,6,Terry Gregson,Dean Warren,Montréal Canadiens,Ottawa Senators
2001020007,Philadelphia Flyers,5,Florida Panthers,2,Paul Devorski,Don Koharski,Philadelphia Flyers,Florida Panthers
2001020008,Columbus Blue Jackets,3,St. Louis Blues,3,Blaine Angus,Dave Jackson,Columbus Blue Jackets,St. Louis Blues
2001020009,Vancouver Canucks,4,Chicago Blackhawks,5,Marc Joannette,Rob Shick,Chicago Blackhawks,Vancouver Canucks
2001020010,Los Angeles Kings,2,Phoenix Coyotes,2,Shane Heyer,Dennis LaRue,Los Angeles Kings,Phoenix Coyotes
2001020011,San Jose Sharks,3,Detroit Red Wings,4,Bill McCreary,Kelly Sutherland,Detroit Red Wings,San Jose Sharks
2001020012,Carolina Hurricanes,3,New York Rangers,1,Paul Devorski,Kevin Pollock,Carolina Hurricanes,New York Rangers
2001020013,Tampa Bay Lightning,2,New York Islanders,3,Mike Hasenfratz,Kevin Maguire,New York Islanders,Tampa Bay Lightning
2001020014,Dallas Stars,4,Nashville Predators,1,Stephane Auger,Mark Faucette,Dallas Stars,Nashville Predators
2001020015,Boston Bruins,4,Atlanta Thrashers,3,Don Koharski,Scott Zelkin,Boston Bruins,Atlanta Thrashers
2001020016,Buffalo Sabres,3,Ottawa Senators,2,Dave Jackson,Chris Rooney,Buffalo Sabres,Ottawa Senators
2001020017,Montréal Canadiens,2,Toronto Maple Leafs,2,Stephen Walkom,Brad Watson,Montréal Canadiens,Toronto Maple Leafs
2001020018,Philadelphia Flyers,3,Columbus Blue Jackets,3,Tom Kowal,Mike Leggo,Philadelphia Flyers,Columbus Blue Jackets
2001020019,Pittsburgh Penguins,2,Anaheim Ducks,4,Blaine Angus,Rob Martell,Anaheim Ducks,Pittsburgh Penguins
2001020020,Washington Capitals,6,New Jersey Devils,1,Dan O'Halloran,Kevin Pollock,Washington Capitals,New Jersey Devils
2001020021,Florida Panthers,0,New York Islanders,3,Kerry Fraser,Kevin Maguire,New York Islanders,Florida Panthers
2001020022,Nashville Predators,2,St. Louis Blues,2,Stephane Auger,Mark Faucette,Nashville Predators,St. Louis Blues
2001020023,Calgary Flames,4,Chicago Blackhawks,0,Terry Gregson,Marc Joannette,Calgary Flames,Chicago Blackhawks
