code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2009030111,Washington Capitals,2,Montréal Canadiens,3,Brad Watson,Brad Meier,Montréal Canadiens,Washington Capitals
2009030112,Washington Capitals,6,Montréal Canadiens,5,Dan O'Halloran,Brian Pochmara,Washington Capitals,Montréal Canadiens
2009030113,Montréal Canadiens,1,Washington Capitals,5,Kelly Sutherland,Kevin Pollock,Washington Capitals,Montréal Canadiens
2009030114,Montréal Canadiens,3,Washington Capitals,6,Dan O'Rourke,Tim Peel,Washington Capitals,Montréal Canadiens
2009030115,Washington Capitals,1,Montréal Canadiens,2,Chris Rooney,Dennis LaRue,Montréal Canadiens,Washington Capitals
2009030116,Montréal Canadiens,4,Washington Capitals,1,Dan O'Rourke,Tim Peel,Montréal Canadiens,Washington Capitals
2009030117,Washington Capitals,1,Montréal Canadiens,2,Dan O'Halloran,Brad Watson,Montréal Canadiens,Washington Capitals
2009030121,New Jersey Devils,1,Philadelphia Flyers,2,Wes McCauley,Stephen Walkom,Philadelphia Flyers,New Jersey Devils
2009030122,New Jersey Devils,5,Philadelphia Flyers,3,Mike Leggo,Eric Furlatt,New Jersey Devils,Philadelphia Flyers
2009030123,Philadelphia Flyers,3,New Jersey Devils,2,Brad Watson,Brad Meier,Philadelphia Flyers,New Jersey Devils
2009030124,Philadelphia Flyers,4,New Jersey Devils,1,Chris Rooney,Dennis LaRue,Philadelphia Flyers,New Jersey Devils
2009030125,New Jersey Devils,0,Philadelphia Flyers,3,Marc Joannette,Chris Lee,Philadelphia Flyers,New Jersey Devils
2009030131,Buffalo Sabres,2,Boston Bruins,1,Dan O'Halloran,Brian Pochmara,Buffalo Sabres,Boston Bruins
2009030132,Buffalo Sabres,3,Boston Bruins,5,Paul Devorski,Steve Kozari,Boston Bruins,Buffalo Sabres
2009030133,Boston Bruins,2,Buffalo Sabres,1,Marc Joannette,Chris Lee,Boston Bruins,Buffalo Sabres
2009030134,Boston Bruins,3,Buffalo Sabres,2,Kelly Sutherland,Kevin Pollock,Boston Bruins,Buffalo Sabres
2009030135,Buffalo Sabres,4,Boston Bruins,1,Dan O'Rourke,Tim Peel,Buffalo Sabres,Boston Bruins
2009030136,Boston Bruins,4,Buffalo Sabres,3,Stephen Walkom,Eric Furlatt,Boston Bruins,Buffalo Sabres
2009030141,Pittsburgh Penguins,4,Ottawa Senators,5,Paul Devorski,Steve Kozari,Ottawa Senators,Pittsburgh Penguins
2009030142,Pittsburgh Penguins,2,Ottawa Senators,1,Bill McCreary,Ian Walsh,Pittsburgh Penguins,Ottawa Senators
2009030143,Ottawa Senators,2,Pittsburgh Penguins,4,Mike Leggo,Eric Furlatt,Pittsburgh Penguins,Ottawa Senators
2009030144,Ottawa Senators,4,Pittsburgh Penguins,7,Brad Watson,Brad Meier,Pittsburgh Penguins,Ottawa Senators
2009030145,Pittsburgh Penguins,3,Ottawa Senators,4,Dan O'Halloran,Brian Pochmara,Ottawa Senators,Pittsburgh Penguins
2009030146,Ottawa Senators,3,Pittsburgh Penguins,4,Wes McCauley,Stephen Walkom,Pittsburgh Penguins,Ottawa Senators
2009030151,San Jose Sharks,1,Colorado Avalanche,2,Dan O'Rourke,Tim Peel,Colorado Avalanche,San Jose Sharks
2009030152,San Jose Sharks,6,Colorado Avalanche,5,Marc Joannette,Chris Lee,San Jose Sharks,Colorado Avalanche
2009030153,Colorado Avalanche,1,San Jose Sharks,0,Wes McCauley,Stephen Walkom,Colorado Avalanche,San Jose Sharks
2009030154,Colorado Avalanche,1,San Jose Sharks,2,Bill McCreary,Ian Walsh,San Jose Sharks,Colorado Avalanche
2009030155,San Jose Sharks,5,Colorado Avalanche,0,Paul Devorski,Steve Kozari,San Jose Sharks,Colorado Avalanche
2009030156,Colorado Avalanche,2,San Jose Sharks,5,Marc Joannette,Chris Lee,San Jose Sharks,Colorado Avalanche
2009030161,Chicago Blackhawks,1,Nashville Predators,4,Wes McCauley,Stephen Walkom,Nashville Predators,Chicago Blackhawks
2009030162,Chicago Blackhawks,2,Nashville Predators,0,Chris Rooney,Dennis LaRue,Chicago Blackhawks,Nashville Predators
2009030163,Nashville Predators,4,Chicago Blackhawks,1,Dan O'Halloran,Brian Pochmara,Nashville Predators,Chicago Blackhawks
2009030164,Nashville Predators,0,Chicago Blackhawks,3,Bill McCreary,Ian Walsh,Chicago Blackhawks,Nashville Predators
2009030165,Chicago Blackhawks,5,Nashville Predators,4,Kelly Sutherland,Kevin Pollock,Chicago Blackhawks,Nashville Predators
2009030166,Nashville Predators,3,Chicago Blackhawks,5,Marc Joannette,Chris Lee,Chicago Blackhawks,Nashville Predators
2009030171,Vancouver Canucks,3,Los Angeles Kings,2,Kelly Sutherland,Kevin Pollock,Vancouver Canucks,Los Angeles Kings
2009030172,Vancouver Canucks,2,Los Angeles Kings,3,Dan O'Rourke,Tim Peel,Los Angeles Kings,Vancouver Canucks
2009030173,Los Angeles Kings,5,Vancouver Canucks,3,Paul Devorski,Steve Kozari,Los Angeles Kings,Vancouver Canucks
2009030174,Los Angeles Kings,4,Vancouver Canucks,6,Wes McCauley,Stephen Walkom,Vancouver Canucks,Los Angeles Kings
2009030175,Vancouver Canucks,7,Los Angeles Kings,2,Mike Leggo,Eric Furlatt,Vancouver Canucks,Los Angeles Kings
2009030176,Los Angeles Kings,2,Vancouver Canucks,4,Bill McCreary,Dan O'Halloran,Vancouver Canucks,Los Angeles Kings
2009030181,Phoenix Coyotes,3,Detroit Red Wings,2,Marc Joannette,Chris Lee,Phoenix Coyotes,Detroit Red Wings
2009030182,Phoenix Coyotes,4,Detroit Red Wings,7,Chris Rooney,Dennis LaRue,Detroit Red Wings,Phoenix Coyotes
2009030183,Detroit Red Wings,2,Phoenix Coyotes,4,Bill McCreary,Ian Walsh,Phoenix Coyotes,Detroit Red Wings
2009030184,Detroit Red Wings,3,Phoenix Coyotes,0,Mike Leggo,Eric Furlatt,Detroit Red Wings,Phoenix Coyotes
2009030185,Phoenix Coyotes,1,Detroit Red Wings,4,Brad Watson,Brad Meier,Detroit Red Wings,Phoenix Coyotes
2009030186,Detroit Red Wings,2,Phoenix Coyotes,5,Dan O'Rourke,Tim Peel,Phoenix Coyotes,Detroit Red Wings
2009030187,Phoenix Coyotes,1,Detroit Red Wings,6,Kelly Sutherland,Kevin Pollock,Detroit Red Wings,Phoenix Coyotes
2009030211,Pittsburgh Penguins,6,Montréal Canadiens,3,Bill McCreary,Chris Lee,Pittsburgh Penguins,Montréal Canadiens
2009030212,Pittsburgh Penguins,1,Montréal Canadiens,3,Dan O'Halloran,Tim Peel,Montréal Canadiens,Pittsburgh Penguins
2009030213,Montréal Canadiens,0,Pittsburgh Penguins,2,Brad Watson,Kevin Pollock,Pittsburgh Penguins,Montréal Canadiens
2009030214,Montréal Canadiens,3,Pittsburgh Penguins,2,Paul Devorski,Eric Furlatt,Montréal Canadiens,Pittsburgh Penguins
2009030215,Pittsburgh Penguins,2,Montréal Canadiens,1,Kelly Sutherland,Stephen Walkom,Pittsburgh Penguins,Montréal Canadiens
