,Ref,Score,Team
0,Dan Marouelli,1,Boston Bruins
1,Dan Marouelli,4,Montréal Canadiens
2,Kerry Fraser,1,Boston Bruins
3,Kerry Fraser,4,Montréal Canadiens
4,Mike Leggo,2,Boston Bruins
5,Mike Leggo,3,Montréal Canadiens
6,Paul Devorski,2,Boston Bruins
7,Paul Devorski,3,Montréal Canadiens
8,Bill McCreary,2,Boston Bruins
9,Bill McCreary,1,Montréal Canadiens
10,Greg Kimmerly,2,Boston Bruins
11,Greg Kimmerly,1,Montréal Canadiens
12,Don VanMassenhoven,0,Boston Bruins
13,Don VanMassenhoven,1,Montréal Canadiens
14,Mike Hasenfratz,0,Boston Bruins
15,Mike Hasenfratz,1,Montréal Canadiens
16,Don Koharski,5,Boston Bruins
17,Don Koharski,1,Montréal Canadiens
18,Kelly Sutherland,5,Boston Bruins
19,Kelly Sutherland,1,Montréal Canadiens
20,Brad Watson,5,Boston Bruins
21,Brad Watson,4,Montréal Canadiens
22,Wes McCauley,5,Boston Bruins
23,Wes McCauley,4,Montréal Canadiens
24,Bill McCreary,0,Boston Bruins
25,Bill McCreary,5,Montréal Canadiens
26,Kevin Pollock,0,Boston Bruins
27,Kevin Pollock,5,Montréal Canadiens
28,Brad Watson,0,Ottawa Senators
29,Brad Watson,4,Pittsburgh Penguins
30,Wes McCauley,0,Ottawa Senators
31,Wes McCauley,4,Pittsburgh Penguins
32,Dennis LaRue,3,Ottawa Senators
33,Dennis LaRue,5,Pittsburgh Penguins
34,Kevin Pollock,3,Ottawa Senators
35,Kevin Pollock,5,Pittsburgh Penguins
36,Mike Leggo,1,Ottawa Senators
37,Mike Leggo,4,Pittsburgh Penguins
38,Paul Devorski,1,Ottawa Senators
39,Paul Devorski,4,Pittsburgh Penguins
40,Dan Marouelli,1,Ottawa Senators
41,Dan Marouelli,3,Pittsburgh Penguins
42,Kerry Fraser,1,Ottawa Senators
43,Kerry Fraser,3,Pittsburgh Penguins
44,Brad Watson,4,Philadelphia Flyers
45,Brad Watson,5,Washington Capitals
46,Wes McCauley,4,Philadelphia Flyers
47,Wes McCauley,5,Washington Capitals
48,Chris Rooney,2,Philadelphia Flyers
49,Chris Rooney,0,Washington Capitals
50,Dave Jackson,2,Philadelphia Flyers
51,Dave Jackson,0,Washington Capitals
52,Don Koharski,6,Philadelphia Flyers
53,Don Koharski,3,Washington Capitals
54,Kelly Sutherland,6,Philadelphia Flyers
55,Kelly Sutherland,3,Washington Capitals
56,Don VanMassenhoven,4,Philadelphia Flyers
57,Don VanMassenhoven,3,Washington Capitals
58,Mike Hasenfratz,4,Philadelphia Flyers
59,Mike Hasenfratz,3,Washington Capitals
60,Dennis LaRue,2,Philadelphia Flyers
61,Dennis LaRue,3,Washington Capitals
62,Kevin Pollock,2,Philadelphia Flyers
63,Kevin Pollock,3,Washington Capitals
64,Marc Joannette,2,Philadelphia Flyers
65,Marc Joannette,4,Washington Capitals
66,Tim Peel,2,Philadelphia Flyers
67,Tim Peel,4,Washington Capitals
68,Don Koharski,3,Philadelphia Flyers
69,Don Koharski,2,Washington Capitals
70,Paul Devorski,3,Philadelphia Flyers
71,Paul Devorski,2,Washington Capitals
72,Bill McCreary,1,New Jersey Devils
73,Bill McCreary,4,New York Rangers
74,Greg Kimmerly,1,New Jersey Devils
75,Greg Kimmerly,4,New York Rangers
76,Chris Rooney,1,New Jersey Devils
77,Chris Rooney,2,New York Rangers
78,Dave Jackson,1,New Jersey Devils
79,Dave Jackson,2,New York Rangers
80,Don VanMassenhoven,4,New Jersey Devils
81,Don VanMassenhoven,3,New York Rangers
