,Ref,Score,Team
0,Don Koharski,4,New York Rangers
1,Don Koharski,5,Quebec Nordiques
2,Swede Knox,4,New York Rangers
3,Swede Knox,5,Quebec Nordiques
4,Mark Faucette,8,New York Rangers
5,Mark Faucette,3,Quebec Nordiques
6,Swede Knox,8,New York Rangers
7,Swede Knox,3,Quebec Nordiques
8,Bill McCreary,4,New York Rangers
9,Bill McCreary,3,Quebec Nordiques
10,Wayne Bonney,4,New York Rangers
11,Wayne Bonney,3,Quebec Nordiques
12,Andy van Hellemond,3,New York Rangers
13,Andy van Hellemond,2,Quebec Nordiques
14,Wayne Bonney,3,New York Rangers
15,Wayne Bonney,2,Quebec Nordiques
16,Kerry Fraser,2,New York Rangers
17,Kerry Fraser,4,Quebec Nordiques
18,Mike Cvik,2,New York Rangers
19,Mike Cvik,4,Quebec Nordiques
20,Bob Hodges,4,New York Rangers
21,Bob Hodges,2,Quebec Nordiques
22,Dan Marouelli,4,New York Rangers
23,Dan Marouelli,2,Quebec Nordiques
24,Bill McCreary,3,Buffalo Sabres
25,Bill McCreary,4,Philadelphia Flyers
26,Ron Asselstine,3,Buffalo Sabres
27,Ron Asselstine,4,Philadelphia Flyers
28,Rob Shick,1,Buffalo Sabres
29,Rob Shick,3,Philadelphia Flyers
30,Ron Asselstine,1,Buffalo Sabres
31,Ron Asselstine,3,Philadelphia Flyers
32,Don Koharski,3,Buffalo Sabres
33,Don Koharski,1,Philadelphia Flyers
34,Shayne Heyer,3,Buffalo Sabres
35,Shayne Heyer,1,Philadelphia Flyers
36,Paul Stewart,2,Buffalo Sabres
37,Paul Stewart,4,Philadelphia Flyers
38,Shayne Heyer,2,Buffalo Sabres
39,Shayne Heyer,4,Philadelphia Flyers
40,Andy van Hellemond,4,Buffalo Sabres
41,Andy van Hellemond,6,Philadelphia Flyers
42,Swede Knox,4,Buffalo Sabres
43,Swede Knox,6,Philadelphia Flyers
44,Andy van Hellemond,4,Pittsburgh Penguins
45,Andy van Hellemond,5,Washington Capitals
46,Shane Heyer,4,Pittsburgh Penguins
47,Shane Heyer,5,Washington Capitals
48,Bill McCreary,5,Pittsburgh Penguins
49,Bill McCreary,3,Washington Capitals
50,Shane Heyer,5,Pittsburgh Penguins
51,Shane Heyer,3,Washington Capitals
52,Brian Murphy,2,Pittsburgh Penguins
53,Brian Murphy,6,Washington Capitals
54,Terry Gregson,2,Pittsburgh Penguins
55,Terry Gregson,6,Washington Capitals
56,Brian Murphy,2,Pittsburgh Penguins
57,Brian Murphy,6,Washington Capitals
58,Kerry Fraser,2,Pittsburgh Penguins
59,Kerry Fraser,6,Washington Capitals
60,Mike McGeough,6,Pittsburgh Penguins
61,Mike McGeough,5,Washington Capitals
62,Wayne Bonney,6,Pittsburgh Penguins
63,Wayne Bonney,5,Washington Capitals
64,Paul Stewart,7,Pittsburgh Penguins
65,Paul Stewart,1,Washington Capitals
66,Wayne Bonney,7,Pittsburgh Penguins
67,Wayne Bonney,1,Washington Capitals
68,Don Koharski,3,Pittsburgh Penguins
69,Don Koharski,0,Washington Capitals
70,Ray Scapinello,3,Pittsburgh Penguins
71,Ray Scapinello,0,Washington Capitals
72,Terry Gregson,0,Boston Bruins
73,Terry Gregson,5,New Jersey Devils
74,Wayne Bonney,0,Boston Bruins
75,Wayne Bonney,5,New Jersey Devils
76,Don Koharski,0,Boston Bruins
77,Don Koharski,3,New Jersey Devils
78,Jay Sharrers,0,Boston Bruins
79,Jay Sharrers,3,New Jersey Devils
80,Andy van Hellemond,3,Boston Bruins
81,Andy van Hellemond,2,New Jersey Devils
82,Swede Knox,3,Boston Bruins
83,Swede Knox,2,New Jersey Devils
84,Mike McGeough,0,Boston Bruins
85,Mike McGeough,1,New Jersey Devils
86,Swede Knox,0,Boston Bruins
87,Swede Knox,1,New Jersey Devils
88,Bill McCreary,2,Boston Bruins
89,Bill McCreary,3,New Jersey Devils
90,Gerard Gauthier,2,Boston Bruins
91,Gerard Gauthier,3,New Jersey Devils
92,B. Hodges,3,Dallas Stars
93,B. Hodges,4,Detroit Red Wings
94,K. Fraser,3,Dallas Stars
95,K. Fraser,4,Detroit Red Wings
96,M. McGeough,1,Dallas Stars
97,M. McGeough,4,Detroit Red Wings
98,M. Wheler,1,Dallas Stars
99,M. Wheler,4,Detroit Red Wings
100,Collins,1,Dallas Stars
101,Collins,5,Detroit Red Wings
102,Marouelli,1,Dallas Stars
103,Marouelli,5,Detroit Red Wings
104,Collins,4,Dallas Stars
105,Collins,1,Detroit Red Wings
106,Gregson,4,Dallas Stars
107,Gregson,1,Detroit Red Wings
108,M. Faucette,1,Dallas Stars
109,M. Faucette,3,Detroit Red Wings
110,R. Scapinello,1,Dallas Stars
111,R. Scapinello,3,Detroit Red Wings
112,Dan Marouelli,4,Calgary Flames
113,Dan Marouelli,5,San Jose Sharks
114,Gerard Gauthier,4,Calgary Flames
115,Gerard Gauthier,5,San Jose Sharks
116,Gerard Gauthier,4,Calgary Flames
117,Gerard Gauthier,5,San Jose Sharks
118,Paul Devorski,4,Calgary Flames
119,Paul Devorski,5,San Jose Sharks
120,Faucette,9,Calgary Flames
121,Faucette,2,San Jose Sharks
122,Ron Asselstine,9,Calgary Flames
123,Ron Asselstine,2,San Jose Sharks
124,Ron Asselstine,6,Calgary Flames
125,Ron Asselstine,4,San Jose Sharks
126,Shick,6,Calgary Flames
127,Shick,4,San Jose Sharks
128,Don Koharski,5,Calgary Flames
129,Don Koharski,0,San Jose Sharks
130,Pat Dapuzzo,5,Calgary Flames
131,Pat Dapuzzo,0,San Jose Sharks
132,Gordon Broseker,3,Calgary Flames
133,Gordon Broseker,5,San Jose Sharks
134,Van Hellemond,3,Calgary Flames
135,Van Hellemond,5,San Jose Sharks
136,Kerry Fraser,4,Calgary Flames
137,Kerry Fraser,5,San Jose Sharks
138,Wayne Bonney,4,Calgary Flames
139,Wayne Bonney,5,San Jose Sharks
140,Jean Morin,2,St. Louis Blues
141,Jean Morin,1,Vancouver Canucks
142,Paul Stewart,2,St. Louis Blues
143,Paul Stewart,1,Vancouver Canucks
144,Jean Morin,3,St. Louis Blues
145,Jean Morin,5,Vancouver Canucks
146,Kerry Fraser,3,St. Louis Blues
147,Kerry Fraser,5,Vancouver Canucks
148,Gordon Broseker,1,St. Louis Blues
149,Gordon Broseker,6,Vancouver Canucks
150,Rob Shick,1,St. Louis Blues
151,Rob Shick,6,Vancouver Canucks
152,Gordon Broseker,5,St. Louis Blues
153,Gordon Broseker,2,Vancouver Canucks
154,Paul Devorski,5,St. Louis Blues
155,Paul Devorski,2,Vancouver Canucks
156,Brian Murphy,5,St. Louis Blues
157,Brian Murphy,6,Vancouver Canucks
158,Terry Gregson,5,St. Louis Blues
159,Terry Gregson,6,Vancouver Canucks
160,Bill Mcreary,8,St. Louis Blues
161,Bill Mcreary,2,Vancouver Canucks
162,Leon Stickle,8,St. Louis Blues
163,Leon Stickle,2,Vancouver Canucks
164,Andy van Hellemond,3,St. Louis Blues
165,Andy van Hellemond,5,Vancouver Canucks
166,Gerard Gauthier,3,St. Louis Blues
167,Gerard Gauthier,5,Vancouver Canucks
168,Brian Murphy,3,Chicago Blackhawks
169,Brian Murphy,5,Toronto Maple Leafs
170,Paul Devorski,3,Chicago Blackhawks
171,Paul Devorski,5,Toronto Maple Leafs
172,Brian Murphy,0,Chicago Blackhawks
173,Brian Murphy,3,Toronto Maple Leafs
174,Paul Stewart,0,Chicago Blackhawks
175,Paul Stewart,3,Toronto Maple Leafs
176,Bob Hodges,3,Chicago Blackhawks
177,Bob Hodges,2,Toronto Maple Leafs
178,Don Koharski,3,Chicago Blackhawks
179,Don Koharski,2,Toronto Maple Leafs
180,Dan Marouelli,3,Chicago Blackhawks
181,Dan Marouelli,1,Toronto Maple Leafs
182,Mark Wheler,3,Chicago Blackhawks
183,Mark Wheler,1,Toronto Maple Leafs
184,Kevin Collins,4,Chicago Blackhawks
185,Kevin Collins,2,Toronto Maple Leafs
186,Rob Shick,4,Chicago Blackhawks
187,Rob Shick,2,Toronto Maple Leafs
188,Kevin Collins,4,Chicago Blackhawks
189,Kevin Collins,5,Toronto Maple Leafs
190,Terry Gregson,4,Chicago Blackhawks
191,Terry Gregson,5,Toronto Maple Leafs
192,Bill McCreary,5,Chicago Blackhawks
193,Bill McCreary,2,Toronto Maple Leafs
194,Gordon Broseker,5,Chicago Blackhawks
195,Gordon Broseker,2,Toronto Maple Leafs
196,Don Koharski,4,New York Rangers
197,Don Koharski,5,Philadelphia Flyers
198,Wayne Bonney,4,New York Rangers
199,Wayne Bonney,5,Philadelphia Flyers
200,Bill McCreary,3,New York Rangers
201,Bill McCreary,4,Philadelphia Flyers
202,Wayne Bonney,3,New York Rangers
203,Wayne Bonney,4,Philadelphia Flyers
204,Ray Scapinello,2,New York Rangers
205,Ray Scapinello,5,Philadelphia Flyers
206,Terry Gregson,2,New York Rangers
207,Terry Gregson,5,Philadelphia Flyers
208,Andy van Hellemond,1,New York Rangers
209,Andy van Hellemond,4,Philadelphia Flyers
210,Ray Scapinello,1,New York Rangers
211,Ray Scapinello,4,Philadelphia Flyers
212,Shane Heyer,2,New Jersey Devils
213,Shane Heyer,3,Pittsburgh Penguins
214,Terry Gregson,2,New Jersey Devils
215,Terry Gregson,3,Pittsburgh Penguins
216,Andy van Hellemond,4,New Jersey Devils
217,Andy van Hellemond,2,Pittsburgh Penguins
218,Shane Heyer,4,New Jersey Devils
219,Shane Heyer,2,Pittsburgh Penguins
220,Kerry Fraser,5,New Jersey Devils
221,Kerry Fraser,1,Pittsburgh Penguins
222,Wayne Bonney,5,New Jersey Devils
223,Wayne Bonney,1,Pittsburgh Penguins
224,Bill McCreary,2,New Jersey Devils
225,Bill McCreary,1,Pittsburgh Penguins
226,Gordon Broseker,2,New Jersey Devils
227,Gordon Broseker,1,Pittsburgh Penguins
228,Dan Marouelli,4,New Jersey Devils
229,Dan Marouelli,1,Pittsburgh Penguins
230,Gordon Broseker,4,New Jersey Devils
231,Gordon Broseker,1,Pittsburgh Penguins
232,Fraser,6,Detroit Red Wings
233,Fraser,0,San Jose Sharks
234,Gordon Broseker,6,Detroit Red Wings
235,Gordon Broseker,0,San Jose Sharks
236,16. Shick,6,Detroit Red Wings
237,16. Shick,2,San Jose Sharks
238,Gordon Broseker,6,Detroit Red Wings
239,Gordon Broseker,2,San Jose Sharks
240,Gauthier,6,Detroit Red Wings
241,Gauthier,2,San Jose Sharks
242,Marouelli,6,Detroit Red Wings
243,Marouelli,2,San Jose Sharks
244,Gauthier,6,Detroit Red Wings
245,Gauthier,2,San Jose Sharks
246,Koharski,6,Detroit Red Wings
247,Koharski,2,San Jose Sharks
248,Dan Marouelli,2,Chicago Blackhawks
249,Dan Marouelli,1,Vancouver Canucks
250,Gerard Gauthier,2,Chicago Blackhawks
251,Gerard Gauthier,1,Vancouver Canucks
252,Gerard Gauthier,2,Chicago Blackhawks
253,Gerard Gauthier,0,Vancouver Canucks
254,Paul Stewart,2,Chicago Blackhawks
255,Paul Stewart,0,Vancouver Canucks
256,Don Koharski,3,Chicago Blackhawks
257,Don Koharski,2,Vancouver Canucks
258,Kevin Collins,3,Chicago Blackhawks
259,Kevin Collins,2,Vancouver Canucks
260,Kevin Collins,4,Chicago Blackhawks
261,Kevin Collins,3,Vancouver Canucks
262,Rob Shick,4,Chicago Blackhawks
263,Rob Shick,3,Vancouver Canucks
264,Bill McCreary,4,New Jersey Devils
265,Bill McCreary,1,Philadelphia Flyers
266,Wayne Bonney,4,New Jersey Devils
267,Wayne Bonney,1,Philadelphia Flyers
268,Andy van Hellemond,5,New Jersey Devils
269,Andy van Hellemond,2,Philadelphia Flyers
270,Wayne Bonney,5,New Jersey Devils
271,Wayne Bonney,2,Philadelphia Flyers
272,Kerry Fraser,2,New Jersey Devils
273,Kerry Fraser,3,Philadelphia Flyers
274,Kevin Collins,2,New Jersey Devils
275,Kevin Collins,3,Philadelphia Flyers
276,Kevin Collins,2,New Jersey Devils
277,Kevin Collins,4,Philadelphia Flyers
278,Terry Gregson,2,New Jersey Devils
279,Terry Gregson,4,Philadelphia Flyers
280,Dan Marouelli,3,New Jersey Devils
281,Dan Marouelli,2,Philadelphia Flyers
282,Gordon Broseker,3,New Jersey Devils
283,Gordon Broseker,2,Philadelphia Flyers
284,Don Koharski,4,New Jersey Devils
285,Don Koharski,2,Philadelphia Flyers
286,Ray Scapinello,4,New Jersey Devils
287,Ray Scapinello,2,Philadelphia Flyers
288,Gordon Broseker,1,Chicago Blackhawks
289,Gordon Broseker,2,Detroit Red Wings
290,Gregson,1,Chicago Blackhawks
291,Gregson,2,Detroit Red Wings
292,Gordon Broseker,2,Chicago Blackhawks
293,Gordon Broseker,3,Detroit Red Wings
294,Marouelli,2,Chicago Blackhawks
295,Marouelli,3,Detroit Red Wings
296,Don Koharski,3,Chicago Blackhawks
297,Don Koharski,4,Detroit Red Wings
298,Pat Dapuzzo,3,Chicago Blackhawks
299,Pat Dapuzzo,4,Detroit Red Wings
300,Bill McCreary,5,Chicago Blackhawks
301,Bill McCreary,2,Detroit Red Wings
302,Pat Dapuzzo,5,Chicago Blackhawks
303,Pat Dapuzzo,2,Detroit Red Wings
304,Schachte,1,Chicago Blackhawks
305,Schachte,2,Detroit Red Wings
306,Van Hellemond,1,Chicago Blackhawks
307,Van Hellemond,2,Detroit Red Wings
308,McCreary,1,Detroit Red Wings
309,McCreary,2,New Jersey Devils
310,Murphy,1,Detroit Red Wings
311,Murphy,2,New Jersey Devils
312,R. Scapinello,2,Detroit Red Wings
313,R. Scapinello,4,New Jersey Devils
314,T. Gregson,2,Detroit Red Wings
315,T. Gregson,4,New Jersey Devils
316,Kerry Fraser,2,Detroit Red Wings
317,Kerry Fraser,5,New Jersey Devils
318,Kevin Collins,2,Detroit Red Wings
319,Kevin Collins,5,New Jersey Devils
