,Ref,Team,Wins,Losses,Win %,Goals per Game
75,Dave Jackson,Tampa Bay Lightning,47,47,0.5,2.7428571428571433
76,Dave Jackson,Chicago Blackhawks,42,33,0.56,3.1222222222222222
77,Dave Jackson,Detroit Red Wings,38,34,0.5277777777777778,2.9069767441860463
78,Dave Jackson,Calgary Flames,36,48,0.42857142857142855,2.6161616161616164
79,Dave Jackson,Winnipeg Jets (1979),3,5,0.375,3.25
80,Dave Jackson,Anaheim Ducks,44,41,0.5176470588235295,2.6907216494845363
81,Dave Jackson,Edmonton Oilers,42,47,0.47191011235955055,3.037037037037037
82,Dave Jackson,Dallas Stars,47,42,0.5280898876404494,2.770833333333333
83,Dave Jackson,Vancouver Canucks,52,27,0.6582278481012658,3.0645161290322585
84,Dave Jackson,San Jose Sharks,36,42,0.46153846153846156,2.8210526315789477
85,Dave Jackson,St. Louis Blues,42,27,0.6086956521739131,3.0375
86,Dave Jackson,Los Angeles Kings,42,42,0.5,2.737373737373737
87,Dave Jackson,Toronto Maple Leafs,48,50,0.4897959183673469,2.8557692307692313
88,Dave Jackson,Hartford Whalers,4,3,0.5714285714285714,3.6
89,Dave Jackson,Washington Capitals,52,37,0.5842696629213483,3.2549019607843137
90,Dave Jackson,Florida Panthers,32,42,0.43243243243243246,2.5168539325842696
91,Dave Jackson,New York Islanders,42,56,0.42857142857142855,2.9655172413793105
92,Dave Jackson,Montréal Canadiens,58,51,0.5321100917431193,2.563492063492064
93,Dave Jackson,Philadelphia Flyers,61,40,0.6039603960396039,2.9482758620689653
94,Dave Jackson,Quebec Nordiques,2,0,1.0,4.0
95,Dave Jackson,Boston Bruins,51,52,0.49514563106796117,2.739495798319328
96,Dave Jackson,New Jersey Devils,48,44,0.5217391304347826,2.4705882352941178
97,Dave Jackson,Ottawa Senators,45,41,0.5232558139534884,3.0315789473684216
98,Dave Jackson,Colorado Avalanche,36,42,0.46153846153846156,2.5842696629213484
99,Dave Jackson,Phoenix Coyotes,28,34,0.45161290322580644,2.4246575342465757
100,Dave Jackson,Carolina Hurricanes,30,38,0.4411764705882353,2.602739726027397
101,Dave Jackson,Nashville Predators,29,33,0.46774193548387094,2.4285714285714284
102,Dave Jackson,Atlanta Thrashers,11,26,0.2972972972972973,2.555555555555556
103,Dave Jackson,Minnesota Wild,27,24,0.5294117647058824,2.4032258064516134
104,Dave Jackson,Columbus Blue Jackets,24,35,0.4067796610169492,2.4776119402985075
105,Dave Jackson,Winnipeg Jets,11,13,0.4583333333333333,2.6538461538461537
106,Dave Jackson,Arizona Coyotes,5,13,0.2777777777777778,2.263157894736842
107,Dave Jackson,Vegas Golden Knights,5,0,1.0,4.2
108,Gordon Broseker,Buffalo Sabres,12,4,0.75,3.1578947368421053
109,Gordon Broseker,New York Rangers,16,13,0.5517241379310345,3.085714285714286
110,Gordon Broseker,Pittsburgh Penguins,18,8,0.6923076923076923,3.6428571428571432
111,Gordon Broseker,Tampa Bay Lightning,10,17,0.37037037037037035,2.771428571428572
112,Gordon Broseker,Chicago Blackhawks,2,2,0.5,3.25
113,Gordon Broseker,Detroit Red Wings,2,3,0.4,2.2857142857142856
114,Gordon Broseker,Calgary Flames,3,6,0.3333333333333333,2.0
115,Gordon Broseker,Winnipeg Jets (1979),0,2,0.0,1.0
116,Gordon Broseker,Anaheim Ducks,3,2,0.6,3.0
117,Gordon Broseker,Edmonton Oilers,2,5,0.2857142857142857,2.8571428571428568
118,Gordon Broseker,Dallas Stars,5,6,0.45454545454545453,2.636363636363636
119,Gordon Broseker,Vancouver Canucks,3,3,0.5,3.4285714285714284
120,Gordon Broseker,San Jose Sharks,1,3,0.25,2.25
121,Gordon Broseker,St. Louis Blues,4,4,0.5,2.9
122,Gordon Broseker,Los Angeles Kings,3,2,0.6,3.8333333333333335
123,Gordon Broseker,Toronto Maple Leafs,4,4,0.5,3.555555555555556
124,Gordon Broseker,Hartford Whalers,1,4,0.2,2.5
125,Gordon Broseker,Washington Capitals,36,26,0.5806451612903226,3.1044776119402986
126,Gordon Broseker,Florida Panthers,14,12,0.5384615384615384,2.6129032258064515
127,Gordon Broseker,New York Islanders,10,26,0.2777777777777778,2.236842105263158
128,Gordon Broseker,Montréal Canadiens,3,9,0.25,2.333333333333333
129,Gordon Broseker,Philadelphia Flyers,24,12,0.6666666666666666,3.3513513513513518
130,Gordon Broseker,Quebec Nordiques,0,1,0.0,2.0
131,Gordon Broseker,Boston Bruins,8,8,0.5,3.3684210526315788
132,Gordon Broseker,New Jersey Devils,17,10,0.6296296296296297,2.787878787878788
133,Gordon Broseker,Ottawa Senators,6,8,0.42857142857142855,2.4285714285714284
134,Gordon Broseker,Colorado Avalanche,8,4,0.6666666666666666,3.5384615384615383
135,Gordon Broseker,Phoenix Coyotes,0,4,0.0,1.25
136,Gordon Broseker,Carolina Hurricanes,9,12,0.42857142857142855,2.4782608695652173
137,Gordon Broseker,Nashville Predators,2,4,0.3333333333333333,2.5
138,Gordon Broseker,Atlanta Thrashers,2,4,0.3333333333333333,1.5
139,Gordon Broseker,Minnesota Wild,0,0,,
140,Gordon Broseker,Columbus Blue Jackets,0,0,,
141,Gordon Broseker,Winnipeg Jets,0,0,,
142,Gordon Broseker,Arizona Coyotes,0,0,,
143,Gordon Broseker,Vegas Golden Knights,0,0,,
144,Faucette,Buffalo Sabres,0,0,,1.0
145,Faucette,New York Rangers,1,1,0.5,2.333333333333333
146,Faucette,Pittsburgh Penguins,0,0,,
147,Faucette,Tampa Bay Lightning,1,0,1.0,4.0
148,Faucette,Chicago Blackhawks,1,3,0.25,1.25
