,Ref,Score,Team
0,Dave Jackson,1,Anaheim Ducks
1,Dave Jackson,4,Los Angeles Kings
2,Michael McGeough,1,Anaheim Ducks
3,Michael McGeough,4,Los Angeles Kings
4,Dave Jackson,4,Anaheim Ducks
5,Dave Jackson,1,Los Angeles Kings
6,Michael McGeough,4,Anaheim Ducks
7,Michael McGeough,1,Los Angeles Kings
8,Bill McCreary,2,Anaheim Ducks
9,Bill McCreary,2,Detroit Red Wings
10,Chris Rooney,2,Anaheim Ducks
11,Chris Rooney,2,Detroit Red Wings
12,Dennis LaRue,4,Colorado Avalanche
13,Dennis LaRue,3,Dallas Stars
14,Steve Kozari,4,Colorado Avalanche
15,Steve Kozari,3,Dallas Stars
16,Gord Dwyer,2,Florida Panthers
17,Gord Dwyer,5,New York Rangers
18,Kerry Fraser,2,Florida Panthers
19,Kerry Fraser,5,New York Rangers
20,Chris Rooney,3,Ottawa Senators
21,Chris Rooney,2,Toronto Maple Leafs
22,Eric Furlatt,3,Ottawa Senators
23,Eric Furlatt,2,Toronto Maple Leafs
24,Brad Watson,1,New Jersey Devils
25,Brad Watson,3,Tampa Bay Lightning
26,Wes McCauley,1,New Jersey Devils
27,Wes McCauley,3,Tampa Bay Lightning
28,Ian Walsh,0,Colorado Avalanche
29,Ian Walsh,4,Nashville Predators
30,Kevin Pollock,0,Colorado Avalanche
31,Kevin Pollock,4,Nashville Predators
32,Paul Devorski,2,Calgary Flames
33,Paul Devorski,3,Philadelphia Flyers
34,Stephane Auger,2,Calgary Flames
35,Stephane Auger,3,Philadelphia Flyers
36,Chris Lee,2,Edmonton Oilers
37,Chris Lee,2,San Jose Sharks
38,Greg Kimmerly,2,Edmonton Oilers
39,Greg Kimmerly,2,San Jose Sharks
40,Dennis LaRue,3,Phoenix Coyotes
41,Dennis LaRue,2,St. Louis Blues
42,Steve Kozari,3,Phoenix Coyotes
43,Steve Kozari,2,St. Louis Blues
44,Don Koharski,4,Carolina Hurricanes
45,Don Koharski,1,Pittsburgh Penguins
46,Tim Peel,4,Carolina Hurricanes
47,Tim Peel,1,Pittsburgh Penguins
48,Ian Walsh,0,Anaheim Ducks
49,Ian Walsh,4,Columbus Blue Jackets
50,Kevin Pollock,0,Anaheim Ducks
51,Kevin Pollock,4,Columbus Blue Jackets
52,Dean Warren,4,Buffalo Sabres
53,Dean Warren,6,New York Islanders
54,Justin StPierre,4,Buffalo Sabres
55,Justin StPierre,6,New York Islanders
56,Brad Watson,1,Atlanta Thrashers
57,Brad Watson,3,Washington Capitals
58,Wes McCauley,1,Atlanta Thrashers
59,Wes McCauley,3,Washington Capitals
60,Kelly Sutherland,1,Boston Bruins
61,Kelly Sutherland,4,Dallas Stars
62,Rob Shick,1,Boston Bruins
63,Rob Shick,4,Dallas Stars
64,Paul Devorski,3,San Jose Sharks
65,Paul Devorski,1,Vancouver Canucks
66,Stephane Auger,3,San Jose Sharks
67,Stephane Auger,1,Vancouver Canucks
68,Paul Devorski,5,Edmonton Oilers
69,Paul Devorski,3,Philadelphia Flyers
70,Stephane Auger,5,Edmonton Oilers
71,Stephane Auger,3,Philadelphia Flyers
72,Bill McCreary,3,Montréal Canadiens
73,Bill McCreary,4,Toronto Maple Leafs
74,Rob Martell,3,Montréal Canadiens
75,Rob Martell,4,Toronto Maple Leafs
76,Dean Warren,0,New York Rangers
77,Dean Warren,2,Ottawa Senators
78,Justin StPierre,0,New York Rangers
79,Justin StPierre,2,Ottawa Senators
80,Dan O'Halloran,2,Buffalo Sabres
81,Dan O'Halloran,3,New York Islanders
82,Don Koharski,2,Buffalo Sabres
83,Don Koharski,3,New York Islanders
84,Don VanMassenhoven,0,Carolina Hurricanes
85,Don VanMassenhoven,2,Washington Capitals
86,Eric Furlatt,0,Carolina Hurricanes
87,Eric Furlatt,2,Washington Capitals
88,Gord Dwyer,1,Florida Panthers
89,Gord Dwyer,4,New Jersey Devils
90,Mike Hasenfratz,1,Florida Panthers
91,Mike Hasenfratz,4,New Jersey Devils
92,Dave Jackson,4,Anaheim Ducks
93,Dave Jackson,5,Pittsburgh Penguins
94,Tim Peel,4,Anaheim Ducks
95,Tim Peel,5,Pittsburgh Penguins
96,Brad Watson,2,Atlanta Thrashers
97,Brad Watson,5,Tampa Bay Lightning
98,Wes McCauley,2,Atlanta Thrashers
99,Wes McCauley,5,Tampa Bay Lightning
100,Marc Joannette,1,Dallas Stars
101,Marc Joannette,5,Nashville Predators
102,Tom Kowal,1,Dallas Stars
103,Tom Kowal,5,Nashville Predators
104,Brad Meier,2,Columbus Blue Jackets
105,Brad Meier,3,Minnesota Wild
106,Michael McGeough,2,Columbus Blue Jackets
107,Michael McGeough,3,Minnesota Wild
108,Chris Rooney,3,Chicago Blackhawks
109,Chris Rooney,3,Detroit Red Wings
110,Dan Marouelli,3,Chicago Blackhawks
