,Ref,Team,Goals per Game
118,Gordon Broseker,Dallas Stars,2.6363636363636362
119,Gordon Broseker,Vancouver Canucks,3.4285714285714284
120,Gordon Broseker,San Jose Sharks,2.25
121,Gordon Broseker,St. Louis Blues,2.9
122,Gordon Broseker,Los Angeles Kings,3.8333333333333335
123,Gordon Broseker,Toronto Maple Leafs,3.5555555555555554
124,Gordon Broseker,Hartford Whalers,2.5
125,Gordon Broseker,Washington Capitals,3.1044776119402986
126,Gordon Broseker,Florida Panthers,2.6129032258064515
127,Gordon Broseker,New York Islanders,2.236842105263158
128,Gordon Broseker,Montréal Canadiens,2.3333333333333335
129,Gordon Broseker,Philadelphia Flyers,3.3513513513513513
130,Gordon Broseker,Quebec Nordiques,2.0
131,Gordon Broseker,Boston Bruins,3.3684210526315788
132,Gordon Broseker,New Jersey Devils,2.787878787878788
133,Gordon Broseker,Ottawa Senators,2.4285714285714284
134,Gordon Broseker,Colorado Avalanche,3.5384615384615383
135,Gordon Broseker,Phoenix Coyotes,1.25
136,Gordon Broseker,Carolina Hurricanes,2.4782608695652173
137,Gordon Broseker,Nashville Predators,2.5
138,Gordon Broseker,Atlanta Thrashers,1.5
139,Gordon Broseker,Minnesota Wild,
140,Gordon Broseker,Columbus Blue Jackets,
141,Gordon Broseker,Winnipeg Jets,
142,Gordon Broseker,Arizona Coyotes,
143,Gordon Broseker,Vegas Golden Knights,
144,Faucette,Buffalo Sabres,1.0
145,Faucette,New York Rangers,2.3333333333333335
146,Faucette,Pittsburgh Penguins,
147,Faucette,Tampa Bay Lightning,4.0
148,Faucette,Chicago Blackhawks,1.25
149,Faucette,Detroit Red Wings,2.5714285714285716
150,Faucette,Calgary Flames,3.0
151,Faucette,Winnipeg Jets (1979),
152,Faucette,Anaheim Ducks,2.3333333333333335
153,Faucette,Edmonton Oilers,2.0
154,Faucette,Dallas Stars,4.0
155,Faucette,Vancouver Canucks,3.0
156,Faucette,San Jose Sharks,2.6666666666666665
157,Faucette,St. Louis Blues,4.5
158,Faucette,Los Angeles Kings,4.0
159,Faucette,Toronto Maple Leafs,4.75
160,Faucette,Hartford Whalers,1.0
161,Faucette,Washington Capitals,
162,Faucette,Florida Panthers,
163,Faucette,New York Islanders,1.0
