,Ref,Score,Team
0,Dan O'Rourke,3,Montréal Canadiens
1,Dan O'Rourke,1,Toronto Maple Leafs
2,Frederick L'Ecuyer,3,Montréal Canadiens
3,Frederick L'Ecuyer,1,Toronto Maple Leafs
4,Ghislain Hebert,2,Chicago Blackhawks
5,Ghislain Hebert,3,New York Rangers
6,Steve Kozari,2,Chicago Blackhawks
7,Steve Kozari,3,New York Rangers
8,Chris Lee,1,Calgary Flames
9,Chris Lee,5,Vancouver Canucks
10,Ian Walsh,1,Calgary Flames
11,Ian Walsh,5,Vancouver Canucks
12,Brad Meier,1,Los Angeles Kings
13,Brad Meier,5,San Jose Sharks
14,Brian Pochmara,1,Los Angeles Kings
15,Brian Pochmara,5,San Jose Sharks
16,Francois St-Laurent,2,Boston Bruins
17,Francois St-Laurent,6,Winnipeg Jets
18,Greg Kimmerly,2,Boston Bruins
19,Greg Kimmerly,6,Winnipeg Jets
20,Dan O'Rourke,1,Buffalo Sabres
21,Dan O'Rourke,3,Ottawa Senators
22,Frederick L'Ecuyer,1,Buffalo Sabres
23,Frederick L'Ecuyer,3,Ottawa Senators
24,Dean Morton,2,Philadelphia Flyers
25,Dean Morton,3,Tampa Bay Lightning
26,Gord Dwyer,2,Philadelphia Flyers
27,Gord Dwyer,3,Tampa Bay Lightning
28,Francis Charron,1,Edmonton Oilers
29,Francis Charron,3,St. Louis Blues
30,Ghislain Hebert,1,Edmonton Oilers
31,Ghislain Hebert,3,St. Louis Blues
32,Chris Rooney,1,Carolina Hurricanes
33,Chris Rooney,2,Nashville Predators
34,Kyle Rehman,1,Carolina Hurricanes
35,Kyle Rehman,2,Nashville Predators
36,Graham Skilliter,3,Dallas Stars
37,Graham Skilliter,0,Pittsburgh Penguins
38,Tom Kowal,3,Dallas Stars
39,Tom Kowal,0,Pittsburgh Penguins
40,Brad Meier,4,Colorado Avalanche
41,Brad Meier,5,Minnesota Wild
42,Brian Pochmara,4,Colorado Avalanche
43,Brian Pochmara,5,Minnesota Wild
44,Eric Furlatt,1,New Jersey Devils
45,Eric Furlatt,3,Winnipeg Jets
46,Greg Kimmerly,1,New Jersey Devils
47,Greg Kimmerly,3,Winnipeg Jets
48,Marc Joannette,2,Columbus Blue Jackets
49,Marc Joannette,4,New York Rangers
50,Rob Martell,2,Columbus Blue Jackets
51,Rob Martell,4,New York Rangers
52,Thomas John Luxmore,4,Detroit Red Wings
53,Thomas John Luxmore,0,Toronto Maple Leafs
54,Tim Peel,4,Detroit Red Wings
55,Tim Peel,0,Toronto Maple Leafs
56,Brad Watson,3,Chicago Blackhawks
57,Brad Watson,2,New York Islanders
58,Jean Hebert,3,Chicago Blackhawks
59,Jean Hebert,2,New York Islanders
60,Justin St. Pierre ,4,Arizona Coyotes
61,Justin St. Pierre ,1,Los Angeles Kings
62,Wes McCauley,4,Arizona Coyotes
63,Wes McCauley,1,Los Angeles Kings
64,Ghislain Hebert,1,Buffalo Sabres
65,Ghislain Hebert,4,Tampa Bay Lightning
66,Kelly Sutherland,1,Buffalo Sabres
67,Kelly Sutherland,4,Tampa Bay Lightning
68,Dan O'Rourke,2,Boston Bruins
69,Dan O'Rourke,4,Montréal Canadiens
70,Mark Lemelin,2,Boston Bruins
71,Mark Lemelin,4,Montréal Canadiens
72,Francois St-Laurent,4,Ottawa Senators
