code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2008020001,Tampa Bay Lightning,1,New York Rangers,2,Kerry Fraser,Rob Shick,New York Rangers,Tampa Bay Lightning
2008020002,Ottawa Senators,3,Pittsburgh Penguins,4,Don Koharski,Dan O'Halloran,Pittsburgh Penguins,Ottawa Senators
2008020003,New York Rangers,2,Tampa Bay Lightning,1,Kerry Fraser,Rob Shick,New York Rangers,Tampa Bay Lightning
2008020004,Pittsburgh Penguins,1,Ottawa Senators,3,Don Koharski,Dan O'Halloran,Ottawa Senators,Pittsburgh Penguins
2008020005,Detroit Red Wings,2,Toronto Maple Leafs,3,Dennis LaRue,Brian Pochmara,Toronto Maple Leafs,Detroit Red Wings
2008020006,Colorado Avalanche,4,Boston Bruins,5,Greg Kimmerly,Mike Hasenfratz,Boston Bruins,Colorado Avalanche
2008020007,Vancouver Canucks,6,Calgary Flames,0,Mike Leggo,Stephane Auger,Vancouver Canucks,Calgary Flames
2008020008,San Jose Sharks,4,Anaheim Ducks,1,Tom Kowal,Brad Meier,San Jose Sharks,Anaheim Ducks
2008020009,New Jersey Devils,2,New York Islanders,1,Dan Marouelli,Steve Kozari,New Jersey Devils,New York Islanders
2008020010,New York Rangers,4,Chicago Blackhawks,2,Wes McCauley,Dave Jackson,New York Rangers,Chicago Blackhawks
2008020011,Carolina Hurricanes,6,Florida Panthers,4,Chris Lee,Kevin Pollock,Carolina Hurricanes,Florida Panthers
2008020012,Buffalo Sabres,1,Montréal Canadiens,1,Paul Devorski,Ian Walsh,Buffalo Sabres,Montréal Canadiens
2008020013,Atlanta Thrashers,7,Washington Capitals,4,Tim Peel,Justin StPierre,Atlanta Thrashers,Washington Capitals
2008020014,St. Louis Blues,5,Nashville Predators,2,Don VanMassenhoven,Marc Joannette,St. Louis Blues,Nashville Predators
2008020015,Dallas Stars,4,Columbus Blue Jackets,5,Greg Kimmerly,Mike Hasenfratz,Columbus Blue Jackets,Dallas Stars
2008020016,Toronto Maple Leafs,1,Montréal Canadiens,6,Paul Devorski,Ian Walsh,Montréal Canadiens,Toronto Maple Leafs
2008020017,Ottawa Senators,2,Detroit Red Wings,3,Chris Rooney,Kelly Sutherland,Detroit Red Wings,Ottawa Senators
2008020018,New York Islanders,5,St. Louis Blues,2,Wes McCauley,Dave Jackson,New York Islanders,St. Louis Blues
2008020019,Philadelphia Flyers,3,New York Rangers,4,Dan Marouelli,Steve Kozari,New York Rangers,Philadelphia Flyers
2008020020,Washington Capitals,4,Chicago Blackhawks,2,Bill McCreary,Dean Morton,Washington Capitals,Chicago Blackhawks
2008020021,Florida Panthers,3,Atlanta Thrashers,2,Rob Martell,Kevin Pollock,Florida Panthers,Atlanta Thrashers
2008020022,Pittsburgh Penguins,1,New Jersey Devils,2,Eric Furlatt,Chris Lee,New Jersey Devils,Pittsburgh Penguins
2008020023,Tampa Bay Lightning,3,Carolina Hurricanes,4,Dan O'Rourke,Don Koharski,Carolina Hurricanes,Tampa Bay Lightning
2008020024,Nashville Predators,3,Dallas Stars,1,Tim Peel,Justin StPierre,Nashville Predators,Dallas Stars
2008020025,Minnesota Wild,4,Boston Bruins,3,Dennis LaRue,Marc Joannette,Minnesota Wild,Boston Bruins
2008020026,Calgary Flames,4,Vancouver Canucks,5,Mike Leggo,Stephane Auger,Vancouver Canucks,Calgary Flames
2008020027,Phoenix Coyotes,3,Columbus Blue Jackets,1,Gord Dwyer,Tom Kowal,Phoenix Coyotes,Columbus Blue Jackets
2008020028,San Jose Sharks,3,Los Angeles Kings,1,Brad Watson,Brad Meier,San Jose Sharks,Los Angeles Kings
2008020029,Edmonton Oilers,3,Colorado Avalanche,2,Mike Leggo,Stephane Auger,Edmonton Oilers,Colorado Avalanche
2008020030,Anaheim Ducks,2,Phoenix Coyotes,4,Gord Dwyer,Tom Kowal,Phoenix Coyotes,Anaheim Ducks
2008020031,Los Angeles Kings,0,San Jose Sharks,1,Greg Kimmerly,Mike Hasenfratz,San Jose Sharks,Los Angeles Kings
2008020032,Toronto Maple Leafs,4,St. Louis Blues,4,Chris Rooney,Kelly Sutherland,Toronto Maple Leafs,St. Louis Blues
2008020033,New York Islanders,1,Buffalo Sabres,7,Paul Devorski,Steve Kozari,Buffalo Sabres,New York Islanders
2008020034,New York Rangers,4,New Jersey Devils,1,Eric Furlatt,Chris Lee,New York Rangers,New Jersey Devils
