code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2006020001,Carolina Hurricanes,2,Buffalo Sabres,2,Dan O'Rourke,Don Koharski,Carolina Hurricanes,Buffalo Sabres
2006020002,Toronto Maple Leafs,1,Ottawa Senators,4,Dan O'Halloran,Eric Furlatt,Ottawa Senators,Toronto Maple Leafs
2006020003,Colorado Avalanche,2,Dallas Stars,3,Michael McGeough,Ian Walsh,Dallas Stars,Colorado Avalanche
2006020004,Ottawa Senators,0,Toronto Maple Leafs,6,Stephane Auger,Don VanMassenhoven,Toronto Maple Leafs,Ottawa Senators
2006020005,New York Rangers,5,Washington Capitals,2,Dan O'Halloran,Eric Furlatt,New York Rangers,Washington Capitals
2006020006,Atlanta Thrashers,2,Tampa Bay Lightning,2,Dave Jackson,Dan O'Rourke,Atlanta Thrashers,Tampa Bay Lightning
2006020007,Pittsburgh Penguins,4,Philadelphia Flyers,0,Don Koharski,Greg Kimmerly,Pittsburgh Penguins,Philadelphia Flyers
2006020008,Detroit Red Wings,1,Vancouver Canucks,3,Chris Rooney,Dennis LaRue,Vancouver Canucks,Detroit Red Wings
2006020009,Nashville Predators,6,Chicago Blackhawks,8,Tim Peel,Dean Warren,Chicago Blackhawks,Nashville Predators
2006020010,Minnesota Wild,3,Colorado Avalanche,2,Kelly Sutherland,Rob Shick,Minnesota Wild,Colorado Avalanche
2006020011,Edmonton Oilers,3,Calgary Flames,1,Brad Watson,Tom Kowal,Edmonton Oilers,Calgary Flames
2006020012,Phoenix Coyotes,6,New York Islanders,3,Mike Hasenfratz,Brad Meier,Phoenix Coyotes,New York Islanders
2006020013,San Jose Sharks,5,St. Louis Blues,4,Mike Leggo,Rob Martell,San Jose Sharks,St. Louis Blues
2006020014,Carolina Hurricanes,0,New Jersey Devils,4,Dave Jackson,Gord Dwyer,New Jersey Devils,Carolina Hurricanes
2006020015,Columbus Blue Jackets,2,Vancouver Canucks,3,Wes McCauley,Tim Peel,Vancouver Canucks,Columbus Blue Jackets
2006020016,Florida Panthers,8,Boston Bruins,3,Paul Devorski,Justin StPierre,Florida Panthers,Boston Bruins
2006020017,Buffalo Sabres,4,Montréal Canadiens,4,Stephane Auger,Kevin Pollock,Buffalo Sabres,Montréal Canadiens
2006020018,Anaheim Ducks,4,Los Angeles Kings,3,Michael McGeough,Ian Walsh,Anaheim Ducks,Los Angeles Kings
2006020019,Toronto Maple Leafs,2,Montréal Canadiens,2,Greg Kimmerly,Kevin Pollock,Toronto Maple Leafs,Montréal Canadiens
2006020020,Ottawa Senators,3,Buffalo Sabres,4,Marc Joannette,Chris Lee,Buffalo Sabres,Ottawa Senators
2006020021,Philadelphia Flyers,4,New York Rangers,4,Dan Marouelli,Craig Spada,Philadelphia Flyers,New York Rangers
2006020022,Washington Capitals,5,Carolina Hurricanes,2,Wes McCauley,Bill McCreary,Washington Capitals,Carolina Hurricanes
2006020023,Atlanta Thrashers,6,Florida Panthers,0,Don VanMassenhoven,Gord Dwyer,Atlanta Thrashers,Florida Panthers
2006020024,Pittsburgh Penguins,0,Detroit Red Wings,2,Dan O'Halloran,Eric Furlatt,Detroit Red Wings,Pittsburgh Penguins
2006020025,Tampa Bay Lightning,2,Boston Bruins,3,Paul Devorski,Justin StPierre,Boston Bruins,Tampa Bay Lightning
2006020026,Minnesota Wild,6,Nashville Predators,5,Mike Leggo,Dean Warren,Minnesota Wild,Nashville Predators
2006020027,Dallas Stars,3,New Jersey Devils,1,Dan O'Rourke,Don Koharski,Dallas Stars,New Jersey Devils
2006020028,Chicago Blackhawks,4,Columbus Blue Jackets,5,Chris Rooney,Dennis LaRue,Columbus Blue Jackets,Chicago Blackhawks
2006020029,Calgary Flames,2,Edmonton Oilers,1,Kelly Sutherland,Rob Shick,Calgary Flames,Edmonton Oilers
2006020030,Phoenix Coyotes,1,Anaheim Ducks,2,Michael McGeough,Ian Walsh,Anaheim Ducks,Phoenix Coyotes
2006020031,Los Angeles Kings,4,St. Louis Blues,1,Mike Hasenfratz,Brad Meier,Los Angeles Kings,St. Louis Blues
2006020032,San Jose Sharks,2,New York Islanders,0,Brad Watson,Tom Kowal,San Jose Sharks,New York Islanders
2006020033,Colorado Avalanche,3,Vancouver Canucks,2,Tim Peel,Dean Warren,Colorado Avalanche,Vancouver Canucks
2006020034,Anaheim Ducks,2,St. Louis Blues,0,Brad Watson,Tom Kowal,Anaheim Ducks,St. Louis Blues
2006020035,Columbus Blue Jackets,5,Phoenix Coyotes,1,Marc Joannette,Chris Lee,Columbus Blue Jackets,Phoenix Coyotes
2006020036,Toronto Maple Leafs,1,Florida Panthers,1,Wes McCauley,Bill McCreary,Toronto Maple Leafs,Florida Panthers
2006020037,Tampa Bay Lightning,0,Atlanta Thrashers,1,Dan Marouelli,Craig Spada,Atlanta Thrashers,Tampa Bay Lightning
2006020038,Calgary Flames,1,San Jose Sharks,4,Chris Rooney,Dennis LaRue,San Jose Sharks,Calgary Flames
2006020039,New York Rangers,2,Philadelphia Flyers,4,Marc Joannette,Chris Lee,Philadelphia Flyers,New York Rangers
2006020040,Minnesota Wild,1,Vancouver Canucks,1,Dean Warren,Justin StPierre,Minnesota Wild,Vancouver Canucks
2006020041,Los Angeles Kings,4,New York Islanders,2,Brad Watson,Tom Kowal,Los Angeles Kings,New York Islanders
2006020042,Philadelphia Flyers,1,Montréal Canadiens,3,Paul Devorski,Ian Walsh,Montréal Canadiens,Philadelphia Flyers
2006020043,Atlanta Thrashers,4,Boston Bruins,1,Don Koharski,Mike Hasenfratz,Atlanta Thrashers,Boston Bruins
2006020044,Florida Panthers,6,Carolina Hurricanes,3,Dan Marouelli,Craig Spada,Florida Panthers,Carolina Hurricanes
2006020045,Detroit Red Wings,9,Phoenix Coyotes,2,Don VanMassenhoven,Dean Morton,Detroit Red Wings,Phoenix Coyotes
2006020046,Anaheim Ducks,4,New York Islanders,4,Greg Kimmerly,Kevin Pollock,Anaheim Ducks,New York Islanders
2006020047,New York Rangers,5,Pittsburgh Penguins,6,Chris Rooney,Brian Pochmara,Pittsburgh Penguins,New York Rangers
2006020048,Ottawa Senators,0,Calgary Flames,1,Bill McCreary,Stephane Auger,Calgary Flames,Ottawa Senators
2006020049,New Jersey Devils,6,Toronto Maple Leafs,6,Paul Devorski,Justin StPierre,New Jersey Devils,Toronto Maple Leafs
2006020050,St. Louis Blues,2,Boston Bruins,2,Dean Warren,Gord Dwyer,St. Louis Blues,Boston Bruins
2006020051,Minnesota Wild,2,Washington Capitals,2,Dan O'Rourke,Eric Furlatt,Minnesota Wild,Washington Capitals
2006020052,Chicago Blackhawks,3,Nashville Predators,1,Don VanMassenhoven,Dean Morton,Chicago Blackhawks,Nashville Predators
2006020053,Edmonton Oilers,6,San Jose Sharks,4,Michael McGeough,Brad Meier,Edmonton Oilers,San Jose Sharks
2006020054,Los Angeles Kings,1,Dallas Stars,4,Greg Kimmerly,Kevin Pollock,Dallas Stars,Los Angeles Kings
2006020055,Atlanta Thrashers,3,Carolina Hurricanes,4,Wes McCauley,Dan O'Halloran,Carolina Hurricanes,Atlanta Thrashers
2006020056,Florida Panthers,3,Tampa Bay Lightning,2,Don Koharski,Mike Hasenfratz,Florida Panthers,Tampa Bay Lightning
2006020057,Detroit Red Wings,2,Buffalo Sabres,2,Mike Leggo,Dave Jackson,Detroit Red Wings,Buffalo Sabres
2006020058,Vancouver Canucks,4,San Jose Sharks,6,Kelly Sutherland,Rob Shick,San Jose Sharks,Vancouver Canucks
2006020059,Buffalo Sabres,7,New York Rangers,4,Craig Spada,Dean Warren,Buffalo Sabres,New York Rangers
2006020060,Toronto Maple Leafs,5,Calgary Flames,4,Tim Peel,Justin StPierre,Toronto Maple Leafs,Calgary Flames
2006020061,Montréal Canadiens,2,Ottawa Senators,2,Dan Marouelli,Francois StLaurent,Montréal Canadiens,Ottawa Senators
2006020063,Washington Capitals,3,Atlanta Thrashers,4,Paul Devorski,Ian Walsh,Atlanta Thrashers,Washington Capitals
2006020064,New Jersey Devils,3,Philadelphia Flyers,2,Chris Rooney,Marc Joannette,New Jersey Devils,Philadelphia Flyers
2006020065,Pittsburgh Penguins,1,Carolina Hurricanes,5,Mike Leggo,Dave Jackson,Carolina Hurricanes,Pittsburgh Penguins
2006020066,Tampa Bay Lightning,4,Florida Panthers,1,Don Koharski,Mike Hasenfratz,Tampa Bay Lightning,Florida Panthers
2006020067,St. Louis Blues,4,Chicago Blackhawks,3,Dan O'Rourke,Eric Furlatt,St. Louis Blues,Chicago Blackhawks
2006020068,Nashville Predators,4,Phoenix Coyotes,1,Wes McCauley,Dan O'Halloran,Nashville Predators,Phoenix Coyotes
