,Ref,Score,Team
3072,Chris Lee,2,Nashville Predators
3073,Chris Lee,3,Phoenix Coyotes
3074,Greg Kimmerly,2,Nashville Predators
3075,Greg Kimmerly,3,Phoenix Coyotes
3076,Justin StPierre,3,Edmonton Oilers
3077,Justin StPierre,5,Vancouver Canucks
3078,Kerry Fraser,3,Edmonton Oilers
3079,Kerry Fraser,5,Vancouver Canucks
3080,Dave Jackson,3,Chicago Blackhawks
3081,Dave Jackson,2,Los Angeles Kings
3082,Rob Shick,3,Chicago Blackhawks
3083,Rob Shick,2,Los Angeles Kings
3084,Bill McCreary,4,Dallas Stars
3085,Bill McCreary,2,San Jose Sharks
3086,Dan O'Rourke,4,Dallas Stars
3087,Dan O'Rourke,2,San Jose Sharks
3088,Paul Devorski,5,Detroit Red Wings
3089,Paul Devorski,3,St. Louis Blues
3090,Wes McCauley,5,Detroit Red Wings
3091,Wes McCauley,3,St. Louis Blues
3092,Justin StPierre,6,Calgary Flames
3093,Justin StPierre,2,Columbus Blue Jackets
3094,Michael McGeough,6,Calgary Flames
3095,Michael McGeough,2,Columbus Blue Jackets
3096,Dan Marouelli,2,Montréal Canadiens
3097,Dan Marouelli,4,New York Islanders
3098,Stephane Auger,2,Montréal Canadiens
3099,Stephane Auger,4,New York Islanders
3100,Marc Joannette,2,Pittsburgh Penguins
3101,Marc Joannette,0,Washington Capitals
3102,Mike Hasenfratz,2,Pittsburgh Penguins
3103,Mike Hasenfratz,0,Washington Capitals
3104,Chris Lee,2,Colorado Avalanche
3105,Chris Lee,3,Edmonton Oilers
3106,Dan O'Rourke,2,Colorado Avalanche
3107,Dan O'Rourke,3,Edmonton Oilers
3108,Bill McCreary,2,Chicago Blackhawks
3109,Bill McCreary,4,San Jose Sharks
3110,Mike Leggo,2,Chicago Blackhawks
3111,Mike Leggo,4,San Jose Sharks
3112,Chris Rooney,2,Ottawa Senators
3113,Chris Rooney,2,Toronto Maple Leafs
3114,Don VanMassenhoven,2,Ottawa Senators
3115,Don VanMassenhoven,2,Toronto Maple Leafs
3116,Dean Warren,2,Atlanta Thrashers
