,Ref,Score,Team
0,Danny McCourt,3,Los Angeles Kings
1,Danny McCourt,3,Pittsburgh Penguins
2,Mark Faucette,3,Los Angeles Kings
3,Mark Faucette,3,Pittsburgh Penguins
4,Kerry Fraser,2,Montréal Canadiens
5,Kerry Fraser,2,Ottawa Senators
6,Pierre Champoux,2,Montréal Canadiens
7,Pierre Champoux,2,Ottawa Senators
8,Bill McCreary,1,Florida Panthers
9,Bill McCreary,3,Philadelphia Flyers
10,Jean Morin,1,Florida Panthers
11,Jean Morin,3,Philadelphia Flyers
12,Gordon Broseker,2,Carolina Hurricanes
13,Gordon Broseker,4,Tampa Bay Lightning
14,Lance Roberts,2,Carolina Hurricanes
15,Lance Roberts,4,Tampa Bay Lightning
16,Dan Marouelli,1,Toronto Maple Leafs
17,Dan Marouelli,4,Washington Capitals
18,Ray Scapinello,1,Toronto Maple Leafs
19,Ray Scapinello,4,Washington Capitals
20,Dan Schachte,3,Buffalo Sabres
21,Dan Schachte,1,St. Louis Blues
22,Stephen Walkom,3,Buffalo Sabres
23,Stephen Walkom,1,St. Louis Blues
24,Brad Lazarowich,2,Colorado Avalanche
25,Brad Lazarowich,2,Dallas Stars
26,Michael McGeough,2,Colorado Avalanche
27,Michael McGeough,2,Dallas Stars
28,Terry Gregson,2,Chicago Blackhawks
29,Terry Gregson,6,Phoenix Coyotes
30,Wayne Bonney,2,Chicago Blackhawks
31,Wayne Bonney,6,Phoenix Coyotes
32,Don Henderson,1,Calgary Flames
33,Don Henderson,3,Detroit Red Wings
34,Don Koharski,1,Calgary Flames
35,Don Koharski,3,Detroit Red Wings
36,Richard Trottier,5,Edmonton Oilers
37,Richard Trottier,3,San Jose Sharks
38,Shane Heyer,5,Edmonton Oilers
39,Shane Heyer,3,San Jose Sharks
40,Don Van Massenhoven,6,Boston Bruins
41,Don Van Massenhoven,5,Los Angeles Kings
42,Kevin Collins,6,Boston Bruins
43,Kevin Collins,5,Los Angeles Kings
44,Dennis Larue,3,Carolina Hurricanes
45,Dennis Larue,4,Pittsburgh Penguins
46,Scott Driscoll,3,Carolina Hurricanes
47,Scott Driscoll,4,Pittsburgh Penguins
48,Bill McCreary,2,New York Islanders
49,Bill McCreary,2,New York Rangers
50,Gerry Gauthier,2,New York Islanders
51,Gerry Gauthier,2,New York Rangers
52,Jean Morin,3,Ottawa Senators
53,Jean Morin,5,Philadelphia Flyers
54,Lance Roberts,3,Ottawa Senators
55,Lance Roberts,5,Philadelphia Flyers
56,Danny McCourt,2,Buffalo Sabres
57,Danny McCourt,6,Washington Capitals
58,Dave Jackson,2,Buffalo Sabres
59,Dave Jackson,6,Washington Capitals
60,Gordon Broseker,4,New Jersey Devils
61,Gordon Broseker,3,Tampa Bay Lightning
62,Paul Stewart,4,New Jersey Devils
63,Paul Stewart,3,Tampa Bay Lightning
64,Dan Schachte,2,Phoenix Coyotes
65,Dan Schachte,7,St. Louis Blues
66,Mark Faucette,2,Phoenix Coyotes
67,Mark Faucette,7,St. Louis Blues
68,Don Henderson,1,Calgary Flames
69,Don Henderson,4,Colorado Avalanche
70,Richard Trottier,1,Calgary Flames
71,Richard Trottier,4,Colorado Avalanche
72,Baron Parker,8,Detroit Red Wings
73,Baron Parker,2,Edmonton Oilers
74,Don Koharski,8,Detroit Red Wings
75,Don Koharski,2,Edmonton Oilers
76,Mitton,2,Anaheim Ducks
77,Mitton,3,Vancouver Canucks
78,SHICK,2,Anaheim Ducks
79,SHICK,3,Vancouver Canucks
80,Dan Marouelli,1,Boston Bruins
81,Dan Marouelli,4,Montréal Canadiens
82,Kevin Collins,1,Boston Bruins
83,Kevin Collins,4,Montréal Canadiens
84,Lance Roberts,5,Florida Panthers
85,Lance Roberts,3,Pittsburgh Penguins
86,Scott Driscoll,5,Florida Panthers
87,Scott Driscoll,3,Pittsburgh Penguins
88,Don Van Massenhoven,2,Carolina Hurricanes
89,Don Van Massenhoven,3,Ottawa Senators
90,Ray Scapinello,2,Carolina Hurricanes
91,Ray Scapinello,3,Ottawa Senators
92,Gauthier,3,New York Islanders
93,Gauthier,0,Toronto Maple Leafs
94,JACKSON,3,New York Islanders
95,JACKSON,0,Toronto Maple Leafs
96,FRASER,1,New Jersey Devils
97,FRASER,4,Washington Capitals
98,McCourt,1,New Jersey Devils
99,McCourt,4,Washington Capitals
100,Michael McGeough,1,Dallas Stars
101,Michael McGeough,2,St. Louis Blues
102,Thor Nelson,1,Dallas Stars
103,Thor Nelson,2,St. Louis Blues
104,Shane Heyer,2,Chicago Blackhawks
105,Shane Heyer,3,San Jose Sharks
106,Terry Gregson,2,Chicago Blackhawks
107,Terry Gregson,3,San Jose Sharks
108,DEVORSKI,3,Anaheim Ducks
109,DEVORSKI,2,Vancouver Canucks
110,Mitton,3,Anaheim Ducks
111,Mitton,2,Vancouver Canucks
112,Jean Morin,2,Los Angeles Kings
113,Jean Morin,2,New York Rangers
114,Mark Faucette,2,Los Angeles Kings
115,Mark Faucette,2,New York Rangers
116,Dan Marouelli,1,Philadelphia Flyers
117,Dan Marouelli,2,Phoenix Coyotes
118,Scott Driscoll,1,Philadelphia Flyers
119,Scott Driscoll,2,Phoenix Coyotes
120,Dennis Larue,1,Buffalo Sabres
121,Dennis Larue,1,Tampa Bay Lightning
122,Gordon Broseker,1,Buffalo Sabres
123,Gordon Broseker,1,Tampa Bay Lightning
124,Baron Parker,3,Colorado Avalanche
125,Baron Parker,0,Edmonton Oilers
126,Richard Trottier,3,Colorado Avalanche
127,Richard Trottier,0,Edmonton Oilers
128,Kevin Collins,3,Carolina Hurricanes
129,Kevin Collins,3,Los Angeles Kings
130,Mark Faucette,3,Carolina Hurricanes
131,Mark Faucette,3,Los Angeles Kings
132,Dennis Larue,2,Buffalo Sabres
133,Dennis Larue,4,Dallas Stars
134,Ray Scapinello,2,Buffalo Sabres
135,Ray Scapinello,4,Dallas Stars
136,Blaine Angus,2,Boston Bruins
137,Blaine Angus,3,Colorado Avalanche
138,Thor Nelson,2,Boston Bruins
139,Thor Nelson,3,Colorado Avalanche
140,Brad Lazarowich,1,Calgary Flames
141,Brad Lazarowich,2,Toronto Maple Leafs
142,Terry Gregson,1,Calgary Flames
