,Ref,Score,Team
0,Dave Jackson,1,Boston Bruins
1,Dave Jackson,4,Washington Capitals
2,Steve Kozari,1,Boston Bruins
3,Steve Kozari,4,Washington Capitals
4,Don VanMassenhoven,4,Montréal Canadiens
5,Don VanMassenhoven,3,Toronto Maple Leafs
6,Kelly Sutherland,4,Montréal Canadiens
7,Kelly Sutherland,3,Toronto Maple Leafs
8,Brian Pochmara,5,Colorado Avalanche
9,Brian Pochmara,2,San Jose Sharks
10,Tim Peel,5,Colorado Avalanche
11,Tim Peel,2,San Jose Sharks
12,Brad Meier,5,Calgary Flames
13,Brad Meier,3,Vancouver Canucks
14,Dan O'Halloran,5,Calgary Flames
15,Dan O'Halloran,3,Vancouver Canucks
16,Chris Lee,0,Carolina Hurricanes
17,Chris Lee,2,Philadelphia Flyers
18,Frederick L'Ecuyer,0,Carolina Hurricanes
19,Frederick L'Ecuyer,2,Philadelphia Flyers
20,Francois StLaurent,2,New York Rangers
21,Francois StLaurent,3,Pittsburgh Penguins
22,Stephen Walkom,2,New York Rangers
23,Stephen Walkom,3,Pittsburgh Penguins
24,Brad Watson,3,Chicago Blackhawks
25,Brad Watson,3,Florida Panthers
26,Dan Marouelli,3,Chicago Blackhawks
27,Dan Marouelli,3,Florida Panthers
28,Bill McCreary,3,Detroit Red Wings
29,Bill McCreary,4,St. Louis Blues
30,Greg Kimmerly,3,Detroit Red Wings
31,Greg Kimmerly,4,St. Louis Blues
32,Brad Meier,3,Colorado Avalanche
33,Brad Meier,0,Vancouver Canucks
34,Rob Martell,3,Colorado Avalanche
35,Rob Martell,0,Vancouver Canucks
36,Chris Rooney,7,Boston Bruins
37,Chris Rooney,2,Carolina Hurricanes
38,Stephane Auger,7,Boston Bruins
39,Stephane Auger,2,Carolina Hurricanes
40,Don VanMassenhoven,1,Buffalo Sabres
41,Don VanMassenhoven,2,Montréal Canadiens
42,Marc Joannette,1,Buffalo Sabres
43,Marc Joannette,2,Montréal Canadiens
44,Chris Ciamaga,2,New Jersey Devils
45,Chris Ciamaga,5,Philadelphia Flyers
46,Chris Lee,2,New Jersey Devils
47,Chris Lee,5,Philadelphia Flyers
48,Justin StPierre,3,New York Islanders
49,Justin StPierre,3,Pittsburgh Penguins
50,Steve Kozari,3,New York Islanders
51,Steve Kozari,3,Pittsburgh Penguins
52,Frederick L'Ecuyer,5,New York Rangers
53,Frederick L'Ecuyer,2,Ottawa Senators
54,Stephen Walkom,5,New York Rangers
55,Stephen Walkom,2,Ottawa Senators
56,Paul Devorski,4,Toronto Maple Leafs
57,Paul Devorski,6,Washington Capitals
58,Wes McCauley,4,Toronto Maple Leafs
59,Wes McCauley,6,Washington Capitals
60,Eric Furlatt,6,Atlanta Thrashers
61,Eric Furlatt,3,Tampa Bay Lightning
62,Kevin Pollock,6,Atlanta Thrashers
63,Kevin Pollock,3,Tampa Bay Lightning
64,Brad Watson,4,Chicago Blackhawks
65,Brad Watson,0,Florida Panthers
66,Dan Marouelli,4,Chicago Blackhawks
67,Dan Marouelli,0,Florida Panthers
68,Dean Morton,2,Columbus Blue Jackets
69,Dean Morton,1,Minnesota Wild
70,Ian Walsh,2,Columbus Blue Jackets
71,Ian Walsh,1,Minnesota Wild
72,Brian Pochmara,2,Dallas Stars
73,Brian Pochmara,2,Nashville Predators
74,Tim Peel,2,Dallas Stars
75,Tim Peel,2,Nashville Predators
76,Bill McCreary,3,Detroit Red Wings
77,Bill McCreary,5,St. Louis Blues
78,Greg Kimmerly,3,Detroit Red Wings
79,Greg Kimmerly,5,St. Louis Blues
80,Dan O'Halloran,4,Calgary Flames
81,Dan O'Halloran,3,Edmonton Oilers
82,Mike Leggo,4,Calgary Flames
83,Mike Leggo,3,Edmonton Oilers
84,Dennis LaRue,1,Anaheim Ducks
85,Dennis LaRue,4,San Jose Sharks
86,Gord Dwyer,1,Anaheim Ducks
87,Gord Dwyer,4,San Jose Sharks
88,Dan O'Rourke,3,Los Angeles Kings
89,Dan O'Rourke,6,Phoenix Coyotes
90,Tom Kowal,3,Los Angeles Kings
91,Tom Kowal,6,Phoenix Coyotes
92,Justin StPierre,2,New Jersey Devils
93,Justin StPierre,3,New York Rangers
94,Stephane Auger,2,New Jersey Devils
95,Stephane Auger,3,New York Rangers
96,Dan O'Halloran,5,Columbus Blue Jackets
97,Dan O'Halloran,3,Vancouver Canucks
98,Mike Leggo,5,Columbus Blue Jackets
99,Mike Leggo,3,Vancouver Canucks
100,Kerry Fraser,2,Ottawa Senators
101,Kerry Fraser,1,Toronto Maple Leafs
102,Wes McCauley,2,Ottawa Senators
103,Wes McCauley,1,Toronto Maple Leafs
104,Dave Jackson,6,Philadelphia Flyers
105,Dave Jackson,5,Washington Capitals
106,Stephane Auger,6,Philadelphia Flyers
107,Stephane Auger,5,Washington Capitals
108,Justin StPierre,1,Carolina Hurricanes
109,Justin StPierre,1,Tampa Bay Lightning
110,Paul Devorski,1,Carolina Hurricanes
111,Paul Devorski,1,Tampa Bay Lightning
112,Chris Lee,3,Anaheim Ducks
113,Chris Lee,4,Minnesota Wild
114,Steve Kozari,3,Anaheim Ducks
115,Steve Kozari,4,Minnesota Wild
116,Mike Leggo,4,Calgary Flames
117,Mike Leggo,3,Montréal Canadiens
118,Tom Kowal,4,Calgary Flames
119,Tom Kowal,3,Montréal Canadiens
120,Brian Pochmara,4,Dallas Stars
121,Brian Pochmara,4,Edmonton Oilers
122,Dan O'Halloran,4,Dallas Stars
123,Dan O'Halloran,4,Edmonton Oilers
124,Kelly Sutherland,6,Los Angeles Kings
125,Kelly Sutherland,4,San Jose Sharks
126,Marc Joannette,6,Los Angeles Kings
127,Marc Joannette,4,San Jose Sharks
128,Don VanMassenhoven,3,Phoenix Coyotes
129,Don VanMassenhoven,0,Pittsburgh Penguins
130,Ian Walsh,3,Phoenix Coyotes
131,Ian Walsh,0,Pittsburgh Penguins
132,Brian Pochmara,1,Montréal Canadiens
133,Brian Pochmara,7,Vancouver Canucks
134,Mike Leggo,1,Montréal Canadiens
135,Mike Leggo,7,Vancouver Canucks
136,Justin StPierre,6,Anaheim Ducks
137,Justin StPierre,1,Boston Bruins
138,Stephen Walkom,6,Anaheim Ducks
139,Stephen Walkom,1,Boston Bruins
140,Bill McCreary,2,Buffalo Sabres
141,Bill McCreary,1,Phoenix Coyotes
142,Chris Lee,2,Buffalo Sabres
143,Chris Lee,1,Phoenix Coyotes
144,Greg Kimmerly,2,New York Islanders
145,Greg Kimmerly,3,Ottawa Senators
146,Kerry Fraser,2,New York Islanders
147,Kerry Fraser,3,Ottawa Senators
148,Dean Morton,4,Philadelphia Flyers
149,Dean Morton,5,Pittsburgh Penguins
150,Eric Furlatt,4,Philadelphia Flyers
151,Eric Furlatt,5,Pittsburgh Penguins
152,Ian Walsh,4,New York Rangers
153,Ian Walsh,3,Washington Capitals
154,Stephane Auger,4,New York Rangers
155,Stephane Auger,3,Washington Capitals
156,Dave Jackson,3,New Jersey Devils
157,Dave Jackson,3,Tampa Bay Lightning
158,Gord Dwyer,3,New Jersey Devils
159,Gord Dwyer,3,Tampa Bay Lightning
160,Kevin Pollock,2,Chicago Blackhawks
161,Kevin Pollock,3,Detroit Red Wings
162,Wes McCauley,2,Chicago Blackhawks
163,Wes McCauley,3,Detroit Red Wings
164,Frederick L'Ecuyer,4,Atlanta Thrashers
165,Frederick L'Ecuyer,2,St. Louis Blues
166,Tim Peel,4,Atlanta Thrashers
167,Tim Peel,2,St. Louis Blues
168,Dan O'Rourke,2,Colorado Avalanche
169,Dan O'Rourke,3,Nashville Predators
170,Paul Devorski,2,Colorado Avalanche
171,Paul Devorski,3,Nashville Predators
172,Dennis LaRue,3,Calgary Flames
173,Dennis LaRue,3,Edmonton Oilers
174,Francois StLaurent,3,Calgary Flames
175,Francois StLaurent,3,Edmonton Oilers
176,David Banfield,6,Los Angeles Kings
177,David Banfield,3,Minnesota Wild
178,Tom Kowal,6,Los Angeles Kings
179,Tom Kowal,3,Minnesota Wild
180,Kelly Sutherland,3,Columbus Blue Jackets
181,Kelly Sutherland,6,San Jose Sharks
182,Marc Joannette,3,Columbus Blue Jackets
183,Marc Joannette,6,San Jose Sharks
184,Chris Rooney,7,Carolina Hurricanes
185,Chris Rooney,2,Florida Panthers
186,Stephane Auger,7,Carolina Hurricanes
187,Stephane Auger,2,Florida Panthers
188,Dennis LaRue,2,Calgary Flames
189,Dennis LaRue,5,Dallas Stars
190,Francois StLaurent,2,Calgary Flames
191,Francois StLaurent,5,Dallas Stars
192,Eric Furlatt,3,Boston Bruins
193,Eric Furlatt,3,New York Islanders
194,Stephen Walkom,3,Boston Bruins
195,Stephen Walkom,3,New York Islanders
196,Bill McCreary,5,Pittsburgh Penguins
197,Bill McCreary,2,Toronto Maple Leafs
198,Kevin Pollock,5,Pittsburgh Penguins
199,Kevin Pollock,2,Toronto Maple Leafs
200,Chris Lee,2,Atlanta Thrashers
201,Chris Lee,4,Ottawa Senators
202,Dan Marouelli,2,Atlanta Thrashers
203,Dan Marouelli,4,Ottawa Senators
204,Chris Ciamaga,2,Anaheim Ducks
205,Chris Ciamaga,2,Philadelphia Flyers
206,Tim Peel,2,Anaheim Ducks
207,Tim Peel,2,Philadelphia Flyers
208,Dan O'Rourke,2,Florida Panthers
209,Dan O'Rourke,3,New Jersey Devils
210,Gord Dwyer,2,Florida Panthers
211,Gord Dwyer,3,New Jersey Devils
212,Dan O'Halloran,3,Detroit Red Wings
213,Dan O'Halloran,2,Washington Capitals
214,Kerry Fraser,3,Detroit Red Wings
215,Kerry Fraser,2,Washington Capitals
216,Dave Jackson,2,Carolina Hurricanes
217,Dave Jackson,5,Tampa Bay Lightning
218,Rob Martell,2,Carolina Hurricanes
219,Rob Martell,5,Tampa Bay Lightning
220,Dean Morton,2,Los Angeles Kings
221,Dean Morton,1,St. Louis Blues
222,Paul Devorski,2,Los Angeles Kings
223,Paul Devorski,1,St. Louis Blues
224,Steve Kozari,1,Buffalo Sabres
225,Steve Kozari,0,Nashville Predators
226,Wes McCauley,1,Buffalo Sabres
227,Wes McCauley,0,Nashville Predators
228,Chris Rooney,3,Chicago Blackhawks
229,Chris Rooney,3,Colorado Avalanche
230,Ian Walsh,3,Chicago Blackhawks
231,Ian Walsh,3,Colorado Avalanche
232,Kelly Sutherland,2,Columbus Blue Jackets
233,Kelly Sutherland,0,Phoenix Coyotes
234,Marc Joannette,2,Columbus Blue Jackets
235,Marc Joannette,0,Phoenix Coyotes
236,Brad Meier,3,Edmonton Oilers
237,Brad Meier,2,Montréal Canadiens
238,Kyle Rehman,3,Edmonton Oilers
239,Kyle Rehman,2,Montréal Canadiens
240,David Banfield,2,Minnesota Wild
241,David Banfield,4,San Jose Sharks
242,Tom Kowal,2,Minnesota Wild
243,Tom Kowal,4,San Jose Sharks
244,Brad Watson,0,Anaheim Ducks
245,Brad Watson,3,New York Rangers
246,Greg Kimmerly,0,Anaheim Ducks
247,Greg Kimmerly,3,New York Rangers
248,Dennis LaRue,3,Dallas Stars
249,Dennis LaRue,3,Vancouver Canucks
250,Francois StLaurent,3,Dallas Stars
251,Francois StLaurent,3,Vancouver Canucks
252,Tim Peel,3,Boston Bruins
253,Tim Peel,4,Colorado Avalanche
254,Wes McCauley,3,Boston Bruins
255,Wes McCauley,4,Colorado Avalanche
256,Brad Watson,2,Los Angeles Kings
257,Brad Watson,1,New York Islanders
