,Ref,Score,Team
0,Dave Jackson,1,Carolina Hurricanes
1,Dave Jackson,5,New Jersey Devils
2,Paul Stewart,1,Carolina Hurricanes
3,Paul Stewart,5,New Jersey Devils
4,Bill McCreary,0,Carolina Hurricanes
5,Bill McCreary,2,New Jersey Devils
6,Dan O'Halloran,0,Carolina Hurricanes
7,Dan O'Halloran,2,New Jersey Devils
8,Kevin Pollock,0,Carolina Hurricanes
9,Kevin Pollock,4,New Jersey Devils
10,Paul Devorski,0,Carolina Hurricanes
11,Paul Devorski,4,New Jersey Devils
12,Dan O'Halloran,3,Carolina Hurricanes
13,Dan O'Halloran,2,New Jersey Devils
14,Paul Devorski,3,Carolina Hurricanes
15,Paul Devorski,2,New Jersey Devils
16,Blaine Angus,3,Carolina Hurricanes
17,Blaine Angus,2,New Jersey Devils
18,Don Van Massenhoven,3,Carolina Hurricanes
19,Don Van Massenhoven,2,New Jersey Devils
20,Kerry Fraser,1,Carolina Hurricanes
21,Kerry Fraser,5,New Jersey Devils
22,Rob Shick,1,Carolina Hurricanes
23,Rob Shick,5,New Jersey Devils
24,Dan Marouelli,0,Ottawa Senators
25,Dan Marouelli,1,Toronto Maple Leafs
26,Dean Warren,0,Ottawa Senators
27,Dean Warren,1,Toronto Maple Leafs
28,Dan Marouelli,0,Ottawa Senators
29,Dan Marouelli,3,Toronto Maple Leafs
30,Terry Gregson,0,Ottawa Senators
31,Terry Gregson,3,Toronto Maple Leafs
32,Don Koharski,2,Ottawa Senators
33,Don Koharski,3,Toronto Maple Leafs
34,Stephen Walkom,2,Ottawa Senators
35,Stephen Walkom,3,Toronto Maple Leafs
36,Brad Watson,1,Ottawa Senators
37,Brad Watson,3,Toronto Maple Leafs
38,Don Van Massenhoven,1,Ottawa Senators
39,Don Van Massenhoven,3,Toronto Maple Leafs
40,Don Koharski,0,Pittsburgh Penguins
41,Don Koharski,1,Washington Capitals
42,Stephen Walkom,0,Pittsburgh Penguins
43,Stephen Walkom,1,Washington Capitals
44,Blaine Angus,2,Pittsburgh Penguins
45,Blaine Angus,1,Washington Capitals
46,Don Koharski,2,Pittsburgh Penguins
47,Don Koharski,1,Washington Capitals
48,Brad Watson,3,Pittsburgh Penguins
49,Brad Watson,0,Washington Capitals
50,Don Van Massenhoven,3,Pittsburgh Penguins
51,Don Van Massenhoven,0,Washington Capitals
52,Dave Jackson,3,Pittsburgh Penguins
53,Dave Jackson,4,Washington Capitals
54,Paul Stewart,3,Pittsburgh Penguins
55,Paul Stewart,4,Washington Capitals
56,Paul Devorski,2,Pittsburgh Penguins
57,Paul Devorski,1,Washington Capitals
58,Rob Shick,2,Pittsburgh Penguins
59,Rob Shick,1,Washington Capitals
60,Mark Faucette,4,Pittsburgh Penguins
61,Mark Faucette,3,Washington Capitals
62,Mick McGeough,4,Pittsburgh Penguins
63,Mick McGeough,3,Washington Capitals
