code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2009020001,Boston Bruins,1,Washington Capitals,4,Dave Jackson,Steve Kozari,Washington Capitals,Boston Bruins
2009020002,Toronto Maple Leafs,3,Montréal Canadiens,4,Kelly Sutherland,Don VanMassenhoven,Montréal Canadiens,Toronto Maple Leafs
2009020003,Colorado Avalanche,5,San Jose Sharks,2,Brian Pochmara,Tim Peel,Colorado Avalanche,San Jose Sharks
2009020004,Calgary Flames,5,Vancouver Canucks,3,Dan O'Halloran,Brad Meier,Calgary Flames,Vancouver Canucks
2009020005,Carolina Hurricanes,0,Philadelphia Flyers,2,Frederick L'Ecuyer,Chris Lee,Philadelphia Flyers,Carolina Hurricanes
2009020006,Pittsburgh Penguins,3,New York Rangers,2,Stephen Walkom,Francois StLaurent,Pittsburgh Penguins,New York Rangers
2009020007,Chicago Blackhawks,3,Florida Panthers,3,Dan Marouelli,Brad Watson,Chicago Blackhawks,Florida Panthers
2009020008,Detroit Red Wings,3,St. Louis Blues,4,Bill McCreary,Greg Kimmerly,St. Louis Blues,Detroit Red Wings
2009020009,Colorado Avalanche,3,Vancouver Canucks,0,Rob Martell,Brad Meier,Colorado Avalanche,Vancouver Canucks
2009020010,Boston Bruins,7,Carolina Hurricanes,2,Chris Rooney,Stephane Auger,Boston Bruins,Carolina Hurricanes
2009020011,Buffalo Sabres,1,Montréal Canadiens,2,Don VanMassenhoven,Marc Joannette,Montréal Canadiens,Buffalo Sabres
2009020012,New Jersey Devils,2,Philadelphia Flyers,5,Chris Ciamaga,Chris Lee,Philadelphia Flyers,New Jersey Devils
2009020013,New York Islanders,3,Pittsburgh Penguins,3,Justin StPierre,Steve Kozari,New York Islanders,Pittsburgh Penguins
2009020014,New York Rangers,5,Ottawa Senators,2,Frederick L'Ecuyer,Stephen Walkom,New York Rangers,Ottawa Senators
2009020015,Washington Capitals,6,Toronto Maple Leafs,4,Wes McCauley,Paul Devorski,Washington Capitals,Toronto Maple Leafs
2009020016,Atlanta Thrashers,6,Tampa Bay Lightning,3,Eric Furlatt,Kevin Pollock,Atlanta Thrashers,Tampa Bay Lightning
2009020017,Florida Panthers,0,Chicago Blackhawks,4,Dan Marouelli,Brad Watson,Chicago Blackhawks,Florida Panthers
2009020018,Columbus Blue Jackets,2,Minnesota Wild,1,Ian Walsh,Dean Morton,Columbus Blue Jackets,Minnesota Wild
2009020019,Dallas Stars,2,Nashville Predators,2,Brian Pochmara,Tim Peel,Dallas Stars,Nashville Predators
2009020020,St. Louis Blues,5,Detroit Red Wings,3,Bill McCreary,Greg Kimmerly,St. Louis Blues,Detroit Red Wings
2009020021,Edmonton Oilers,3,Calgary Flames,4,Mike Leggo,Dan O'Halloran,Calgary Flames,Edmonton Oilers
2009020022,Anaheim Ducks,1,San Jose Sharks,4,Dennis LaRue,Gord Dwyer,San Jose Sharks,Anaheim Ducks
2009020023,Los Angeles Kings,3,Phoenix Coyotes,6,Dan O'Rourke,Tom Kowal,Phoenix Coyotes,Los Angeles Kings
2009020024,New Jersey Devils,2,New York Rangers,3,Justin StPierre,Stephane Auger,New York Rangers,New Jersey Devils
2009020025,Vancouver Canucks,3,Columbus Blue Jackets,5,Mike Leggo,Dan O'Halloran,Columbus Blue Jackets,Vancouver Canucks
2009020026,Toronto Maple Leafs,1,Ottawa Senators,2,Kerry Fraser,Wes McCauley,Ottawa Senators,Toronto Maple Leafs
2009020027,Philadelphia Flyers,6,Washington Capitals,5,Dave Jackson,Stephane Auger,Philadelphia Flyers,Washington Capitals
2009020028,Carolina Hurricanes,1,Tampa Bay Lightning,1,Paul Devorski,Justin StPierre,Carolina Hurricanes,Tampa Bay Lightning
2009020029,Minnesota Wild,4,Anaheim Ducks,3,Chris Lee,Steve Kozari,Minnesota Wild,Anaheim Ducks
2009020030,Calgary Flames,4,Montréal Canadiens,3,Mike Leggo,Tom Kowal,Calgary Flames,Montréal Canadiens
2009020031,Edmonton Oilers,4,Dallas Stars,4,Dan O'Halloran,Brian Pochmara,Edmonton Oilers,Dallas Stars
2009020032,Los Angeles Kings,6,San Jose Sharks,4,Kelly Sutherland,Marc Joannette,Los Angeles Kings,San Jose Sharks
2009020033,Pittsburgh Penguins,0,Phoenix Coyotes,3,Don VanMassenhoven,Ian Walsh,Phoenix Coyotes,Pittsburgh Penguins
2009020034,Vancouver Canucks,7,Montréal Canadiens,1,Mike Leggo,Brian Pochmara,Vancouver Canucks,Montréal Canadiens
2009020035,Boston Bruins,1,Anaheim Ducks,6,Justin StPierre,Stephen Walkom,Anaheim Ducks,Boston Bruins
2009020036,Buffalo Sabres,2,Phoenix Coyotes,1,Bill McCreary,Chris Lee,Buffalo Sabres,Phoenix Coyotes
2009020037,Ottawa Senators,3,New York Islanders,2,Kerry Fraser,Greg Kimmerly,Ottawa Senators,New York Islanders
2009020038,Philadelphia Flyers,4,Pittsburgh Penguins,5,Eric Furlatt,Dean Morton,Pittsburgh Penguins,Philadelphia Flyers
2009020039,Washington Capitals,3,New York Rangers,4,Stephane Auger,Ian Walsh,New York Rangers,Washington Capitals
2009020040,Tampa Bay Lightning,3,New Jersey Devils,3,Dave Jackson,Gord Dwyer,Tampa Bay Lightning,New Jersey Devils
2009020041,Detroit Red Wings,3,Chicago Blackhawks,2,Wes McCauley,Kevin Pollock,Detroit Red Wings,Chicago Blackhawks
2009020042,St. Louis Blues,2,Atlanta Thrashers,4,Frederick L'Ecuyer,Tim Peel,Atlanta Thrashers,St. Louis Blues
2009020043,Nashville Predators,3,Colorado Avalanche,2,Dan O'Rourke,Paul Devorski,Nashville Predators,Colorado Avalanche
2009020044,Edmonton Oilers,3,Calgary Flames,3,Dennis LaRue,Francois StLaurent,Edmonton Oilers,Calgary Flames
2009020045,Los Angeles Kings,6,Minnesota Wild,3,Tom Kowal,David Banfield,Los Angeles Kings,Minnesota Wild
2009020046,San Jose Sharks,6,Columbus Blue Jackets,3,Kelly Sutherland,Marc Joannette,San Jose Sharks,Columbus Blue Jackets
2009020047,Carolina Hurricanes,7,Florida Panthers,2,Chris Rooney,Stephane Auger,Carolina Hurricanes,Florida Panthers
2009020048,Calgary Flames,2,Dallas Stars,5,Dennis LaRue,Francois StLaurent,Dallas Stars,Calgary Flames
2009020049,Boston Bruins,3,New York Islanders,3,Stephen Walkom,Eric Furlatt,Boston Bruins,New York Islanders
2009020050,Toronto Maple Leafs,2,Pittsburgh Penguins,5,Bill McCreary,Kevin Pollock,Pittsburgh Penguins,Toronto Maple Leafs
2009020051,Ottawa Senators,4,Atlanta Thrashers,2,Dan Marouelli,Chris Lee,Ottawa Senators,Atlanta Thrashers
2009020052,Philadelphia Flyers,2,Anaheim Ducks,2,Tim Peel,Chris Ciamaga,Philadelphia Flyers,Anaheim Ducks
2009020053,Florida Panthers,2,New Jersey Devils,3,Dan O'Rourke,Gord Dwyer,New Jersey Devils,Florida Panthers
2009020054,Detroit Red Wings,3,Washington Capitals,2,Kerry Fraser,Dan O'Halloran,Detroit Red Wings,Washington Capitals
2009020055,Tampa Bay Lightning,5,Carolina Hurricanes,2,Dave Jackson,Rob Martell,Tampa Bay Lightning,Carolina Hurricanes
2009020056,St. Louis Blues,1,Los Angeles Kings,2,Paul Devorski,Dean Morton,Los Angeles Kings,St. Louis Blues
2009020057,Nashville Predators,0,Buffalo Sabres,1,Wes McCauley,Steve Kozari,Buffalo Sabres,Nashville Predators
2009020058,Chicago Blackhawks,3,Colorado Avalanche,3,Chris Rooney,Ian Walsh,Chicago Blackhawks,Colorado Avalanche
2009020059,Phoenix Coyotes,0,Columbus Blue Jackets,2,Kelly Sutherland,Marc Joannette,Columbus Blue Jackets,Phoenix Coyotes
2009020060,Edmonton Oilers,3,Montréal Canadiens,2,Brad Meier,Kyle Rehman,Edmonton Oilers,Montréal Canadiens
2009020061,San Jose Sharks,4,Minnesota Wild,2,Tom Kowal,David Banfield,San Jose Sharks,Minnesota Wild
2009020062,New York Rangers,3,Anaheim Ducks,0,Greg Kimmerly,Brad Watson,New York Rangers,Anaheim Ducks
2009020063,Vancouver Canucks,3,Dallas Stars,3,Dennis LaRue,Francois StLaurent,Vancouver Canucks,Dallas Stars
2009020064,Boston Bruins,3,Colorado Avalanche,4,Wes McCauley,Tim Peel,Colorado Avalanche,Boston Bruins
2009020065,New York Islanders,1,Los Angeles Kings,2,Brad Watson,Stephen Walkom,Los Angeles Kings,New York Islanders
2009020066,New York Rangers,7,Toronto Maple Leafs,2,Mike Leggo,Rob Martell,New York Rangers,Toronto Maple Leafs
2009020067,Washington Capitals,2,New Jersey Devils,2,Dan O'Rourke,Chris Lee,Washington Capitals,New Jersey Devils
2009020068,Ottawa Senators,1,Pittsburgh Penguins,4,Dan O'Halloran,Chris Ciamaga,Pittsburgh Penguins,Ottawa Senators
2009020069,Tampa Bay Lightning,3,Florida Panthers,2,Paul Devorski,Gord Dwyer,Tampa Bay Lightning,Florida Panthers
2009020070,Nashville Predators,1,Edmonton Oilers,6,Don VanMassenhoven,Dean Morton,Edmonton Oilers,Nashville Predators
2009020071,Chicago Blackhawks,6,Calgary Flames,5,Kerry Fraser,Steve Kozari,Chicago Blackhawks,Calgary Flames
2009020072,San Jose Sharks,0,Phoenix Coyotes,0,Tom Kowal,Brad Meier,San Jose Sharks,Phoenix Coyotes
2009020073,Buffalo Sabres,6,Detroit Red Wings,2,Mike Leggo,Rob Martell,Buffalo Sabres,Detroit Red Wings
2009020074,Columbus Blue Jackets,2,Calgary Flames,1,Stephen Walkom,Kevin Pollock,Columbus Blue Jackets,Calgary Flames
2009020075,Toronto Maple Leafs,1,Colorado Avalanche,4,Greg Kimmerly,Eric Furlatt,Colorado Avalanche,Toronto Maple Leafs
2009020076,New York Rangers,4,Los Angeles Kings,2,Dan O'Rourke,Dan O'Halloran,New York Rangers,Los Angeles Kings
2009020077,Chicago Blackhawks,4,Edmonton Oilers,3,Tim Peel,Dean Morton,Chicago Blackhawks,Edmonton Oilers
2009020078,Dallas Stars,6,Nashville Predators,0,Brad Watson,Ian Walsh,Dallas Stars,Nashville Predators
2009020079,Anaheim Ducks,3,Minnesota Wild,2,Brian Pochmara,Brad Meier,Anaheim Ducks,Minnesota Wild
2009020080,Washington Capitals,4,San Jose Sharks,1,Justin StPierre,Rob Martell,Washington Capitals,San Jose Sharks
2009020081,Carolina Hurricanes,2,Pittsburgh Penguins,2,Don VanMassenhoven,Francois StLaurent,Carolina Hurricanes,Pittsburgh Penguins
2009020082,Montréal Canadiens,2,Colorado Avalanche,3,Dave Jackson,Marc Joannette,Colorado Avalanche,Montréal Canadiens
2009020083,Ottawa Senators,7,Tampa Bay Lightning,1,Mike Leggo,Eric Furlatt,Ottawa Senators,Tampa Bay Lightning
2009020084,Detroit Red Wings,5,Los Angeles Kings,2,Dan Marouelli,Dean Morton,Detroit Red Wings,Los Angeles Kings
2009020085,Nashville Predators,1,Chicago Blackhawks,3,Kevin Pollock,Francois StLaurent,Chicago Blackhawks,Nashville Predators
2009020086,Phoenix Coyotes,3,St. Louis Blues,2,Brian Pochmara,Brad Meier,Phoenix Coyotes,St. Louis Blues
2009020087,New Jersey Devils,2,Atlanta Thrashers,4,Chris Rooney,Don VanMassenhoven,Atlanta Thrashers,New Jersey Devils
