code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1997020001,Pittsburgh Penguins,3,Los Angeles Kings,3,Mark Faucette,Danny McCourt,Pittsburgh Penguins,Los Angeles Kings
1997020002,Montréal Canadiens,2,Ottawa Senators,2,Kerry Fraser,Pierre Champoux,Montréal Canadiens,Ottawa Senators
1997020003,Philadelphia Flyers,3,Florida Panthers,1,Bill McCreary,Jean Morin,Philadelphia Flyers,Florida Panthers
1997020004,Tampa Bay Lightning,4,Carolina Hurricanes,2,Lance Roberts,Gordon Broseker,Tampa Bay Lightning,Carolina Hurricanes
1997020005,Toronto Maple Leafs,1,Washington Capitals,4,Dan Marouelli,Ray Scapinello,Washington Capitals,Toronto Maple Leafs
1997020006,St. Louis Blues,1,Buffalo Sabres,3,Stephen Walkom,Dan Schachte,Buffalo Sabres,St. Louis Blues
1997020007,Colorado Avalanche,2,Dallas Stars,2,Michael McGeough,Brad Lazarowich,Colorado Avalanche,Dallas Stars
1997020008,Phoenix Coyotes,6,Chicago Blackhawks,2,Terry Gregson,Wayne Bonney,Phoenix Coyotes,Chicago Blackhawks
1997020009,Calgary Flames,1,Detroit Red Wings,3,Don Koharski,Don Henderson,Detroit Red Wings,Calgary Flames
1997020010,San Jose Sharks,3,Edmonton Oilers,5,Richard Trottier,Shane Heyer,Edmonton Oilers,San Jose Sharks
1997020011,Boston Bruins,6,Los Angeles Kings,5,Don Van Massenhoven,Kevin Collins,Boston Bruins,Los Angeles Kings
1997020012,Carolina Hurricanes,3,Pittsburgh Penguins,4,Dennis Larue,Scott Driscoll,Pittsburgh Penguins,Carolina Hurricanes
1997020013,New York Rangers,2,New York Islanders,2,Bill McCreary,Gerry Gauthier,New York Rangers,New York Islanders
1997020014,Philadelphia Flyers,5,Ottawa Senators,3,Lance Roberts,Jean Morin,Philadelphia Flyers,Ottawa Senators
1997020015,Washington Capitals,6,Buffalo Sabres,2,Dave Jackson,Danny McCourt,Washington Capitals,Buffalo Sabres
1997020016,Tampa Bay Lightning,3,New Jersey Devils,4,Paul Stewart,Gordon Broseker,New Jersey Devils,Tampa Bay Lightning
1997020017,St. Louis Blues,7,Phoenix Coyotes,2,Mark Faucette,Dan Schachte,St. Louis Blues,Phoenix Coyotes
1997020018,Calgary Flames,1,Colorado Avalanche,4,Richard Trottier,Don Henderson,Colorado Avalanche,Calgary Flames
1997020019,Edmonton Oilers,2,Detroit Red Wings,8,Don Koharski,Baron Parker,Detroit Red Wings,Edmonton Oilers
1997020020,Vancouver Canucks,3,Anaheim Ducks,2,SHICK,Mitton,Vancouver Canucks,Anaheim Ducks
1997020021,Boston Bruins,1,Montréal Canadiens,4,Dan Marouelli,Kevin Collins,Montréal Canadiens,Boston Bruins
1997020022,Pittsburgh Penguins,3,Florida Panthers,5,Lance Roberts,Scott Driscoll,Florida Panthers,Pittsburgh Penguins
1997020023,Ottawa Senators,3,Carolina Hurricanes,2,Don Van Massenhoven,Ray Scapinello,Ottawa Senators,Carolina Hurricanes
1997020024,New York Islanders,3,Toronto Maple Leafs,0,JACKSON,Gauthier,New York Islanders,Toronto Maple Leafs
1997020025,Washington Capitals,4,New Jersey Devils,1,FRASER,McCourt,Washington Capitals,New Jersey Devils
1997020026,Dallas Stars,1,St. Louis Blues,2,Michael McGeough,Thor Nelson,St. Louis Blues,Dallas Stars
1997020027,San Jose Sharks,3,Chicago Blackhawks,2,Terry Gregson,Shane Heyer,San Jose Sharks,Chicago Blackhawks
1997020028,Anaheim Ducks,3,Vancouver Canucks,2,DEVORSKI,Mitton,Anaheim Ducks,Vancouver Canucks
1997020029,New York Rangers,2,Los Angeles Kings,2,Mark Faucette,Jean Morin,New York Rangers,Los Angeles Kings
1997020030,Philadelphia Flyers,1,Phoenix Coyotes,2,Dan Marouelli,Scott Driscoll,Phoenix Coyotes,Philadelphia Flyers
1997020031,Tampa Bay Lightning,1,Buffalo Sabres,1,Dennis Larue,Gordon Broseker,Tampa Bay Lightning,Buffalo Sabres
1997020032,Edmonton Oilers,0,Colorado Avalanche,3,Richard Trottier,Baron Parker,Colorado Avalanche,Edmonton Oilers
1997020033,Carolina Hurricanes,3,Los Angeles Kings,3,Mark Faucette,Kevin Collins,Carolina Hurricanes,Los Angeles Kings
1997020034,Buffalo Sabres,2,Dallas Stars,4,Dennis Larue,Ray Scapinello,Dallas Stars,Buffalo Sabres
1997020035,Colorado Avalanche,3,Boston Bruins,2,Blaine Angus,Thor Nelson,Colorado Avalanche,Boston Bruins
1997020036,Calgary Flames,1,Toronto Maple Leafs,2,Terry Gregson,Brad Lazarowich,Toronto Maple Leafs,Calgary Flames
1997020037,San Jose Sharks,0,Ottawa Senators,1,Stephen Walkom,Shane Heyer,Ottawa Senators,San Jose Sharks
1997020038,Pittsburgh Penguins,0,Montréal Canadiens,3,Paul Devorski,Dan Schachte,Montréal Canadiens,Pittsburgh Penguins
1997020039,New York Islanders,3,Washington Capitals,6,Paul Stewart,Brian Murphy,Washington Capitals,New York Islanders
1997020040,New Jersey Devils,4,Philadelphia Flyers,1,Don Koharski,Kevin Collins,New Jersey Devils,Philadelphia Flyers
1997020041,Detroit Red Wings,3,Dallas Stars,1,Bill McCreary,Danny McCourt,Detroit Red Wings,Dallas Stars
1997020042,Phoenix Coyotes,2,Boston Bruins,3,Robbie Shick,Wayne Bonney,Boston Bruins,Phoenix Coyotes
1997020043,Edmonton Oilers,3,New York Rangers,3,Dave Jackson,Brad Lazarowich,Edmonton Oilers,New York Rangers
1997020044,Buffalo Sabres,5,Washington Capitals,2,Paul Devorski,Dan Schachte,Buffalo Sabres,Washington Capitals
1997020045,Philadelphia Flyers,3,Pittsburgh Penguins,1,Don Van Massenhoven,Gordon Broseker,Philadelphia Flyers,Pittsburgh Penguins
1997020046,Chicago Blackhawks,1,Tampa Bay Lightning,4,Kerry Fraser,Jean Morin,Tampa Bay Lightning,Chicago Blackhawks
1997020047,St. Louis Blues,3,Los Angeles Kings,2,Dennis Larue,Shane Heyer,St. Louis Blues,Los Angeles Kings
1997020048,Colorado Avalanche,3,San Jose Sharks,2,Dave Jackson,Brad Lazarowich,Colorado Avalanche,San Jose Sharks
1997020049,Calgary Flames,1,New York Rangers,1,Dan Marouelli,Swede Knox,Calgary Flames,New York Rangers
1997020050,Vancouver Canucks,2,Toronto Maple Leafs,2,Stephen Walkom,Baron Parker,Vancouver Canucks,Toronto Maple Leafs
1997020051,Carolina Hurricanes,2,New Jersey Devils,1,Don Van Massenhoven,Gordon Broseker,Carolina Hurricanes,New Jersey Devils
1997020052,Detroit Red Wings,3,Tampa Bay Lightning,0,Don Koharski,Dan Schachte,Detroit Red Wings,Tampa Bay Lightning
1997020053,Dallas Stars,7,Chicago Blackhawks,0,Lance Roberts,Jean Morin,Dallas Stars,Chicago Blackhawks
1997020054,Anaheim Ducks,1,Ottawa Senators,1,Blaine Angus,Mike Cvik,Anaheim Ducks,Ottawa Senators
1997020055,Pittsburgh Penguins,4,Carolina Hurricanes,1,TROTTIER,Derek Amell,Pittsburgh Penguins,Carolina Hurricanes
1997020056,Montréal Canadiens,2,Philadelphia Flyers,6,Bill McCreary,Pierre Champoux,Philadelphia Flyers,Montréal Canadiens
1997020057,New Jersey Devils,3,Buffalo Sabres,2,Paul Stewart,Brian Murphy,New Jersey Devils,Buffalo Sabres
1997020058,Washington Capitals,3,New York Islanders,1,Paul Devorski,Scott Driscoll,Washington Capitals,New York Islanders
1997020059,St. Louis Blues,5,Florida Panthers,3,Michael McGeough,Jean Morin,St. Louis Blues,Florida Panthers
1997020060,Colorado Avalanche,3,Phoenix Coyotes,3,Kerry Fraser,Brad Lazarowich,Colorado Avalanche,Phoenix Coyotes
1997020061,Edmonton Oilers,2,Toronto Maple Leafs,1,Stephen Walkom,Swede Knox,Edmonton Oilers,Toronto Maple Leafs
1997020062,Vancouver Canucks,3,New York Rangers,6,Dan Marouelli,Wayne Bonney,New York Rangers,Vancouver Canucks
1997020063,San Jose Sharks,5,Boston Bruins,2,Robbie Shick,Don Henderson,San Jose Sharks,Boston Bruins
1997020064,Detroit Red Wings,4,Calgary Flames,4,Terry Gregson,Shane Heyer,Detroit Red Wings,Calgary Flames
1997020065,Los Angeles Kings,7,Ottawa Senators,4,Dave Jackson,Don Henderson,Los Angeles Kings,Ottawa Senators
1997020066,Florida Panthers,2,New York Islanders,2,Richard Trottier,Ray Scapinello,Florida Panthers,New York Islanders
1997020067,St. Louis Blues,3,Carolina Hurricanes,1,KOHARSKI,Nelson,St. Louis Blues,Carolina Hurricanes
1997020068,Phoenix Coyotes,2,Chicago Blackhawks,1,MARK FAUCETTE,Baron Parker,Phoenix Coyotes,Chicago Blackhawks
1997020069,Vancouver Canucks,3,Edmonton Oilers,0,Kerry Fraser,Wayne Bonney,Vancouver Canucks,Edmonton Oilers
1997020070,San Jose Sharks,2,Philadelphia Flyers,3,WALKOM,Gibbs,Philadelphia Flyers,San Jose Sharks
1997020071,Anaheim Ducks,0,Boston Bruins,3,DENNIS LARUE,Mike Cvik,Boston Bruins,Anaheim Ducks
1997020072,New York Rangers,0,Pittsburgh Penguins,1,Michael McGeough,Kevin Collins,Pittsburgh Penguins,New York Rangers
1997020073,Toronto Maple Leafs,2,Detroit Red Wings,3,Bill McCreary,Pierre Champoux,Detroit Red Wings,Toronto Maple Leafs
1997020074,Dallas Stars,5,Calgary Flames,4,STEWART,McCourt,Dallas Stars,Calgary Flames
1997020075,Carolina Hurricanes,3,Buffalo Sabres,3,Michael McGeough,Kevin Collins,Carolina Hurricanes,Buffalo Sabres
1997020076,Ottawa Senators,5,New York Rangers,1,Lance Roberts,Pierre Champoux,Ottawa Senators,New York Rangers
1997020077,Montréal Canadiens,1,Pittsburgh Penguins,1,Don Van Massenhoven,Jean Morin,Montréal Canadiens,Pittsburgh Penguins
1997020078,Florida Panthers,2,Tampa Bay Lightning,1,Don Koharski,Ray Scapinello,Florida Panthers,Tampa Bay Lightning
1997020079,Detroit Red Wings,3,Toronto Maple Leafs,4,Dan Marouelli,Scott Driscoll,Toronto Maple Leafs,Detroit Red Wings
1997020080,Chicago Blackhawks,0,Washington Capitals,2,Terry Gregson,Thor Nelson,Washington Capitals,Chicago Blackhawks
1997020081,Edmonton Oilers,2,Colorado Avalanche,6,Kerry Fraser,Swede Knox,Colorado Avalanche,Edmonton Oilers
1997020082,Los Angeles Kings,3,Boston Bruins,5,Dennis Larue,Wayne Bonney,Boston Bruins,Los Angeles Kings
1997020083,Anaheim Ducks,2,Philadelphia Flyers,2,Mark Faucette,Baron Parker,Anaheim Ducks,Philadelphia Flyers
1997020084,Dallas Stars,4,Florida Panthers,0,Terry Gregson,Danny McCourt,Dallas Stars,Florida Panthers
1997020085,San Jose Sharks,2,New York Islanders,5,Paul Stewart,Shane Heyer,New York Islanders,San Jose Sharks
1997020086,Buffalo Sabres,1,Montréal Canadiens,5,Bill McCreary,Gordon Broseker,Montréal Canadiens,Buffalo Sabres
1997020087,Ottawa Senators,4,New Jersey Devils,2,Dave Jackson,Jean Morin,Ottawa Senators,New Jersey Devils
1997020088,Tampa Bay Lightning,1,Pittsburgh Penguins,4,Don Koharski,Ray Scapinello,Pittsburgh Penguins,Tampa Bay Lightning
1997020089,Chicago Blackhawks,0,St. Louis Blues,2,Dan Marouelli,Scott Driscoll,St. Louis Blues,Chicago Blackhawks
1997020090,Calgary Flames,6,Colorado Avalanche,5,Paul Devorski,Don Henderson,Calgary Flames,Colorado Avalanche
1997020091,Vancouver Canucks,0,Boston Bruins,2,Paul Stewart,Brad Lazarowich,Boston Bruins,Vancouver Canucks
1997020092,Los Angeles Kings,5,Philadelphia Flyers,1,Mark Faucette,Jay Sharrers,Los Angeles Kings,Philadelphia Flyers
1997020093,Anaheim Ducks,2,Edmonton Oilers,1,Robbie Shick,Baron Parker,Anaheim Ducks,Edmonton Oilers
