Year,Ref,Team,Actual Score
1994,Don Koharski,New York Rangers,4
1994,Don Koharski,Quebec Nordiques,5
1994,Swede Knox,New York Rangers,4
1994,Swede Knox,Quebec Nordiques,5
1994,Mark Faucette,New York Rangers,8
1994,Mark Faucette,Quebec Nordiques,3
1994,Swede Knox,New York Rangers,8
1994,Swede Knox,Quebec Nordiques,3
1994,Bill McCreary,New York Rangers,4
1994,Bill McCreary,Quebec Nordiques,3
1994,Wayne Bonney,New York Rangers,4
1994,Wayne Bonney,Quebec Nordiques,3
1994,Andy van Hellemond,New York Rangers,3
1994,Andy van Hellemond,Quebec Nordiques,2
1994,Wayne Bonney,New York Rangers,3
1994,Wayne Bonney,Quebec Nordiques,2
1994,Kerry Fraser,New York Rangers,2
1994,Kerry Fraser,Quebec Nordiques,4
1994,Mike Cvik,New York Rangers,2
1994,Mike Cvik,Quebec Nordiques,4
1994,Bob Hodges,New York Rangers,4
1994,Bob Hodges,Quebec Nordiques,2
1994,Dan Marouelli,New York Rangers,4
1994,Dan Marouelli,Quebec Nordiques,2
1994,Bill McCreary,Buffalo Sabres,3
1994,Bill McCreary,Philadelphia Flyers,4
1994,Ron Asselstine,Buffalo Sabres,3
1994,Ron Asselstine,Philadelphia Flyers,4
1994,Rob Shick,Buffalo Sabres,1
1994,Rob Shick,Philadelphia Flyers,3
1994,Ron Asselstine,Buffalo Sabres,1
1994,Ron Asselstine,Philadelphia Flyers,3
1994,Don Koharski,Buffalo Sabres,3
1994,Don Koharski,Philadelphia Flyers,1
1994,Shayne Heyer,Buffalo Sabres,3
1994,Shayne Heyer,Philadelphia Flyers,1
1994,Paul Stewart,Buffalo Sabres,2
1994,Paul Stewart,Philadelphia Flyers,4
1994,Shayne Heyer,Buffalo Sabres,2
1994,Shayne Heyer,Philadelphia Flyers,4
1994,Andy van Hellemond,Buffalo Sabres,4
1994,Andy van Hellemond,Philadelphia Flyers,6
1994,Swede Knox,Buffalo Sabres,4
1994,Swede Knox,Philadelphia Flyers,6
1994,Andy van Hellemond,Pittsburgh Penguins,4
1994,Andy van Hellemond,Washington Capitals,5
1994,Shane Heyer,Pittsburgh Penguins,4
1994,Shane Heyer,Washington Capitals,5
1994,Bill McCreary,Pittsburgh Penguins,5
1994,Bill McCreary,Washington Capitals,3
1994,Shane Heyer,Pittsburgh Penguins,5
1994,Shane Heyer,Washington Capitals,3
1994,Brian Murphy,Pittsburgh Penguins,2
1994,Brian Murphy,Washington Capitals,6
1994,Terry Gregson,Pittsburgh Penguins,2
1994,Terry Gregson,Washington Capitals,6
1994,Brian Murphy,Pittsburgh Penguins,2
1994,Brian Murphy,Washington Capitals,6
1994,Kerry Fraser,Pittsburgh Penguins,2
1994,Kerry Fraser,Washington Capitals,6
1994,Mike McGeough,Pittsburgh Penguins,6
1994,Mike McGeough,Washington Capitals,5
1994,Wayne Bonney,Pittsburgh Penguins,6
1994,Wayne Bonney,Washington Capitals,5
1994,Paul Stewart,Pittsburgh Penguins,7
1994,Paul Stewart,Washington Capitals,1
1994,Wayne Bonney,Pittsburgh Penguins,7
1994,Wayne Bonney,Washington Capitals,1
1994,Don Koharski,Pittsburgh Penguins,3
1994,Don Koharski,Washington Capitals,0
1994,Ray Scapinello,Pittsburgh Penguins,3
1994,Ray Scapinello,Washington Capitals,0
1994,Terry Gregson,Boston Bruins,0
1994,Terry Gregson,New Jersey Devils,5
1994,Wayne Bonney,Boston Bruins,0
1994,Wayne Bonney,New Jersey Devils,5
1994,Don Koharski,Boston Bruins,0
1994,Don Koharski,New Jersey Devils,3
1994,Jay Sharrers,Boston Bruins,0
1994,Jay Sharrers,New Jersey Devils,3
1994,Andy van Hellemond,Boston Bruins,3
1994,Andy van Hellemond,New Jersey Devils,2
1994,Swede Knox,Boston Bruins,3
1994,Swede Knox,New Jersey Devils,2
1994,Mike McGeough,Boston Bruins,0
1994,Mike McGeough,New Jersey Devils,1
1994,Swede Knox,Boston Bruins,0
1994,Swede Knox,New Jersey Devils,1
1994,Bill McCreary,Boston Bruins,2
1994,Bill McCreary,New Jersey Devils,3
1994,Gerard Gauthier,Boston Bruins,2
1994,Gerard Gauthier,New Jersey Devils,3
1994,B. Hodges,Dallas Stars,3
1994,B. Hodges,Detroit Red Wings,4
1994,K. Fraser,Dallas Stars,3
1994,K. Fraser,Detroit Red Wings,4
1994,M. McGeough,Dallas Stars,1
1994,M. McGeough,Detroit Red Wings,4
1994,M. Wheler,Dallas Stars,1
1994,M. Wheler,Detroit Red Wings,4
1994,Collins,Dallas Stars,1
1994,Collins,Detroit Red Wings,5
1994,Marouelli,Dallas Stars,1
1994,Marouelli,Detroit Red Wings,5
1994,Collins,Dallas Stars,4
1994,Collins,Detroit Red Wings,1
1994,Gregson,Dallas Stars,4
1994,Gregson,Detroit Red Wings,1
1994,M. Faucette,Dallas Stars,1
1994,M. Faucette,Detroit Red Wings,3
1994,R. Scapinello,Dallas Stars,1
1994,R. Scapinello,Detroit Red Wings,3
1994,Dan Marouelli,Calgary Flames,4
1994,Dan Marouelli,San Jose Sharks,5
1994,Gerard Gauthier,Calgary Flames,4
1994,Gerard Gauthier,San Jose Sharks,5
1994,Gerard Gauthier,Calgary Flames,4
1994,Gerard Gauthier,San Jose Sharks,5
1994,Paul Devorski,Calgary Flames,4
1994,Paul Devorski,San Jose Sharks,5
1994,Faucette,Calgary Flames,9
1994,Faucette,San Jose Sharks,2
1994,Ron Asselstine,Calgary Flames,9
1994,Ron Asselstine,San Jose Sharks,2
1994,Ron Asselstine,Calgary Flames,6
1994,Ron Asselstine,San Jose Sharks,4
1994,Shick,Calgary Flames,6
1994,Shick,San Jose Sharks,4
1994,Don Koharski,Calgary Flames,5
1994,Don Koharski,San Jose Sharks,0
1994,Pat Dapuzzo,Calgary Flames,5
1994,Pat Dapuzzo,San Jose Sharks,0
1994,Gordon Broseker,Calgary Flames,3
1994,Gordon Broseker,San Jose Sharks,5
1994,Van Hellemond,Calgary Flames,3
1994,Van Hellemond,San Jose Sharks,5
1994,Kerry Fraser,Calgary Flames,4
1994,Kerry Fraser,San Jose Sharks,5
1994,Wayne Bonney,Calgary Flames,4
1994,Wayne Bonney,San Jose Sharks,5
1994,Jean Morin,St. Louis Blues,2
1994,Jean Morin,Vancouver Canucks,1
1994,Paul Stewart,St. Louis Blues,2
1994,Paul Stewart,Vancouver Canucks,1
1994,Jean Morin,St. Louis Blues,3
1994,Jean Morin,Vancouver Canucks,5
1994,Kerry Fraser,St. Louis Blues,3
1994,Kerry Fraser,Vancouver Canucks,5
1994,Gordon Broseker,St. Louis Blues,1
1994,Gordon Broseker,Vancouver Canucks,6
1994,Rob Shick,St. Louis Blues,1
1994,Rob Shick,Vancouver Canucks,6
1994,Gordon Broseker,St. Louis Blues,5
1994,Gordon Broseker,Vancouver Canucks,2
1994,Paul Devorski,St. Louis Blues,5
1994,Paul Devorski,Vancouver Canucks,2
1994,Brian Murphy,St. Louis Blues,5
1994,Brian Murphy,Vancouver Canucks,6
1994,Terry Gregson,St. Louis Blues,5
1994,Terry Gregson,Vancouver Canucks,6
1994,Bill Mcreary,St. Louis Blues,8
1994,Bill Mcreary,Vancouver Canucks,2
1994,Leon Stickle,St. Louis Blues,8
1994,Leon Stickle,Vancouver Canucks,2
1994,Andy van Hellemond,St. Louis Blues,3
1994,Andy van Hellemond,Vancouver Canucks,5
1994,Gerard Gauthier,St. Louis Blues,3
1994,Gerard Gauthier,Vancouver Canucks,5
1994,Brian Murphy,Chicago Blackhawks,3
1994,Brian Murphy,Toronto Maple Leafs,5
1994,Paul Devorski,Chicago Blackhawks,3
1994,Paul Devorski,Toronto Maple Leafs,5
1994,Brian Murphy,Chicago Blackhawks,0
1994,Brian Murphy,Toronto Maple Leafs,3
1994,Paul Stewart,Chicago Blackhawks,0
1994,Paul Stewart,Toronto Maple Leafs,3
1994,Bob Hodges,Chicago Blackhawks,3
1994,Bob Hodges,Toronto Maple Leafs,2
1994,Don Koharski,Chicago Blackhawks,3
1994,Don Koharski,Toronto Maple Leafs,2
1994,Dan Marouelli,Chicago Blackhawks,3
1994,Dan Marouelli,Toronto Maple Leafs,1
1994,Mark Wheler,Chicago Blackhawks,3
1994,Mark Wheler,Toronto Maple Leafs,1
1994,Kevin Collins,Chicago Blackhawks,4
1994,Kevin Collins,Toronto Maple Leafs,2
1994,Rob Shick,Chicago Blackhawks,4
1994,Rob Shick,Toronto Maple Leafs,2
1994,Kevin Collins,Chicago Blackhawks,4
1994,Kevin Collins,Toronto Maple Leafs,5
1994,Terry Gregson,Chicago Blackhawks,4
1994,Terry Gregson,Toronto Maple Leafs,5
1994,Bill McCreary,Chicago Blackhawks,5
1994,Bill McCreary,Toronto Maple Leafs,2
1994,Gordon Broseker,Chicago Blackhawks,5
1994,Gordon Broseker,Toronto Maple Leafs,2
1994,Don Koharski,New York Rangers,4
1994,Don Koharski,Philadelphia Flyers,5
1994,Wayne Bonney,New York Rangers,4
1994,Wayne Bonney,Philadelphia Flyers,5
1994,Bill McCreary,New York Rangers,3
1994,Bill McCreary,Philadelphia Flyers,4
1994,Wayne Bonney,New York Rangers,3
1994,Wayne Bonney,Philadelphia Flyers,4
1994,Ray Scapinello,New York Rangers,2
1994,Ray Scapinello,Philadelphia Flyers,5
1994,Terry Gregson,New York Rangers,2
1994,Terry Gregson,Philadelphia Flyers,5
1994,Andy van Hellemond,New York Rangers,1
1994,Andy van Hellemond,Philadelphia Flyers,4
1994,Ray Scapinello,New York Rangers,1
1994,Ray Scapinello,Philadelphia Flyers,4
1994,Shane Heyer,New Jersey Devils,2
1994,Shane Heyer,Pittsburgh Penguins,3
1994,Terry Gregson,New Jersey Devils,2
1994,Terry Gregson,Pittsburgh Penguins,3
1994,Andy van Hellemond,New Jersey Devils,4
1994,Andy van Hellemond,Pittsburgh Penguins,2
1994,Shane Heyer,New Jersey Devils,4
1994,Shane Heyer,Pittsburgh Penguins,2
1994,Kerry Fraser,New Jersey Devils,5
1994,Kerry Fraser,Pittsburgh Penguins,1
1994,Wayne Bonney,New Jersey Devils,5
1994,Wayne Bonney,Pittsburgh Penguins,1
1994,Bill McCreary,New Jersey Devils,2
1994,Bill McCreary,Pittsburgh Penguins,1
1994,Gordon Broseker,New Jersey Devils,2
1994,Gordon Broseker,Pittsburgh Penguins,1
1994,Dan Marouelli,New Jersey Devils,4
1994,Dan Marouelli,Pittsburgh Penguins,1
1994,Gordon Broseker,New Jersey Devils,4
1994,Gordon Broseker,Pittsburgh Penguins,1
1994,Fraser,Detroit Red Wings,6
1994,Fraser,San Jose Sharks,0
1994,Gordon Broseker,Detroit Red Wings,6
1994,Gordon Broseker,San Jose Sharks,0
1994,16. Shick,Detroit Red Wings,6
1994,16. Shick,San Jose Sharks,2
1994,Gordon Broseker,Detroit Red Wings,6
1994,Gordon Broseker,San Jose Sharks,2
1994,Gauthier,Detroit Red Wings,6
1994,Gauthier,San Jose Sharks,2
1994,Marouelli,Detroit Red Wings,6
1994,Marouelli,San Jose Sharks,2
1994,Gauthier,Detroit Red Wings,6
1994,Gauthier,San Jose Sharks,2
1994,Koharski,Detroit Red Wings,6
1994,Koharski,San Jose Sharks,2
1994,Dan Marouelli,Chicago Blackhawks,2
1994,Dan Marouelli,Vancouver Canucks,1
1994,Gerard Gauthier,Chicago Blackhawks,2
1994,Gerard Gauthier,Vancouver Canucks,1
1994,Gerard Gauthier,Chicago Blackhawks,2
1994,Gerard Gauthier,Vancouver Canucks,0
1994,Paul Stewart,Chicago Blackhawks,2
1994,Paul Stewart,Vancouver Canucks,0
1994,Don Koharski,Chicago Blackhawks,3
1994,Don Koharski,Vancouver Canucks,2
1994,Kevin Collins,Chicago Blackhawks,3
1994,Kevin Collins,Vancouver Canucks,2
1994,Kevin Collins,Chicago Blackhawks,4
1994,Kevin Collins,Vancouver Canucks,3
1994,Rob Shick,Chicago Blackhawks,4
1994,Rob Shick,Vancouver Canucks,3
1994,Bill McCreary,New Jersey Devils,4
1994,Bill McCreary,Philadelphia Flyers,1
1994,Wayne Bonney,New Jersey Devils,4
1994,Wayne Bonney,Philadelphia Flyers,1
1994,Andy van Hellemond,New Jersey Devils,5
1994,Andy van Hellemond,Philadelphia Flyers,2
1994,Wayne Bonney,New Jersey Devils,5
1994,Wayne Bonney,Philadelphia Flyers,2
1994,Kerry Fraser,New Jersey Devils,2
1994,Kerry Fraser,Philadelphia Flyers,3
1994,Kevin Collins,New Jersey Devils,2
1994,Kevin Collins,Philadelphia Flyers,3
1994,Kevin Collins,New Jersey Devils,2
1994,Kevin Collins,Philadelphia Flyers,4
1994,Terry Gregson,New Jersey Devils,2
1994,Terry Gregson,Philadelphia Flyers,4
1994,Dan Marouelli,New Jersey Devils,3
1994,Dan Marouelli,Philadelphia Flyers,2
1994,Gordon Broseker,New Jersey Devils,3
1994,Gordon Broseker,Philadelphia Flyers,2
1994,Don Koharski,New Jersey Devils,4
1994,Don Koharski,Philadelphia Flyers,2
1994,Ray Scapinello,New Jersey Devils,4
1994,Ray Scapinello,Philadelphia Flyers,2
1994,Gordon Broseker,Chicago Blackhawks,1
1994,Gordon Broseker,Detroit Red Wings,2
1994,Gregson,Chicago Blackhawks,1
1994,Gregson,Detroit Red Wings,2
1994,Gordon Broseker,Chicago Blackhawks,2
1994,Gordon Broseker,Detroit Red Wings,3
1994,Marouelli,Chicago Blackhawks,2
1994,Marouelli,Detroit Red Wings,3
1994,Don Koharski,Chicago Blackhawks,3
1994,Don Koharski,Detroit Red Wings,4
1994,Pat Dapuzzo,Chicago Blackhawks,3
1994,Pat Dapuzzo,Detroit Red Wings,4
1994,Bill McCreary,Chicago Blackhawks,5
1994,Bill McCreary,Detroit Red Wings,2
1994,Pat Dapuzzo,Chicago Blackhawks,5
1994,Pat Dapuzzo,Detroit Red Wings,2
1994,Schachte,Chicago Blackhawks,1
1994,Schachte,Detroit Red Wings,2
1994,Van Hellemond,Chicago Blackhawks,1
1994,Van Hellemond,Detroit Red Wings,2
1994,McCreary,Detroit Red Wings,1
1994,McCreary,New Jersey Devils,2
1994,Murphy,Detroit Red Wings,1
1994,Murphy,New Jersey Devils,2
1994,R. Scapinello,Detroit Red Wings,2
1994,R. Scapinello,New Jersey Devils,4
1994,T. Gregson,Detroit Red Wings,2
1994,T. Gregson,New Jersey Devils,4
1994,Kerry Fraser,Detroit Red Wings,2
1994,Kerry Fraser,New Jersey Devils,5
1994,Kevin Collins,Detroit Red Wings,2
1994,Kevin Collins,New Jersey Devils,5
1994,Bill McCreary,Detroit Red Wings,2
1994,Bill McCreary,New Jersey Devils,5
1994,Wayne Bonney,Detroit Red Wings,2
1994,Wayne Bonney,New Jersey Devils,5
1995,Brad Lazarowich,Philadelphia Flyers,7
1995,Brad Lazarowich,Tampa Bay Lightning,3
1995,Don Koharski,Philadelphia Flyers,7
1995,Don Koharski,Tampa Bay Lightning,3
1995,Brad Lazarowich,Philadelphia Flyers,1
1995,Brad Lazarowich,Tampa Bay Lightning,2
1995,Paul Devorski,Philadelphia Flyers,1
1995,Paul Devorski,Tampa Bay Lightning,2
1995,Rob Shick,Philadelphia Flyers,4
1995,Rob Shick,Tampa Bay Lightning,5
1995,Wayne Bonney,Philadelphia Flyers,4
1995,Wayne Bonney,Tampa Bay Lightning,5
1995,Mick McGeough,Philadelphia Flyers,4
1995,Mick McGeough,Tampa Bay Lightning,1
1995,Wayne Bonney,Philadelphia Flyers,4
1995,Wayne Bonney,Tampa Bay Lightning,1
1995,Bill McCreary,Philadelphia Flyers,4
1995,Bill McCreary,Tampa Bay Lightning,1
1995,Kevin Collins,Philadelphia Flyers,4
1995,Kevin Collins,Tampa Bay Lightning,1
1995,Andy van Hellemond,Philadelphia Flyers,6
1995,Andy van Hellemond,Tampa Bay Lightning,1
1995,Kevin Collins,Philadelphia Flyers,6
1995,Kevin Collins,Tampa Bay Lightning,1
1995,Don Koharski,Pittsburgh Penguins,4
1995,Don Koharski,Washington Capitals,6
1995,Shane Heyer,Pittsburgh Penguins,4
1995,Shane Heyer,Washington Capitals,6
1995,Mark Faucette,Pittsburgh Penguins,3
1995,Mark Faucette,Washington Capitals,5
1995,Shane Heyer,Pittsburgh Penguins,3
1995,Shane Heyer,Washington Capitals,5
1995,Bill McCreary,Pittsburgh Penguins,4
1995,Bill McCreary,Washington Capitals,1
1995,Bob Hodges,Pittsburgh Penguins,4
1995,Bob Hodges,Washington Capitals,1
1995,Gauthier,Pittsburgh Penguins,3
1995,Gauthier,Washington Capitals,2
1995,Marouelli,Pittsburgh Penguins,3
1995,Marouelli,Washington Capitals,2
1995,Gerard Gauthier,Pittsburgh Penguins,4
1995,Gerard Gauthier,Washington Capitals,1
1995,Kerry Fraser,Pittsburgh Penguins,4
1995,Kerry Fraser,Washington Capitals,1
1995,Gordon Broseker,Pittsburgh Penguins,3
1995,Gordon Broseker,Washington Capitals,2
1995,Terry Gregson,Pittsburgh Penguins,3
1995,Terry Gregson,Washington Capitals,2
1995,Bob Hodges,Montréal Canadiens,3
1995,Bob Hodges,New York Rangers,2
1995,Mark Faucette,Montréal Canadiens,3
1995,Mark Faucette,New York Rangers,2
1995,Bob Hodges,Montréal Canadiens,5
1995,Bob Hodges,New York Rangers,3
1995,Mike McGeough,Montréal Canadiens,5
1995,Mike McGeough,New York Rangers,3
1995,Gregson,Montréal Canadiens,1
1995,Gregson,New York Rangers,2
1995,Mitton,Montréal Canadiens,1
1995,Mitton,New York Rangers,2
1995,Mitton,Montréal Canadiens,3
1995,Mitton,New York Rangers,4
1995,Stewart,Montréal Canadiens,3
1995,Stewart,New York Rangers,4
1995,Gordon Broseker,Montréal Canadiens,2
1995,Gordon Broseker,New York Rangers,3
1995,Rob Shick,Montréal Canadiens,2
1995,Rob Shick,New York Rangers,3
1995,Koharski,Montréal Canadiens,3
1995,Koharski,New York Rangers,5
1995,Wheler,Montréal Canadiens,3
1995,Wheler,New York Rangers,5
1995,Terry Gregson,Boston Bruins,3
1995,Terry Gregson,Florida Panthers,6
1995,Wayne Bonney,Boston Bruins,3
1995,Wayne Bonney,Florida Panthers,6
1995,Rob Shick,Boston Bruins,2
1995,Rob Shick,Florida Panthers,6
1995,Wayne Bonney,Boston Bruins,2
1995,Wayne Bonney,Florida Panthers,6
1995,Bob Hodges,Boston Bruins,2
1995,Bob Hodges,Florida Panthers,4
1995,Kerry Fraser,Boston Bruins,2
1995,Kerry Fraser,Florida Panthers,4
1995,Andy van Hellemond,Boston Bruins,6
1995,Andy van Hellemond,Florida Panthers,2
1995,Pierre Champoux,Boston Bruins,6
1995,Pierre Champoux,Florida Panthers,2
1995,Greg Devorski,Boston Bruins,3
1995,Greg Devorski,Florida Panthers,4
1995,Paul Devorski,Boston Bruins,3
1995,Paul Devorski,Florida Panthers,4
1995,Scapinello,Detroit Red Wings,4
1995,Scapinello,Winnipeg Jets (1979),1
1995,Vanhellemond,Detroit Red Wings,4
1995,Vanhellemond,Winnipeg Jets (1979),1
1995,McCreary,Detroit Red Wings,4
1995,McCreary,Winnipeg Jets (1979),0
1995,Scapinello,Detroit Red Wings,4
1995,Scapinello,Winnipeg Jets (1979),0
1995,Kevin Collins,Detroit Red Wings,1
1995,Kevin Collins,Winnipeg Jets (1979),4
1995,Mark Faucette,Detroit Red Wings,1
1995,Mark Faucette,Winnipeg Jets (1979),4
1995,Leon Stickle,Detroit Red Wings,6
1995,Leon Stickle,Winnipeg Jets (1979),1
1995,Terry Gregson,Detroit Red Wings,6
1995,Terry Gregson,Winnipeg Jets (1979),1
1995,Dan Marouelli,Detroit Red Wings,1
1995,Dan Marouelli,Winnipeg Jets (1979),3
1995,Jay Sharrers,Detroit Red Wings,1
1995,Jay Sharrers,Winnipeg Jets (1979),3
1995,Randy Mitton,Detroit Red Wings,4
1995,Randy Mitton,Winnipeg Jets (1979),1
1995,Rob Schick,Detroit Red Wings,4
1995,Rob Schick,Winnipeg Jets (1979),1
1995,Gerald Gauthier,Colorado Avalanche,5
1995,Gerald Gauthier,Vancouver Canucks,2
1995,Kerry Fraser,Colorado Avalanche,5
1995,Kerry Fraser,Vancouver Canucks,2
1995,Dan Marouelli,Colorado Avalanche,4
1995,Dan Marouelli,Vancouver Canucks,5
1995,Gerard Gauthier,Colorado Avalanche,4
1995,Gerard Gauthier,Vancouver Canucks,5
1995,Devorski,Colorado Avalanche,4
1995,Devorski,Vancouver Canucks,0
1995,Van Hellemond,Colorado Avalanche,4
1995,Van Hellemond,Vancouver Canucks,0
1995,Devorski,Colorado Avalanche,3
1995,Devorski,Vancouver Canucks,4
1995,Koharski,Colorado Avalanche,3
1995,Koharski,Vancouver Canucks,4
1995,Paul Stewart,Colorado Avalanche,5
1995,Paul Stewart,Vancouver Canucks,4
1995,Ray Scapinello,Colorado Avalanche,5
1995,Ray Scapinello,Vancouver Canucks,4
1995,Faucette,Colorado Avalanche,3
1995,Faucette,Vancouver Canucks,2
1995,Ron Asselstine,Colorado Avalanche,3
1995,Ron Asselstine,Vancouver Canucks,2
1995,Bill McCreary,Calgary Flames,1
1995,Bill McCreary,Chicago Blackhawks,4
1995,Gordon Broseker,Calgary Flames,1
1995,Gordon Broseker,Chicago Blackhawks,4
1995,Gordon Broseker,Calgary Flames,0
1995,Gordon Broseker,Chicago Blackhawks,3
1995,Kerry Fraser,Calgary Flames,0
1995,Kerry Fraser,Chicago Blackhawks,3
1995,Don Koharski,Calgary Flames,5
1995,Don Koharski,Chicago Blackhawks,7
1995,Ron Asselstine,Calgary Flames,5
1995,Ron Asselstine,Chicago Blackhawks,7
1995,Faucette,Calgary Flames,1
1995,Faucette,Chicago Blackhawks,2
1995,Ron Asselstine,Calgary Flames,1
1995,Ron Asselstine,Chicago Blackhawks,2
1995,Pat Dapuzzo,St. Louis Blues,3
1995,Pat Dapuzzo,Toronto Maple Leafs,1
1995,Rob Shick,St. Louis Blues,3
1995,Rob Shick,Toronto Maple Leafs,1
1995,Greg Devorski,St. Louis Blues,4
1995,Greg Devorski,Toronto Maple Leafs,5
1995,Paul Stewart,St. Louis Blues,4
1995,Paul Stewart,Toronto Maple Leafs,5
1995,Dan Marouelli,St. Louis Blues,3
1995,Dan Marouelli,Toronto Maple Leafs,2
1995,Gordon Broseker,St. Louis Blues,3
1995,Gordon Broseker,Toronto Maple Leafs,2
1995,Andy van Hellemond,St. Louis Blues,5
1995,Andy van Hellemond,Toronto Maple Leafs,1
1995,Gordon Broseker,St. Louis Blues,5
1995,Gordon Broseker,Toronto Maple Leafs,1
1995,Jay Sharrers,St. Louis Blues,4
1995,Jay Sharrers,Toronto Maple Leafs,5
1995,Paul Devorski,St. Louis Blues,4
1995,Paul Devorski,Toronto Maple Leafs,5
1995,Bill McCreary,St. Louis Blues,2
1995,Bill McCreary,Toronto Maple Leafs,1
1995,Bob Hodges,St. Louis Blues,2
1995,Bob Hodges,Toronto Maple Leafs,1
1995,Dan Marouelli,Florida Panthers,2
1995,Dan Marouelli,Philadelphia Flyers,0
1995,Wayne Bonney,Florida Panthers,2
1995,Wayne Bonney,Philadelphia Flyers,0
1995,Mark Faucette,Florida Panthers,2
1995,Mark Faucette,Philadelphia Flyers,3
1995,Wayne Bonney,Florida Panthers,2
1995,Wayne Bonney,Philadelphia Flyers,3
1995,Bill McCreary,Florida Panthers,1
1995,Bill McCreary,Philadelphia Flyers,3
1995,Ray Scapinello,Florida Panthers,1
1995,Ray Scapinello,Philadelphia Flyers,3
1995,Ray Scapinello,Florida Panthers,4
1995,Ray Scapinello,Philadelphia Flyers,3
1995,Rob Shick,Florida Panthers,4
1995,Rob Shick,Philadelphia Flyers,3
1995,Don Koharski,Florida Panthers,2
1995,Don Koharski,Philadelphia Flyers,1
1995,Shane Heyer,Florida Panthers,2
1995,Shane Heyer,Philadelphia Flyers,1
1995,Gordon Broseker,Florida Panthers,4
1995,Gordon Broseker,Philadelphia Flyers,1
1995,Terry Gregson,Florida Panthers,4
1995,Terry Gregson,Philadelphia Flyers,1
1995,Andy van Hellemond,New York Rangers,3
1995,Andy van Hellemond,Pittsburgh Penguins,4
1995,Kevin Collins,New York Rangers,3
1995,Kevin Collins,Pittsburgh Penguins,4
1995,Kerry Fraser,New York Rangers,6
1995,Kerry Fraser,Pittsburgh Penguins,3
1995,Kevin Collins,New York Rangers,6
1995,Kevin Collins,Pittsburgh Penguins,3
1995,Dan Marquelli,New York Rangers,2
1995,Dan Marquelli,Pittsburgh Penguins,3
1995,Shane Heyer,New York Rangers,2
1995,Shane Heyer,Pittsburgh Penguins,3
1995,Don Koharski,New York Rangers,1
1995,Don Koharski,Pittsburgh Penguins,4
1995,Shane Heyer,New York Rangers,1
1995,Shane Heyer,Pittsburgh Penguins,4
1995,Ray Scapinello,New York Rangers,3
1995,Ray Scapinello,Pittsburgh Penguins,7
1995,Rob Shick,New York Rangers,3
1995,Rob Shick,Pittsburgh Penguins,7
1995,4. Gregson,Detroit Red Wings,3
1995,4. Gregson,St. Louis Blues,2
1995,Gordon Broseker,Detroit Red Wings,3
1995,Gordon Broseker,St. Louis Blues,2
1995,7. McCreary,Detroit Red Wings,8
1995,7. McCreary,St. Louis Blues,3
1995,Gordon Broseker,Detroit Red Wings,8
1995,Gordon Broseker,St. Louis Blues,3
1995,Kerry Fraser,Detroit Red Wings,4
1995,Kerry Fraser,St. Louis Blues,5
1995,Kevin Collins,Detroit Red Wings,4
1995,Kevin Collins,St. Louis Blues,5
1995,Kevin Collins,Detroit Red Wings,0
1995,Kevin Collins,St. Louis Blues,1
1995,Mark Faucette,Detroit Red Wings,0
1995,Mark Faucette,St. Louis Blues,1
1995,Lazarowich,Detroit Red Wings,2
1995,Lazarowich,St. Louis Blues,3
1995,Van Hellemond,Detroit Red Wings,2
1995,Van Hellemond,St. Louis Blues,3
1995,Dan Marouelli,Detroit Red Wings,4
1995,Dan Marouelli,St. Louis Blues,2
1995,Ray Scapinello,Detroit Red Wings,4
1995,Ray Scapinello,St. Louis Blues,2
1995,McCreary,Detroit Red Wings,1
1995,McCreary,St. Louis Blues,0
1995,Scapinello,Detroit Red Wings,1
1995,Scapinello,St. Louis Blues,0
1995,Don Koharski,Chicago Blackhawks,3
1995,Don Koharski,Colorado Avalanche,2
1995,Shane Heyer,Chicago Blackhawks,3
1995,Shane Heyer,Colorado Avalanche,2
1995,Jay Sharrers,Chicago Blackhawks,1
1995,Jay Sharrers,Colorado Avalanche,5
1995,Rob Shick,Chicago Blackhawks,1
1995,Rob Shick,Colorado Avalanche,5
1995,Terry Gregson,Chicago Blackhawks,4
1995,Terry Gregson,Colorado Avalanche,3
1995,Wayne Bonney,Chicago Blackhawks,4
1995,Wayne Bonney,Colorado Avalanche,3
1995,Andy van Hellemond,Chicago Blackhawks,2
1995,Andy van Hellemond,Colorado Avalanche,3
1995,Gordon Broseker,Chicago Blackhawks,2
1995,Gordon Broseker,Colorado Avalanche,3
1995,Gordon Broseker,Chicago Blackhawks,1
1995,Gordon Broseker,Colorado Avalanche,4
1995,Kerry Fraser,Chicago Blackhawks,1
1995,Kerry Fraser,Colorado Avalanche,4
1995,Mark Faucette,Chicago Blackhawks,3
1995,Mark Faucette,Colorado Avalanche,4
1995,Wayne Bonney,Chicago Blackhawks,3
1995,Wayne Bonney,Colorado Avalanche,4
1995,Kerry Fraser,Florida Panthers,5
1995,Kerry Fraser,Pittsburgh Penguins,1
1995,Wayne Bonney,Florida Panthers,5
1995,Wayne Bonney,Pittsburgh Penguins,1
1995,Andy van Hellemond,Florida Panthers,2
1995,Andy van Hellemond,Pittsburgh Penguins,3
1995,Wayne Bonney,Florida Panthers,2
1995,Wayne Bonney,Pittsburgh Penguins,3
1995,Bill McCreary,Florida Panthers,5
1995,Bill McCreary,Pittsburgh Penguins,2
1995,Ray Scapinello,Florida Panthers,5
