,Ref,Score,Team
0,Bill McCreary,3,New York Islanders
1,Bill McCreary,0,Ottawa Senators
2,Marc Joannette,3,New York Islanders
3,Marc Joannette,0,Ottawa Senators
4,Michael McGeough,0,New York Islanders
5,Michael McGeough,3,Ottawa Senators
6,Paul Devorski,0,New York Islanders
7,Paul Devorski,3,Ottawa Senators
8,Chris Rooney,2,New York Islanders
9,Chris Rooney,3,Ottawa Senators
10,Kerry Fraser,2,New York Islanders
11,Kerry Fraser,3,Ottawa Senators
12,Bill McCreary,1,New York Islanders
13,Bill McCreary,3,Ottawa Senators
14,Dennis LaRue,1,New York Islanders
15,Dennis LaRue,3,Ottawa Senators
16,Dan Marouelli,1,New York Islanders
17,Dan Marouelli,4,Ottawa Senators
18,Kelly Sutherland,1,New York Islanders
19,Kelly Sutherland,4,Ottawa Senators
20,Kelly Sutherland,1,Boston Bruins
21,Kelly Sutherland,2,New Jersey Devils
22,Kerry Fraser,1,Boston Bruins
23,Kerry Fraser,2,New Jersey Devils
24,Brad Watson,2,Boston Bruins
25,Brad Watson,4,New Jersey Devils
26,Kevin Pollock,2,Boston Bruins
27,Kevin Pollock,4,New Jersey Devils
28,Bill McCreary,0,Boston Bruins
29,Bill McCreary,3,New Jersey Devils
30,Marc Joannette,0,Boston Bruins
31,Marc Joannette,3,New Jersey Devils
32,Dan O'Halloran,5,Boston Bruins
33,Dan O'Halloran,1,New Jersey Devils
34,Kerry Fraser,5,Boston Bruins
35,Kerry Fraser,1,New Jersey Devils
36,Don Koharski,0,Boston Bruins
37,Don Koharski,3,New Jersey Devils
38,Paul Devorski,0,Boston Bruins
39,Paul Devorski,3,New Jersey Devils
40,Dan O'Halloran,0,Tampa Bay Lightning
41,Dan O'Halloran,3,Washington Capitals
42,Don Van Massenhoven,0,Tampa Bay Lightning
43,Don Van Massenhoven,3,Washington Capitals
44,Kelly Sutherland,3,Tampa Bay Lightning
45,Kelly Sutherland,6,Washington Capitals
46,Kerry Fraser,3,Tampa Bay Lightning
47,Kerry Fraser,6,Washington Capitals
48,Bill McCreary,4,Tampa Bay Lightning
49,Bill McCreary,3,Washington Capitals
50,Dennis LaRue,4,Tampa Bay Lightning
51,Dennis LaRue,3,Washington Capitals
52,Paul Devorski,3,Tampa Bay Lightning
53,Paul Devorski,1,Washington Capitals
54,Tim Peel,3,Tampa Bay Lightning
55,Tim Peel,1,Washington Capitals
56,Brad Watson,2,Tampa Bay Lightning
57,Brad Watson,1,Washington Capitals
58,Dave Jackson,2,Tampa Bay Lightning
59,Dave Jackson,1,Washington Capitals
60,Paul Devorski,2,Tampa Bay Lightning
61,Paul Devorski,1,Washington Capitals
62,Rob Shick,2,Tampa Bay Lightning
63,Rob Shick,1,Washington Capitals
64,Stephane Auger,3,Philadelphia Flyers
65,Stephane Auger,5,Toronto Maple Leafs
66,Stephen Walkom,3,Philadelphia Flyers
67,Stephen Walkom,5,Toronto Maple Leafs
68,Bill McCreary,4,Philadelphia Flyers
69,Bill McCreary,1,Toronto Maple Leafs
70,Marc Joannette,4,Philadelphia Flyers
71,Marc Joannette,1,Toronto Maple Leafs
72,Kevin Pollock,3,Philadelphia Flyers
73,Kevin Pollock,4,Toronto Maple Leafs
74,Paul Devorski,3,Philadelphia Flyers
75,Paul Devorski,4,Toronto Maple Leafs
76,Don Koharski,3,Philadelphia Flyers
77,Don Koharski,2,Toronto Maple Leafs
78,Stephen Walkom,3,Philadelphia Flyers
79,Stephen Walkom,2,Toronto Maple Leafs
80,Don Koharski,4,Philadelphia Flyers
81,Don Koharski,1,Toronto Maple Leafs
82,Stephen Walkom,4,Philadelphia Flyers
83,Stephen Walkom,1,Toronto Maple Leafs
84,Dan Marouelli,1,Philadelphia Flyers
85,Dan Marouelli,2,Toronto Maple Leafs
86,Paul Devorski,1,Philadelphia Flyers
87,Paul Devorski,2,Toronto Maple Leafs
88,Dan Marouelli,6,Philadelphia Flyers
89,Dan Marouelli,1,Toronto Maple Leafs
90,Don Koharski,6,Philadelphia Flyers
91,Don Koharski,1,Toronto Maple Leafs
92,Don Koharski,1,Dallas Stars
93,Don Koharski,2,Edmonton Oilers
94,Tim Peel,1,Dallas Stars
95,Tim Peel,2,Edmonton Oilers
96,Dennis LaRue,6,Dallas Stars
97,Dennis LaRue,1,Edmonton Oilers
98,Don Van Massenhoven,6,Dallas Stars
99,Don Van Massenhoven,1,Edmonton Oilers
100,Dan Marouelli,2,Dallas Stars
101,Dan Marouelli,3,Edmonton Oilers
102,Dean Warren,2,Dallas Stars
103,Dean Warren,3,Edmonton Oilers
104,Brad Meier,3,Dallas Stars
105,Brad Meier,1,Edmonton Oilers
106,Dan Marouelli,3,Dallas Stars
107,Dan Marouelli,1,Edmonton Oilers
108,Brad Watson,5,Dallas Stars
109,Brad Watson,2,Edmonton Oilers
110,Michael McGeough,5,Dallas Stars
111,Michael McGeough,2,Edmonton Oilers
112,Kerry Fraser,3,Dallas Stars
113,Kerry Fraser,2,Edmonton Oilers
114,Kevin Pollock,3,Dallas Stars
115,Kevin Pollock,2,Edmonton Oilers
116,Brad Watson,2,Anaheim Ducks
117,Brad Watson,1,Detroit Red Wings
118,Kevin Pollock,2,Anaheim Ducks
119,Kevin Pollock,1,Detroit Red Wings
120,Eric Furlatt,3,Anaheim Ducks
121,Eric Furlatt,2,Detroit Red Wings
122,Stephen Walkom,3,Anaheim Ducks
123,Stephen Walkom,2,Detroit Red Wings
124,Brad Watson,2,Anaheim Ducks
125,Brad Watson,1,Detroit Red Wings
126,Don Van Massenhoven,2,Anaheim Ducks
127,Don Van Massenhoven,1,Detroit Red Wings
128,Dave Jackson,3,Anaheim Ducks
129,Dave Jackson,2,Detroit Red Wings
130,Rob Shick,3,Anaheim Ducks
131,Rob Shick,2,Detroit Red Wings
132,Michael McGeough,2,Colorado Avalanche
133,Michael McGeough,4,Minnesota Wild
