,Ref,Score,Team
0,Brad Watson,4,Buffalo Sabres
1,Brad Watson,1,New York Islanders
2,Wes McCauley,4,Buffalo Sabres
3,Wes McCauley,1,New York Islanders
4,Don Koharski,2,Buffalo Sabres
5,Don Koharski,3,New York Islanders
6,Marc Joannette,2,Buffalo Sabres
7,Marc Joannette,3,New York Islanders
8,Dennis LaRue,3,Buffalo Sabres
9,Dennis LaRue,2,New York Islanders
10,Kevin Pollock,3,Buffalo Sabres
11,Kevin Pollock,2,New York Islanders
12,Mike Leggo,4,Buffalo Sabres
13,Mike Leggo,2,New York Islanders
14,Rob Shick,4,Buffalo Sabres
15,Rob Shick,2,New York Islanders
16,Dan O'Halloran,4,Buffalo Sabres
17,Dan O'Halloran,3,New York Islanders
18,Mike Hasenfratz,4,Buffalo Sabres
19,Mike Hasenfratz,3,New York Islanders
20,Don Koharski,5,New Jersey Devils
21,Don Koharski,3,Tampa Bay Lightning
22,Marc Joannette,5,New Jersey Devils
23,Marc Joannette,3,Tampa Bay Lightning
24,Dennis LaRue,2,New Jersey Devils
25,Dennis LaRue,3,Tampa Bay Lightning
26,Kevin Pollock,2,New Jersey Devils
27,Kevin Pollock,3,Tampa Bay Lightning
28,Mike Leggo,2,New Jersey Devils
29,Mike Leggo,3,Tampa Bay Lightning
30,Rob Shick,2,New Jersey Devils
31,Rob Shick,3,Tampa Bay Lightning
32,Dave Jackson,4,New Jersey Devils
33,Dave Jackson,3,Tampa Bay Lightning
34,Michael McGeough,4,New Jersey Devils
35,Michael McGeough,3,Tampa Bay Lightning
36,Don VanMassenhoven,3,New Jersey Devils
37,Don VanMassenhoven,0,Tampa Bay Lightning
38,Tim Peel,3,New Jersey Devils
39,Tim Peel,0,Tampa Bay Lightning
40,Bill McCreary,3,New Jersey Devils
41,Bill McCreary,2,Tampa Bay Lightning
42,Eric Furlatt,3,New Jersey Devils
43,Eric Furlatt,2,Tampa Bay Lightning
44,Dennis LaRue,3,Atlanta Thrashers
45,Dennis LaRue,4,New York Rangers
46,Kevin Pollock,3,Atlanta Thrashers
47,Kevin Pollock,4,New York Rangers
48,Mike Leggo,1,Atlanta Thrashers
49,Mike Leggo,2,New York Rangers
50,Rob Shick,1,Atlanta Thrashers
51,Rob Shick,2,New York Rangers
52,Don VanMassenhoven,0,Atlanta Thrashers
53,Don VanMassenhoven,7,New York Rangers
54,Tim Peel,0,Atlanta Thrashers
55,Tim Peel,7,New York Rangers
56,Dan O'Halloran,2,Atlanta Thrashers
57,Dan O'Halloran,4,New York Rangers
58,Mike Hasenfratz,2,Atlanta Thrashers
59,Mike Hasenfratz,4,New York Rangers
60,Dan O'Rourke,6,Ottawa Senators
61,Dan O'Rourke,3,Pittsburgh Penguins
62,Paul Devorski,6,Ottawa Senators
63,Paul Devorski,3,Pittsburgh Penguins
64,Dave Jackson,3,Ottawa Senators
65,Dave Jackson,4,Pittsburgh Penguins
66,Michael McGeough,3,Ottawa Senators
67,Michael McGeough,4,Pittsburgh Penguins
68,Don VanMassenhoven,4,Ottawa Senators
69,Don VanMassenhoven,2,Pittsburgh Penguins
70,Tim Peel,4,Ottawa Senators
71,Tim Peel,2,Pittsburgh Penguins
72,Dan Marouelli,2,Ottawa Senators
73,Dan Marouelli,1,Pittsburgh Penguins
74,Kelly Sutherland,2,Ottawa Senators
75,Kelly Sutherland,1,Pittsburgh Penguins
76,Bill McCreary,3,Ottawa Senators
77,Bill McCreary,0,Pittsburgh Penguins
78,Eric Furlatt,3,Ottawa Senators
79,Eric Furlatt,0,Pittsburgh Penguins
80,Dave Jackson,1,Calgary Flames
81,Dave Jackson,4,Detroit Red Wings
82,Michael McGeough,1,Calgary Flames
83,Michael McGeough,4,Detroit Red Wings
84,Dan O'Rourke,1,Calgary Flames
85,Dan O'Rourke,3,Detroit Red Wings
86,Paul Devorski,1,Calgary Flames
87,Paul Devorski,3,Detroit Red Wings
88,Bill McCreary,3,Calgary Flames
89,Bill McCreary,2,Detroit Red Wings
90,Eric Furlatt,3,Calgary Flames
91,Eric Furlatt,2,Detroit Red Wings
92,Brad Watson,3,Calgary Flames
93,Brad Watson,2,Detroit Red Wings
94,Wes McCauley,3,Calgary Flames
95,Wes McCauley,2,Detroit Red Wings
