code,away_outcome,away_score,away_team,home_outcome,home_score,home_team,official_1,official_2
1997020786,1,2,Detroit Red Wings,0,0,Anaheim Ducks,Richard Trottier,Don Henderson
1997020787,0,2,Chicago Blackhawks,0,2,Pittsburgh Penguins,Dan O'Halloran,Jean Morin
1997020788,0,2,Colorado Avalanche,1,4,Ottawa Senators,Bill McCreary,Pierre Champoux
1997020789,0,1,Boston Bruins,0,1,New Jersey Devils,Paul Devorski,Kevin Collins
1997020790,0,2,Washington Capitals,1,3,Philadelphia Flyers,Don Koharski,Ray Scapinello
1997020791,0,0,Montréal Canadiens,1,4,St. Louis Blues,Stephen Walkom,Danny McCourt
1997020792,1,6,Calgary Flames,0,2,Vancouver Canucks,Terry Gregson,Baron Parker
1997020793,0,4,Detroit Red Wings,1,5,San Jose Sharks,Dave Jackson,Shane Heyer
1997020794,1,2,Carolina Hurricanes,0,1,Los Angeles Kings,Richard Trottier,Don Henderson
1997020795,1,4,New York Islanders,0,2,Buffalo Sabres,Mike Leggo,Mark Pare
1997020796,1,5,Carolina Hurricanes,0,4,Phoenix Coyotes,Kerry Fraser,Wayne Bonney
1997020797,1,3,San Jose Sharks,0,0,Anaheim Ducks,Don Van Massenhoven,Mark Wheler
1997020798,1,2,Chicago Blackhawks,0,1,Boston Bruins,Lance Roberts,Brian Murphy
1997020799,0,4,Philadelphia Flyers,1,6,Pittsburgh Penguins,Bill McCreary,Jean Morin
1997020800,0,1,Calgary Flames,1,2,Ottawa Senators,Don Koharski,Gordon Broseker
1997020801,1,2,Buffalo Sabres,0,1,Montréal Canadiens,Michael McGeough,Mark Pare
1997020802,1,4,Colorado Avalanche,0,2,New York Islanders,Stephen Walkom,Kevin Collins
1997020803,0,3,New York Rangers,1,6,New Jersey Devils,Paul Stewart,Pat Dapuzzo
1997020804,0,3,Florida Panthers,1,6,Washington Capitals,Paul Devorski,Ray Scapinello
1997020805,0,1,Edmonton Oilers,1,4,Toronto Maple Leafs,Dan Marouelli,Scott Driscoll
1997020806,0,1,Dallas Stars,1,2,St. Louis Blues,Dennis Larue,Danny McCourt
1997020807,0,2,Tampa Bay Lightning,1,5,Vancouver Canucks,Dave Jackson,Swede Knox
1997020808,0,1,Detroit Red Wings,1,2,Los Angeles Kings,Robbie Shick,Shane Heyer
1997020809,0,3,Pittsburgh Penguins,1,4,Philadelphia Flyers,Michael McGeough,Jean Morin
1997020810,0,1,Phoenix Coyotes,0,1,Dallas Stars,Terry Gregson,Thor Nelson
1997020811,1,3,Carolina Hurricanes,0,1,Anaheim Ducks,Kerry Fraser,Mark Wheler
1997020812,0,1,Florida Panthers,1,6,Montréal Canadiens,Don Koharski,Mark Pare
1997020813,0,2,New Jersey Devils,0,2,New York Rangers,Stephen Walkom,Scott Driscoll
1997020814,0,2,Calgary Flames,1,5,Washington Capitals,Lance Roberts,Gordon Broseker
1997020815,1,4,Edmonton Oilers,0,3,Chicago Blackhawks,Dave Jackson,Wayne Bonney
1997020816,1,2,Tampa Bay Lightning,0,1,Colorado Avalanche,Dennis Larue,Thor Nelson
1997020817,1,4,St. Louis Blues,0,0,Vancouver Canucks,Don Van Massenhoven,Swede Knox
1997020818,0,2,Toronto Maple Leafs,1,3,San Jose Sharks,Terry Gregson,Baron Parker
1997020819,0,3,Anaheim Ducks,1,4,Los Angeles Kings,Kerry Fraser,Mark Wheler
1997020820,0,2,Buffalo Sabres,0,2,New York Islanders,Richard Trottier,Scott Driscoll
1997020821,0,2,New Jersey Devils,0,2,Philadelphia Flyers,Paul Devorski,Pat Dapuzzo
1997020822,1,6,Boston Bruins,0,3,Detroit Red Wings,Michael McGeough,Wayne Bonney
1997020823,1,4,Los Angeles Kings,0,3,Phoenix Coyotes,Kevin Maguire,Swede Knox
1997020824,0,1,Calgary Flames,1,4,Pittsburgh Penguins,Stephen Walkom,Danny McCourt
1997020825,0,3,Florida Panthers,1,5,Ottawa Senators,Paul Stewart,Gerry Gauthier
1997020826,0,2,Vancouver Canucks,0,2,Montréal Canadiens,Dan Marouelli,Jean Morin
1997020827,0,3,San Jose Sharks,1,5,New York Rangers,Don Koharski,Pierre Champoux
1997020828,1,2,Edmonton Oilers,0,0,Tampa Bay Lightning,Lance Roberts,Brian Murphy
1997020829,0,2,St. Louis Blues,1,3,Colorado Avalanche,Kerry Fraser,Thor Nelson
1997020830,1,3,Toronto Maple Leafs,0,1,Anaheim Ducks,Robbie Shick,Baron Parker
1997020831,1,5,Calgary Flames,0,2,Boston Bruins,Paul Devorski,Kevin Collins
1997020832,1,2,New Jersey Devils,0,0,Carolina Hurricanes,Michael McGeough,Danny McCourt
1997020833,0,1,San Jose Sharks,1,3,Buffalo Sabres,Don Van Massenhoven,Ray Scapinello
1997020834,1,2,Washington Capitals,0,1,New York Islanders,Blaine Angus,Pierre Champoux
1997020835,0,2,Vancouver Canucks,1,3,Philadelphia Flyers,Richard Trottier,Scott Driscoll
1997020836,0,0,Chicago Blackhawks,1,3,Detroit Red Wings,Terry Gregson,Wayne Bonney
1997020837,0,4,Dallas Stars,1,5,Phoenix Coyotes,FRASER,Mitton
