code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2000020001,Dallas Stars,2,Colorado Avalanche,2,Mark Faucette,Dan O'Halloran,Dallas Stars,Colorado Avalanche
2000020002,Boston Bruins,4,Ottawa Senators,4,Bill McCreary,Paul Stewart,Boston Bruins,Ottawa Senators
2000020003,Buffalo Sabres,4,Chicago Blackhawks,2,Rob Martell,Don Van Massenhoven,Buffalo Sabres,Chicago Blackhawks
2000020004,Philadelphia Flyers,6,Vancouver Canucks,3,Kerry Fraser,Brian Murphy,Philadelphia Flyers,Vancouver Canucks
2000020005,Calgary Flames,3,Detroit Red Wings,4,Dave Jackson,Kevin Pollock,Detroit Red Wings,Calgary Flames
2000020006,Phoenix Coyotes,4,St. Louis Blues,1,Rob Shick,Brad Watson,Phoenix Coyotes,St. Louis Blues
2000020007,New Jersey Devils,8,Montréal Canadiens,4,Dan Marouelli,Richard Trottier,New Jersey Devils,Montréal Canadiens
2000020008,Washington Capitals,1,Los Angeles Kings,4,Paul Devorski,Tom Kowal,Los Angeles Kings,Washington Capitals
2000020009,Tampa Bay Lightning,3,New York Islanders,3,Mark Faucette,Conrad Hache,Tampa Bay Lightning,New York Islanders
2000020010,Florida Panthers,3,Vancouver Canucks,4,Blaine Angus,Stephen Walkom,Vancouver Canucks,Florida Panthers
2000020011,Edmonton Oilers,2,Detroit Red Wings,1,Dave Jackson,Brad Meier,Edmonton Oilers,Detroit Red Wings
2000020012,Anaheim Ducks,3,Minnesota Wild,1,Shane Heyer,Brad Watson,Anaheim Ducks,Minnesota Wild
2000020013,San Jose Sharks,1,St. Louis Blues,4,Michael McGeough,Scott Zelkin,St. Louis Blues,San Jose Sharks
2000020014,Buffalo Sabres,5,Los Angeles Kings,3,Kerry Fraser,Kevin Maguire,Buffalo Sabres,Los Angeles Kings
2000020015,Toronto Maple Leafs,2,Montréal Canadiens,0,Bill McCreary,Lance Roberts,Toronto Maple Leafs,Montréal Canadiens
2000020016,Ottawa Senators,3,Dallas Stars,1,Bernard Degrace,Terry Gregson,Ottawa Senators,Dallas Stars
2000020017,Philadelphia Flyers,1,Boston Bruins,5,Dan Marouelli,Richard Trottier,Boston Bruins,Philadelphia Flyers
2000020018,Pittsburgh Penguins,1,Nashville Predators,3,LARUE,LEGGO,Nashville Predators,Pittsburgh Penguins
2000020019,Carolina Hurricanes,3,Washington Capitals,3,Stephen Walkom,Dean Warren,Carolina Hurricanes,Washington Capitals
2000020020,Atlanta Thrashers,1,New York Rangers,2,Conrad Hache,Dan O'Halloran,New York Rangers,Atlanta Thrashers
2000020021,Columbus Blue Jackets,3,Chicago Blackhawks,5,Greg Kimmerly,Tim Peel,Chicago Blackhawks,Columbus Blue Jackets
