,Ref,Score,Team
0,Gord Dwyer,2,Montréal Canadiens
1,Gord Dwyer,3,Toronto Maple Leafs
2,Paul Devorski,2,Montréal Canadiens
3,Paul Devorski,3,Toronto Maple Leafs
4,Francois StLaurent,3,Philadelphia Flyers
5,Francois StLaurent,2,Pittsburgh Penguins
6,Stephen Walkom,3,Philadelphia Flyers
7,Stephen Walkom,2,Pittsburgh Penguins
8,Rob Martell,4,Carolina Hurricanes
9,Rob Martell,3,Minnesota Wild
10,Tim Peel,4,Carolina Hurricanes
11,Tim Peel,3,Minnesota Wild
12,Brian Pochmara,3,Chicago Blackhawks
13,Brian Pochmara,4,Colorado Avalanche
14,Chris Lee,3,Chicago Blackhawks
15,Chris Lee,4,Colorado Avalanche
16,Ian Walsh,0,Calgary Flames
17,Ian Walsh,4,Edmonton Oilers
18,Kelly Sutherland,0,Calgary Flames
19,Kelly Sutherland,4,Edmonton Oilers
20,Eric Furlatt,2,Columbus Blue Jackets
21,Eric Furlatt,3,San Jose Sharks
22,Stephane Auger,2,Columbus Blue Jackets
23,Stephane Auger,3,San Jose Sharks
24,Don VanMassenhoven,4,Dallas Stars
25,Don VanMassenhoven,3,New Jersey Devils
26,Marc Joannette,4,Dallas Stars
27,Marc Joannette,3,New Jersey Devils
28,Rob Martell,1,Carolina Hurricanes
29,Rob Martell,1,Minnesota Wild
30,Tim Peel,1,Carolina Hurricanes
31,Tim Peel,1,Minnesota Wild
32,Kyle Rehman,0,Anaheim Ducks
33,Kyle Rehman,4,Detroit Red Wings
34,Stephen Walkom,0,Anaheim Ducks
35,Stephen Walkom,4,Detroit Red Wings
36,Dan O'Halloran,2,Buffalo Sabres
37,Dan O'Halloran,1,Ottawa Senators
38,Frederick L'Ecuyer,2,Buffalo Sabres
39,Frederick L'Ecuyer,1,Ottawa Senators
40,Chris Rooney,4,Atlanta Thrashers
41,Chris Rooney,2,Washington Capitals
42,Wes McCauley,4,Atlanta Thrashers
43,Wes McCauley,2,Washington Capitals
44,Brad Meier,2,Boston Bruins
45,Brad Meier,5,Phoenix Coyotes
46,Mike Leggo,2,Boston Bruins
47,Mike Leggo,5,Phoenix Coyotes
48,Greg Kimmerly,3,Buffalo Sabres
49,Greg Kimmerly,6,New York Rangers
50,Kevin Pollock,3,Buffalo Sabres
51,Kevin Pollock,6,New York Rangers
52,Bill McCreary,1,Ottawa Senators
53,Bill McCreary,5,Toronto Maple Leafs
54,Justin StPierre,1,Ottawa Senators
55,Justin StPierre,5,Toronto Maple Leafs
56,Dan O'Rourke,4,Dallas Stars
57,Dan O'Rourke,4,New York Islanders
58,Frederick L'Ecuyer,4,Dallas Stars
59,Frederick L'Ecuyer,4,New York Islanders
60,Dennis LaRue,3,Montréal Canadiens
61,Dennis LaRue,2,Pittsburgh Penguins
62,Kyle Rehman,3,Montréal Canadiens
63,Kyle Rehman,2,Pittsburgh Penguins
64,Dan O'Halloran,2,New Jersey Devils
65,Dan O'Halloran,7,Washington Capitals
66,Dean Morton,2,New Jersey Devils
67,Dean Morton,7,Washington Capitals
68,Chris Rooney,3,Atlanta Thrashers
69,Chris Rooney,5,Tampa Bay Lightning
70,Francois StLaurent,3,Atlanta Thrashers
71,Francois StLaurent,5,Tampa Bay Lightning
72,Brian Pochmara,1,Philadelphia Flyers
73,Brian Pochmara,2,St. Louis Blues
74,Chris Lee,1,Philadelphia Flyers
75,Chris Lee,2,St. Louis Blues
76,Dave Jackson,1,Anaheim Ducks
77,Dave Jackson,4,Nashville Predators
78,Wes McCauley,1,Anaheim Ducks
79,Wes McCauley,4,Nashville Predators
80,Gord Dwyer,2,Chicago Blackhawks
81,Gord Dwyer,3,Detroit Red Wings
82,Paul Devorski,2,Chicago Blackhawks
83,Paul Devorski,3,Detroit Red Wings
84,Eric Furlatt,3,Columbus Blue Jackets
85,Eric Furlatt,2,San Jose Sharks
86,Stephane Auger,3,Columbus Blue Jackets
87,Stephane Auger,2,San Jose Sharks
88,Ian Walsh,1,Los Angeles Kings
89,Ian Walsh,1,Vancouver Canucks
90,Kelly Sutherland,1,Los Angeles Kings
91,Kelly Sutherland,1,Vancouver Canucks
92,Brad Meier,3,Boston Bruins
93,Brad Meier,0,Phoenix Coyotes
94,Mike Leggo,3,Boston Bruins
95,Mike Leggo,0,Phoenix Coyotes
96,Kelly Sutherland,3,Calgary Flames
97,Kelly Sutherland,1,Los Angeles Kings
98,Tom Kowal,3,Calgary Flames
99,Tom Kowal,1,Los Angeles Kings
100,Brad Watson,3,Edmonton Oilers
101,Brad Watson,2,Florida Panthers
102,Ian Walsh,3,Edmonton Oilers
103,Ian Walsh,2,Florida Panthers
104,Chris Ciamaga,1,New Jersey Devils
105,Chris Ciamaga,3,Pittsburgh Penguins
