,Ref,Score,Team
0,Brian Pochmara,1,New York Rangers
1,Brian Pochmara,2,Washington Capitals
2,Dan O'Halloran,1,New York Rangers
3,Dan O'Halloran,2,Washington Capitals
4,Eric Furlatt,0,New York Rangers
5,Eric Furlatt,2,Washington Capitals
6,Wes McCauley,0,New York Rangers
7,Wes McCauley,2,Washington Capitals
8,Chris Rooney,3,New York Rangers
9,Chris Rooney,2,Washington Capitals
10,Tim Peel,3,New York Rangers
11,Tim Peel,2,Washington Capitals
12,Paul Devorski,3,New York Rangers
13,Paul Devorski,4,Washington Capitals
14,Steve Kozari,3,New York Rangers
15,Steve Kozari,4,Washington Capitals
16,Ian Walsh,1,New York Rangers
17,Ian Walsh,3,Washington Capitals
18,Stephen Walkom,1,New York Rangers
19,Stephen Walkom,3,Washington Capitals
20,Dennis LaRue,1,Buffalo Sabres
21,Dennis LaRue,0,Philadelphia Flyers
22,Kelly Sutherland,1,Buffalo Sabres
23,Kelly Sutherland,0,Philadelphia Flyers
24,Brad Meier,4,Buffalo Sabres
25,Brad Meier,5,Philadelphia Flyers
26,Dan O'Rourke,4,Buffalo Sabres
27,Dan O'Rourke,5,Philadelphia Flyers
28,Paul Devorski,2,Buffalo Sabres
29,Paul Devorski,4,Philadelphia Flyers
30,Steve Kozari,2,Buffalo Sabres
31,Steve Kozari,4,Philadelphia Flyers
32,Francois StLaurent,1,Buffalo Sabres
33,Francois StLaurent,0,Philadelphia Flyers
34,Marc Joannette,1,Buffalo Sabres
35,Marc Joannette,0,Philadelphia Flyers
36,Brian Pochmara,4,Buffalo Sabres
37,Brian Pochmara,3,Philadelphia Flyers
38,Dan O'Halloran,4,Buffalo Sabres
39,Dan O'Halloran,3,Philadelphia Flyers
40,Chris Lee,4,Buffalo Sabres
41,Chris Lee,5,Philadelphia Flyers
42,Kevin Pollock,4,Buffalo Sabres
43,Kevin Pollock,5,Philadelphia Flyers
44,Dan O'Rourke,2,Buffalo Sabres
45,Dan O'Rourke,5,Philadelphia Flyers
46,Stephen Walkom,2,Buffalo Sabres
47,Stephen Walkom,5,Philadelphia Flyers
48,Brad Meier,0,Boston Bruins
49,Brad Meier,2,Montréal Canadiens
50,Dan O'Rourke,0,Boston Bruins
51,Dan O'Rourke,2,Montréal Canadiens
52,Paul Devorski,1,Boston Bruins
53,Paul Devorski,3,Montréal Canadiens
54,Steve Kozari,1,Boston Bruins
55,Steve Kozari,3,Montréal Canadiens
56,Brian Pochmara,4,Boston Bruins
57,Brian Pochmara,2,Montréal Canadiens
58,Dan O'Halloran,4,Boston Bruins
59,Dan O'Halloran,2,Montréal Canadiens
60,Ian Walsh,5,Boston Bruins
61,Ian Walsh,4,Montréal Canadiens
62,Stephen Walkom,5,Boston Bruins
63,Stephen Walkom,4,Montréal Canadiens
64,Brad Watson,2,Boston Bruins
65,Brad Watson,1,Montréal Canadiens
66,Greg Kimmerly,2,Boston Bruins
67,Greg Kimmerly,1,Montréal Canadiens
68,Chris Lee,1,Boston Bruins
69,Chris Lee,2,Montréal Canadiens
70,Kevin Pollock,1,Boston Bruins
71,Kevin Pollock,2,Montréal Canadiens
72,Kelly Sutherland,4,Boston Bruins
73,Kelly Sutherland,3,Montréal Canadiens
74,Tim Peel,4,Boston Bruins
75,Tim Peel,3,Montréal Canadiens
76,Eric Furlatt,3,Pittsburgh Penguins
77,Eric Furlatt,0,Tampa Bay Lightning
78,Wes McCauley,3,Pittsburgh Penguins
79,Wes McCauley,0,Tampa Bay Lightning
80,Chris Rooney,1,Pittsburgh Penguins
81,Chris Rooney,5,Tampa Bay Lightning
82,Tim Peel,1,Pittsburgh Penguins
83,Tim Peel,5,Tampa Bay Lightning
84,Dennis LaRue,3,Pittsburgh Penguins
85,Dennis LaRue,2,Tampa Bay Lightning
86,Kelly Sutherland,3,Pittsburgh Penguins
87,Kelly Sutherland,2,Tampa Bay Lightning
88,Chris Lee,3,Pittsburgh Penguins
89,Chris Lee,2,Tampa Bay Lightning
90,Kevin Pollock,3,Pittsburgh Penguins
91,Kevin Pollock,2,Tampa Bay Lightning
92,Brad Meier,2,Pittsburgh Penguins
93,Brad Meier,8,Tampa Bay Lightning
94,Dan O'Rourke,2,Pittsburgh Penguins
95,Dan O'Rourke,8,Tampa Bay Lightning
96,Eric Furlatt,2,Pittsburgh Penguins
