,Ref,Score,Team
0,Dennis LaRue,4,Boston Bruins
1,Dennis LaRue,2,Montréal Canadiens
2,Kevin Pollock,4,Boston Bruins
3,Kevin Pollock,2,Montréal Canadiens
4,Mike Leggo,5,Boston Bruins
5,Mike Leggo,1,Montréal Canadiens
6,Tim Peel,5,Boston Bruins
7,Tim Peel,1,Montréal Canadiens
8,Ian Walsh,4,Boston Bruins
9,Ian Walsh,2,Montréal Canadiens
10,Paul Devorski,4,Boston Bruins
11,Paul Devorski,2,Montréal Canadiens
12,Dave Jackson,4,Boston Bruins
13,Dave Jackson,1,Montréal Canadiens
14,Kelly Sutherland,4,Boston Bruins
15,Kelly Sutherland,1,Montréal Canadiens
16,Mike Leggo,4,New York Rangers
17,Mike Leggo,3,Washington Capitals
18,Tim Peel,4,New York Rangers
19,Tim Peel,3,Washington Capitals
20,Eric Furlatt,1,New York Rangers
21,Eric Furlatt,0,Washington Capitals
22,Wes McCauley,1,New York Rangers
23,Wes McCauley,0,Washington Capitals
24,Dave Jackson,0,New York Rangers
25,Dave Jackson,4,Washington Capitals
26,Kelly Sutherland,0,New York Rangers
27,Kelly Sutherland,4,Washington Capitals
28,Ian Walsh,2,New York Rangers
29,Ian Walsh,1,Washington Capitals
30,Paul Devorski,2,New York Rangers
31,Paul Devorski,1,Washington Capitals
32,Don VanMassenhoven,0,New York Rangers
33,Don VanMassenhoven,4,Washington Capitals
34,Mike Hasenfratz,0,New York Rangers
35,Mike Hasenfratz,4,Washington Capitals
36,Bill McCreary,3,New York Rangers
37,Bill McCreary,5,Washington Capitals
38,Brad Meier,3,New York Rangers
39,Brad Meier,5,Washington Capitals
40,Brad Watson,1,New York Rangers
41,Brad Watson,2,Washington Capitals
42,Dan O'Halloran,1,New York Rangers
43,Dan O'Halloran,2,Washington Capitals
44,Dan O'Rourke,1,Carolina Hurricanes
45,Dan O'Rourke,4,New Jersey Devils
46,Marc Joannette,1,Carolina Hurricanes
47,Marc Joannette,4,New Jersey Devils
48,Don VanMassenhoven,2,Carolina Hurricanes
49,Don VanMassenhoven,1,New Jersey Devils
50,Mike Hasenfratz,2,Carolina Hurricanes
51,Mike Hasenfratz,1,New Jersey Devils
52,Dennis LaRue,2,Carolina Hurricanes
53,Dennis LaRue,3,New Jersey Devils
54,Kevin Pollock,2,Carolina Hurricanes
55,Kevin Pollock,3,New Jersey Devils
56,Eric Furlatt,4,Carolina Hurricanes
57,Eric Furlatt,3,New Jersey Devils
58,Wes McCauley,4,Carolina Hurricanes
59,Wes McCauley,3,New Jersey Devils
60,Bill McCreary,0,Carolina Hurricanes
61,Bill McCreary,1,New Jersey Devils
62,Brad Meier,0,Carolina Hurricanes
63,Brad Meier,1,New Jersey Devils
64,Mike Leggo,4,Carolina Hurricanes
65,Mike Leggo,0,New Jersey Devils
66,Tim Peel,4,Carolina Hurricanes
67,Tim Peel,0,New Jersey Devils
68,Kevin Pollock,4,Carolina Hurricanes
69,Kevin Pollock,3,New Jersey Devils
70,Paul Devorski,4,Carolina Hurricanes
71,Paul Devorski,3,New Jersey Devils
72,Don VanMassenhoven,1,Philadelphia Flyers
73,Don VanMassenhoven,4,Pittsburgh Penguins
74,Mike Hasenfratz,1,Philadelphia Flyers
75,Mike Hasenfratz,4,Pittsburgh Penguins
76,Bill McCreary,2,Philadelphia Flyers
77,Bill McCreary,3,Pittsburgh Penguins
78,Brad Meier,2,Philadelphia Flyers
79,Brad Meier,3,Pittsburgh Penguins
80,Dan O'Rourke,6,Philadelphia Flyers
81,Dan O'Rourke,3,Pittsburgh Penguins
82,Marc Joannette,6,Philadelphia Flyers
83,Marc Joannette,3,Pittsburgh Penguins
84,Dennis LaRue,1,Philadelphia Flyers
85,Dennis LaRue,3,Pittsburgh Penguins
86,Kevin Pollock,1,Philadelphia Flyers
87,Kevin Pollock,3,Pittsburgh Penguins
88,Eric Furlatt,3,Philadelphia Flyers
89,Eric Furlatt,0,Pittsburgh Penguins
90,Wes McCauley,3,Philadelphia Flyers
91,Wes McCauley,0,Pittsburgh Penguins
92,Brad Watson,3,Philadelphia Flyers
93,Brad Watson,5,Pittsburgh Penguins
94,Chris Rooney,3,Philadelphia Flyers
95,Chris Rooney,5,Pittsburgh Penguins
96,Dave Jackson,2,Anaheim Ducks
97,Dave Jackson,0,San Jose Sharks
98,Kelly Sutherland,2,Anaheim Ducks
99,Kelly Sutherland,0,San Jose Sharks
100,Chris Lee,3,Anaheim Ducks
101,Chris Lee,2,San Jose Sharks
102,Dan O'Halloran,3,Anaheim Ducks
103,Dan O'Halloran,2,San Jose Sharks
104,Don VanMassenhoven,3,Anaheim Ducks
105,Don VanMassenhoven,4,San Jose Sharks
106,Mike Hasenfratz,3,Anaheim Ducks
107,Mike Hasenfratz,4,San Jose Sharks
108,Brad Watson,4,Anaheim Ducks
109,Brad Watson,0,San Jose Sharks
110,Chris Rooney,4,Anaheim Ducks
111,Chris Rooney,0,San Jose Sharks
112,Dennis LaRue,2,Anaheim Ducks
113,Dennis LaRue,3,San Jose Sharks
114,Kevin Pollock,2,Anaheim Ducks
115,Kevin Pollock,3,San Jose Sharks
116,Eric Furlatt,4,Anaheim Ducks
117,Eric Furlatt,1,San Jose Sharks
118,Wes McCauley,4,Anaheim Ducks
119,Wes McCauley,1,San Jose Sharks
120,Ian Walsh,1,Columbus Blue Jackets
121,Ian Walsh,4,Detroit Red Wings
122,Paul Devorski,1,Columbus Blue Jackets
123,Paul Devorski,4,Detroit Red Wings
124,Dave Jackson,0,Columbus Blue Jackets
125,Dave Jackson,4,Detroit Red Wings
126,Kelly Sutherland,0,Columbus Blue Jackets
127,Kelly Sutherland,4,Detroit Red Wings
128,Bill McCreary,1,Columbus Blue Jackets
129,Bill McCreary,4,Detroit Red Wings
130,Brad Meier,1,Columbus Blue Jackets
131,Brad Meier,4,Detroit Red Wings
132,Chris Lee,5,Columbus Blue Jackets
133,Chris Lee,6,Detroit Red Wings
134,Dan O'Halloran,5,Columbus Blue Jackets
135,Dan O'Halloran,6,Detroit Red Wings
136,Chris Lee,1,St. Louis Blues
137,Chris Lee,2,Vancouver Canucks
138,Dan O'Halloran,1,St. Louis Blues
139,Dan O'Halloran,2,Vancouver Canucks
140,Brad Watson,0,St. Louis Blues
141,Brad Watson,3,Vancouver Canucks
142,Chris Rooney,0,St. Louis Blues
143,Chris Rooney,3,Vancouver Canucks
144,Bill McCreary,2,St. Louis Blues
145,Bill McCreary,3,Vancouver Canucks
146,Brad Meier,2,St. Louis Blues
147,Brad Meier,3,Vancouver Canucks
148,Dan O'Rourke,2,St. Louis Blues
149,Dan O'Rourke,3,Vancouver Canucks
150,Marc Joannette,2,St. Louis Blues
151,Marc Joannette,3,Vancouver Canucks
152,Eric Furlatt,2,Calgary Flames
153,Eric Furlatt,3,Chicago Blackhawks
154,Wes McCauley,2,Calgary Flames
155,Wes McCauley,3,Chicago Blackhawks
156,Ian Walsh,2,Calgary Flames
157,Ian Walsh,3,Chicago Blackhawks
158,Paul Devorski,2,Calgary Flames
159,Paul Devorski,3,Chicago Blackhawks
160,Brad Watson,4,Calgary Flames
161,Brad Watson,2,Chicago Blackhawks
162,Chris Rooney,4,Calgary Flames
163,Chris Rooney,2,Chicago Blackhawks
164,Mike Leggo,6,Calgary Flames
165,Mike Leggo,4,Chicago Blackhawks
166,Tim Peel,6,Calgary Flames
167,Tim Peel,4,Chicago Blackhawks
168,Chris Lee,1,Calgary Flames
169,Chris Lee,5,Chicago Blackhawks
170,Dan O'Halloran,1,Calgary Flames
171,Dan O'Halloran,5,Chicago Blackhawks
172,Dan O'Rourke,1,Calgary Flames
173,Dan O'Rourke,4,Chicago Blackhawks
174,Marc Joannette,1,Calgary Flames
175,Marc Joannette,4,Chicago Blackhawks
176,Dennis LaRue,4,Boston Bruins
177,Dennis LaRue,1,Carolina Hurricanes
178,Paul Devorski,4,Boston Bruins
179,Paul Devorski,1,Carolina Hurricanes
