,Ref,Score,Team
0,Bill McCreary,2,Buffalo Sabres
1,Bill McCreary,1,New York Rangers
2,Kevin Collins,2,Buffalo Sabres
3,Kevin Collins,1,New York Rangers
4,Dave Jackson,5,Pittsburgh Penguins
5,Dave Jackson,3,Tampa Bay Lightning
6,Gordon Broseker,5,Pittsburgh Penguins
7,Gordon Broseker,3,Tampa Bay Lightning
8,Faucette,1,Chicago Blackhawks
9,Faucette,4,Detroit Red Wings
10,G. Devorski,1,Chicago Blackhawks
11,G. Devorski,4,Detroit Red Wings
12,Kerry Fraser,3,Calgary Flames
13,Kerry Fraser,3,Winnipeg Jets (1979)
14,Mike Cvik,3,Calgary Flames
15,Mike Cvik,3,Winnipeg Jets (1979)
16,Andy McElman,1,Anaheim Ducks
17,Andy McElman,2,Edmonton Oilers
18,Richard Trottier,1,Anaheim Ducks
19,Richard Trottier,2,Edmonton Oilers
20,Devorsky,1,Dallas Stars
21,Devorsky,1,Vancouver Canucks
22,Wayne Bonney,1,Dallas Stars
23,Wayne Bonney,1,Vancouver Canucks
24,McCourt,2,San Jose Sharks
25,McCourt,5,St. Louis Blues
26,McGeough,2,San Jose Sharks
27,McGeough,5,St. Louis Blues
28,Don Koharski,3,Los Angeles Kings
29,Don Koharski,3,Toronto Maple Leafs
30,Ron Asselstine,3,Los Angeles Kings
31,Ron Asselstine,3,Toronto Maple Leafs
32,Paul Stewart,1,Hartford Whalers
33,Paul Stewart,1,Washington Capitals
34,Pierre Champoux,1,Hartford Whalers
35,Pierre Champoux,1,Washington Capitals
36,Don Van Massenhoven,1,Florida Panthers
37,Don Van Massenhoven,2,New York Islanders
38,Scott Driscoll,1,Florida Panthers
39,Scott Driscoll,2,New York Islanders
40,Kevin Collins,2,Montréal Canadiens
41,Kevin Collins,5,New York Rangers
42,Terry Gregson,2,Montréal Canadiens
43,Terry Gregson,5,New York Rangers
44,Brian Murphy,1,Philadelphia Flyers
45,Brian Murphy,3,Quebec Nordiques
46,D. Marouelli,1,Philadelphia Flyers
47,D. Marouelli,3,Quebec Nordiques
48,Mike Cvik,4,Anaheim Ducks
49,Mike Cvik,3,Winnipeg Jets (1979)
50,Richard Trottier,4,Anaheim Ducks
51,Richard Trottier,3,Winnipeg Jets (1979)
52,Koharski,7,St. Louis Blues
53,Koharski,1,Vancouver Canucks
54,Sharrers,7,St. Louis Blues
55,Sharrers,1,Vancouver Canucks
56,McCourt,3,San Jose Sharks
57,McCourt,2,Toronto Maple Leafs
58,Paul Devorski,3,San Jose Sharks
59,Paul Devorski,2,Toronto Maple Leafs
60,Brian Murphy,4,Boston Bruins
61,Brian Murphy,1,Philadelphia Flyers
62,Dan Marouelli,4,Boston Bruins
63,Dan Marouelli,1,Philadelphia Flyers
64,Pierre Champoux,2,Hartford Whalers
65,Pierre Champoux,2,New Jersey Devils
66,Stephen Walkom,2,Hartford Whalers
67,Stephen Walkom,2,New Jersey Devils
68,Lance Roberts,3,New York Islanders
69,Lance Roberts,3,Ottawa Senators
70,Scott Driscoll,3,New York Islanders
71,Scott Driscoll,3,Ottawa Senators
72,Gordon Broseker,5,Buffalo Sabres
73,Gordon Broseker,2,Tampa Bay Lightning
74,Mark Faucette,5,Buffalo Sabres
75,Mark Faucette,2,Tampa Bay Lightning
76,Finn,4,Calgary Flames
77,Finn,1,Detroit Red Wings
78,Fraser,4,Calgary Flames
79,Fraser,1,Detroit Red Wings
80,Mike McGeough,4,Edmonton Oilers
81,Mike McGeough,3,Los Angeles Kings
82,Ron Asselstine,4,Edmonton Oilers
83,Ron Asselstine,3,Los Angeles Kings
84,Andy van Hellemond,2,Boston Bruins
85,Andy van Hellemond,1,New York Rangers
86,Leon Stickle,2,Boston Bruins
87,Leon Stickle,1,New York Rangers
88,Dave Jackson #8,5,Florida Panthers
89,Dave Jackson #8,6,Pittsburgh Penguins
90,Gord Broseker #33,5,Florida Panthers
91,Gord Broseker #33,6,Pittsburgh Penguins
92,Don Koharski,3,Chicago Blackhawks
93,Don Koharski,5,Winnipeg Jets (1979)
94,Wayne Bonney,3,Chicago Blackhawks
95,Wayne Bonney,5,Winnipeg Jets (1979)
96,Paul Devorski,5,Anaheim Ducks
97,Paul Devorski,4,Edmonton Oilers
98,Ron Asselstine,5,Anaheim Ducks
99,Ron Asselstine,4,Edmonton Oilers
100,Gerard Gauthier,5,Quebec Nordiques
101,Gerard Gauthier,1,Washington Capitals
102,Steven Walkom,5,Quebec Nordiques
103,Steven Walkom,1,Washington Capitals
104,Bill McCreary,4,New York Islanders
105,Bill McCreary,3,Philadelphia Flyers
106,Leon Stickle,4,New York Islanders
107,Leon Stickle,3,Philadelphia Flyers
108,Driscoll,6,Detroit Red Wings
109,Driscoll,3,Vancouver Canucks
110,Massenhoven,6,Detroit Red Wings
111,Massenhoven,3,Vancouver Canucks
112,Paul Stewart,6,Calgary Flames
113,Paul Stewart,4,St. Louis Blues
114,Wayne Bonney,6,Calgary Flames
115,Wayne Bonney,4,St. Louis Blues
116,Swede Knox,4,Dallas Stars
117,Swede Knox,2,Los Angeles Kings
118,Terry Gregson,4,Dallas Stars
119,Terry Gregson,2,Los Angeles Kings
120,Andy van Hellemond,4,Hartford Whalers
121,Andy van Hellemond,1,Ottawa Senators
122,Pierre Champoux,4,Hartford Whalers
123,Pierre Champoux,1,Ottawa Senators
124,Driscoll,2,Buffalo Sabres
125,Driscoll,1,New Jersey Devils
126,Van Massenhoven,2,Buffalo Sabres
127,Van Massenhoven,1,New Jersey Devils
128,Gauthier,2,Montréal Canadiens
129,Gauthier,0,Washington Capitals
130,Roberts,2,Montréal Canadiens
