,Ref,Score,Team
0,Graham Skilliter,7,Toronto Maple Leafs
1,Graham Skilliter,2,Winnipeg Jets
2,Tim Peel,7,Toronto Maple Leafs
3,Tim Peel,2,Winnipeg Jets
4,Marc Joannette,4,Pittsburgh Penguins
5,Marc Joannette,5,St. Louis Blues
6,Trevor Hanson,4,Pittsburgh Penguins
7,Trevor Hanson,5,St. Louis Blues
8,Dave Jackson,0,Calgary Flames
9,Dave Jackson,3,Edmonton Oilers
10,Jake Brenk,0,Calgary Flames
11,Jake Brenk,3,Edmonton Oilers
12,Jon McIsaac,5,Philadelphia Flyers
13,Jon McIsaac,3,San Jose Sharks
14,Kevin Pollock,5,Philadelphia Flyers
15,Kevin Pollock,3,San Jose Sharks
16,Francis Charron,4,Boston Bruins
17,Francis Charron,3,Nashville Predators
18,Kelly Sutherland,4,Boston Bruins
19,Kelly Sutherland,3,Nashville Predators
20,Steve Kozari,2,Buffalo Sabres
21,Steve Kozari,2,Montréal Canadiens
22,Thomas John Luxmore,2,Buffalo Sabres
23,Thomas John Luxmore,2,Montréal Canadiens
24,Dean Morton,4,Colorado Avalanche
25,Dean Morton,2,New York Rangers
26,Trevor Hanson,4,Colorado Avalanche
27,Trevor Hanson,2,New York Rangers
28,Chris Lee,4,Ottawa Senators
29,Chris Lee,4,Washington Capitals
30,Frederick L'Ecuyer,4,Ottawa Senators
31,Frederick L'Ecuyer,4,Washington Capitals
32,Brian Pochmara,4,Detroit Red Wings
33,Brian Pochmara,2,Minnesota Wild
34,Gord Dwyer,4,Detroit Red Wings
35,Gord Dwyer,2,Minnesota Wild
36,Brad Meier,10,Chicago Blackhawks
37,Brad Meier,1,Pittsburgh Penguins
38,Graham Skilliter,10,Chicago Blackhawks
39,Graham Skilliter,1,Pittsburgh Penguins
40,Jon McIsaac,5,Anaheim Ducks
41,Jon McIsaac,4,Arizona Coyotes
42,Kevin Pollock,5,Anaheim Ducks
43,Kevin Pollock,4,Arizona Coyotes
44,Eric Furlatt,2,Los Angeles Kings
45,Eric Furlatt,0,Philadelphia Flyers
46,Jean Hebert,2,Los Angeles Kings
47,Jean Hebert,0,Philadelphia Flyers
48,Brad Watson,5,Columbus Blue Jackets
49,Brad Watson,0,New York Islanders
50,Tom Chmielewski,5,Columbus Blue Jackets
51,Tom Chmielewski,0,New York Islanders
52,Marc Joannette,3,Florida Panthers
53,Marc Joannette,5,Tampa Bay Lightning
54,Wes McCauley,3,Florida Panthers
55,Wes McCauley,5,Tampa Bay Lightning
56,Dan O'Halloran,1,Dallas Stars
57,Dan O'Halloran,2,Vegas Golden Knights
58,Kendrick Nicholson,1,Dallas Stars
59,Kendrick Nicholson,2,Vegas Golden Knights
60,Brad Meier,5,New York Rangers
61,Brad Meier,8,Toronto Maple Leafs
62,Gord Dwyer,5,New York Rangers
63,Gord Dwyer,8,Toronto Maple Leafs
64,Francis Charron,1,Detroit Red Wings
65,Francis Charron,1,Ottawa Senators
66,Thomas John Luxmore,1,Detroit Red Wings
67,Thomas John Luxmore,1,Ottawa Senators
68,Kyle Rehman,5,Florida Panthers
69,Kyle Rehman,4,Tampa Bay Lightning
70,Marc Joannette,5,Florida Panthers
71,Marc Joannette,4,Tampa Bay Lightning
72,Francois St-Laurent,1,Colorado Avalanche
73,Francois St-Laurent,4,New Jersey Devils
74,Steve Kozari,1,Colorado Avalanche
75,Steve Kozari,4,New Jersey Devils
76,Justin St. Pierre ,3,Buffalo Sabres
77,Justin St. Pierre ,6,New York Islanders
78,Kelly Sutherland,3,Buffalo Sabres
79,Kelly Sutherland,6,New York Islanders
80,Brian Pochmara,0,Nashville Predators
81,Brian Pochmara,4,Pittsburgh Penguins
82,Chris Rooney,0,Nashville Predators
83,Chris Rooney,4,Pittsburgh Penguins
84,Brad Watson,1,Montréal Canadiens
85,Brad Watson,6,Washington Capitals
86,Tom Chmielewski,1,Montréal Canadiens
87,Tom Chmielewski,6,Washington Capitals
88,Dean Morton,4,Carolina Hurricanes
89,Dean Morton,4,Minnesota Wild
90,Ghislain Hebert,4,Carolina Hurricanes
91,Ghislain Hebert,4,Minnesota Wild
92,Tim Peel,2,Dallas Stars
93,Tim Peel,4,St. Louis Blues
94,Tom Kowal,2,Dallas Stars
95,Tom Kowal,4,St. Louis Blues
96,Ian Walsh,5,Chicago Blackhawks
97,Ian Walsh,1,Columbus Blue Jackets
98,Trevor Hanson,5,Chicago Blackhawks
99,Trevor Hanson,1,Columbus Blue Jackets
100,Eric Furlatt,1,Arizona Coyotes
101,Eric Furlatt,2,Vegas Golden Knights
102,Jon McIsaac,1,Arizona Coyotes
103,Jon McIsaac,2,Vegas Golden Knights
104,Chris Lee,6,Calgary Flames
105,Chris Lee,3,Winnipeg Jets
106,Garrett Rank,6,Calgary Flames
107,Garrett Rank,3,Winnipeg Jets
108,Dan O'Rourke,2,Edmonton Oilers
109,Dan O'Rourke,3,Vancouver Canucks
110,Graham Skilliter,2,Edmonton Oilers
111,Graham Skilliter,3,Vancouver Canucks
112,Dave Jackson,2,Anaheim Ducks
113,Dave Jackson,3,Philadelphia Flyers
114,Jake Brenk,2,Anaheim Ducks
115,Jake Brenk,3,Philadelphia Flyers
116,Jean Hebert,4,Los Angeles Kings
117,Jean Hebert,1,San Jose Sharks
118,Kevin Pollock,4,Los Angeles Kings
119,Kevin Pollock,1,San Jose Sharks
120,Justin St. Pierre ,0,Montréal Canadiens
121,Justin St. Pierre ,2,New York Rangers
122,Wes McCauley,0,Montréal Canadiens
123,Wes McCauley,2,New York Rangers
124,Ghislain Hebert,0,Boston Bruins
125,Ghislain Hebert,4,Colorado Avalanche
126,Tom Kowal,0,Boston Bruins
127,Tom Kowal,4,Colorado Avalanche
128,Gord Dwyer,2,New York Islanders
129,Gord Dwyer,2,St. Louis Blues
130,Ian Walsh,2,New York Islanders
131,Ian Walsh,2,St. Louis Blues
132,Brad Watson,2,Buffalo Sabres
133,Brad Watson,6,New Jersey Devils
134,Tom Chmielewski,2,Buffalo Sabres
135,Tom Chmielewski,6,New Jersey Devils
136,Francis Charron,3,Chicago Blackhawks
137,Francis Charron,4,Toronto Maple Leafs
138,Thomas John Luxmore,3,Chicago Blackhawks
139,Thomas John Luxmore,4,Toronto Maple Leafs
140,Chris Rooney,4,Tampa Bay Lightning
141,Chris Rooney,3,Washington Capitals
142,Kyle Rehman,4,Tampa Bay Lightning
143,Kyle Rehman,3,Washington Capitals
144,Dan O'Rourke,2,Edmonton Oilers
145,Dan O'Rourke,5,Winnipeg Jets
146,Garrett Rank,2,Edmonton Oilers
147,Garrett Rank,5,Winnipeg Jets
148,Eric Furlatt,0,Anaheim Ducks
149,Eric Furlatt,2,Calgary Flames
150,Jean Hebert,0,Anaheim Ducks
151,Jean Hebert,2,Calgary Flames
152,Ghislain Hebert,1,New York Rangers
153,Ghislain Hebert,3,St. Louis Blues
154,Jon McIsaac,1,New York Rangers
155,Jon McIsaac,3,St. Louis Blues
156,Ian Walsh,1,Carolina Hurricanes
157,Ian Walsh,2,Columbus Blue Jackets
158,Kelly Sutherland,1,Carolina Hurricanes
159,Kelly Sutherland,2,Columbus Blue Jackets
160,Dean Morton,3,Chicago Blackhawks
161,Dean Morton,1,Montréal Canadiens
162,Tom Kowal,3,Chicago Blackhawks
163,Tom Kowal,1,Montréal Canadiens
164,Frederick L'Ecuyer,6,Nashville Predators
165,Frederick L'Ecuyer,5,Philadelphia Flyers
166,Justin St. Pierre ,6,Nashville Predators
167,Justin St. Pierre ,5,Philadelphia Flyers
168,Jake Brenk,4,Dallas Stars
169,Jake Brenk,2,Detroit Red Wings
170,Tim Peel,4,Dallas Stars
171,Tim Peel,2,Detroit Red Wings
172,Dan O'Halloran,2,Ottawa Senators
173,Dan O'Halloran,2,Vancouver Canucks
174,Kendrick Nicholson,2,Ottawa Senators
175,Kendrick Nicholson,2,Vancouver Canucks
176,Dave Jackson,2,Arizona Coyotes
177,Dave Jackson,5,Vegas Golden Knights
178,Francois St-Laurent,2,Arizona Coyotes
179,Francois St-Laurent,5,Vegas Golden Knights
180,Brian Pochmara,6,New Jersey Devils
181,Brian Pochmara,3,Toronto Maple Leafs
182,Dean Morton,6,New Jersey Devils
183,Dean Morton,3,Toronto Maple Leafs
184,Gord Dwyer,3,Pittsburgh Penguins
185,Gord Dwyer,2,Washington Capitals
186,Kyle Rehman,3,Pittsburgh Penguins
187,Kyle Rehman,2,Washington Capitals
188,Chris Schlenker ,3,Boston Bruins
189,Chris Schlenker ,6,Colorado Avalanche
190,Dan O'Rourke,3,Boston Bruins
191,Dan O'Rourke,6,Colorado Avalanche
192,Steve Kozari,3,Anaheim Ducks
193,Steve Kozari,2,New York Islanders
194,Trevor Hanson,3,Anaheim Ducks
195,Trevor Hanson,2,New York Islanders
196,Francois St-Laurent,4,Calgary Flames
