code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2003020001,Boston Bruins,3,New Jersey Devils,3,Chris Rooney,Stephen Walkom,Boston Bruins,New Jersey Devils
2003020002,Dallas Stars,4,Anaheim Ducks,1,Michael McGeough,Kevin Pollock,Dallas Stars,Anaheim Ducks
2003020003,Chicago Blackhawks,1,Minnesota Wild,0,Terry Gregson,Tim Peel,Chicago Blackhawks,Minnesota Wild
2003020004,Ottawa Senators,5,Montréal Canadiens,2,Dan Marouelli,Greg Kimmerly,Ottawa Senators,Montréal Canadiens
2003020005,Philadelphia Flyers,2,Buffalo Sabres,0,Dan O'Halloran,Marc Joannette,Philadelphia Flyers,Buffalo Sabres
2003020006,Washington Capitals,6,New York Islanders,1,Kerry Fraser,Chris Lee,Washington Capitals,New York Islanders
2003020007,Atlanta Thrashers,2,Columbus Blue Jackets,1,Bill McCreary,Mike Hasenfratz,Atlanta Thrashers,Columbus Blue Jackets
2003020008,Florida Panthers,3,Carolina Hurricanes,1,Paul Devorski,Ian Walsh,Florida Panthers,Carolina Hurricanes
2003020009,Detroit Red Wings,3,Los Angeles Kings,2,Mike Leggo,Eric Furlatt,Detroit Red Wings,Los Angeles Kings
2003020010,Nashville Predators,3,Anaheim Ducks,1,Don Koharski,Rob Martell,Nashville Predators,Anaheim Ducks
2003020011,Edmonton Oilers,5,San Jose Sharks,2,Dennis LaRue,Brad Meier,Edmonton Oilers,San Jose Sharks
2003020012,Vancouver Canucks,4,Calgary Flames,1,Rob Shick,Jay Sharrers,Vancouver Canucks,Calgary Flames
2003020013,Pittsburgh Penguins,0,Los Angeles Kings,3,Dave Jackson,Craig Spada,Los Angeles Kings,Pittsburgh Penguins
2003020014,Tampa Bay Lightning,5,Boston Bruins,1,Don Koharski,Ian Walsh,Tampa Bay Lightning,Boston Bruins
2003020015,Minnesota Wild,5,New York Rangers,3,Dan Marouelli,Dean Warren,Minnesota Wild,New York Rangers
2003020016,Colorado Avalanche,5,Chicago Blackhawks,0,Michael McGeough,Kevin Pollock,Colorado Avalanche,Chicago Blackhawks
2003020017,Phoenix Coyotes,2,St. Louis Blues,1,Brad Watson,Shane Heyer,Phoenix Coyotes,St. Louis Blues
2003020018,Buffalo Sabres,0,New York Islanders,6,Mike Leggo,Chris Rooney,New York Islanders,Buffalo Sabres
2003020019,Toronto Maple Leafs,0,Montréal Canadiens,4,Dave Jackson,Greg Kimmerly,Montréal Canadiens,Toronto Maple Leafs
2003020020,Ottawa Senators,2,Detroit Red Wings,3,Stephane Auger,Stephen Walkom,Detroit Red Wings,Ottawa Senators
2003020021,Philadelphia Flyers,3,Pittsburgh Penguins,3,Kerry Fraser,Chris Lee,Philadelphia Flyers,Pittsburgh Penguins
2003020022,Washington Capitals,3,Atlanta Thrashers,4,Blaine Angus,Marc Joannette,Atlanta Thrashers,Washington Capitals
2003020023,Carolina Hurricanes,1,New Jersey Devils,2,Dan O'Halloran,Mike Hasenfratz,New Jersey Devils,Carolina Hurricanes
2003020024,Columbus Blue Jackets,5,New York Rangers,0,Terry Gregson,Rob Martell,Columbus Blue Jackets,New York Rangers
2003020025,Florida Panthers,1,Boston Bruins,1,Paul Devorski,Ian Walsh,Florida Panthers,Boston Bruins
2003020026,Nashville Predators,1,Dallas Stars,3,Bill McCreary,Craig Spada,Dallas Stars,Nashville Predators
2003020027,Calgary Flames,3,San Jose Sharks,2,Kelly Sutherland,Jay Sharrers,Calgary Flames,San Jose Sharks
2003020028,Vancouver Canucks,3,Edmonton Oilers,0,Dennis LaRue,Rob Shick,Vancouver Canucks,Edmonton Oilers
2003020029,Chicago Blackhawks,2,Los Angeles Kings,4,Mike Leggo,Brad Meier,Los Angeles Kings,Chicago Blackhawks
2003020030,Minnesota Wild,2,San Jose Sharks,3,Dan Marouelli,Shane Heyer,San Jose Sharks,Minnesota Wild
2003020031,Anaheim Ducks,0,Phoenix Coyotes,2,Dennis LaRue,Brad Watson,Phoenix Coyotes,Anaheim Ducks
2003020032,Colorado Avalanche,1,St. Louis Blues,2,Kelly Sutherland,Kevin Pollock,St. Louis Blues,Colorado Avalanche
2003020033,Buffalo Sabres,4,Dallas Stars,3,Dave Jackson,Eric Furlatt,Buffalo Sabres,Dallas Stars
2003020034,Carolina Hurricanes,2,Florida Panthers,2,Blaine Angus,Marc Joannette,Carolina Hurricanes,Florida Panthers
2003020035,Columbus Blue Jackets,3,Vancouver Canucks,2,Craig Spada,Stephen Walkom,Columbus Blue Jackets,Vancouver Canucks
2003020036,Toronto Maple Leafs,2,Washington Capitals,2,Kerry Fraser,Rob Martell,Toronto Maple Leafs,Washington Capitals
2003020037,Montréal Canadiens,5,Washington Capitals,1,Stephane Auger,Greg Kimmerly,Montréal Canadiens,Washington Capitals
2003020038,Atlanta Thrashers,2,New York Islanders,2,Mike Leggo,Brad Meier,Atlanta Thrashers,New York Islanders
2003020039,Calgary Flames,1,Edmonton Oilers,0,Kelly Sutherland,Don VanMassenhoven,Calgary Flames,Edmonton Oilers
2003020040,Florida Panthers,1,Phoenix Coyotes,2,Don Koharski,Rob Martell,Phoenix Coyotes,Florida Panthers
2003020041,Dallas Stars,0,Boston Bruins,2,Kevin Pollock,Dean Warren,Boston Bruins,Dallas Stars
2003020042,Los Angeles Kings,4,Ottawa Senators,3,Tim Peel,Shane Heyer,Los Angeles Kings,Ottawa Senators
2003020043,New York Rangers,0,Atlanta Thrashers,0,Terry Gregson,Eric Furlatt,New York Rangers,Atlanta Thrashers
2003020044,Tampa Bay Lightning,5,Phoenix Coyotes,1,Don Koharski,Rob Martell,Tampa Bay Lightning,Phoenix Coyotes
2003020045,Columbus Blue Jackets,2,Chicago Blackhawks,1,Wes McCauley,Brad Meier,Columbus Blue Jackets,Chicago Blackhawks
2003020046,Montréal Canadiens,4,Pittsburgh Penguins,1,Chris Rooney,Dan O'Halloran,Montréal Canadiens,Pittsburgh Penguins
2003020047,New Jersey Devils,2,Toronto Maple Leafs,2,Kerry Fraser,Ian Walsh,New Jersey Devils,Toronto Maple Leafs
2003020048,Detroit Red Wings,3,Vancouver Canucks,2,Mike Leggo,Bill McCreary,Detroit Red Wings,Vancouver Canucks
2003020049,Minnesota Wild,2,Colorado Avalanche,5,Rob Shick,Craig Spada,Colorado Avalanche,Minnesota Wild
2003020050,Nashville Predators,4,St. Louis Blues,1,Chris Lee,Mike Hasenfratz,Nashville Predators,St. Louis Blues
2003020051,Edmonton Oilers,4,Buffalo Sabres,1,Don VanMassenhoven,Bob Langdon,Edmonton Oilers,Buffalo Sabres
2003020052,San Jose Sharks,0,Philadelphia Flyers,0,Michael McGeough,Shane Heyer,San Jose Sharks,Philadelphia Flyers
2003020053,Dallas Stars,4,Washington Capitals,2,Dan O'Rourke,Tim Peel,Dallas Stars,Washington Capitals
2003020054,Anaheim Ducks,0,Ottawa Senators,3,Dean Warren,Jay Sharrers,Ottawa Senators,Anaheim Ducks
2003020055,Montréal Canadiens,0,Toronto Maple Leafs,1,Paul Devorski,Dan O'Halloran,Toronto Maple Leafs,Montréal Canadiens
2003020056,New York Islanders,2,Florida Panthers,1,Dan Marouelli,Eric Furlatt,New York Islanders,Florida Panthers
2003020057,New York Rangers,2,Carolina Hurricanes,2,Chris Rooney,Kevin Pollock,New York Rangers,Carolina Hurricanes
2003020058,Atlanta Thrashers,7,Chicago Blackhawks,2,Don Koharski,Ian Walsh,Atlanta Thrashers,Chicago Blackhawks
2003020059,New Jersey Devils,2,Tampa Bay Lightning,3,Terry Gregson,Greg Kimmerly,Tampa Bay Lightning,New Jersey Devils
2003020060,Pittsburgh Penguins,4,Detroit Red Wings,3,Stephen Walkom,Chris Lee,Pittsburgh Penguins,Detroit Red Wings
2003020061,St. Louis Blues,4,Washington Capitals,1,Rob Shick,Mike Hasenfratz,St. Louis Blues,Washington Capitals
2003020062,Nashville Predators,3,Columbus Blue Jackets,2,Rob Martell,Brad Meier,Nashville Predators,Columbus Blue Jackets
2003020063,Minnesota Wild,2,Vancouver Canucks,2,Bill McCreary,Craig Spada,Minnesota Wild,Vancouver Canucks
2003020064,Calgary Flames,0,Buffalo Sabres,2,Dennis LaRue,Don VanMassenhoven,Buffalo Sabres,Calgary Flames
2003020065,Edmonton Oilers,6,Colorado Avalanche,3,Blaine Angus,Shane Heyer,Edmonton Oilers,Colorado Avalanche
2003020066,Phoenix Coyotes,4,Philadelphia Flyers,5,Dave Jackson,Jay Sharrers,Philadelphia Flyers,Phoenix Coyotes
