,Ref,Score,Team
0,Mike Hasenfratz,1,Carolina Hurricanes
1,Mike Hasenfratz,4,New York Rangers
2,Stephen Walkom,1,Carolina Hurricanes
3,Stephen Walkom,4,New York Rangers
4,Brad Meier,1,Colorado Avalanche
5,Brad Meier,1,Dallas Stars
6,Michael McGeough,1,Colorado Avalanche
7,Michael McGeough,1,Dallas Stars
8,Kelly Sutherland,4,Los Angeles Kings
9,Kelly Sutherland,1,Phoenix Coyotes
10,Kerry Fraser,4,Los Angeles Kings
11,Kerry Fraser,1,Phoenix Coyotes
12,Blaine Angus,5,Buffalo Sabres
13,Blaine Angus,1,New York Islanders
14,Rob Martell,5,Buffalo Sabres
15,Rob Martell,1,New York Islanders
16,Dave Jackson,2,New Jersey Devils
17,Dave Jackson,1,Ottawa Senators
18,Kevin Pollock,2,New Jersey Devils
19,Kevin Pollock,1,Ottawa Senators
20,Jay Sharrers,1,Chicago Blackhawks
21,Jay Sharrers,2,Columbus Blue Jackets
22,Terry Gregson,1,Chicago Blackhawks
23,Terry Gregson,2,Columbus Blue Jackets
24,Don Koharski,0,Pittsburgh Penguins
25,Don Koharski,6,Toronto Maple Leafs
26,Paul Stewart,0,Pittsburgh Penguins
27,Paul Stewart,6,Toronto Maple Leafs
28,Don Van Massenhoven,3,Florida Panthers
29,Don Van Massenhoven,4,Tampa Bay Lightning
30,Marc Joannette,3,Florida Panthers
31,Marc Joannette,4,Tampa Bay Lightning
32,Chris Lee,4,Anaheim Ducks
33,Chris Lee,3,St. Louis Blues
34,Dan Marouelli,4,Anaheim Ducks
35,Dan Marouelli,3,St. Louis Blues
36,Bill McCreary,0,Calgary Flames
37,Bill McCreary,3,Vancouver Canucks
38,Chris Rooney,0,Calgary Flames
39,Chris Rooney,3,Vancouver Canucks
40,Dean Warren,2,Edmonton Oilers
41,Dean Warren,2,Philadelphia Flyers
42,Rob Shick,2,Edmonton Oilers
43,Rob Shick,2,Philadelphia Flyers
44,Kelly Sutherland,6,Detroit Red Wings
45,Kelly Sutherland,3,San Jose Sharks
46,Kerry Fraser,6,Detroit Red Wings
