,Ref,Score,Team
0,Bill McCreary,2,Boston Bruins
1,Bill McCreary,5,Montréal Canadiens
2,Shane Heyer,2,Boston Bruins
3,Shane Heyer,5,Montréal Canadiens
4,Brad Watson,6,Boston Bruins
5,Brad Watson,4,Montréal Canadiens
6,Michael McGeough,6,Boston Bruins
7,Michael McGeough,4,Montréal Canadiens
8,Blaine Angus,3,Boston Bruins
9,Blaine Angus,5,Montréal Canadiens
10,Rob Shick,3,Boston Bruins
11,Rob Shick,5,Montréal Canadiens
12,Dave Jackson,5,Boston Bruins
13,Dave Jackson,2,Montréal Canadiens
14,Don Koharski,5,Boston Bruins
15,Don Koharski,2,Montréal Canadiens
16,Dan Marouelli,1,Boston Bruins
17,Dan Marouelli,2,Montréal Canadiens
18,Marc Joannette,1,Boston Bruins
19,Marc Joannette,2,Montréal Canadiens
20,Dan Marouelli,1,Boston Bruins
21,Dan Marouelli,2,Montréal Canadiens
22,Kevin Pollock,1,Boston Bruins
23,Kevin Pollock,2,Montréal Canadiens
24,Bill McCreary,0,Ottawa Senators
25,Bill McCreary,1,Philadelphia Flyers
26,Brad Meier,0,Ottawa Senators
27,Brad Meier,1,Philadelphia Flyers
28,Blaine Angus,3,Ottawa Senators
29,Blaine Angus,0,Philadelphia Flyers
30,Rob Shick,3,Ottawa Senators
31,Rob Shick,0,Philadelphia Flyers
32,Don Koharski,3,Ottawa Senators
33,Don Koharski,0,Philadelphia Flyers
34,Mike Hasenfratz,3,Ottawa Senators
35,Mike Hasenfratz,0,Philadelphia Flyers
36,Bill McCreary,3,Ottawa Senators
37,Bill McCreary,0,Philadelphia Flyers
38,Rob Shick,3,Ottawa Senators
39,Rob Shick,0,Philadelphia Flyers
40,Dan O'Halloran,2,Ottawa Senators
41,Dan O'Halloran,1,Philadelphia Flyers
42,Kerry Fraser,2,Ottawa Senators
43,Kerry Fraser,1,Philadelphia Flyers
44,Michael McGeough,2,Carolina Hurricanes
45,Michael McGeough,1,New Jersey Devils
46,Rob Shick,2,Carolina Hurricanes
47,Rob Shick,1,New Jersey Devils
48,Brad Watson,2,Carolina Hurricanes
49,Brad Watson,1,New Jersey Devils
50,Rob Shick,2,Carolina Hurricanes
51,Rob Shick,1,New Jersey Devils
52,Bill McCreary,0,Carolina Hurricanes
53,Bill McCreary,4,New Jersey Devils
54,Dan Marouelli,0,Carolina Hurricanes
55,Dan Marouelli,4,New Jersey Devils
56,Dan Marouelli,1,Carolina Hurricanes
57,Dan Marouelli,3,New Jersey Devils
58,Dave Jackson,1,Carolina Hurricanes
59,Dave Jackson,3,New Jersey Devils
60,Dan O'Halloran,3,Carolina Hurricanes
61,Dan O'Halloran,2,New Jersey Devils
62,Kerry Fraser,3,Carolina Hurricanes
63,Kerry Fraser,2,New Jersey Devils
64,Don Van Massenhoven,1,Carolina Hurricanes
65,Don Van Massenhoven,0,New Jersey Devils
66,Mark Faucette,1,Carolina Hurricanes
67,Mark Faucette,0,New Jersey Devils
68,Dan Marouelli,1,New York Islanders
69,Dan Marouelli,3,Toronto Maple Leafs
70,Don Van Massenhoven,1,New York Islanders
71,Don Van Massenhoven,3,Toronto Maple Leafs
72,Dave Jackson,0,New York Islanders
73,Dave Jackson,2,Toronto Maple Leafs
74,Don Koharski,0,New York Islanders
75,Don Koharski,2,Toronto Maple Leafs
76,Bill McCreary,6,New York Islanders
77,Bill McCreary,1,Toronto Maple Leafs
78,Shane Heyer,6,New York Islanders
79,Shane Heyer,1,Toronto Maple Leafs
80,Brad Watson,4,New York Islanders
81,Brad Watson,3,Toronto Maple Leafs
82,Dan Marouelli,4,New York Islanders
83,Dan Marouelli,3,Toronto Maple Leafs
84,Kevin Pollock,3,New York Islanders
85,Kevin Pollock,6,Toronto Maple Leafs
86,Paul Devorski,3,New York Islanders
87,Paul Devorski,6,Toronto Maple Leafs
88,Kerry Fraser,5,New York Islanders
89,Kerry Fraser,3,Toronto Maple Leafs
90,Paul Devorski,5,New York Islanders
91,Paul Devorski,3,Toronto Maple Leafs
92,Don Koharski,2,New York Islanders
93,Don Koharski,4,Toronto Maple Leafs
94,Stephen Walkom,2,New York Islanders
95,Stephen Walkom,4,Toronto Maple Leafs
96,Dave Jackson,3,Detroit Red Wings
97,Dave Jackson,4,Vancouver Canucks
98,Don Koharski,3,Detroit Red Wings
99,Don Koharski,4,Vancouver Canucks
100,Don Koharski,2,Detroit Red Wings
101,Don Koharski,5,Vancouver Canucks
102,Mike Hasenfratz,2,Detroit Red Wings
103,Mike Hasenfratz,5,Vancouver Canucks
104,Marc Joannette,3,Detroit Red Wings
105,Marc Joannette,1,Vancouver Canucks
106,Stephen Walkom,3,Detroit Red Wings
107,Stephen Walkom,1,Vancouver Canucks
108,Mark Faucette,4,Detroit Red Wings
109,Mark Faucette,2,Vancouver Canucks
110,Stephen Walkom,4,Detroit Red Wings
111,Stephen Walkom,2,Vancouver Canucks
112,Brad Watson,4,Detroit Red Wings
113,Brad Watson,0,Vancouver Canucks
114,Dan Marouelli,4,Detroit Red Wings
115,Dan Marouelli,0,Vancouver Canucks
116,Bill McCreary,6,Detroit Red Wings
117,Bill McCreary,4,Vancouver Canucks
118,Michael McGeough,6,Detroit Red Wings
119,Michael McGeough,4,Vancouver Canucks
120,Kerry Fraser,4,Colorado Avalanche
121,Kerry Fraser,3,Los Angeles Kings
122,Stephane Auger,4,Colorado Avalanche
123,Stephane Auger,3,Los Angeles Kings
124,Dan O'Halloran,5,Colorado Avalanche
125,Dan O'Halloran,3,Los Angeles Kings
126,Kerry Fraser,5,Colorado Avalanche
127,Kerry Fraser,3,Los Angeles Kings
128,Dennis LaRue,1,Colorado Avalanche
129,Dennis LaRue,3,Los Angeles Kings
130,Don Van Massenhoven,1,Colorado Avalanche
131,Don Van Massenhoven,3,Los Angeles Kings
132,Don Van Massenhoven,1,Colorado Avalanche
133,Don Van Massenhoven,0,Los Angeles Kings
134,Michael McGeough,1,Colorado Avalanche
135,Michael McGeough,0,Los Angeles Kings
136,Mark Faucette,0,Colorado Avalanche
137,Mark Faucette,1,Los Angeles Kings
138,Stephen Walkom,0,Colorado Avalanche
139,Stephen Walkom,1,Los Angeles Kings
140,Dave Jackson,1,Colorado Avalanche
141,Dave Jackson,3,Los Angeles Kings
142,Stephen Walkom,1,Colorado Avalanche
143,Stephen Walkom,3,Los Angeles Kings
144,Bill McCreary,4,Colorado Avalanche
145,Bill McCreary,0,Los Angeles Kings
146,Michael McGeough,4,Colorado Avalanche
147,Michael McGeough,0,Los Angeles Kings
148,Stephen Walkom,1,Phoenix Coyotes
149,Stephen Walkom,2,San Jose Sharks
150,Tim Peel,1,Phoenix Coyotes
151,Tim Peel,2,San Jose Sharks
152,Mark Faucette,3,Phoenix Coyotes
153,Mark Faucette,1,San Jose Sharks
154,Stephen Walkom,3,Phoenix Coyotes
155,Stephen Walkom,1,San Jose Sharks
156,Paul Devorski,1,Phoenix Coyotes
157,Paul Devorski,4,San Jose Sharks
158,Stephane Auger,1,Phoenix Coyotes
159,Stephane Auger,4,San Jose Sharks
160,Kevin Pollock,1,Phoenix Coyotes
161,Kevin Pollock,2,San Jose Sharks
162,Paul Devorski,1,Phoenix Coyotes
163,Paul Devorski,2,San Jose Sharks
164,Dennis LaRue,1,Phoenix Coyotes
165,Dennis LaRue,4,San Jose Sharks
166,Rob Shick,1,Phoenix Coyotes
167,Rob Shick,4,San Jose Sharks
168,Kevin Pollock,2,Chicago Blackhawks
169,Kevin Pollock,1,St. Louis Blues
170,Paul Devorski,2,Chicago Blackhawks
171,Paul Devorski,1,St. Louis Blues
172,Dennis LaRue,0,Chicago Blackhawks
173,Dennis LaRue,2,St. Louis Blues
174,Paul Devorski,0,Chicago Blackhawks
175,Paul Devorski,2,St. Louis Blues
176,Dan O'Halloran,0,Chicago Blackhawks
177,Dan O'Halloran,4,St. Louis Blues
178,Kerry Fraser,0,Chicago Blackhawks
179,Kerry Fraser,4,St. Louis Blues
180,Kerry Fraser,0,Chicago Blackhawks
