code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
2000030111,New Jersey Devils,5,Carolina Hurricanes,1,Dave Jackson,Paul Stewart,New Jersey Devils,Carolina Hurricanes
2000030112,New Jersey Devils,2,Carolina Hurricanes,0,Bill McCreary,Dan O'Halloran,New Jersey Devils,Carolina Hurricanes
2000030113,Carolina Hurricanes,0,New Jersey Devils,4,Paul Devorski,Kevin Pollock,New Jersey Devils,Carolina Hurricanes
2000030114,Carolina Hurricanes,3,New Jersey Devils,2,Paul Devorski,Dan O'Halloran,Carolina Hurricanes,New Jersey Devils
2000030115,New Jersey Devils,2,Carolina Hurricanes,3,Blaine Angus,Don Van Massenhoven,Carolina Hurricanes,New Jersey Devils
2000030116,Carolina Hurricanes,1,New Jersey Devils,5,Kerry Fraser,Rob Shick,New Jersey Devils,Carolina Hurricanes
2000030121,Ottawa Senators,0,Toronto Maple Leafs,1,Dan Marouelli,Dean Warren,Toronto Maple Leafs,Ottawa Senators
2000030122,Ottawa Senators,0,Toronto Maple Leafs,3,Terry Gregson,Dan Marouelli,Toronto Maple Leafs,Ottawa Senators
2000030123,Toronto Maple Leafs,3,Ottawa Senators,2,Don Koharski,Stephen Walkom,Toronto Maple Leafs,Ottawa Senators
2000030124,Toronto Maple Leafs,3,Ottawa Senators,1,Don Van Massenhoven,Brad Watson,Toronto Maple Leafs,Ottawa Senators
2000030131,Washington Capitals,1,Pittsburgh Penguins,0,Don Koharski,Stephen Walkom,Washington Capitals,Pittsburgh Penguins
2000030132,Washington Capitals,1,Pittsburgh Penguins,2,Blaine Angus,Don Koharski,Pittsburgh Penguins,Washington Capitals
2000030133,Pittsburgh Penguins,3,Washington Capitals,0,Don Van Massenhoven,Brad Watson,Pittsburgh Penguins,Washington Capitals
2000030134,Pittsburgh Penguins,3,Washington Capitals,4,Dave Jackson,Paul Stewart,Washington Capitals,Pittsburgh Penguins
2000030135,Washington Capitals,1,Pittsburgh Penguins,2,Paul Devorski,Rob Shick,Pittsburgh Penguins,Washington Capitals
2000030136,Pittsburgh Penguins,4,Washington Capitals,3,Mark Faucette,Mick McGeough,Pittsburgh Penguins,Washington Capitals
2000030141,Philadelphia Flyers,1,Buffalo Sabres,2,Rob Shick,Don Van Massenhoven,Buffalo Sabres,Philadelphia Flyers
2000030142,Philadelphia Flyers,3,Buffalo Sabres,4,Bill McCreary,Brad Watson,Buffalo Sabres,Philadelphia Flyers
2000030143,Buffalo Sabres,2,Philadelphia Flyers,3,Paul Devorski,Kevin Pollock,Philadelphia Flyers,Buffalo Sabres
2000030144,Buffalo Sabres,4,Philadelphia Flyers,3,Don Koharski,Stephen Walkom,Buffalo Sabres,Philadelphia Flyers
2000030145,Philadelphia Flyers,3,Buffalo Sabres,1,Kerry Fraser,Dave Jackson,Philadelphia Flyers,Buffalo Sabres
2000030146,Buffalo Sabres,8,Philadelphia Flyers,0,Michael McGeough,Brad Watson,Buffalo Sabres,Philadelphia Flyers
2000030151,Colorado Avalanche,5,Vancouver Canucks,4,Paul Devorski,Kevin Pollock,Colorado Avalanche,Vancouver Canucks
2000030152,Colorado Avalanche,2,Vancouver Canucks,1,Dave Jackson,Paul Stewart,Colorado Avalanche,Vancouver Canucks
